,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,33,11,922804818191,2757173568,1,1,"(0.4731658399105072, 0.26522916555404663)","(0.4729940593242645, 0.2360629290342331)",1,1,3.0906982421875,3.1180419921875,"(-49.91276550292969, 35.34369659423828, 611.5036010742188)","(8.999940872192383, 35.72449493408203, 611.1408081054688)","(-10.891532897949219, 151.7117462158203, 44.57678985595703)","(-10.950881958007812, 157.03858947753906, 46.515567779541016)",POINT (0.4730799496173859 0.2506460472941399),,,,,,,,,,1,1,
0,33,11,922804834858,2757190234,1,1,"(0.472435861825943, 0.25202319025993347)","(0.4764763116836548, 0.22904740273952484)",1,1,3.077880859375,3.132675170898437,"(-49.8658447265625, 35.386322021484375, 611.6248779296875)","(9.050880432128906, 35.7649040222168, 611.2847900390625)","(-11.143753051757812, 154.12364196777344, 45.45463943481445)","(-9.747689247131348, 158.3198699951172, 46.98192596435547)",POINT (0.4744560867547989 0.2405352964997292),,,,,,,,,,1,1,
0,33,11,922804851526,2757206902,1,1,"(0.4766767621040344, 0.25182172656059265)","(0.47427648305892944, 0.24293328821659088)",1,1,3.08941650390625,3.140853881835937,"(-49.817832946777344, 35.41618347167969, 611.5796508789062)","(9.091545104980469, 35.799957275390625, 611.3252563476562)","(-9.678418159484863, 154.16043090820312, 45.4680290222168)","(-10.507773399353027, 155.78378295898438, 46.05887985229492)",POINT (0.4754766225814819 0.2473775073885918),,,,,,,,,,1,1,
0,33,11,922804868194,2757223569,1,1,"(0.47256141901016235, 0.2515345513820648)","(0.47609221935272217, 0.2313576340675354)",1,1,3.1028594970703125,3.139495849609375,"(-49.77772521972656, 35.462623596191406, 611.669921875)","(9.137161254882812, 35.8361930847168, 611.3655395507812)","(-11.100381851196289, 154.212890625, 45.48711013793945)","(-9.880399703979492, 157.89793395996094, 46.82836151123047)",POINT (0.4743268191814423 0.2414460927248001),,,,,,,,,,1,1,
0,33,11,922804884860,2757240235,1,1,"(0.4730946123600006, 0.24811901152133942)","(0.47452646493911743, 0.24327518045902252)",1,1,3.10162353515625,3.145370483398437,"(-49.73595428466797, 35.517852783203125, 611.677001953125)","(9.182318687438965, 35.865840911865234, 611.33349609375)","(-10.916159629821777, 154.83668518066406, 45.714195251464844)","(-10.42140007019043, 155.7213592529297, 46.0361328125)",POINT (0.473810538649559 0.245697095990181),,,,,,,,,,1,1,
0,33,11,922804901528,2757256902,1,1,"(0.4735090434551239, 0.2580081522464752)","(0.4751632511615753, 0.2417529821395874)",1,1,3.11212158203125,3.153839111328125,"(-49.682640075683594, 35.57926940917969, 611.6744384765625)","(9.234407424926758, 35.89887237548828, 611.3112182617188)","(-10.772955894470215, 153.03057861328125, 45.05678939819336)","(-10.201383590698242, 155.9993896484375, 46.137290954589844)",POINT (0.4743361473083496 0.2498805671930313),,,,,,,,,,1,1,
0,33,11,922804918193,2757273567,1,1,"(0.47503313422203064, 0.2562508285045624)","(0.47788166999816895, 0.22441424429416656)",1,1,3.0890350341796875,3.1501922607421875,"(-49.5716667175293, 35.655677795410156, 611.5439453125)","(9.35018253326416, 35.960670471191406, 611.4423828125)","(-10.246334075927734, 153.3515167236328, 45.1735954284668)","(-9.262099266052246, 159.1660614013672, 47.28990936279297)",POINT (0.4764574021100998 0.2403325363993645),,,,,,,,,,1,1,
0,33,11,922804934862,2757290235,1,1,"(0.4771261215209961, 0.25981229543685913)","(0.47444629669189453, 0.24047546088695526)",1,1,3.108856201171875,3.1504669189453125,"(-49.40272521972656, 35.742637634277344, 611.3611450195312)","(9.513967514038086, 36.02786636352539, 611.521240234375)","(-9.523160934448242, 152.70106506347656, 44.93687057495117)","(-10.449105262756348, 156.23269653320312, 46.22224426269531)",POINT (0.4757862091064453 0.2501438781619072),,,,,,,,,,1,1,
0,33,11,922804951532,2757306905,1,1,"(0.4724554717540741, 0.2529664933681488)","(0.4735923409461975, 0.2421068251132965)",1,1,3.1150360107421875,3.1546173095703125,"(-49.188568115234375, 35.806907653808594, 611.194091796875)","(9.719583511352539, 36.084716796875, 611.6608276367188)","(-11.136977195739746, 153.9513702392578, 45.39193344116211)","(-10.744165420532227, 155.9347381591797, 46.11380386352539)",POINT (0.4730239063501358 0.2475366592407227),,,,,,,,,,1,1,
0,33,11,922804968201,2757323573,1,1,"(0.5038967132568359, 0.22174885869026184)","(0.5175445079803467, 0.20614290237426758)",1,1,3.1246337890625,3.157135009765625,"(-48.85980987548828, 35.92457962036133, 610.941650390625)","(10.046537399291992, 36.14911651611328, 611.641357421875)","(-0.27325305342674255, 159.6528778076172, 47.467063903808594)","(4.4424238204956055, 162.50306701660156, 48.504486083984375)",POINT (0.5107206106185913 0.2139458805322647),,,,,,,,,,,1,
0,33,11,922804984868,2757340240,1,1,"(0.5511895418167114, 0.20475894212722778)","(0.5611575245857239, 0.20385055243968964)",1,1,3.1257781982421875,3.159881591796875,"(-48.45013427734375, 36.032623291015625, 610.7208251953125)","(10.410709381103516, 36.278160095214844, 611.8388061523438)","(16.06761932373047, 162.75582885742188, 48.596500396728516)","(19.51182746887207, 162.92173767089844, 48.65685272216797)",POINT (0.5561735332012177 0.2043047472834587),,,,,,,,,,1,,
0,33,11,922805001535,2757356906,1,1,"(0.5702380537986755, 0.19805015623569489)","(0.5726982951164246, 0.1905239373445511)",1,1,3.1392974853515625,3.1463623046875,"(-48.19511413574219, 36.106605529785156, 610.43603515625)","(10.622528076171875, 36.352115631103516, 611.935791015625)","(22.649362564086914, 163.98110961914062, 49.04243087768555)","(23.499431610107422, 165.3556671142578, 49.54273223876953)",POINT (0.57146817445755 0.194287046790123),,,,,,,,,,1,,
0,33,11,922805018201,2757373572,1,1,"(0.5674074292182922, 0.20320339500904083)","(0.571097731590271, 0.18875281512737274)",1,1,3.138412475585937,3.143661499023437,"(-48.11103820800781, 36.14004898071289, 610.1759033203125)","(10.703885078430176, 36.37844467163086, 611.8811645507812)","(21.671293258666992, 163.03994750976562, 48.69989013671875)","(22.946413040161133, 165.67913818359375, 49.66053009033203)",POINT (0.5692525804042816 0.1959781050682068),,,,,,,,,,1,,
0,33,11,922805034869,2757390240,1,1,"(0.5660685896873474, 0.20132368803024292)","(0.5702885389328003, 0.19333690404891968)",1,1,3.130111694335937,3.150360107421875,"(-48.081363677978516, 36.188453674316406, 609.8071899414062)","(10.724998474121094, 36.44868469238281, 611.8602294921875)","(21.20871925354004, 163.3832550048828, 48.82479476928711)","(22.66680908203125, 164.8419189453125, 49.35576629638672)",POINT (0.5681785643100739 0.1973302960395813),,,,,,,,,,1,,
0,33,11,922805051536,2757406906,1,1,"(0.5670414566993713, 0.19907246530056)","(0.5730299949645996, 0.19645418226718903)",1,1,3.135528564453125,3.14813232421875,"(-48.13874816894531, 36.244503021240234, 609.5477294921875)","(10.662592887878418, 36.52935791015625, 611.9241943359375)","(21.54486083984375, 163.7943878173828, 48.974525451660156)","(23.61406135559082, 164.2725830078125, 49.14854431152344)",POINT (0.5700357258319855 0.1977633237838745),,,,,,,,,,1,,
0,33,11,922805068202,2757423572,1,1,"(0.5687900185585022, 0.2110944539308548)","(0.5708665251731873, 0.1857706904411316)",1,1,3.1356658935546875,3.1667938232421875,"(-48.25325393676758, 36.31751251220703, 609.2807006835938)","(10.546907424926758, 36.60733413696289, 611.7615966796875)","(22.14904022216797, 161.59873962402344, 48.17533493041992)","(22.866519927978516, 166.2238006591797, 49.858707427978516)",POINT (0.5698282718658447 0.1984325721859932),,,,,,,,,,1,,
