,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,9,22,179371693309,5537758509,1,1,"(0.4778391718864441, 0.27897608280181885)","(0.5468088984489441, 0.33955511450767517)",1,1,3.218002319335937,3.310516357421875,"(-39.414466857910156, -44.730690002441406, 759.788330078125)","(29.054861068725586, -44.1875, 761.8211669921875)","(-9.276802062988281, 149.20106506347656, 43.66297149658203)","(14.553996086120605, 138.13710021972656, 39.6359977722168)",POINT (0.5123240351676941 0.309265598654747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371709977,5537775176,1,1,"(0.5030683279037476, 0.30049195885658264)","(0.5494709610939026, 0.3287114202976227)",1,1,3.276473999023437,3.304428100585937,"(-39.41371536254883, -44.75737380981445, 760.2039794921875)","(29.098682403564453, -44.19525909423828, 761.5450439453125)","(-0.5594785809516907, 145.27146911621094, 42.23268508911133)","(15.47379207611084, 140.11756896972656, 40.35680389404297)",POINT (0.5262696444988251 0.3146016895771027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371726644,5537791843,1,1,"(0.4948040246963501, 0.29098939895629883)","(0.5515760779380798, 0.34000465273857117)",1,1,3.241683959960937,3.3089599609375,"(-39.393009185791016, -44.749427795410156, 760.1845703125)","(29.126062393188477, -44.183677673339844, 761.317626953125)","(-3.415003776550293, 147.0070037841797, 42.864341735839844)","(16.20117950439453, 138.0550079345703, 39.60611343383789)",POINT (0.523190051317215 0.315497025847435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371743311,5537808509,1,1,"(0.49578553438186646, 0.28589722514152527)","(0.5500598549842834, 0.33263322710990906)",1,1,3.2507781982421875,3.3110809326171875,"(-39.366607666015625, -44.645721435546875, 758.862548828125)","(29.139080047607422, -44.17533874511719, 761.3323974609375)","(-3.075866460800171, 147.93699645996094, 43.202877044677734)","(15.67728042602539, 139.40127563476562, 40.09612274169922)",POINT (0.522922694683075 0.3092652261257172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371759978,5537825176,1,1,"(0.4750596880912781, 0.30644848942756653)","(0.5521211624145508, 0.33550313115119934)",1,1,3.220199584960937,3.3044586181640625,"(-39.358924865722656, -44.690494537353516, 759.6470947265625)","(29.16064453125, -44.14945983886719, 761.5380859375)","(-10.237168312072754, 144.18357849121094, 41.83674240112305)","(16.38951301574707, 138.87713623046875, 39.90532302856445)",POINT (0.5135904252529144 0.3209758102893829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371776649,5537841846,1,1,"(0.4889947772026062, 0.30146998167037964)","(0.5557326078414917, 0.32909148931503296)",1,1,3.2641754150390625,3.297332763671875,"(-39.36102294921875, -44.66533279418945, 759.4730224609375)","(29.172073364257812, -44.137908935546875, 761.58447265625)","(-5.4222331047058105, 145.09283447265625, 42.167720794677734)","(17.637378692626953, 140.0481414794922, 40.331565856933594)",POINT (0.522363692522049 0.3152807354927063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371793316,5537858513,1,1,"(0.49199649691581726, 0.32394349575042725)","(0.5536792278289795, 0.32634589076042175)",1,1,3.286376953125,3.2829742431640625,"(-39.366573333740234, -44.652828216552734, 759.53564453125)","(29.189697265625, -44.116058349609375, 761.7435302734375)","(-4.385058879852295, 140.9883575439453, 40.67375564575195)","(16.927875518798828, 140.54957580566406, 40.51407241821289)",POINT (0.5228378623723984 0.3251446932554245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371809984,5537875180,1,1,"(0.4839404821395874, 0.2878730297088623)","(0.553991973400116, 0.33785977959632874)",1,1,3.230682373046875,3.314300537109375,"(-39.37832260131836, -44.646026611328125, 759.6014404296875)","(29.193920135498047, -44.1119499206543, 761.7923583984375)","(-7.168620586395264, 147.5761260986328, 43.071563720703125)","(17.03592872619629, 138.44671630859375, 39.74871063232422)",POINT (0.5189662277698517 0.3128664046525955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371826650,5537891846,1,1,"(0.4860132038593292, 0.2948426306247711)","(0.5591332912445068, 0.30982720851898193)",1,1,3.26727294921875,3.271469116210937,"(-39.396484375, -44.477943420410156, 758.0062866210938)","(29.210678100585938, -44.09410858154297, 761.8878173828125)","(-6.45245361328125, 146.30325317382812, 42.60823059082031)","(18.812387466430664, 143.56651306152344, 41.61213302612305)",POINT (0.522573247551918 0.3023349195718765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371843319,5537908514,1,1,"(0.5339614152908325, 0.28995606303215027)","(0.5607408881187439, 0.3247833251953125)",1,1,3.2662811279296875,3.2852935791015625,"(-39.40270233154297, -44.47987365722656, 757.97216796875)","(29.22576904296875, -44.09382629394531, 761.8224487304688)","(10.114862442016602, 147.19569396972656, 42.933101654052734)","(19.367855072021484, 140.83497619628906, 40.617950439453125)",POINT (0.5473511517047882 0.3073696941137314),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371859985,5537925180,1,1,"(0.5195339918136597, 0.2933981716632843)","(0.557110607624054, 0.3363233208656311)",1,1,3.236480712890625,3.290863037109375,"(-39.40086364746094, -44.48176193237305, 758.56396484375)","(29.24684715270996, -44.082862854003906, 761.9163818359375)","(5.129848957061768, 146.56703186035156, 42.70429992675781)","(18.113494873046875, 138.72732543945312, 39.850852966308594)",POINT (0.5383222997188568 0.3148607462644577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371876652,5537941846,1,1,"(0.4249022603034973, 0.21836966276168823)","(0.5071842074394226, 0.22950081527233124)",1,1,3.2979278564453125,3.2854156494140625,"(-39.358463287353516, -44.346675872802734, 759.2750854492188)","(29.161361694335938, -43.937923431396484, 761.6832275390625)","(-27.56781768798828, 160.27001953125, 47.69173049926758)","(0.8626792430877686, 158.237060546875, 46.9517822265625)",POINT (0.46604323387146 0.2239352390170097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179371893319,5537958513,1,1,"(0.3550994098186493, 0.29420799016952515)","(0.5000032186508179, 0.23558397591114044)",1,1,3.23577880859375,3.2655792236328125,"(-39.222694396972656, -44.19560623168945, 756.5711669921875)","(29.114547729492188, -43.92417907714844, 761.5738525390625)","(-51.68647384643555, 146.4191436767578, 42.65047073364258)","(-1.6185457706451416, 157.1260528564453, 46.54741287231445)",POINT (0.4275513142347336 0.2648959830403328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371909990,5537975183,1,1,"(0.36484813690185547, 0.2849213778972626)","(0.5054240226745605, 0.2410271018743515)",1,1,3.249420166015625,3.2993927001953125,"(-39.250396728515625, -44.27702331542969, 756.5972290039062)","(29.121292114257812, -43.95719909667969, 761.269287109375)","(-48.31802749633789, 148.11521911621094, 43.267738342285156)","(0.25447848439216614, 156.13192749023438, 46.18560791015625)",POINT (0.435136079788208 0.262974239885807),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371926657,5537991850,1,1,"(0.3769013285636902, 0.26197290420532227)","(0.5049243569374084, 0.26014208793640137)",1,1,3.263397216796875,3.3038787841796875,"(-39.26470947265625, -44.305335998535156, 756.514404296875)","(29.11829948425293, -43.9687614440918, 761.286376953125)","(-44.153358459472656, 152.30645751953125, 44.793270111083984)","(0.08183185011148453, 152.64083862304688, 44.91490936279297)",POINT (0.4409128427505493 0.2610574960708618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371943324,5538008516,1,1,"(0.3828907012939453, 0.2582433521747589)","(0.5071919560432434, 0.2394329011440277)",1,1,3.289306640625,3.3074188232421875,"(-39.28870391845703, -44.330257415771484, 756.3516845703125)","(29.114795684814453, -43.99885940551758, 761.510986328125)","(-42.08386993408203, 152.9875946044922, 45.041194915771484)","(0.8653735518455505, 156.423095703125, 46.291534423828125)",POINT (0.4450413286685944 0.2488381266593933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371959991,5538025183,1,1,"(0.3727055788040161, 0.27140673995018005)","(0.5085013508796692, 0.2221601903438568)",1,1,3.2459259033203125,3.26416015625,"(-39.335227966308594, -44.341644287109375, 756.37841796875)","(29.083860397338867, -43.996742248535156, 761.5132446289062)","(-45.603092193603516, 150.58349609375, 44.16611099243164)","(1.3177754878997803, 159.57772827148438, 47.43975830078125)",POINT (0.4406034648418426 0.2467834651470184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371976658,5538041849,1,1,"(0.37135452032089233, 0.2630809545516968)","(0.5045610666275024, 0.24030859768390656)",1,1,3.2735595703125,3.2801513671875,"(-39.372291564941406, -44.3550910949707, 756.295654296875)","(29.043663024902344, -44.00897979736328, 761.5967407226562)","(-46.069915771484375, 152.10409545898438, 44.719581604003906)","(-0.043685153126716614, 156.26316833496094, 46.23334503173828)",POINT (0.4379577934741974 0.2516947761178017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179371993325,5538058516,1,1,"(0.36167261004447937, 0.23619934916496277)","(0.5043002963066101, 0.23761217296123505)",1,1,3.23583984375,3.2787628173828125,"(-39.42498779296875, -44.35731506347656, 756.146240234375)","(28.986669540405273, -43.98405075073242, 761.3939208984375)","(-49.415283203125, 157.01368713378906, 46.5064811706543)","(-0.13378964364528656, 156.75564575195312, 46.412574768066406)",POINT (0.4329864531755447 0.2369057610630989),,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,
0,9,22,179372009993,5538075183,1,1,"(0.35647910833358765, 0.23682191967964172)","(0.5090183615684509, 0.25003767013549805)",1,1,3.252197265625,3.330795288085937,"(-39.48004150390625, -44.3714485168457, 756.0260009765625)","(28.933753967285156, -43.992835998535156, 761.4144287109375)","(-51.20975875854492, 156.89996337890625, 46.465126037597656)","(1.4964113235473633, 154.4862823486328, 45.58662033081055)",POINT (0.4327487349510193 0.2434297949075699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179372026659,5538091849,1,1,"(0.37948906421661377, 0.2380656749010086)","(0.5090147256851196, 0.22318795323371887)",1,1,3.2292633056640625,3.2625732421875,"(-39.525184631347656, -44.37102508544922, 755.988037109375)","(28.904891967773438, -43.98628234863281, 761.3856201171875)","(-43.25922775268555, 156.6728057861328, 46.382423400878906)","(1.4951564073562622, 159.3900146484375, 47.3714599609375)",POINT (0.4442518949508667 0.2306268140673637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179372043333,5538108522,1,1,"(0.37152016162872314, 0.25796785950660706)","(0.5003451108932495, 0.2355000376701355)",1,1,3.2265167236328125,3.2865753173828125,"(-39.57534408569336, -44.3919677734375, 756.1895141601562)","(28.866010665893555, -44.00068664550781, 761.3248291015625)","(-46.0126838684082, 153.03793334960938, 45.05946350097656)","(-1.500403881072998, 157.1414031982422, 46.55295944213867)",POINT (0.4359326362609863 0.2467339485883713),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,9,22,179372060000,5538125189,1,1,"(0.3375471830368042, 0.27507615089416504)","(0.430397093296051, 0.2121371626853943)",1,1,3.314208984375,3.2912139892578125,"(-39.80387878417969, -44.35308074951172, 756.9432373046875)","(28.683448791503906, -43.96929931640625, 761.7249755859375)","(-57.751216888427734, 149.913330078125, 43.9222412109375)","(-25.669233322143555, 161.40830993652344, 48.10601043701172)",POINT (0.3839721381664276 0.2436066567897797),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179372076667,5538141855,1,1,"(0.39356228709220886, 0.19353705644607544)","(0.3759201169013977, 0.2632657289505005)",1,1,3.2695770263671875,3.330963134765625,"(-40.029911041259766, -44.36913299560547, 757.685546875)","(28.63473129272461, -43.96979522705078, 761.4266967773438)","(-38.396583557128906, 164.8053436279297, 49.342491149902344)","(-44.49238586425781, 152.0703582763672, 44.707271575927734)",POINT (0.3847412019968033 0.228401392698288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179372093334,5538158522,1,1,"(0.3788883686065674, 0.19849123060703278)","(0.3971980810165405, 0.22233128547668457)",1,1,3.21014404296875,3.287826538085937,"(-40.075775146484375, -44.434486389160156, 759.0789794921875)","(28.626026153564453, -43.95659637451172, 761.5543823242188)","(-43.466793060302734, 163.9005584716797, 49.013179779052734)","(-37.14031982421875, 159.54649353027344, 47.42835235595703)",POINT (0.388043224811554 0.2104112580418587),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,22,179372110002,5538175189,1,1,"(0.40140312910079956, 0.17691896855831146)","(0.3944584131240845, 0.23677702248096466)",1,1,3.2357177734375,3.3019256591796875,"(-40.10811233520508, -44.37853240966797, 758.0926513671875)","(28.605411529541016, -43.96216583251953, 761.5723876953125)","(-35.6873779296875, 167.84046936035156, 50.447113037109375)","(-38.08694076538086, 156.9081573486328, 46.46811294555664)",POINT (0.397930771112442 0.2068479955196381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,22,179372126668,5538191855,1,1,"(0.3978448510169983, 0.17304232716560364)","(0.38838866353034973, 0.25885292887687683)",1,1,3.1974334716796875,3.327606201171875,"(-40.118316650390625, -44.36174011230469, 758.026611328125)","(28.58928871154785, -43.95075225830078, 761.6220703125)","(-36.916847229003906, 168.54844665527344, 50.704837799072266)","(-40.1841926574707, 152.8762664794922, 45.000667572021484)",POINT (0.393116757273674 0.2159476280212402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,9,22,179372143336,5538208522,1,1,"(0.39311978220939636, 0.191349059343338)","(0.3982011079788208, 0.22594520449638367)",1,1,3.21868896484375,3.2794647216796875,"(-40.1362190246582, -44.37745666503906, 758.0889282226562)","(28.57598114013672, -43.960445404052734, 761.6387939453125)","(-38.54948425292969, 165.20498657226562, 49.48788833618164)","(-36.79375076293945, 158.88644409179688, 47.18815231323242)",POINT (0.3956604450941086 0.2086471319198608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,22,179372160002,5538225188,1,1,"(0.3844808042049408, 0.193498432636261)","(0.3950331211090088, 0.21470406651496887)",1,1,3.235015869140625,3.2388153076171875,"(-40.15623474121094, -44.36363983154297, 758.023681640625)","(28.56100082397461, -43.95157241821289, 761.7044677734375)","(-41.53447341918945, 164.8124237060547, 49.345027923583984)","(-37.888370513916016, 160.93946838378906, 47.9354248046875)",POINT (0.3897569626569748 0.2041012495756149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
