,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,37,30,765312854176,1289700468,1,1,"(0.6000498533248901, 0.44654229283332825)","(0.5768315196037292, 0.3965473473072052)",1,1,2.6826629638671875,2.576766967773437,"(-90.28958129882812, 23.502811431884766, 652.9871215820312)","(-21.059978485107422, 28.121292114257812, 656.802490234375)","(32.95009994506836, 118.5973129272461, 32.524085998535156)","(24.92758560180664, 127.72821807861328, 35.847476959228516)",POINT (0.5884406864643097 0.4215448200702667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312870844,1289717135,1,1,"(0.6011326909065247, 0.43814799189567566)","(0.5755464434623718, 0.4027259647846222)",1,1,2.660736083984375,2.56756591796875,"(-90.31973266601562, 23.512022018432617, 653.05224609375)","(-21.093093872070312, 28.166378021240234, 656.96728515625)","(33.324241638183594, 120.13042449951172, 33.08207321166992)","(24.48356056213379, 126.59977722167969, 35.4367561340332)",POINT (0.5883395671844482 0.4204369783401489),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312887510,1289733801,1,1,"(0.6063820123672485, 0.47611087560653687)","(0.5706227421760559, 0.3920411765575409)",1,1,2.699432373046875,2.54852294921875,"(-90.38048553466797, 23.518840789794922, 653.1815795898438)","(-21.144515991210938, 28.203113555908203, 657.10791015625)","(35.13801193237305, 113.19698333740234, 30.558574676513672)","(22.782304763793945, 128.5512237548828, 36.14701843261719)",POINT (0.5885023772716522 0.4340760260820389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312904177,1289750468,1,1,"(0.6127468347549438, 0.4481509029865265)","(0.5674161911010742, 0.3780786693096161)",1,1,2.6577606201171875,2.571533203125,"(-90.46484375, 23.523759841918945, 653.476318359375)","(-21.227893829345703, 28.245952606201172, 657.4244384765625)","(37.337223052978516, 118.30352783203125, 32.41712951660156)","(21.67432975769043, 131.1012725830078, 37.07516098022461)",POINT (0.590081512928009 0.4131147861480713),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,30,765312920845,1289767135,1,1,"(0.6054482460021973, 0.4379902482032776)","(0.5742552876472473, 0.3824719488620758)",1,1,2.669540405273437,2.574737548828125,"(-90.54322814941406, 23.536895751953125, 653.71240234375)","(-21.292682647705078, 28.299583435058594, 657.5279541015625)","(34.815364837646484, 120.15921783447266, 33.09260177612305)","(24.037416458129883, 130.29891967773438, 36.78313446044922)",POINT (0.5898517668247223 0.4102310985326767),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,30,765312937515,1289783805,1,1,"(0.6107197999954224, 0.44717714190483093)","(0.5715242028236389, 0.41670534014701843)",1,1,2.681747436523437,2.6276092529296875,"(-90.58769226074219, 23.57364845275879, 653.932861328125)","(-21.352283477783203, 28.37424659729004, 657.9423828125)","(36.63683319091797, 118.48137664794922, 32.481842041015625)","(23.093761444091797, 124.046630859375, 34.507511138916016)",POINT (0.5911220014095306 0.4319412410259247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312954182,1289800472,1,1,"(0.6168107390403748, 0.424559086561203)","(0.5893967151641846, 0.34737712144851685)",1,1,2.6929168701171875,2.5791015625,"(-90.58558654785156, 23.73400115966797, 654.4857788085938)","(-21.33121109008789, 28.54073715209961, 658.2313232421875)","(38.74140930175781, 122.61223602294922, 33.98542022705078)","(29.2691650390625, 136.70852661132812, 39.11604690551758)",POINT (0.6031037271022797 0.3859681040048599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312970850,1289817139,1,1,"(0.6638981699943542, 0.3661780059337616)","(0.640143632888794, 0.230844646692276)",1,1,2.7657928466796875,2.5960693359375,"(-90.34052276611328, 23.987516403198242, 654.752197265625)","(-21.231643676757812, 28.785449981689453, 658.742431640625)","(55.01129913330078, 133.27476501464844, 37.866294860839844)","(46.80351638793945, 157.9916229248047, 46.86246109008789)",POINT (0.6520209014415741 0.2985113263130188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765312987517,1289833806,1,1,"(0.6858974695205688, 0.3673878014087677)","(0.6443743109703064, 0.29041868448257446)",1,1,2.7369537353515625,2.641708374023437,"(-90.2291488647461, 24.142810821533203, 655.2154541015625)","(-21.109350204467773, 28.904125213623047, 659.0617065429688)","(62.61261749267578, 133.05384826660156, 37.785804748535156)","(48.26530838012695, 147.1112060546875, 42.90232849121094)",POINT (0.6651358902454376 0.3289032429456711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,30,765313004184,1289850472,1,1,"(0.6926741003990173, 0.3845498859882355)","(0.6504501104354858, 0.2337130755186081)",1,1,2.812957763671875,2.59808349609375,"(-90.12306213378906, 24.286945343017578, 655.49072265625)","(-20.978010177612305, 29.050189971923828, 659.4307250976562)","(64.95411682128906, 129.9193878173828, 36.64503479003906)","(50.364662170410156, 157.46774291992188, 46.67179870605469)",POINT (0.6715621054172516 0.3091314807534218),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
