,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,56,17,58592976421,369293540,1,1,"(0.5035826563835144, 0.5573346018791199)","(0.5050548315048218, 0.6700109839439392)",1,1,2.70458984375,3.0436553955078125,"(-47.04486083984375, 60.641319274902344, 601.7115478515625)","(20.6915283203125, 60.808773040771484, 604.1702880859375)","(-0.3817461133003235, 98.362548828125, 25.159276962280273)","(0.1269284188747406, 77.7837142944336, 17.669170379638672)",POINT (0.5043187439441681 0.6136727929115295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,17,58592993087,369310206,1,1,"(0.5063799023628235, 0.5533651113510132)","(0.5085262656211853, 0.6604759097099304)",1,1,2.677474975585937,3.025848388671875,"(-47.146217346191406, 60.67778778076172, 601.8195190429688)","(20.591957092285156, 60.85859680175781, 604.2369384765625)","(0.5847705602645874, 99.08753204345703, 25.423107147216797)","(1.326385498046875, 79.525146484375, 18.30301284790039)",POINT (0.5074530839920044 0.6069205105304718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,17,58593009755,369326873,1,1,"(0.5047245621681213, 0.5699911713600159)","(0.5056995153427124, 0.6635833382606506)",1,1,2.7230987548828125,3.019271850585937,"(-47.24528884887695, 60.73128128051758, 601.92529296875)","(20.491104125976562, 60.91147994995117, 604.33349609375)","(0.012802405282855034, 96.05099487304688, 24.317903518676758)","(0.3496885895729065, 78.95759582519531, 18.09646224975586)",POINT (0.5052120387554169 0.6167872548103333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,17,58593026422,369343540,1,1,"(0.5076769590377808, 0.571494460105896)","(0.5071988105773926, 0.6370015740394592)",1,1,2.701446533203125,3.015121459960937,"(-47.34446716308594, 60.794185638427734, 602.0228881835938)","(20.396671295166016, 60.97816848754883, 604.4807739257812)","(1.032922625541687, 95.77645874023438, 24.21796989440918)","(0.8677164912223816, 83.81242370605469, 19.863445281982422)",POINT (0.5074378848075867 0.6042480170726776),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,17,58593043094,369360211,1,1,"(0.498046338558197, 0.5612369179725647)","(0.503407895565033, 0.6479623317718506)",1,1,2.6913299560546875,3.026123046875,"(-47.443153381347656, 60.86372375488281, 602.1707763671875)","(20.302099227905273, 61.0506591796875, 604.4860229492188)","(-2.294675588607788, 97.64984130859375, 24.899869918823242)","(-0.442135214805603, 81.81060791015625, 19.134841918945312)",POINT (0.500727117061615 0.6045996248722076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,17,58593059761,369376878,1,1,"(0.49702680110931396, 0.5601487755775452)","(0.5025147795677185, 0.6383607983589172)",1,1,2.697250366210937,3.042343139648437,"(-47.548187255859375, 60.9609375, 602.3850708007812)","(20.200092315673828, 61.14617156982422, 604.6534423828125)","(-2.6469717025756836, 97.84858703613281, 24.9721736907959)","(-0.7507364153862, 83.56417846679688, 19.773075103759766)",POINT (0.4997707903385162 0.5992547869682312),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,17,58593076429,369393545,1,1,"(0.48300817608833313, 0.3666425943374634)","(0.5011835098266602, 0.45987001061439514)",1,1,2.6876220703125,3.03973388671875,"(-47.628623962402344, 61.2711067199707, 602.4569091796875)","(20.022804260253906, 61.52107238769531, 604.8659057617188)","(-7.490753173828125, 133.18992614746094, 37.83538055419922)","(-1.2107352018356323, 116.16316223144531, 31.638154983520508)",POINT (0.4920958429574966 0.4132563024759293),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,17,58593093095,369410211,1,1,"(0.44286471605300903, 0.11012198776006699)","(0.478538453578949, 0.19665493071079254)",1,1,2.608123779296875,3.0147705078125,"(-47.751007080078125, 61.70206069946289, 602.7603759765625)","(19.754484176635742, 61.928977966308594, 604.9820556640625)","(-21.3613338470459, 180.04002380371094, 54.88739776611328)","(-9.035160064697266, 164.2359161376953, 49.13517379760742)",POINT (0.460701584815979 0.1533884592354298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,17,58593109763,369426878,1,1,"(0.43540945649147034, 0.06567879766225815)","(0.4642459750175476, 0.10395478457212448)",1,1,2.669342041015625,2.97271728515625,"(-47.88523864746094, 61.84352493286133, 603.0042114257812)","(19.638471603393555, 62.06122589111328, 605.2311401367188)","(-23.937313079833984, 188.156982421875, 57.84173583984375)","(-13.973579406738281, 181.1663818359375, 55.29735565185547)",POINT (0.449827715754509 0.0848167911171913),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,17,58593126430,369443545,1,1,"(0.4359475076198578, 0.05975731089711189)","(0.4615872800350189, 0.11623331159353256)",1,1,2.693084716796875,3.0120391845703125,"(-47.97783279418945, 61.79486846923828, 602.9390869140625)","(19.588191986083984, 61.995887756347656, 605.1433715820312)","(-23.751401901245117, 189.23846435546875, 58.235382080078125)","(-14.892224311828613, 178.92385864257812, 54.481204986572266)",POINT (0.4487673938274384 0.0879953112453222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
