,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,24,22,155189890790,4450536155,1,1,"(0.5228355526924133, 0.6441702842712402)","(0.49893316626548767, 0.596892237663269)",1,1,3.178558349609375,3.442535400390625,"(-43.84473419189453, 35.47517395019531, 553.501220703125)","(19.699932098388672, 42.58550262451172, 555.9099731445312)","(8.184078216552734, 82.6933822631836, 19.456159591674805)","(-0.0989801436662674, 91.3533706665039, 22.60814094543457)",POINT (0.5108843594789505 0.6205312609672546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,24,22,155189907463,4450552827,1,1,"(0.5195501446723938, 0.6163104176521301)","(0.5029107332229614, 0.593035101890564)",1,1,3.1694793701171875,3.452728271484375,"(-43.875579833984375, 35.446136474609375, 553.3331909179688)","(19.66259002685547, 42.570823669433594, 555.8423461914062)","(7.045554161071777, 87.79652404785156, 21.313560485839844)","(1.2794066667556763, 92.05989837646484, 22.86527442932129)",POINT (0.5112304389476776 0.604672759771347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155189924130,4450569494,1,1,"(0.5068839192390442, 0.6076530814170837)","(0.49497532844543457, 0.5938229560852051)",1,1,3.156005859375,3.4570465087890625,"(-43.92327880859375, 35.412235260009766, 553.274169921875)","(19.621456146240234, 42.53927230834961, 555.5885009765625)","(2.656261444091797, 89.3823013305664, 21.890708923339844)","(-1.470505714416504, 91.91557312011719, 22.812788009643555)",POINT (0.5009296238422394 0.6007380187511444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,22,155189940797,4450586160,1,1,"(0.5190165638923645, 0.6181398034095764)","(0.4974555969238281, 0.5987751483917236)",1,1,3.16705322265625,3.4464874267578125,"(-43.99372863769531, 35.394500732421875, 553.2732543945312)","(19.575300216674805, 42.52325439453125, 555.3251342773438)","(6.860655784606934, 87.46142578125, 21.191587448120117)","(-0.6110116839408875, 91.00847625732422, 22.482601165771484)",POINT (0.5082360804080963 0.60845747590065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155189957464,4450602827,1,1,"(0.5098885893821716, 0.6105099320411682)","(0.48946428298950195, 0.5988059043884277)",1,1,3.193344116210937,3.4273834228515625,"(-44.03291702270508, 35.37846374511719, 553.1820068359375)","(19.526771545410156, 42.498897552490234, 555.0975341796875)","(3.6974778175354004, 88.85899353027344, 21.700258255004883)","(-3.3802945613861084, 91.00285339355469, 22.480545043945312)",POINT (0.4996764361858368 0.604657918214798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155189974132,4450619494,1,1,"(0.5067908763885498, 0.6099915504455566)","(0.49551305174827576, 0.5989491939544678)",1,1,3.1863250732421875,3.464828491210937,"(-44.0753288269043, 35.350189208984375, 552.979736328125)","(19.473648071289062, 42.49764633178711, 555.0142822265625)","(2.624011993408203, 88.95394897460938, 21.73484230041504)","(-1.2841588258743286, 90.97660064697266, 22.47100067138672)",POINT (0.5011519640684128 0.6044703722000122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155189990798,4450636160,1,1,"(0.5049490928649902, 0.6174351572990417)","(0.49679359793663025, 0.5792662501335144)",1,1,3.227020263671875,3.43743896484375,"(-44.134239196777344, 35.3441047668457, 553.0051879882812)","(19.435272216796875, 42.490814208984375, 554.9658813476562)","(1.9857622385025024, 87.59049987792969, 21.23857307434082)","(-0.8404181003570557, 94.58195495605469, 23.783241271972656)",POINT (0.5008713454008102 0.5983507037162781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,22,155190007466,4450652827,1,1,"(0.5130011439323425, 0.6019645929336548)","(0.4989757537841797, 0.597897469997406)",1,1,3.184432983398437,3.488800048828125,"(-44.18067169189453, 35.35366439819336, 552.9732666015625)","(19.392362594604492, 42.50606918334961, 554.9339599609375)","(4.776079177856445, 90.42426300048828, 22.269941329956055)","(-0.08420857042074203, 91.16923522949219, 22.541105270385742)",POINT (0.5059884488582611 0.5999310314655304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,22,155190024137,4450669498,1,1,"(0.5023870468139648, 0.604335367679596)","(0.4936749339103699, 0.5921775102615356)",1,1,3.183990478515625,3.4199981689453125,"(-44.20652770996094, 35.34088897705078, 552.8578491210938)","(19.361173629760742, 42.505699157714844, 554.8328857421875)","(1.0979033708572388, 89.9900131225586, 22.111906051635742)","(-1.921150803565979, 92.21697998046875, 22.922481536865234)",POINT (0.4980309903621674 0.5982564389705658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,22,155190040804,4450686164,1,1,"(0.5155465006828308, 0.5982443690299988)","(0.49444830417633057, 0.5969701409339905)",1,1,3.18212890625,3.450469970703125,"(-44.226905822753906, 35.36235809326172, 552.734375)","(19.333675384521484, 42.53055191040039, 554.706298828125)","(5.658162593841553, 91.105712890625, 22.517969131469727)","(-1.6531554460525513, 91.33910369873047, 22.602937698364258)",POINT (0.5049974024295807 0.5976072549819946),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,22,155190057471,4450702831,1,1,"(0.5079939961433411, 0.6127996444702148)","(0.485405296087265, 0.6038409471511841)",1,1,3.1949920654296875,3.447006225585937,"(-44.23464584350586, 35.365631103515625, 552.5548706054688)","(19.31482696533203, 42.53337478637695, 554.553955078125)","(3.0409414768218994, 88.4395751953125, 21.547624588012695)","(-4.786871910095215, 90.08055877685547, 22.144868850708008)",POINT (0.496699646115303 0.6083202958106995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190074139,4450719498,1,1,"(0.5047317147254944, 0.6193133592605591)","(0.4920301139354706, 0.5966840386390686)",1,1,3.2229156494140625,3.4865875244140625,"(-44.313926696777344, 35.466060638427734, 552.6640014648438)","(19.242950439453125, 42.649383544921875, 554.6514892578125)","(1.910439372062683, 87.2464599609375, 21.113378524780273)","(-2.491128921508789, 91.39153289794922, 22.621992111206055)",POINT (0.4983809143304825 0.6079986989498138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190090805,4450736164,1,1,"(0.4050595760345459, 0.17120955884456635)","(0.43389371037483215, 0.19013778865337372)",1,1,3.1626129150390625,3.5234375,"(-44.41448211669922, 36.00047302246094, 552.8382568359375)","(18.923492431640625, 43.133033752441406, 555.001220703125)","(-32.62961196899414, 169.3262176513672, 50.987918853759766)","(-22.637523651123047, 165.85910034179688, 49.72601318359375)",POINT (0.419476643204689 0.18067367374897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,24,22,155190107472,4450752831,1,1,"(0.39759188890457153, 0.10407263785600662)","(0.4008341133594513, 0.048658374696969986)",1,1,3.1986083984375,3.4642791748046875,"(-44.48950958251953, 36.27208709716797, 552.978271484375)","(18.67664337158203, 43.422691345214844, 555.013671875)","(-35.21742248535156, 181.62376403808594, 55.46390151977539)","(-34.0938720703125, 191.77407836914062, 59.15824890136719)",POINT (0.3992130011320114 0.0763655062764883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190124140,4450769498,1,1,"(0.4063965380191803, 0.08643234521150589)","(0.40677666664123535, 0.05544658005237579)",1,1,3.2001495361328125,3.4783477783203125,"(-44.53053283691406, 36.18208694458008, 552.6824951171875)","(18.715076446533203, 43.348934173583984, 554.7215576171875)","(-32.166290283203125, 184.85496520996094, 56.63993453979492)","(-32.0345573425293, 190.53067016601562, 58.7056770324707)",POINT (0.4065866023302078 0.0709394626319408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190140806,4450786164,1,1,"(0.3944224715232849, 0.07306430488824844)","(0.40147772431373596, 0.007635941728949547)",1,1,3.2435455322265625,3.4847412109375,"(-44.586334228515625, 36.172061920166016, 552.70166015625)","(18.724262237548828, 43.32680130004883, 554.6949462890625)","(-36.31574249267578, 187.3035888671875, 57.531192779541016)","(-33.87084197998047, 199.28817749023438, 61.893253326416016)",POINT (0.3979500979185104 0.040350123308599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190157479,4450802836,1,1,"(0.4060032367706299, 0.08727288991212845)","(0.4023791253566742, 0.020504333078861237)",1,1,3.2487335205078125,3.47265625,"(-44.635231018066406, 36.17491912841797, 552.66845703125)","(18.699220657348633, 43.3170051574707, 554.5350341796875)","(-32.302589416503906, 184.7010040283203, 56.58390426635742)","(-33.55847930908203, 196.9310760498047, 61.035282135009766)",POINT (0.404191181063652 0.0538886114954948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190174146,4450819503,1,1,"(0.40170854330062866, 0.061833564192056656)","(0.39829084277153015, 0.03219471499323845)",1,1,3.230331420898437,3.462158203125,"(-44.69017791748047, 36.15438461303711, 552.4730224609375)","(18.67667007446289, 43.3168830871582, 554.4676513671875)","(-33.790863037109375, 189.36074829101562, 58.279930114746094)","(-34.97521209716797, 194.78973388671875, 60.25590515136719)",POINT (0.3999996930360794 0.0470141395926476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190190813,4450836169,1,1,"(0.4041135013103485, 0.08378433436155319)","(0.39932703971862793, 0.02974841371178627)",1,1,3.2281646728515625,3.496688842773437,"(-44.7647819519043, 36.15628433227539, 552.5989990234375)","(18.64468002319336, 43.30683135986328, 554.3330078125)","(-32.957454681396484, 185.33999633789062, 56.81646728515625)","(-34.616146087646484, 195.23782348632812, 60.41900634765625)",POINT (0.4017202705144882 0.0567663740366697),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190207480,4450852836,1,1,"(0.40709689259529114, 0.1222120001912117)","(0.40138930082321167, 0.022857503965497017)",1,1,3.352447509765625,3.449691772460937,"(-44.81654357910156, 36.150943756103516, 552.5232543945312)","(18.60408592224121, 43.328887939453125, 554.3604125976562)","(-31.9235897064209, 178.30116271972656, 54.25453567504883)","(-33.90148162841797, 196.50006103515625, 60.87839126586914)",POINT (0.4042430967092514 0.0725347520783544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,22,155190224148,4450869503,1,1,"(0.40416473150253296, 0.07704630494117737)","(0.3991749882698059, 0.04465373605489731)",1,1,3.2516632080078125,3.462493896484375,"(-44.89192581176758, 36.13663864135742, 552.452392578125)","(18.54285430908203, 43.3438835144043, 554.3121948242188)","(-32.939693450927734, 186.57421875, 57.26569366455078)","(-34.6688346862793, 192.5076141357422, 59.425270080566406)",POINT (0.4016698598861694 0.0608500204980373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
