,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,4,25,8817244865,1596339418,1,1,"(0.6831734776496887, 0.22080287337303162)","(0.6930493712425232, 0.13060708343982697)",1,1,3.065460205078125,3.09716796875,"(-41.94342041015625, 12.890981674194336, 560.633056640625)","(23.485836029052734, 14.320967674255371, 563.43603515625)","(63.747047424316406, 160.24212646484375, 47.68162155151367)","(67.1694107055664, 176.76341247558594, 53.69486999511719)",POINT (0.688111424446106 0.1757049784064293),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817261534,1596356087,1,1,"(0.6848446130752563, 0.2251790314912796)","(0.6900612711906433, 0.1297997534275055)",1,1,3.0862274169921875,3.096588134765625,"(-41.8374137878418, 12.85466194152832, 560.8046875)","(23.593292236328125, 14.334808349609375, 563.7105712890625)","(64.32612609863281, 159.44056701660156, 47.389854431152344)","(66.13391876220703, 176.91128540039062, 53.74871063232422)",POINT (0.6874529421329498 0.1774893924593926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817278201,1596372754,1,1,"(0.6847797632217407, 0.2244291603565216)","(0.6891410946846008, 0.12650874257087708)",1,1,3.07586669921875,3.08685302734375,"(-41.689064025878906, 12.841009140014648, 561.0802001953125)","(23.736202239990234, 14.388832092285156, 563.96533203125)","(64.30367279052734, 159.57791137695312, 47.439815521240234)","(65.81503295898438, 177.51412963867188, 53.968074798583984)",POINT (0.6869604289531708 0.1754689514636993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817294868,1596389420,1,1,"(0.6819320917129517, 0.2233055979013443)","(0.6913536190986633, 0.13020431995391846)",1,1,3.084091186523437,3.0902252197265625,"(-41.498531341552734, 12.828960418701172, 561.6075439453125)","(23.93326759338379, 14.476274490356445, 564.3319091796875)","(63.31683349609375, 159.78372192382812, 47.51474380493164)","(66.5817642211914, 176.8372039794922, 53.72168731689453)",POINT (0.6866428554058075 0.1767549589276314),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817311535,1596406087,1,1,"(0.6857841610908508, 0.2176891267299652)","(0.6885502338409424, 0.13593392074108124)",1,1,3.0737457275390625,3.10894775390625,"(-41.260772705078125, 12.785490036010742, 562.1406860351562)","(24.17917251586914, 14.548254013061523, 564.7392578125)","(64.6517333984375, 160.8125, 47.88917541503906)","(65.61028289794922, 175.78768920898438, 53.33973693847656)",POINT (0.6871671974658966 0.1768115237355232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817328201,1596422752,1,1,"(0.6814107298851013, 0.22451257705688477)","(0.6885657906532288, 0.1337464600801468)",1,1,3.091903686523437,3.0986328125,"(-40.94992446899414, 12.742525100708008, 562.7817993164062)","(24.502552032470703, 14.634664535522461, 565.2213745117188)","(63.13616943359375, 159.56263732910156, 47.43427276611328)","(65.61566925048828, 176.18836975097656, 53.48556137084961)",POINT (0.684988260269165 0.1791295185685158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817344867,1596439418,1,1,"(0.6868046522140503, 0.22376708686351776)","(0.6856843829154968, 0.13083012402057648)",1,1,3.0799102783203125,3.114349365234375,"(-40.550106048583984, 12.6919584274292, 563.4805908203125)","(24.901947021484375, 14.696290969848633, 565.76953125)","(65.00537109375, 159.6991729736328, 47.4839973449707)","(64.61714172363281, 176.72256469726562, 53.67997360229492)",POINT (0.6862445175647736 0.1772986054420471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817361535,1596456085,1,1,"(0.6843025088310242, 0.21750757098197937)","(0.687285304069519, 0.1298263967037201)",1,1,3.0872039794921875,3.087188720703125,"(-40.05278396606445, 12.616735458374023, 564.2266235351562)","(25.40473175048828, 14.755582809448242, 566.4622192382812)","(64.13827514648438, 160.8457489013672, 47.90127944946289)","(65.17193603515625, 176.9064178466797, 53.74689865112305)",POINT (0.6857939064502716 0.1736669838428497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817378202,1596472752,1,1,"(0.6874241828918457, 0.21934093534946442)","(0.6854752898216248, 0.13967566192150116)",1,1,3.0886993408203125,3.105438232421875,"(-39.441280364990234, 12.571815490722656, 565.0423583984375)","(26.014522552490234, 14.816252708435059, 567.1660766601562)","(65.22005462646484, 160.50994873046875, 47.77903366088867)","(64.5447006225586, 175.10231018066406, 53.09026336669922)",POINT (0.6864497363567352 0.1795082986354828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817394875,1596489424,1,1,"(0.6871498227119446, 0.22310130298137665)","(0.6855068802833557, 0.12814433872699738)",1,1,3.102996826171875,3.08929443359375,"(-38.70558547973633, 12.489755630493164, 565.7029418945312)","(26.722026824951172, 14.817750930786133, 567.7816772460938)","(65.12498474121094, 159.82113647460938, 47.52837371826172)","(64.55563354492188, 177.2145233154297, 53.85902786254883)",POINT (0.6863283514976501 0.175622820854187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
