,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,54,14,436182990786,749381993,1,1,"(0.5250774621963501, 0.512778103351593)","(0.5516600012779236, 0.37513992190361023)",1,1,2.8189697265625,2.8958282470703125,"(-50.741580963134766, -47.9869384765625, 712.6767578125)","(14.869476318359375, -46.242706298828125, 711.7125244140625)","(8.960967063903809, 106.76066589355469, 28.215946197509766)","(18.172805786132812, 131.97203063964844, 37.392120361328125)",POINT (0.5383687317371368 0.4439590126276016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183007451,749398658,1,1,"(0.5373448729515076, 0.3609746992588043)","(0.5483517050743103, 0.29986780881881714)",1,1,2.8788604736328125,2.9499664306640625,"(-50.7165641784668, -48.03008270263672, 712.7235107421875)","(14.90687370300293, -46.31285858154297, 712.1170654296875)","(13.212096214294434, 134.56668090820312, 38.33650207519531)","(17.026371002197266, 145.7597198486328, 42.41044616699219)",POINT (0.5428482890129089 0.3304212540388107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183024119,749415326,1,1,"(0.5349277257919312, 0.32039082050323486)","(0.5472650527954102, 0.2806367874145508)",1,1,3.0079345703125,3.0061492919921875,"(-50.69378662109375, -48.067657470703125, 712.9967041015625)","(14.942455291748047, -46.301841735839844, 711.3179321289062)","(12.374466896057129, 142.00050354003906, 41.04214859008789)","(16.64978790283203, 149.28228759765625, 43.69253158569336)",POINT (0.5410963892936707 0.3005138039588928),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183040787,749431993,1,1,"(0.5447671413421631, 0.27948424220085144)","(0.5455286502838135, 0.29996922612190247)",1,1,3.011810302734375,2.984832763671875,"(-50.640380859375, -48.046138763427734, 712.80517578125)","(14.999637603759766, -46.32056427001953, 711.5811767578125)","(15.78417682647705, 149.49339294433594, 43.76935958862305)","(16.048059463500977, 145.7411346435547, 42.4036865234375)",POINT (0.5451478958129883 0.289726734161377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,14,436183057453,749448659,1,1,"(0.5424699187278748, 0.3136396110057831)","(0.5465627908706665, 0.31799590587615967)",1,1,3.059921264648437,2.93621826171875,"(-50.59671401977539, -48.033119201660156, 712.8123779296875)","(15.067085266113281, -46.367557525634766, 712.4033203125)","(14.98811149597168, 143.2371063232422, 41.49228286743164)","(16.40643310546875, 142.4391632080078, 41.20186996459961)",POINT (0.5445163547992706 0.3158177584409714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183074121,749465326,1,1,"(0.5481414794921875, 0.3124995529651642)","(0.5471184253692627, 0.34298744797706604)",1,1,3.037384033203125,2.9190826416015625,"(-50.54645919799805, -48.023590087890625, 712.820556640625)","(15.109770774841309, -46.38682174682617, 712.583740234375)","(16.953510284423828, 143.4459228515625, 41.568328857421875)","(16.59898567199707, 137.86143493652344, 39.535701751708984)",POINT (0.5476299524307251 0.3277435004711151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183090781,749481986,1,1,"(0.5539447069168091, 0.31046900153160095)","(0.5542680621147156, 0.3482864499092102)",1,1,3.03515625,2.9330596923828125,"(-50.504730224609375, -48.020111083984375, 712.7137451171875)","(15.1274995803833, -46.38541030883789, 712.3030395507812)","(18.964521408081055, 143.81788635253906, 41.703643798828125)","(19.07660675048828, 136.89080810546875, 39.18238830566406)",POINT (0.5541063845157623 0.3293777257204056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183107457,749498661,1,1,"(0.5357799530029297, 0.28732559084892273)","(0.5512335896492004, 0.34522587060928345)",1,1,3.0575714111328125,2.9265594482421875,"(-50.462886810302734, -48.04400634765625, 712.69140625)","(15.156159400939941, -46.40962600708008, 711.9654541015625)","(12.669805526733398, 148.05709838867188, 43.2465705871582)","(18.02503776550293, 137.451416015625, 39.386470794677734)",POINT (0.5435067713260651 0.3162757307291031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183124116,749515320,1,1,"(0.5459672808647156, 0.33639776706695557)","(0.5502805709838867, 0.3482567369937897)",1,1,3.028961181640625,2.9561309814453125,"(-50.456146240234375, -48.08031463623047, 712.6925048828125)","(15.170501708984375, -46.43619918823242, 711.9924926757812)","(16.200077056884766, 139.06846618652344, 39.97502517700195)","(17.69476890563965, 136.89625549316406, 39.18438720703125)",POINT (0.5481239259243011 0.3423272520303726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,14,436183140783,749531986,1,1,"(0.5379244089126587, 0.3023112118244171)","(0.5465812683105469, 0.3345242142677307)",1,1,3.0443267822265625,2.91387939453125,"(-50.458030700683594, -48.09100341796875, 712.6502685546875)","(15.167341232299805, -46.45191955566406, 712.1048583984375)","(13.412928581237793, 145.31214904785156, 42.247520446777344)","(16.4128475189209, 139.4116668701172, 40.09991455078125)",POINT (0.5422528386116028 0.3184177130460739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
