,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,14,30,237791407465,4424136943,1,1,"(0.625873327255249, 0.28737565875053406)","(0.599275529384613, 0.2541666626930237)",1,1,3.393829345703125,3.82415771484375,"(18.879467010498047, 96.28833770751953, 438.47564697265625)","(83.43083190917969, 94.5203857421875, 430.273681640625)","(44.74040222167969, 153.38624572753906, 45.186241149902344)","(35.47810745239258, 159.49899291992188, 47.411109924316406)",POINT (0.612574428319931 0.2707711607217789),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791424133,4424153610,1,1,"(0.6072933673858643, 0.2818327844142914)","(0.6035322546958923, 0.23851417005062103)",1,1,3.42486572265625,3.9180755615234375,"(18.882097244262695, 96.51261901855469, 440.06427001953125)","(83.45220947265625, 94.90866088867188, 431.97900390625)","(38.270233154296875, 154.40652465820312, 45.557586669921875)","(36.96045684814453, 162.38014221191406, 48.4597282409668)",POINT (0.6054128110408783 0.2601734772324562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791440799,4424170276,1,1,"(0.609261691570282, 0.25062093138694763)","(0.6034886240959167, 0.2108212262392044)",1,1,3.3499298095703125,3.869384765625,"(18.91543960571289, 96.72882080078125, 441.86834716796875)","(83.48416137695312, 95.35498046875, 433.921630859375)","(38.95564651489258, 160.15167236328125, 47.648651123046875)","(36.94527053833008, 167.47755432128906, 50.31504821777344)",POINT (0.6063751578330994 0.230721078813076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791457467,4424186943,1,1,"(0.6171138286590576, 0.28107425570487976)","(0.6091688275337219, 0.22234874963760376)",1,1,3.3916778564453125,3.8983306884765625,"(19.019145965576172, 97.10295867919922, 444.31744384765625)","(83.6375503540039, 96.00005340576172, 436.50531005859375)","(41.69004821777344, 154.546142578125, 45.60842514038086)","(38.92332077026367, 165.35569763183594, 49.54275131225586)",POINT (0.6131413280963898 0.2517115026712418),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791474135,4424203611,1,1,"(0.5573107004165649, 0.26859667897224426)","(0.5781623125076294, 0.2235996574163437)",1,1,3.41973876953125,3.862701416015625,"(18.92832374572754, 97.3773193359375, 446.9761962890625)","(83.47811889648438, 96.48460388183594, 438.77587890625)","(20.864484786987305, 156.84286499023438, 46.44435501098633)","(28.12574005126953, 165.1254425048828, 49.458961486816406)",POINT (0.5677365064620972 0.246098168194294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791490800,4424220275,1,1,"(0.38406527042388916, 0.3798111379146576)","(0.41041940450668335, 0.31759995222091675)",1,1,3.5485076904296875,3.904800415039064,"(18.494232177734375, 97.66412353515625, 450.31292724609375)","(83.06106567382812, 97.11708068847656, 442.1213684082031)","(-39.4656867980957, 136.3717041015625, 38.99345779418945)","(-30.288244247436523, 147.82289123535156, 43.16132354736328)",POINT (0.3972423374652862 0.3487055450677872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791507467,4424236942,1,1,"(0.4080703854560852, 0.3218698501586914)","(0.4148283004760742, 0.2866691052913666)",1,1,3.4144744873046875,3.8851165771484375,"(18.610580444335938, 98.0461196899414, 453.6587219238281)","(83.10890197753906, 97.6685791015625, 445.51824951171875)","(-31.106252670288086, 147.0369110107422, 42.87528610229492)","(-28.752912521362305, 153.51629638671875, 45.23359298706055)",POINT (0.4114493429660797 0.304269477725029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791524135,4424253609,1,1,"(0.3657893240451813, 0.33179232478141785)","(0.3976518213748932, 0.3532373309135437)",1,1,3.455718994140625,3.941665649414064,"(18.9102783203125, 98.42019653320312, 457.556396484375)","(83.41819763183594, 98.1945571899414, 449.24029541015625)","(-45.83002471923828, 145.21051025390625, 42.21051025390625)","(-34.734371185302734, 141.2631378173828, 40.77376937866211)",POINT (0.3817205727100372 0.3425148278474808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791540801,4424270275,1,1,"(0.3865130543708801, 0.39284348487854004)","(0.4052044451236725, 0.3120543658733368)",1,1,3.439788818359375,3.855972290039064,"(19.262981414794922, 98.74073791503906, 461.63671875)","(83.70030212402344, 98.65950012207031, 453.5498046875)","(-38.61328125, 133.9728546142578, 38.12035369873047)","(-32.104286193847656, 148.8436279296875, 43.53290557861328)",POINT (0.3958587497472763 0.3524489253759384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791557467,4424286940,1,1,"(0.39226001501083374, 0.3827431797981262)","(0.40988650918006897, 0.31568384170532227)",1,1,3.45263671875,3.8708343505859375,"(19.731420516967773, 99.00743103027344, 466.1241149902344)","(84.24154663085938, 98.9315185546875, 457.74359130859375)","(-36.61198425292969, 135.83203125, 38.797000885009766)","(-30.47382926940918, 148.1755828857422, 43.28972625732422)",POINT (0.4010732620954514 0.3492135107517242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
