,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,n.1,if.1,<.1,n.2,0.1,      .1,error.1,No.1,negative.1,numbers.1,      .2,letrec.1,-----------.2,helper.1,lambda.1,i.1,result.1,if.2,>.1,i.2,n.3,result.2,helper.2,+.1,1.1,1.2,*.1,result.3,i.3,).1,).2,).3,).4,).5,helper.3,1.3,1.4,).6,).7,).8,question,code,choices
0,15,31,936117056505,4575478702,1,1,"(0.5145805478096008, 0.7083055377006531)","(0.46942806243896484, 0.6485544443130493)",1,1,3.1728668212890625,3.26275634765625,"(-75.14517974853516, -34.976539611816406, 616.0455932617188)","(-7.510354042053223, -35.72760772705078, 614.4812622070312)","(3.4182846546173096, 70.78971099853516, 15.123579978942871)","(-12.183037757873535, 81.7024917602539, 19.095422744750977)",POINT (0.4920043051242828 0.6784299910068512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117073171,4575495368,1,1,"(0.5204611420631409, 0.6834293007850647)","(0.4741169512271881, 0.6625402569770813)",1,1,3.207366943359375,3.271728515625,"(-75.09915161132812, -35.0665283203125, 615.8958129882812)","(-7.454275131225586, -35.789642333984375, 614.430419921875)","(5.450188636779785, 75.33304595947266, 16.777118682861328)","(-10.56290340423584, 79.14813995361328, 18.16575813293457)",POINT (0.4972890466451645 0.672984778881073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117089839,4575512035,1,1,"(0.5216859579086304, 0.6774826645851135)","(0.472808301448822, 0.6418441534042358)",1,1,3.202911376953125,3.247955322265625,"(-75.04400634765625, -35.09358596801758, 615.7362060546875)","(-7.403820037841797, -35.840885162353516, 614.1397094726562)","(5.8734025955200195, 76.41908264160156, 17.172536849975586)","(-11.015081405639648, 82.9280014038086, 19.541566848754883)",POINT (0.4972471296787262 0.6596634089946747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117106506,4575528702,1,1,"(0.522100567817688, 0.7024940848350525)","(0.4645388424396515, 0.6500312089920044)",1,1,3.205184936523437,3.294921875,"(-74.98309326171875, -35.110267639160156, 615.5565185546875)","(-7.3369598388671875, -35.924720764160156, 613.9219970703125)","(6.0166449546813965, 71.8510971069336, 15.509858131408691)","(-13.872393608093262, 81.4327621459961, 18.99730110168457)",POINT (0.4933197051286697 0.6762626469135284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117123182,4575545377,1,1,"(0.5156665444374084, 0.7117850184440613)","(0.4722554087638855, 0.6412525177001953)",1,1,3.2134246826171875,3.2718658447265625,"(-74.92030334472656, -35.12488555908203, 615.365966796875)","(-7.2868804931640625, -35.9633674621582, 613.89208984375)","(3.7935166358947754, 70.15422058105469, 14.89226245880127)","(-11.206109046936035, 83.03605651855469, 19.580888748168945)",POINT (0.493960976600647 0.6765187680721283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117139840,4575562035,1,1,"(0.5182075500488281, 0.7013286352157593)","(0.47231829166412354, 0.6466181874275208)",1,1,3.206207275390625,3.250885009765625,"(-74.86834716796875, -35.16545486450195, 615.1959228515625)","(-7.235048294067383, -35.99400329589844, 613.6226806640625)","(4.671517372131348, 72.06395721435547, 15.587353706359863)","(-11.184383392333984, 82.05608367919922, 19.224164962768555)",POINT (0.4952629208564758 0.67397341132164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117156507,4575578702,1,1,"(0.5194332599639893, 0.6788839101791382)","(0.4729410707950592, 0.6677898168563843)",1,1,3.2129669189453125,3.3143463134765625,"(-74.83555603027344, -35.17570877075195, 615.1281127929688)","(-7.183236598968506, -36.026920318603516, 613.30126953125)","(5.095011234283447, 76.16319274902344, 17.079326629638672)","(-10.969202995300293, 78.18936920166016, 17.81680679321289)",POINT (0.4961871653795242 0.6733368635177612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117173180,4575595374,1,1,"(0.5150004029273987, 0.686941921710968)","(0.4644942283630371, 0.6441347599029541)",1,1,3.233306884765625,3.29461669921875,"(-74.81253814697266, -35.195213317871094, 615.0799560546875)","(-7.144922256469727, -36.073177337646484, 613.2191162109375)","(3.5633645057678223, 74.69148254394531, 16.543691635131836)","(-13.887803077697754, 82.50965118408203, 19.3892765045166)",POINT (0.4897473156452179 0.6655383408069611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117189846,4575612040,1,1,"(0.5169727206230164, 0.6914176344871521)","(0.46652933955192566, 0.6373063921928406)",1,1,3.251434326171875,3.2904052734375,"(-74.75354766845703, -35.16316223144531, 614.8359375)","(-7.099550247192383, -36.074676513671875, 613.1368408203125)","(4.244863510131836, 73.87406158447266, 16.246164321899414)","(-13.18461799621582, 83.75675964355469, 19.84319496154785)",POINT (0.491751030087471 0.6643620133399963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,15,31,936117206514,4575628707,1,1,"(0.5117548108100891, 0.7006141543388367)","(0.47788333892822266, 0.6461984515190125)",1,1,3.2369842529296875,3.3340301513671875,"(-74.67893981933594, -35.13812255859375, 614.5628051757812)","(-7.034726619720459, -36.0792121887207, 612.8473510742188)","(2.4419267177581787, 72.1944351196289, 15.63485336303711)","(-9.261520385742188, 82.13274383544922, 19.252099990844727)",POINT (0.4948190748691559 0.6734063029289246),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
