,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,33,12,923761603857,3713931751,1,1,"(0.560339629650116, 0.15117542445659637)","(0.5760274529457092, 0.07748143374919891)",1,1,3.0874481201171875,3.180816650390625,"(-22.965757369995117, 6.805051326751709, 689.9683227539062)","(35.9011344909668, 6.962623596191406, 688.4590454101562)","(19.229215621948242, 172.54214477539062, 52.158447265625)","(24.649755477905273, 186.0013885498047, 57.057193756103516)",POINT (0.5681835412979126 0.1143284291028976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761620524,3713948417,1,1,"(0.5597840547561646, 0.13546937704086304)","(0.5730977654457092, 0.07491420954465866)",1,1,3.0771942138671875,3.190292358398437,"(-23.01789093017578, 6.663692474365234, 689.9780883789062)","(35.854896545410156, 6.991464138031006, 688.385009765625)","(19.03725242614746, 175.41065979003906, 53.20248031616211)","(23.637460708618164, 186.47024536132812, 57.22780990600586)",POINT (0.5664409101009369 0.1051917932927608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761637191,3713965084,1,1,"(0.5585125684738159, 0.15804846584796906)","(0.5718368291854858, 0.09391595423221588)",1,1,3.0892486572265625,3.175888061523437,"(-23.1038818359375, 6.562473297119141, 689.86669921875)","(35.76276397705078, 7.062114238739014, 688.132080078125)","(18.597919464111328, 171.28689575195312, 51.7015380859375)","(23.20178985595703, 182.9998321533203, 55.964717864990234)",POINT (0.5651746988296509 0.1259822100400925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761653859,3713981751,1,1,"(0.5600857138633728, 0.1512623429298401)","(0.5787711143493652, 0.07471287250518799)",1,1,3.0754852294921875,3.1606903076171875,"(-23.203567504882812, 6.454891204833984, 689.80712890625)","(35.652828216552734, 7.12727165222168, 687.9468383789062)","(19.141475677490234, 172.52627563476562, 52.15262222290039)","(25.597763061523438, 186.5070343017578, 57.24122619628906)",POINT (0.569428414106369 0.112987607717514),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761670524,3713998416,1,1,"(0.5636261105537415, 0.1505241096019745)","(0.5707207322120667, 0.07960300892591476)",1,1,3.0851593017578125,3.184051513671875,"(-23.321815490722656, 6.350483417510986, 689.70654296875)","(35.534263610839844, 7.248269081115723, 687.697021484375)","(20.36478614807129, 172.66111755371094, 52.20167922973633)","(22.81614112854004, 185.61392211914062, 56.916133880615234)",POINT (0.567173421382904 0.1150635592639446),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761687192,3714015083,1,1,"(0.5593189597129822, 0.15148022770881653)","(0.5754914879798889, 0.06963355839252472)",1,1,3.08380126953125,3.15704345703125,"(-23.482921600341797, 6.2245988845825195, 689.5899658203125)","(35.369319915771484, 7.344829559326172, 687.4916381835938)","(18.876544952392578, 172.48648071289062, 52.138153076171875)","(24.464563369750977, 187.4346923828125, 57.578853607177734)",POINT (0.5674052238464355 0.1105568930506706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761703871,3714031762,1,1,"(0.47180259227752686, 0.20464058220386505)","(0.49033406376838684, 0.14802226424217224)",1,1,3.03582763671875,3.1719512939453125,"(-23.86728858947754, 5.9147748947143555, 689.496337890625)","(34.929664611816406, 7.306881427764893, 686.9872436523438)","(-11.362578392028809, 162.7774658203125, 48.60432052612305)","(-4.959488868713379, 173.11802673339844, 52.36802673339844)",POINT (0.4810683280229568 0.1763314232230186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,33,12,923761720539,3714048429,1,1,"(0.4149577021598816, 0.24354882538318634)","(0.43510180711746216, 0.17483988404273987)",1,1,3.0117950439453125,3.143646240234375,"(-24.151439666748047, 5.674792289733887, 689.357421875)","(34.61399841308594, 7.313133239746094, 686.8892822265625)","(-31.003923416137695, 155.67138671875, 46.01795959472656)","(-24.04361915588379, 168.22015380859375, 50.58533477783203)",POINT (0.4250297546386719 0.2091943547129631),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,12,923761737206,3714065096,1,1,"(0.4164789319038391, 0.27602002024650574)","(0.4361250400543213, 0.18275901675224304)",1,1,2.993865966796875,3.112213134765625,"(-24.305763244628906, 5.572005271911621, 689.398681640625)","(34.45199203491211, 7.3917341232299805, 686.56591796875)","(-30.47829818725586, 149.74095153808594, 43.85942077636719)","(-23.690053939819336, 166.77383422851562, 50.05891036987305)",POINT (0.4263019859790802 0.2293895184993744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,12,923761753874,3714081763,1,1,"(0.4093063473701477, 0.2767070531845093)","(0.42718300223350525, 0.1939062476158142)",1,1,3.022491455078125,3.11163330078125,"(-24.376649856567383, 5.5184760093688965, 689.0513916015625)","(34.387298583984375, 7.507411003112793, 686.1675415039062)","(-32.95660400390625, 149.6154327392578, 43.813819885253906)","(-26.77977180480957, 164.73793029785156, 49.31793212890625)",POINT (0.4182446748018265 0.2353066504001617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
