,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,32,27,578075833384,3100945632,1,1,"(0.39198818802833557, 0.22568374872207642)","(0.44397252798080444, 0.20206114649772644)",1,1,2.907135009765625,2.7141265869140625,"(-37.5597038269043, -31.148996353149414, 681.6572265625)","(23.808029174804688, -29.40298080444336, 681.2654418945312)","(-38.94046401977539, 158.9342041015625, 47.20549011230469)","(-20.97856903076172, 163.24856567382812, 48.77580261230469)",POINT (0.41798035800457 0.2138724476099014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,27,578075850051,3100962298,1,1,"(0.39418041706085205, 0.22078904509544373)","(0.4369630515575409, 0.16131117939949036)",1,1,2.8905029296875,2.656158447265625,"(-37.62615203857422, -31.148340225219727, 681.5852661132812)","(23.74703598022461, -29.395313262939453, 681.1408081054688)","(-38.182987213134766, 159.82815551757812, 47.53085708618164)","(-23.400510787963867, 170.69097900390625, 51.484649658203125)",POINT (0.4155717343091965 0.191050112247467),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,27,578075866718,3100978965,1,1,"(0.3873010277748108, 0.23571713268756866)","(0.43765130639076233, 0.1857401728630066)",1,1,2.899566650390625,2.704208374023437,"(-37.72990417480469, -31.15186309814453, 681.5601196289062)","(23.65285873413086, -29.37656593322754, 681.2366943359375)","(-40.55999755859375, 157.10174560546875, 46.53853988647461)","(-23.162702560424805, 166.2293701171875, 49.860713958740234)",POINT (0.4124761670827866 0.2107286527752876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,27,578075883391,3100995637,1,1,"(0.3904317021369934, 0.21478338539600372)","(0.4387613832950592, 0.16275498270988464)",1,1,2.8756866455078125,2.680999755859375,"(-37.84494400024414, -31.154226303100586, 681.5728759765625)","(23.54128646850586, -29.342334747314453, 681.0653076171875)","(-39.47826385498047, 160.92498779296875, 47.93016052246094)","(-22.779138565063477, 170.4272918701172, 51.388675689697266)",POINT (0.4145965427160263 0.1887691840529442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,27,578075900057,3101012303,1,1,"(0.3983475863933563, 0.23826159536838531)","(0.4377296566963196, 0.17788080871105194)",1,1,2.9163055419921875,2.677474975585937,"(-37.96867752075195, -31.16461944580078, 681.6229248046875)","(23.431734085083008, -29.30565643310547, 681.2012939453125)","(-36.743125915527344, 156.6370086669922, 46.36943054199219)","(-23.135639190673828, 167.66476440429688, 50.38318634033203)",POINT (0.418038621544838 0.2080712020397186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,27,578075916725,3101028970,1,1,"(0.3943665623664856, 0.21602623164653778)","(0.4342500865459442, 0.2305217832326889)",1,1,2.872650146484375,2.696884155273437,"(-38.0945930480957, -31.165122985839844, 681.6727294921875)","(23.29547119140625, -29.253189086914062, 681.0052490234375)","(-38.11866760253906, 160.69801330566406, 47.847511291503906)","(-24.337907791137695, 158.0505828857422, 46.8839225769043)",POINT (0.4143083244562149 0.2232740074396133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,27,578075933392,3101045637,1,1,"(0.3970136046409607, 0.23135371506214142)","(0.4379502236843109, 0.18625609576702118)",1,1,2.8982391357421875,2.643051147460937,"(-38.24698257446289, -31.169368743896484, 681.8483276367188)","(23.163379669189453, -29.218305587768555, 681.1172485351562)","(-37.204063415527344, 157.89865112304688, 46.82859420776367)","(-23.059423446655273, 166.13514709472656, 49.826446533203125)",POINT (0.4174819141626358 0.2088049054145813),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,27,578075950059,3101062303,1,1,"(0.39464786648750305, 0.18154823780059814)","(0.4337812662124634, 0.1792972981929779)",1,1,2.855072021484375,2.673004150390625,"(-38.38160705566406, -31.172435760498047, 681.8069458007812)","(23.02506446838379, -29.20037841796875, 681.02490234375)","(-38.021484375, 166.99497985839844, 50.1393928527832)","(-24.49989891052246, 167.40606689453125, 50.289039611816406)",POINT (0.4142145663499832 0.180422767996788),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,27,578075966726,3101078970,1,1,"(0.38874077796936035, 0.21986819803714752)","(0.4325293004512787, 0.20207946002483368)",1,1,2.8887176513671875,2.7061767578125,"(-38.53736877441406, -31.156147003173828, 681.87890625)","(22.86385726928711, -29.1773681640625, 681.0361328125)","(-40.06253433227539, 159.996337890625, 47.59211349487305)","(-24.932477951049805, 163.2451934814453, 48.77458953857422)",POINT (0.4106350392103195 0.2109738290309906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,27,578075983394,3101095637,1,1,"(0.39096423983573914, 0.21609701216220856)","(0.4397790729999542, 0.15491898357868195)",1,1,2.8479461669921875,2.649810791015625,"(-38.73807144165039, -31.15199851989746, 682.087646484375)","(22.675451278686523, -29.156002044677734, 681.1514892578125)","(-39.29425811767578, 160.6851043701172, 47.8427848815918)","(-22.427501678466797, 171.85842895507812, 51.90956497192383)",POINT (0.4153716564178467 0.1855079978704452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
