,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,25,23,250388183781,1883696631,1,1,"(0.4887564182281494, 0.26160725951194763)","(0.5012340545654297, 0.2756417989730835)",1,1,3.0981597900390625,2.7698974609375,"(-44.31908416748047, -28.14751434326172, 677.4732666015625)","(25.53270721435547, -27.254594802856445, 678.8336181640625)","(-5.504602909088135, 152.3732452392578, 44.81751251220703)","(-1.1932483911514282, 149.8100128173828, 43.884578704833984)",POINT (0.4949952363967896 0.2686245292425156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388200449,1883713298,1,1,"(0.4855034053325653, 0.2539108693599701)","(0.5123296976089478, 0.2789994776248932)",1,1,3.099395751953125,2.763824462890625,"(-44.275978088378906, -28.16010284423828, 677.619873046875)","(25.61058235168457, -27.277509689331055, 679.1089477539062)","(-6.62858772277832, 153.7788848876953, 45.32914733886719)","(2.640563488006592, 149.19677734375, 43.66139602661133)",POINT (0.4989165514707565 0.2664551734924316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388217125,1883729974,1,1,"(0.48576316237449646, 0.2621305286884308)","(0.5077685117721558, 0.23516453802585602)",1,1,3.068878173828125,2.724761962890625,"(-44.22138214111328, -28.18746566772461, 677.8836059570312)","(25.6646671295166, -27.292158126831055, 678.4410400390625)","(-6.538845062255859, 152.2776641845703, 44.78279495239258)","(1.0645618438720703, 157.20265197753906, 46.575321197509766)",POINT (0.4967658370733261 0.2486475333571434),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388233792,1883746640,1,1,"(0.49176472425460815, 0.267507404088974)","(0.5086150169372559, 0.25998514890670776)",1,1,3.095703125,2.73272705078125,"(-44.13679504394531, -28.196504592895508, 677.6387939453125)","(25.748332977294922, -27.327667236328125, 678.8298950195312)","(-4.465158462524414, 151.295654296875, 44.425331115722656)","(1.3570506572723389, 152.66949462890625, 44.92536926269531)",POINT (0.500189870595932 0.2637462764978409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388250459,1883763307,1,1,"(0.4882087707519531, 0.2647654712200165)","(0.5027475953102112, 0.27182358503341675)",1,1,3.0865631103515625,2.7675018310546875,"(-44.056217193603516, -28.224864959716797, 677.6493530273438)","(25.856225967407227, -27.36986541748047, 679.0008544921875)","(-5.69382905960083, 151.79644775390625, 44.60758590698242)","(-0.67027348279953, 150.50735473632812, 44.1384162902832)",POINT (0.4954781830310822 0.2682945281267166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388267117,1883779965,1,1,"(0.4863455295562744, 0.2730463743209839)","(0.5033579468727112, 0.2780615985393524)",1,1,3.108978271484375,2.76422119140625,"(-44.00291061401367, -28.262283325195312, 678.0029296875)","(25.910308837890625, -27.416080474853516, 678.562744140625)","(-6.337620735168457, 150.2840576171875, 44.05711364746094)","(-0.4593844711780548, 149.36807250976562, 43.72373580932617)",POINT (0.4948517382144928 0.2755539864301682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388283785,1883796632,1,1,"(0.4859655201435089, 0.2626001536846161)","(0.49903327226638794, 0.29928097128868103)",1,1,3.083740234375,2.78729248046875,"(-43.90285110473633, -28.26740074157715, 677.68310546875)","(26.011043548583984, -27.46687889099121, 679.0519409179688)","(-6.468925476074219, 152.19190979003906, 44.75153350830078)","(-1.9536813497543335, 145.4926300048828, 42.31320571899414)",POINT (0.4924993962049484 0.2809405624866486),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388300456,1883813303,1,1,"(0.4869590699672699, 0.2765599489212036)","(0.5064420104026794, 0.3026178777217865)",1,1,3.114013671875,2.774154663085937,"(-43.8355712890625, -28.300371170043945, 677.7178955078125)","(26.0848388671875, -27.51237678527832, 679.237548828125)","(-6.125624656677246, 149.642333984375, 43.82355880737305)","(0.6062251925468445, 144.88319396972656, 42.09135437011719)",POINT (0.4967005401849747 0.2895889133214951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388317124,1883829970,1,1,"(0.49161115288734436, 0.26083406805992126)","(0.5076448917388916, 0.20795714855194092)",1,1,3.1241912841796875,2.683746337890625,"(-43.78681945800781, -28.329998016357422, 678.1220092773438)","(26.130990982055664, -27.51717758178711, 678.5704345703125)","(-4.5182204246521, 152.5144500732422, 44.868927001953125)","(1.0218561887741089, 162.17172241210938, 48.383872985839844)",POINT (0.499628022313118 0.2343956083059311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,23,250388333791,1883846637,1,1,"(0.48542922735214233, 0.25525522232055664)","(0.4969780147075653, 0.2775522470474243)",1,1,3.097808837890625,2.777328491210937,"(-43.696876525878906, -28.35423469543457, 677.8648071289062)","(26.23257827758789, -27.55721664428711, 679.0980224609375)","(-6.654226303100586, 153.53335571289062, 45.239784240722656)","(-2.6638333797454834, 149.4611053466797, 43.757598876953125)",POINT (0.4912036210298538 0.2664037346839905),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
