,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,44,16,164014561110,4852849220,1,1,"(0.4560184180736542, 0.6946828365325928)","(0.4476803243160248, 0.6046216487884521)",1,1,3.577499389648437,3.996109008789064,"(-73.47540283203125, -99.16026306152344, 710.6358642578125)","(3.0124154090881348, -107.27227783203125, 717.15771484375)","(-16.816408157348633, 73.2777328491211, 16.02911376953125)","(-19.697416305541992, 89.72621154785156, 22.015853881835938)",POINT (0.4518493711948395 0.6496522426605225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014611112,4852899220,1,1,"(0.4655147194862366, 0.6928926110267639)","(0.4589169919490814, 0.609715461730957)",1,1,3.580184936523437,3.9654388427734375,"(-73.46971893310547, -99.09954071044922, 710.479248046875)","(3.0199198722839355, -107.17881774902344, 717.1151123046875)","(-13.535184860229492, 73.60469818115234, 16.148082733154297)","(-15.81488037109375, 88.79588317871094, 21.677295684814453)",POINT (0.462215855717659 0.6513040363788605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014627778,4852915886,1,1,"(0.4612714350223541, 0.7050513625144958)","(0.46099644899368286, 0.6526015400886536)",1,1,3.597763061523437,3.917022705078125,"(-73.48573303222656, -99.09968566894531, 710.447021484375)","(3.0080461502075195, -107.15829467773438, 717.1011962890625)","(-15.001354217529297, 71.38404083251953, 15.339871406555176)","(-15.096369743347168, 80.96330261230469, 18.826475143432617)",POINT (0.4611339420080185 0.6788264513015747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014644446,4852932553,1,1,"(0.45443734526634216, 0.6926960349082947)","(0.45544958114624023, 0.6213924884796143)",1,1,3.58270263671875,3.97064208984375,"(-73.49777221679688, -99.11187744140625, 710.4447021484375)","(3.0016732215881348, -107.14970397949219, 717.0586547851562)","(-17.362714767456055, 73.64057922363281, 16.161222457885742)","(-17.01295280456543, 86.6632080078125, 20.90106773376465)",POINT (0.4549434632062912 0.6570442616939545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014661113,4852949220,1,1,"(0.45754820108413696, 0.6759204864501953)","(0.45668458938598633, 0.6274975538253784)",1,1,3.5594635009765625,3.96112060546875,"(-73.50386047363281, -99.1229248046875, 710.4298706054688)","(2.999323844909668, -107.15959930419922, 717.0160522460938)","(-16.28783416748047, 76.70442199707031, 17.276334762573242)","(-16.586219787597656, 85.54823303222656, 20.49519920349121)",POINT (0.4571163952350616 0.6517090201377869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014677785,4852965891,1,1,"(0.4639131426811218, 0.7024161219596863)","(0.46318888664245605, 0.6280555129051208)",1,1,3.5243377685546875,3.963699340820313,"(-73.50701904296875, -99.12150573730469, 710.414306640625)","(2.997810125350952, -107.16082763671875, 716.9876708984375)","(-14.088574409484863, 71.86531829833984, 15.515057563781738)","(-14.338822364807129, 85.44631958007812, 20.4581241607666)",POINT (0.4635510146617889 0.6652358174324036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014711120,4852999225,1,1,"(0.4613334536552429, 0.687772274017334)","(0.4737251102924347, 0.6226171851158142)",1,1,3.54266357421875,3.954559326171875,"(-73.46240234375, -99.11906433105469, 710.26806640625)","(3.022533416748047, -107.20167541503906, 717.058349609375)","(-14.979928970336914, 74.53982543945312, 16.488527297973633)","(-10.698297500610352, 86.4395523071289, 20.819652557373047)",POINT (0.4675292819738388 0.6551947295665741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014727786,4853015891,1,1,"(0.4570462703704834, 0.6780540943145752)","(0.4494262933731079, 0.6097986698150635)",1,1,3.5640106201171875,3.995361328125,"(-73.43620300292969, -99.12222290039062, 710.232421875)","(3.037567138671875, -107.21430969238281, 717.0015869140625)","(-16.46124267578125, 76.31472778320312, 17.134506225585938)","(-19.094144821166992, 88.78067779541016, 21.671764373779297)",POINT (0.4532362818717956 0.6439263820648193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014744454,4853032558,1,1,"(0.46341612935066223, 0.6801518797874451)","(0.4590139091014862, 0.6087029576301575)",1,1,3.540924072265625,3.973342895507813,"(-73.40792846679688, -99.12530517578125, 710.2102661132812)","(3.0525615215301514, -107.21121215820312, 716.944580078125)","(-14.260308265686035, 75.93162536621094, 16.995014190673828)","(-15.781393051147461, 88.98080444335938, 21.744550704956055)",POINT (0.4612150192260742 0.6444274187088013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,16,164014761121,4853049225,1,1,"(0.4615350365638733, 0.6772441267967224)","(0.4571015536785126, 0.6159963607788086)",1,1,3.6195068359375,4.005706787109375,"(-73.377685546875, -99.13099670410156, 710.2034912109375)","(3.0727620124816895, -107.21601867675781, 716.9300537109375)","(-14.910260200500488, 76.4626693725586, 17.18829917907715)","(-16.442142486572266, 87.64874267578125, 21.259798049926758)",POINT (0.4593182951211929 0.6466202437877655),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
