,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,31,23,356253205911,4581405087,1,1,"(0.6309608817100525, 0.10505422949790955)","(0.620491623878479, 0.13434438407421112)",1,1,3.538192749023437,3.4637908935546875,"(-26.175762176513672, 10.123188018798828, 679.3348388671875)","(39.6265869140625, 8.38356876373291, 677.6749877929688)","(45.653465270996094, 181.44395446777344, 55.39847183227539)","(42.02548599243164, 176.07884216308594, 53.44572830200195)",POINT (0.6257262527942657 0.1196993067860603),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253222578,4581421754,1,1,"(0.635166585445404, 0.12251662462949753)","(0.6207382678985596, 0.13835252821445465)",1,1,3.5511627197265625,3.450469970703125,"(-26.12198257446289, 10.139257431030273, 679.3517456054688)","(39.676979064941406, 8.390214920043945, 677.719970703125)","(47.110897064208984, 178.24534606933594, 54.234249114990234)","(42.11092758178711, 175.3446807861328, 53.1784782409668)",POINT (0.6279524266719818 0.1304345764219761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253239245,4581438420,1,1,"(0.6331892013549805, 0.11550406366586685)","(0.626594066619873, 0.13817240297794342)",1,1,3.5492401123046875,3.447845458984375,"(-26.07840347290039, 10.14177417755127, 679.3809814453125)","(39.71910858154297, 8.383132934570312, 677.7661743164062)","(46.42565155029297, 179.52987670898438, 54.701725006103516)","(44.14020538330078, 175.37765502929688, 53.19049072265625)",POINT (0.6298916339874268 0.1268382333219051),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253255912,4581455087,1,1,"(0.556581437587738, 0.11992979049682617)","(0.567274272441864, 0.12180233001708984)",1,1,3.542572021484375,3.443603515625,"(-26.285703659057617, 10.153879165649414, 679.5048217773438)","(39.54528045654297, 8.393617630004883, 677.7484741210938)","(19.87827491760254, 178.7191925048828, 54.40672302246094)","(23.583703994750977, 178.376220703125, 54.28181457519531)",POINT (0.561927855014801 0.120866060256958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253272579,4581471753,1,1,"(0.5170433521270752, 0.10534464567899704)","(0.5133180618286133, 0.10732188820838928)",1,1,3.5411834716796875,3.4466705322265625,"(-26.379850387573242, 10.168895721435547, 679.53564453125)","(39.41707992553711, 8.404696464538574, 677.6996459960938)","(6.176887035369873, 181.39076232910156, 55.37907409667969)","(4.885909080505371, 181.02859497070312, 55.247291564941406)",POINT (0.5151807069778442 0.1063332669436932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253289246,4581488420,1,1,"(0.5187872648239136, 0.10754427313804626)","(0.5153254270553589, 0.10991448163986206)",1,1,3.523788452148437,3.4536590576171875,"(-26.311016082763672, 10.200679779052734, 679.5025024414062)","(39.46363830566406, 8.41032886505127, 677.719970703125)","(6.781210899353027, 180.9878692626953, 55.2324333190918)","(5.581547737121582, 180.5537109375, 55.07439422607422)",POINT (0.5170563459396362 0.1087293773889542),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253305916,4581505089,1,1,"(0.5235792398452759, 0.10697221755981445)","(0.5165785551071167, 0.11257737129926682)",1,1,3.532699584960937,3.444854736328125,"(-26.298137664794922, 10.213194847106934, 679.5804443359375)","(39.48871612548828, 8.417799949645996, 677.7421875)","(8.441802978515625, 181.0926513671875, 55.27056121826172)","(6.015794277191162, 180.06594848632812, 54.89686584472656)",POINT (0.5200788974761963 0.1097747944295406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253322582,4581521755,1,1,"(0.5217804908752441, 0.1122293770313263)","(0.5123913288116455, 0.10698364675045013)",1,1,3.5434112548828125,3.456161499023437,"(-26.27414321899414, 10.234018325805664, 679.60791015625)","(39.51785659790039, 8.432137489318848, 677.7645263671875)","(7.818474769592285, 180.1296844482422, 54.92007064819336)","(4.564775466918945, 181.09054565429688, 55.26981735229492)",POINT (0.5170859098434448 0.1096065118908882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253339250,4581538422,1,1,"(0.5250101089477539, 0.10640151053667068)","(0.5143243074417114, 0.10264400392770767)",1,1,3.548309326171875,3.443222045898437,"(-26.260700225830078, 10.266949653625488, 679.634521484375)","(39.5407829284668, 8.456426620483398, 677.8511352539062)","(8.937640190124512, 181.19717407226562, 55.30862808227539)","(5.2346320152282715, 181.8854522705078, 55.55913543701172)",POINT (0.5196672081947327 0.1045227572321892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,23,356253355917,4581555089,1,1,"(0.5231547355651855, 0.10055672377347946)","(0.5183548927307129, 0.09753931313753128)",1,1,3.528289794921875,3.4636383056640625,"(-26.2477970123291, 10.292330741882324, 679.6226806640625)","(39.552452087402344, 8.478532791137695, 677.8115234375)","(8.29468822479248, 182.2677764892578, 55.69830322265625)","(6.631368160247803, 182.8204803466797, 55.89946746826172)",POINT (0.5207548141479492 0.0990480184555054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
