,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,51,27,603495387943,8720864984,1,1,"(0.4362172782421112, 0.3818441927433014)","(0.4319665729999542, 0.31366094946861267)",1,1,2.66375732421875,2.8739013671875,"(-56.94424057006836, -36.098670959472656, 676.3094482421875)","(-0.6049884557723999, -37.856964111328125, 674.9537963867188)","(-23.65821075439453, 130.41354370117188, 36.82489776611328)","(-25.12691879272461, 142.8663330078125, 41.35727310180664)",POINT (0.4340919256210327 0.347752571105957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,51,27,603495404610,8720881651,1,1,"(0.4230775237083435, 0.39491358399391174)","(0.4296894669532776, 0.32209512591362)",1,1,2.59686279296875,2.8499755859375,"(-56.95209884643555, -36.12507629394531, 676.2310791015625)","(-0.6152820587158203, -37.884193420410156, 674.8530883789062)","(-28.19832420349121, 128.026611328125, 35.95606994628906)","(-25.913719177246094, 141.325927734375, 40.79665756225586)",POINT (0.4263834953308106 0.3585043549537659),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495421284,8720898324,1,1,"(0.4455271065235138, 0.4138960540294647)","(0.42670631408691406, 0.3286939561367035)",1,1,2.609283447265625,2.8181610107421875,"(-56.99055480957031, -36.12537384033203, 676.3782348632812)","(-0.6217482089996338, -37.868873596191406, 674.828125)","(-20.441421508789062, 124.55970001220703, 34.69426727294922)","(-26.94447898864746, 140.12074279785156, 40.35797882080078)",POINT (0.4361167103052139 0.3712950050830841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495437951,8720914991,1,1,"(0.4456441104412079, 0.4191467761993408)","(0.4185655415058136, 0.33394062519073486)",1,1,2.615081787109375,2.82763671875,"(-57.05729675292969, -36.16096878051758, 676.5973510742188)","(-0.642808198928833, -37.87256622314453, 674.9287109375)","(-20.400989532470703, 123.6007308959961, 34.34519958496094)","(-29.757326126098633, 139.16250610351562, 40.00922393798828)",POINT (0.4321048259735107 0.3765437006950378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495454619,8720931658,1,1,"(0.43877148628234863, 0.4059255123138428)","(0.41500383615493774, 0.357172429561615)",1,1,2.57855224609375,2.8053436279296875,"(-57.08589172363281, -36.15996170043945, 676.4383544921875)","(-0.6793444156646729, -37.841636657714844, 674.9285278320312)","(-22.775651931762695, 126.01543426513672, 35.22404098510742)","(-30.987972259521484, 134.91954040527344, 38.464881896972656)",POINT (0.4268876612186432 0.3815489709377289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495471285,8720948324,1,1,"(0.4386710226535797, 0.41433021426200867)","(0.42552536725997925, 0.34143343567848206)",1,1,2.60003662109375,2.8081512451171875,"(-57.12049865722656, -36.18074035644531, 676.3047485351562)","(-0.7548224329948425, -37.857418060302734, 674.7775268554688)","(-22.81035614013672, 124.48040008544922, 34.66541290283203)","(-27.352519989013672, 137.7940216064453, 39.511207580566406)",POINT (0.4320981949567795 0.3778818249702454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495487953,8720964991,1,1,"(0.4399271011352539, 0.43015262484550476)","(0.4304926097393036, 0.3537774682044983)",1,1,2.6036376953125,2.7930145263671875,"(-57.15750503540039, -36.181793212890625, 676.246337890625)","(-0.8045256733894348, -37.85747146606445, 674.8277587890625)","(-22.376359939575195, 121.59065246582031, 33.613624572753906)","(-25.636213302612305, 135.53956604003906, 38.690589904785156)",POINT (0.4352098554372788 0.3919650465250015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495504620,8720981658,1,1,"(0.4384988844394684, 0.43014219403266907)","(0.4243013858795166, 0.33258193731307983)",1,1,2.576995849609375,2.793914794921875,"(-57.20713806152344, -36.222171783447266, 676.417236328125)","(-0.8410047292709351, -37.89744567871094, 674.77734375)","(-22.86983871459961, 121.59255981445312, 33.614288330078125)","(-27.775436401367188, 139.41064453125, 40.09955978393555)",POINT (0.4314001351594925 0.3813620656728744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495521287,8720998324,1,1,"(0.4336386024951935, 0.41715747117996216)","(0.42035216093063354, 0.3327030539512634)",1,1,2.5409088134765625,2.7975006103515625,"(-57.249908447265625, -36.225982666015625, 676.615234375)","(-0.8543614149093628, -37.89989471435547, 674.9278564453125)","(-24.549192428588867, 123.96405792236328, 34.47742462158203)","(-29.139995574951172, 139.3885498046875, 40.091453552246094)",POINT (0.4269953817129135 0.3749302625656128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,27,603495537954,8721014991,1,1,"(0.4410407245159149, 0.40651941299438477)","(0.41607925295829773, 0.3396323323249817)",1,1,2.5498199462890625,2.7721710205078125,"(-57.28929138183594, -36.26448059082031, 676.7879638671875)","(-0.8635412454605103, -37.919456481933594, 674.9530639648438)","(-21.991580963134766, 125.90694427490234, 35.18461227416992)","(-30.61638832092285, 138.12298583984375, 39.63089370727539)",POINT (0.4285599887371063 0.3730758726596832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
