,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,32,6,578806680918,3831771191,1,1,"(0.4429222643375397, 0.17145901918411255)","(0.4967648983001709, 0.11992648988962173)",1,1,3.020263671875,2.7989959716796875,"(-21.379920959472656, -30.655235290527344, 707.225341796875)","(39.84300994873047, -29.263694763183594, 703.99169921875)","(-21.341463088989258, 168.83763122558594, 50.810089111328125)","(-2.7374701499938965, 178.24937438964844, 54.235652923583984)",POINT (0.4698435813188553 0.1456927545368671),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806697586,3831787858,1,1,"(0.44176483154296875, 0.2024090588092804)","(0.48800647258758545, 0.15361948311328888)",1,1,3.059295654296875,2.825057983398437,"(-21.43195343017578, -30.650279998779297, 707.498046875)","(39.820098876953125, -29.227489471435547, 704.0086669921875)","(-21.741374969482422, 163.1850128173828, 48.752689361572266)","(-5.763713836669922, 172.09576416015625, 51.995967864990234)",POINT (0.4648856520652771 0.1780142709612846),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806714253,3831804525,1,1,"(0.4493277370929718, 0.20139414072036743)","(0.4922829568386078, 0.1249009370803833)",1,1,3.0637359619140625,2.7938995361328125,"(-21.502506256103516, -30.66077423095703, 707.2586669921875)","(39.78423309326172, -29.245548248291016, 704.30224609375)","(-19.128196716308594, 163.37039184570312, 48.82011032104492)","(-4.286081790924072, 177.34083557128906, 53.904972076416016)",POINT (0.4708053469657898 0.1631475389003754),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806730921,3831821192,1,1,"(0.4557984173297882, 0.19434162974357605)","(0.4951856732368469, 0.16868317127227783)",1,1,3.042221069335937,2.8444061279296875,"(-21.54570198059082, -30.64474105834961, 706.9242553710938)","(39.725284576416016, -29.219249725341797, 704.172607421875)","(-16.89241600036621, 164.65841674804688, 49.288970947265625)","(-3.283132791519165, 169.34458923339844, 50.99462127685547)",POINT (0.4754920452833176 0.1815124005079269),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806747587,3831837858,1,1,"(0.4451022148132324, 0.16921640932559967)","(0.5020326972007751, 0.1178882047533989)",1,1,3.021148681640625,2.808258056640625,"(-21.585838317871094, -30.67146110534668, 706.9356079101562)","(39.65625762939453, -29.23494529724121, 703.98779296875)","(-20.58823013305664, 169.24720764160156, 50.959171295166016)","(-0.917305052280426, 178.6216278076172, 54.37113952636719)",POINT (0.4735674560070038 0.1435523070394993),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806764256,3831854525,1,1,"(0.4393003284931183, 0.1978093385696411)","(0.49945127964019775, 0.10825394093990326)",1,1,3.0521392822265625,2.7867431640625,"(-21.645586013793945, -30.676115036010742, 707.3736572265625)","(39.62474822998047, -29.21996307373047, 703.9219360351562)","(-22.59292984008789, 164.0251007080078, 49.058448791503906)","(-1.8092607259750366, 180.38121032714844, 55.01158142089844)",POINT (0.469375804066658 0.1530316397547722),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806780926,3831871195,1,1,"(0.44428274035453796, 0.16321046650409698)","(0.4885641932487488, 0.1631474643945694)",1,1,3.022811889648437,2.8696441650390625,"(-21.718505859375, -30.706525802612305, 707.4244384765625)","(39.58522415161133, -29.244956970214844, 703.8717041015625)","(-20.871376037597656, 170.3441162109375, 51.3583984375)","(-5.57101583480835, 170.35562133789062, 51.36259078979492)",POINT (0.4664234668016434 0.1631789654493332),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806797594,3831887862,1,1,"(0.45312437415122986, 0.18229617178440094)","(0.48943281173706055, 0.1071321964263916)",1,1,3.0384521484375,2.777938842773437,"(-21.770435333251953, -30.694238662719727, 707.00634765625)","(39.53327560424805, -29.235286712646484, 703.9747924804688)","(-17.816377639770508, 166.85836791992188, 50.089683532714844)","(-5.270896911621094, 180.58607482910156, 55.08614730834961)",POINT (0.4712785929441452 0.1447141841053963),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806814261,3831904529,1,1,"(0.44694915413856506, 0.18504002690315247)","(0.5009071230888367, 0.12496933341026306)",1,1,3.072662353515625,2.820465087890625,"(-21.813350677490234, -30.723674774169922, 706.865234375)","(39.43458938598633, -29.262413024902344, 703.7799072265625)","(-19.95006561279297, 166.35723876953125, 49.90730285644531)","(-1.3062273263931274, 177.32835388183594, 53.90045166015625)",POINT (0.4739281386137009 0.1550046801567078),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,32,6,578806830928,3831921195,1,1,"(0.44423389434814453, 0.16222940385341644)","(0.5015882849693298, 0.15407642722129822)",1,1,3.0565643310546875,2.862045288085937,"(-21.904726028442383, -30.749027252197266, 707.232177734375)","(39.3819465637207, -29.269229888916016, 703.8001098632812)","(-20.888256072998047, 170.52330017089844, 51.42361068725586)","(-1.0708574056625366, 172.01234436035156, 51.965538024902344)",POINT (0.4729110896587372 0.1581529155373573),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
