,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,6,14,2274855006,2493433002,1,1,"(0.474076509475708, 0.268966406583786)","(0.4586629867553711, 0.2574767768383026)",1,1,2.689910888671875,2.7195281982421875,"(-57.35176086425781, -59.01564025878906, 644.9931030273438)","(4.629324436187744, -55.939491271972656, 645.3341674804688)","(-8.712701797485352, 151.4199676513672, 44.470584869384766)","(-14.054067611694336, 153.52455139160156, 45.23654556274414)",POINT (0.4663697481155396 0.2632215917110443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274871683,2493449678,1,1,"(0.4657479226589203, 0.2718941867351532)","(0.46279799938201904, 0.2435067892074585)",1,1,2.682098388671875,2.7104644775390625,"(-57.365936279296875, -58.952117919921875, 644.7572021484375)","(4.580691337585449, -55.89478302001953, 645.3584594726562)","(-11.598869323730469, 150.88368225097656, 44.2754020690918)","(-12.62113094329834, 156.08343505859375, 46.16796112060547)",POINT (0.4642729610204697 0.2577004879713058),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274888349,2493466344,1,1,"(0.4744783937931061, 0.2592737674713135)","(0.452759325504303, 0.2298211008310318)",1,1,2.66546630859375,2.7049102783203125,"(-57.465579986572266, -58.970218658447266, 645.13623046875)","(4.567966461181641, -55.90253829956055, 645.5198974609375)","(-8.573445320129395, 153.19537353515625, 45.11680221557617)","(-16.099897384643555, 158.59027099609375, 47.08033752441406)",POINT (0.4636188596487045 0.2445474341511726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274905017,2493483011,1,1,"(0.4769558906555176, 0.2759583294391632)","(0.44743382930755615, 0.2419271171092987)",1,1,2.6701202392578125,2.6981964111328125,"(-57.51640319824219, -58.93379592895508, 645.1031494140625)","(4.526898384094238, -55.85924530029297, 645.3355102539062)","(-7.714907646179199, 150.13926696777344, 44.00438690185547)","(-17.945371627807617, 156.372802734375, 46.273223876953125)",POINT (0.4621948599815369 0.258942723274231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274921684,2493499678,1,1,"(0.476197212934494, 0.2720314860343933)","(0.4487762749195099, 0.24777501821517944)",1,1,2.665924072265625,2.7061920166015625,"(-57.537879943847656, -58.91865921020508, 644.936279296875)","(4.478293418884277, -55.837196350097656, 645.1521606445312)","(-7.97782039642334, 150.8585205078125, 44.26627731323242)","(-17.48015785217285, 155.30162048339844, 45.88338851928711)",POINT (0.462486743927002 0.2599032521247864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274938351,2493516344,1,1,"(0.46739324927330017, 0.263754665851593)","(0.45099225640296936, 0.25487610697746277)",1,1,2.6582489013671875,2.6973114013671875,"(-57.54530334472656, -58.900604248046875, 644.7938232421875)","(4.442767143249512, -55.806575775146484, 645.0604858398438)","(-11.02869987487793, 152.37461853027344, 44.81802749633789)","(-16.712247848510742, 154.0009002685547, 45.40998077392578)",POINT (0.4591927528381348 0.2593153864145279),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274955018,2493533011,1,1,"(0.46444082260131836, 0.273933470249176)","(0.45025375485420227, 0.25643447041511536)",1,1,2.651214599609375,2.683624267578125,"(-57.55023956298828, -58.90524673461914, 644.7931518554688)","(4.433875560760498, -55.80406951904297, 645.03759765625)","(-12.051835060119629, 150.51016235351562, 44.13938522338867)","(-16.968168258666992, 153.71546936035156, 45.30604934692383)",POINT (0.4573472887277603 0.2651839703321457),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274971686,2493549678,1,1,"(0.4653775095939636, 0.24974285066127777)","(0.44933515787124634, 0.2589386999607086)",1,1,2.65557861328125,2.6910552978515625,"(-57.54194641113281, -58.887168884277344, 644.840087890625)","(4.452737331390381, -55.76984405517578, 645.0603637695312)","(-11.727230072021484, 154.941162109375, 45.752220153808594)","(-17.2864933013916, 153.2567596435547, 45.139102935791016)",POINT (0.457356333732605 0.2543407753109932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274988352,2493566344,1,1,"(0.4670509099960327, 0.24771368503570557)","(0.44687166810035706, 0.2591530978679657)",1,1,2.638336181640625,2.678558349609375,"(-57.540897369384766, -58.8874397277832, 645.025390625)","(4.4793701171875, -55.75249481201172, 645.129150390625)","(-11.14734172821045, 155.3128662109375, 45.887451171875)","(-18.140182495117188, 153.2174835205078, 45.12483215332031)",POINT (0.4569612890481949 0.2534333914518356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2275005022,2493583013,1,1,"(0.47265860438346863, 0.2397225946187973)","(0.4426731467247009, 0.2686367928981781)",1,1,2.6556854248046875,2.6702117919921875,"(-57.50822448730469, -58.8588752746582, 645.0093994140625)","(4.528180122375488, -55.708885192871094, 645.1512451171875)","(-9.204072952270508, 156.77659606933594, 46.42023468017578)","(-19.595125198364258, 151.4803466796875, 44.49254608154297)",POINT (0.4576658755540848 0.2541796937584877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2275021689,2493599680,1,1,"(0.4697919487953186, 0.2513962388038635)","(0.4536990821361542, 0.27005529403686523)",1,1,2.652008056640625,2.671722412109375,"(-57.45743942260742, -58.83441925048828, 644.9722290039062)","(4.555727481842041, -55.7088623046875, 645.3585815429688)","(-10.197463035583496, 154.63833618164062, 45.64191818237305)","(-15.774229049682617, 151.22052001953125, 44.39798355102539)",POINT (0.4617455154657364 0.2607257664203644),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
