,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,50,12,527261669,661998746,1,1,"(0.5453987121582031, 0.12612788379192352)","(0.5440734624862671, 0.1191861629486084)",1,1,3.0545196533203125,3.062408447265625,"(-31.46408462524414, -22.883934020996094, 643.7418823242188)","(32.8389892578125, -19.030216217041016, 643.6068115234375)","(14.06676197052002, 177.11676025390625, 53.823429107666016)","(13.608846664428711, 178.3845672607422, 54.28489685058594)",POINT (0.5447360873222351 0.122657023370266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527278337,662015413,1,1,"(0.5514082312583923, 0.13332782685756683)","(0.5451295971870422, 0.12032085657119751)",1,1,3.066741943359375,3.073516845703125,"(-31.47960662841797, -22.893037796020508, 643.6484375)","(32.83173370361328, -19.031490325927734, 643.5379638671875)","(16.143184661865234, 175.80177307128906, 53.3448600769043)","(13.973770141601562, 178.17733764648438, 54.209449768066406)",POINT (0.5482689142227173 0.1268243417143822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527295009,662032084,1,1,"(0.5489267110824585, 0.12872116267681122)","(0.5441089272499084, 0.10671438276767731)",1,1,3.059555053710937,3.08392333984375,"(-31.48285675048828, -22.879682540893555, 643.5330810546875)","(32.83655548095703, -19.010929107666016, 643.5836181640625)","(15.285752296447754, 176.6431427001953, 53.65101623535156)","(13.62109375, 180.66238403320312, 55.113922119140625)",POINT (0.5465178191661835 0.1177177727222443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527311675,662048750,1,1,"(0.5503962635993958, 0.12998566031455994)","(0.5447275638580322, 0.11156158894300461)",1,1,3.064926147460937,3.08392333984375,"(-31.480684280395508, -22.874473571777344, 643.4874267578125)","(32.84407043457031, -19.001605987548828, 643.5597534179688)","(15.793535232543945, 176.4121856689453, 53.56699752807617)","(13.834844589233398, 179.77708435058594, 54.79176330566406)",POINT (0.547561913728714 0.1207736246287823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527328343,662065417,1,1,"(0.548576295375824, 0.1353594958782196)","(0.5431933403015137, 0.10811265558004379)",1,1,3.074188232421875,3.106552124023437,"(-31.454158782958984, -22.849388122558594, 643.3750610351562)","(32.86847686767578, -18.9859619140625, 643.6719970703125)","(15.164667129516602, 175.4307403564453, 53.20973205566406)","(13.304729461669922, 180.40701293945312, 55.020957946777344)",POINT (0.5458848178386688 0.1217360757291317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527345010,662082084,1,1,"(0.547422468662262, 0.11941268295049667)","(0.5477215051651001, 0.09258806705474854)",1,1,3.0558013916015625,3.09320068359375,"(-31.424848556518555, -22.83169937133789, 643.3084716796875)","(32.87687683105469, -18.97616958618164, 643.3719482421875)","(14.766008377075195, 178.3431854248047, 54.26987075805664)","(14.869344711303711, 183.2423553466797, 56.05299758911133)",POINT (0.547571986913681 0.1060003750026226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527361677,662098750,1,1,"(0.5420802235603333, 0.10651392489671707)","(0.5496625304222107, 0.08388334512710571)",1,1,3.0594024658203125,3.110992431640625,"(-31.373859405517578, -22.803314208984375, 643.1525268554688)","(32.907928466796875, -18.95370101928711, 642.955078125)","(12.920125961303711, 180.69898986816406, 55.12725830078125)","(15.540013313293457, 184.83218383789062, 56.631561279296875)",POINT (0.545871376991272 0.0951986350119114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527378342,662115415,1,1,"(0.547018826007843, 0.11038985103368759)","(0.5489404797554016, 0.09678159654140472)",1,1,3.0693817138671875,3.1096343994140625,"(-31.342113494873047, -22.786865234375, 643.0869140625)","(32.95283508300781, -18.932029724121094, 642.8596801757812)","(14.626545906066895, 179.99110412597656, 54.869606018066406)","(15.290534019470215, 182.47647094726562, 55.774208068847656)",POINT (0.5479796528816223 0.1035857237875462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527395010,662132082,1,1,"(0.5508507490158081, 0.11841504275798798)","(0.5485440492630005, 0.0958642065525055)",1,1,3.0823211669921875,3.0966033935546875,"(-31.32167625427246, -22.75101089477539, 643.1810302734375)","(33.001441955566406, -18.91844940185547, 643.153076171875)","(15.950565338134766, 178.52540588378906, 54.336143493652344)","(15.153542518615723, 182.64402770996094, 55.83517074584961)",POINT (0.5496973991394043 0.1071396246552467),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,12,527411676,662148748,1,1,"(0.5469483137130737, 0.1272507905960083)","(0.5543196201324463, 0.09963953495025635)",1,1,3.0765533447265625,3.1231689453125,"(-31.27472686767578, -22.717132568359375, 643.162353515625)","(33.0413818359375, -18.90603256225586, 643.0577392578125)","(14.602173805236816, 176.91168212890625, 53.74877166748047)","(17.149147033691406, 181.95448303222656, 55.584293365478516)",POINT (0.55063396692276 0.1134451627731323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
