,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,40,17,4712944578,4798753149,1,1,"(0.3965989649295807, 0.7227166295051575)","(0.418873131275177, 0.6934064626693726)",1,1,3.35223388671875,3.328826904296875,"(-77.47925567626953, -49.200836181640625, 678.803955078125)","(-18.787490844726562, -51.408409118652344, 680.1780395507812)","(-35.56150817871094, 68.30594635009766, 14.219547271728516)","(-27.84269905090332, 73.67473602294922, 16.17363166809082)",POINT (0.4077360481023788 0.708061546087265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4712961244,4798769815,1,1,"(0.4505336284637451, 0.6981503963470459)","(0.47533756494522095, 0.669927179813385)",1,1,3.349761962890625,3.3336181640625,"(-77.38973999023438, -49.163970947265625, 678.969482421875)","(-18.672306060791016, -51.3491325378418, 680.107666015625)","(-16.871187210083008, 72.8057861328125, 15.857345581054688)","(-8.275696754455566, 77.9754638671875, 17.738983154296875)",POINT (0.462935596704483 0.6840387880802155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4712977912,4798786482,1,1,"(0.4695504903793335, 0.7254945039749146)","(0.48334017395973206, 0.7010707855224609)",1,1,3.351226806640625,3.320220947265625,"(-77.2701416015625, -49.16364288330078, 678.6959228515625)","(-18.635425567626953, -51.38714599609375, 680.5445556640625)","(-10.281139373779297, 67.79713439941406, 14.03432559967041)","(-5.502504348754883, 72.27086639404297, 15.662652969360352)",POINT (0.4764453321695328 0.7132826447486877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4712994579,4798803149,1,1,"(0.46944335103034973, 0.7132283449172974)","(0.4843907058238983, 0.6806856393814087)",1,1,3.3586883544921875,3.3142242431640625,"(-77.29559326171875, -49.17389678955078, 678.7296142578125)","(-18.64159393310547, -51.3863410949707, 680.506103515625)","(-10.318275451660156, 70.0439224243164, 14.852123260498047)","(-5.138461589813232, 76.00481414794922, 17.021753311157227)",POINT (0.476917028427124 0.696956992149353),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713011253,4798819822,1,1,"(0.4741683304309845, 0.706051230430603)","(0.4922695457935333, 0.679172158241272)",1,1,3.351837158203125,3.317138671875,"(-77.32147979736328, -49.187870025634766, 678.7891235351562)","(-18.64706802368164, -51.38893127441406, 680.4417724609375)","(-8.68088436126709, 71.35858154296875, 15.330612182617188)","(-2.4081480503082275, 76.28204345703125, 17.122631072998047)",POINT (0.4832189381122589 0.6926116943359375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713027919,4798836488,1,1,"(0.4785282611846924, 0.7165802121162415)","(0.4899078607559204, 0.6728304028511047)",1,1,3.33514404296875,3.29449462890625,"(-77.34941101074219, -49.198944091796875, 678.8607788085938)","(-18.654552459716797, -51.38277816772461, 680.3518676757812)","(-7.170012950897217, 69.42996215820312, 14.628664016723633)","(-3.226562023162842, 77.44368743896484, 17.54537582397461)",POINT (0.4842180609703064 0.6947053074836731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713044587,4798853155,1,1,"(0.4721645414829254, 0.7083582878112793)","(0.49296677112579346, 0.6755728721618652)",1,1,3.3108062744140625,3.323760986328125,"(-77.37025451660156, -49.20608901977539, 678.9473876953125)","(-18.65904426574707, -51.36854553222656, 680.2748413085938)","(-9.375266075134277, 70.93598175048828, 15.176851272583008)","(-2.166548252105713, 76.94133758544922, 17.36257553100586)",POINT (0.4825656563043594 0.6919655799865723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713061254,4798869822,1,1,"(0.47344687581062317, 0.7026193141937256)","(0.4894007742404938, 0.6789478659629822)",1,1,3.341293334960937,3.2904052734375,"(-77.38896179199219, -49.199615478515625, 678.9952392578125)","(-18.664833068847656, -51.3531379699707, 680.1975708007812)","(-8.930910110473633, 71.98721313476562, 15.559425354003906)","(-3.402285575866699, 76.32315063476562, 17.137523651123047)",POINT (0.4814238250255585 0.6907835900783539),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713077922,4798886488,1,1,"(0.46845704317092896, 0.7086300253868103)","(0.485822468996048, 0.6805177330970764)",1,1,3.328857421875,3.2948760986328125,"(-77.38333892822266, -49.20420837402344, 678.9690551757812)","(-18.660337448120117, -51.36803436279297, 680.2745361328125)","(-10.66006851196289, 70.8862075805664, 15.158707618713379)","(-4.642306327819824, 76.03557586669922, 17.03290557861328)",POINT (0.4771397560834885 0.6945738792419434),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713094588,4798903154,1,1,"(0.47495588660240173, 0.7087752819061279)","(0.49326586723327637, 0.6770780682563782)",1,1,3.321640014648437,3.2878570556640625,"(-77.36253356933594, -49.1884765625, 678.8841552734375)","(-18.648990631103516, -51.37239074707031, 680.3648071289062)","(-8.407965660095215, 70.8595962524414, 15.149032592773438)","(-2.0629138946533203, 76.66561889648438, 17.26225471496582)",POINT (0.484110876917839 0.692926675081253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713111255,4798919821,1,1,"(0.4770224690437317, 0.7033975124359131)","(0.4919414520263672, 0.6774312853813171)",1,1,3.3109588623046875,3.293426513671875,"(-77.34809875488281, -49.1873664855957, 678.8613891601562)","(-18.63433265686035, -51.379356384277344, 680.4296875)","(-7.691826820373535, 71.84467315673828, 15.507508277893066)","(-2.5218498706817627, 76.60092163085938, 17.23868179321289)",POINT (0.4844819605350494 0.6904143989086151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713127923,4798936488,1,1,"(0.4771808981895447, 0.7026770710945129)","(0.4924865961074829, 0.6732649803161621)",1,1,3.30499267578125,3.297714233398437,"(-77.31881713867188, -49.16389465332031, 678.7901611328125)","(-18.6173095703125, -51.369903564453125, 680.4307861328125)","(-7.636922836303711, 71.97663879394531, 15.55558967590332)","(-2.332955837249756, 77.36408996582031, 17.516441345214844)",POINT (0.4848337471485138 0.6879710257053375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713144594,4798953159,1,1,"(0.4753708243370056, 0.6960868835449219)","(0.49473780393600464, 0.6804485321044922)",1,1,3.301620483398437,3.292816162109375,"(-77.29865264892578, -49.141517639160156, 678.7322998046875)","(-18.601123809814453, -51.35322570800781, 680.3929443359375)","(-8.264183044433594, 73.18374633789062, 15.994937896728516)","(-1.5528182983398438, 76.04824829101562, 17.037532806396484)",POINT (0.4850543141365051 0.688267707824707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,40,17,4713161261,4798969825,1,1,"(0.47669079899787903, 0.700745165348053)","(0.49062615633010864, 0.6826603412628174)",1,1,3.309051513671875,3.2930908203125,"(-77.28820037841797, -49.119956970214844, 678.6921997070312)","(-18.599529266357422, -51.339630126953125, 680.4572143554688)","(-7.806771755218506, 72.33048248291016, 15.68436336517334)","(-2.9776344299316406, 75.64310455322266, 16.890047073364258)",POINT (0.4836584776639938 0.6917027533054352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
