,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,32,21,576997722096,2022866345,1,1,"(0.489336758852005, 0.7822295427322388)","(0.5197100043296814, 0.8022632598876953)",1,1,3.206787109375,3.058624267578125,"(-48.4486083984375, -20.583599090576172, 653.455322265625)","(13.05090045928955, -18.910112380981445, 653.197021484375)","(-5.304075717926025, 57.28847122192383, 10.209488868713379)","(5.190654754638672, 53.629581451416016, 8.877778053283691)",POINT (0.5045233815908432 0.792246401309967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997738770,2022883019,1,1,"(0.4887740910053253, 0.7764713764190674)","(0.5224775075912476, 0.8079559803009033)",1,1,3.2204742431640625,3.051742553710937,"(-48.475608825683594, -20.574382781982422, 653.36767578125)","(13.018830299377441, -18.89823341369629, 653.48095703125)","(-5.498495578765869, 58.340126037597656, 10.592288970947266)","(6.146908760070801, 52.589866638183594, 8.499367713928223)",POINT (0.5056257992982864 0.7922136783599854),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997755438,2022899686,1,1,"(0.4900989234447479, 0.78497314453125)","(0.5057151317596436, 0.8080502152442932)",1,1,3.225860595703125,3.08154296875,"(-48.5500602722168, -20.58576011657715, 653.4510498046875)","(12.968367576599121, -18.899425506591797, 653.3638916015625)","(-5.040719985961914, 56.78738784790039, 10.027115821838379)","(0.3550651967525482, 52.57265853881836, 8.493090629577637)",POINT (0.4979070276021957 0.7965116798877716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997772104,2022916352,1,1,"(0.4981591999530792, 0.7936474680900574)","(0.510517954826355, 0.8023210763931274)",1,1,3.2484893798828125,3.07708740234375,"(-48.65861892700195, -20.604984283447266, 653.542724609375)","(12.869462966918945, -18.90443229675293, 652.8970947265625)","(-2.255683660507202, 55.203128814697266, 9.450488090515137)","(2.014561176300049, 53.61900329589844, 8.873939514160156)",POINT (0.5043385773897171 0.7979842722415924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997788771,2022933018,1,1,"(0.4795547127723694, 0.8069167137145996)","(0.5156054496765137, 0.803070604801178)",1,1,3.26446533203125,3.106597900390625,"(-48.69464874267578, -20.61809539794922, 653.5855712890625)","(12.797176361083984, -18.901363372802734, 653.4658813476562)","(-8.684021949768066, 52.77967071533203, 8.568453788757324)","(3.7724087238311768, 53.48210525512695, 8.824130058288574)",POINT (0.4975800812244415 0.8049936592578888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997805438,2022949685,1,1,"(0.48927196860313416, 0.8001779913902283)","(0.5144069790840149, 0.8107109069824219)",1,1,3.2707977294921875,3.1097564697265625,"(-48.806114196777344, -20.653329849243164, 653.509521484375)","(12.707015991210938, -18.91568374633789, 653.114990234375)","(-5.326460361480713, 54.01042556762695, 9.016398429870605)","(3.3583009243011475, 52.08671188354492, 8.316261291503906)",POINT (0.5018394738435745 0.8054444491863251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997822106,2022966352,1,1,"(0.4931664764881134, 0.8094595074653625)","(0.5184447765350342, 0.799336314201355)",1,1,3.309967041015625,3.114608764648437,"(-48.88528060913086, -20.699169158935547, 653.5213623046875)","(12.618561744689941, -18.935550689697266, 653.2254638671875)","(-3.9808108806610107, 52.31528854370117, 8.399391174316406)","(4.753476619720459, 54.16414260864258, 9.07236385345459)",POINT (0.5058056265115738 0.8043979108333588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997838773,2022983019,1,1,"(0.48659202456474304, 0.785785436630249)","(0.5147910118103027, 0.784145712852478)",1,1,3.296615600585937,3.1302490234375,"(-48.97960662841797, -20.77582550048828, 653.5792846679688)","(12.52641487121582, -18.97408676147461, 653.1578369140625)","(-6.252439498901367, 56.6390380859375, 9.973114013671875)","(3.4910061359405518, 56.938507080078125, 10.082124710083008)",POINT (0.5006915181875229 0.7849655747413635),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997855440,2022999686,1,1,"(0.505010724067688, 0.7869254946708679)","(0.516656219959259, 0.790242075920105)",1,1,3.3123321533203125,3.150009155273437,"(-49.10392761230469, -20.821563720703125, 653.5958251953125)","(12.422395706176758, -18.997676849365234, 653.3146362304688)","(0.11166171729564667, 56.43082809448242, 9.897327423095703)","(4.135491847991943, 55.8250732421875, 9.676868438720703)",POINT (0.5108334720134735 0.7885837852954865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,21,576997872111,2023016356,1,1,"(0.4903830289840698, 0.8036274313926697)","(0.5165457725524902, 0.7568116188049316)",1,1,3.322006225585937,3.1488189697265625,"(-49.15545654296875, -20.846542358398438, 653.4691162109375)","(12.322400093078613, -19.05167007446289, 653.24755859375)","(-4.942560195922852, 53.38043212890625, 8.787125587463379)","(4.097317695617676, 61.930728912353516, 11.89915657043457)",POINT (0.50346440076828 0.7802195250988007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
