,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,21,3,171599508853,7013768102,1,1,"(0.1657976657152176, 0.09087061136960983)","(0.1788213700056076, 0.20033368468284607)",1,1,4.23419189453125,4.124755859375,"(-37.81892776489258, -12.169937133789062, 665.1248168945312)","(27.314220428466797, -9.766468048095703, 661.3251953125)","(-115.5426025390625, 184.0419921875, 56.344051361083984)","(-111.02941131591797, 163.9915008544922, 49.04627990722656)",POINT (0.1723095178604126 0.145602148026228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,21,3,171599525520,7013784768,1,1,"(0.16431447863578796, 0.08916525542736053)","(0.1762259155511856, 0.22286270558834076)",1,1,4.233932495117188,4.125411987304688,"(-37.857200622558594, -12.164556503295898, 665.1566162109375)","(27.285888671875, -9.727517127990723, 661.3392333984375)","(-116.05657958984375, 184.3543701171875, 56.45775604248047)","(-111.9288330078125, 159.86485290527344, 47.54424285888672)",POINT (0.1702701970934868 0.1560139805078506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599542187,7013801435,1,1,"(0.16934753954410553, 0.12352335453033447)","(0.17187580466270447, 0.21538297832012177)",1,1,4.222671508789063,4.138427734375,"(-37.917442321777344, -12.173089981079102, 665.29736328125)","(27.23125457763672, -9.710102081298828, 661.4647216796875)","(-114.31243896484375, 178.06094360351562, 54.167144775390625)","(-113.4363021850586, 161.23492431640625, 48.042911529541016)",POINT (0.170611672103405 0.1694531664252281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599558855,7013818102,1,1,"(0.1697063148021698, 0.11737758666276932)","(0.1795704960823059, 0.22585417330265045)",1,1,4.2066650390625,4.121871948242188,"(-37.9559326171875, -12.174999237060547, 665.3543701171875)","(27.19614028930664, -9.687348365783691, 661.5400390625)","(-114.1881103515625, 179.18667602539062, 54.576866149902344)","(-110.76982116699219, 159.31687927246094, 47.34486389160156)",POINT (0.1746384054422378 0.1716158799827099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599575521,7013834768,1,1,"(0.1682724803686142, 0.11245481669902802)","(0.18124154210090637, 0.2253206968307495)",1,1,4.205825805664063,4.116424560546875,"(-37.998382568359375, -12.17941951751709, 665.3863525390625)","(27.160160064697266, -9.680734634399414, 661.4698486328125)","(-114.68498992919922, 180.08837890625, 54.90508270263672)","(-110.19073486328125, 159.4146270751953, 47.3803596496582)",POINT (0.1747570112347603 0.1688877567648888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599592188,7013851434,1,1,"(0.16648496687412262, 0.12099289149045944)","(0.17637759447097778, 0.2323257327079773)",1,1,4.202438354492188,4.1305694580078125,"(-38.02159118652344, -12.16508674621582, 665.4328002929688)","(27.13439178466797, -9.654029846191406, 661.38720703125)","(-115.3044204711914, 178.52444458007812, 54.33587646484375)","(-111.87626647949219, 158.13148498535156, 46.91337585449219)",POINT (0.1714312806725502 0.1766593120992184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599608855,7013868101,1,1,"(0.16903036832809448, 0.12290546298027039)","(0.17348363995552063, 0.23219136893749237)",1,1,4.192047119140625,4.1224212646484375,"(-38.039894104003906, -12.169652938842773, 665.529052734375)","(27.12372589111328, -9.64582347869873, 661.4365234375)","(-114.42234802246094, 178.1741485595703, 54.20828628540039)","(-112.87913513183594, 158.15609741210938, 46.9223518371582)",POINT (0.1712570041418076 0.1775484159588814),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599625529,7013884774,1,1,"(0.16633470356464386, 0.1225442886352539)","(0.16814234852790833, 0.22814971208572388)",1,1,4.1941680908203125,4.112319946289063,"(-38.04639434814453, -12.154369354248047, 665.5155029296875)","(27.109813690185547, -9.601184844970703, 661.5352783203125)","(-115.35649871826172, 178.2402801513672, 54.23238754272461)","(-114.7300796508789, 158.89639282226562, 47.19182205200195)",POINT (0.1672385260462761 0.1753470003604889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599642196,7013901441,1,1,"(0.16571520268917084, 0.11885859072208405)","(0.16541756689548492, 0.22956179082393646)",1,1,4.186981201171875,4.127456665039063,"(-38.04910659790039, -12.158016204833984, 665.56494140625)","(27.112537384033203, -9.601995468139648, 661.5228271484375)","(-115.57118225097656, 178.91537475585938, 54.47816467285156)","(-115.67432403564453, 158.6377716064453, 47.0976448059082)",POINT (0.1655663847923279 0.1742101907730102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,3,171599658863,7013918107,1,1,"(0.17112568020820618, 0.12506914138793945)","(0.16868984699249268, 0.23680830001831055)",1,1,4.19970703125,4.115325927734375,"(-38.034912109375, -12.13991928100586, 665.5171508789062)","(27.126811981201172, -9.578583717346191, 661.4976806640625)","(-113.69624328613281, 177.77781677246094, 54.06404113769531)","(-114.54036712646484, 157.3104248046875, 46.61451721191406)",POINT (0.1699077636003494 0.180938720703125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
