,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,29,6,759262149200,3824954445,1,1,"(0.4861176311969757, 0.3286302983760834)","(0.40506941080093384, 0.3053811490535736)",1,1,2.634384155273437,2.3623199462890625,"(-55.48240280151367, -62.38626480102539, 600.06103515625)","(9.19355297088623, -67.90018463134766, 604.37890625)","(-6.416360378265381, 140.1323699951172, 40.362213134765625)","(-34.42057800292969, 144.37852478027344, 41.90769958496094)",POINT (0.4455935209989548 0.3170057237148285),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262165867,3824971111,1,1,"(0.4850162863731384, 0.32616761326789856)","(0.419853150844574, 0.3220110535621643)",1,1,2.6468048095703125,2.369354248046875,"(-55.42860412597656, -62.382110595703125, 600.0704345703125)","(9.241222381591797, -67.89801025390625, 604.3775634765625)","(-6.796894073486328, 140.58213806152344, 40.52595138549805)","(-29.312419891357422, 141.34130859375, 40.802188873291016)",POINT (0.4524347186088562 0.3240893334150314),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262182534,3824987778,1,1,"(0.48363369703292847, 0.325871080160141)","(0.40581128001213074, 0.3109217882156372)",1,1,2.6409912109375,2.367782592773437,"(-55.402618408203125, -62.3735237121582, 600.0139770507812)","(9.265012741088867, -67.88194274902344, 604.3666381835938)","(-7.274637699127197, 140.6363067626953, 40.545650482177734)","(-34.16423416137695, 143.36659240722656, 41.53937911987305)",POINT (0.4447224885225296 0.3183964341878891),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262199202,3825004445,1,1,"(0.4829156696796417, 0.3306978940963745)","(0.4119693338871002, 0.2984952926635742)",1,1,2.6518096923828125,2.361328125,"(-55.41105651855469, -62.38469314575195, 600.022705078125)","(9.260770797729492, -67.88572692871094, 604.38671875)","(-7.522719383239746, 139.7547607421875, 40.22475051879883)","(-32.03648376464844, 145.63613891601562, 42.36540603637695)",POINT (0.447442501783371 0.3145965933799744),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262215868,3825021111,1,1,"(0.4831112027168274, 0.32681748270988464)","(0.40580570697784424, 0.3063720166683197)",1,1,2.63519287109375,2.366317749023437,"(-55.449928283691406, -62.395938873291016, 600.086669921875)","(9.231399536132812, -67.88044738769531, 604.3676147460938)","(-7.455151081085205, 140.4634552001953, 40.48271942138672)","(-34.16615676879883, 144.1975555419922, 41.841854095458984)",POINT (0.4444584548473358 0.3165947496891022),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262232536,3825037778,1,1,"(0.4836142361164093, 0.3098812699317932)","(0.4162600338459015, 0.3089063763618469)",1,1,2.6409149169921875,2.381927490234375,"(-55.49098205566406, -62.426727294921875, 600.0394897460938)","(9.19213581085205, -67.89976501464844, 604.3587646484375)","(-7.281352519989014, 143.55662536621094, 41.60853958129883)","(-30.553932189941406, 143.7346954345703, 41.673362731933594)",POINT (0.4499371349811554 0.3093938231468201),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262249207,3825054449,1,1,"(0.48587337136268616, 0.3321476876735687)","(0.40978094935417175, 0.3107181191444397)",1,1,2.6577911376953125,2.385238647460937,"(-55.53992462158203, -62.433868408203125, 600.082275390625)","(9.143051147460938, -67.90150451660156, 604.3804931640625)","(-6.5007643699646, 139.48995971679688, 40.128421783447266)","(-32.7926139831543, 143.40380859375, 41.55289077758789)",POINT (0.447827160358429 0.3214329034090042),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262265876,3825071117,1,1,"(0.4895816147327423, 0.32225456833839417)","(0.41041338443756104, 0.3028423488140106)",1,1,2.652572631835937,2.358642578125,"(-55.58742141723633, -62.464744567871094, 600.1246948242188)","(9.10238265991211, -67.91983032226562, 604.4014892578125)","(-5.219471454620361, 141.29681396484375, 40.78603744506836)","(-32.57408905029297, 144.84219360351562, 42.07646942138672)",POINT (0.4499974995851517 0.3125484585762024),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262282542,3825087783,1,1,"(0.4929155111312866, 0.3249756097793579)","(0.41584983468055725, 0.30343958735466003)",1,1,2.66265869140625,2.3809356689453125,"(-55.62967300415039, -62.46886444091797, 600.147705078125)","(9.059587478637695, -67.91446685791016, 604.3924560546875)","(-4.0675201416015625, 140.79986572265625, 40.605167388916016)","(-30.69565773010254, 144.73312377929688, 42.03675079345703)",POINT (0.4543826729059219 0.314207598567009),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,6,759262299209,3825104449,1,1,"(0.4894203245639801, 0.31878459453582764)","(0.41744139790534973, 0.3112276792526245)",1,1,2.677978515625,2.40594482421875,"(-55.65729522705078, -62.48473358154297, 600.1534423828125)","(9.032146453857422, -67.92930603027344, 604.4340209960938)","(-5.275195598602295, 141.93055725097656, 41.0167121887207)","(-30.145736694335938, 143.31072998046875, 41.51906967163086)",POINT (0.4534308612346649 0.3150061368942261),,,,,,,,,,,,,,,,,,,,,,,,,,,1,
