,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,-----------.1,namespace.1,std.1,double.1,afunc.1,int.1,n.1,if.1,n.2,==.1,0.1,return.1,0.0.1,-----------.3,double.2,term.1,=.1,1.0.1,/.1,pow.1,n.3,2.0.1,-----------.5,if.2,n.4,%.1,2.2,==.2,0.2,return.2,afunc.2,n.5,-.1,1.1,-.2,term.2,-----------.10,else.1,return.3,afunc.3,n.6,-.3,1.2,+.1,term.3,-----------.13,-----------.14,question,code,choices
0,21,18,171300056669,6714324353,1,1,"(0.45700782537460327, 0.7845476269721985)","(0.45821112394332886, 0.8640049695968628)",1,1,4.3617095947265625,4.242111206054688,"(-41.428016662597656, -10.094141006469727, 660.6680297851562)","(23.83108139038086, -8.645423889160156, 662.9376220703125)","(-14.627638816833496, 56.98031234741211, 10.09737491607666)","(-14.210646629333496, 42.426002502441406, 4.8000054359436035)",POINT (0.4576094746589661 0.8242762982845306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,21,18,171300073336,6714341020,1,1,"(0.4546148180961609, 0.7906197905540466)","(0.45509788393974304, 0.8580970764160156)",1,1,4.343170166015625,4.227996826171875,"(-41.42181396484375, -10.099714279174805, 660.6810302734375)","(23.83771514892578, -8.64322280883789, 662.9249267578125)","(-15.45689582824707, 55.86802673339844, 9.692536354064941)","(-15.289498329162598, 43.50813674926758, 5.193910121917725)",POINT (0.454856351017952 0.8243584334850311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,21,18,171300090003,6714357686,1,1,"(0.45565760135650635, 0.7842336297035217)","(0.45101699233055115, 0.8601661324501038)",1,1,4.3359375,4.238372802734375,"(-41.43913650512695, -10.09177017211914, 660.6424560546875)","(23.830902099609375, -8.632326126098633, 662.8771362304688)","(-15.095536231994629, 57.03781509399414, 10.118258476257324)","(-16.70368194580078, 43.12916564941406, 5.055914402008057)",POINT (0.4533372968435288 0.8221998810768127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,21,18,171300106674,6714374357,1,1,"(0.45420604944229126, 0.747194230556488)","(0.44873350858688354, 0.8214331269264221)",1,1,4.3624267578125,4.2318878173828125,"(-41.461570739746094, -9.980968475341797, 660.8336791992188)","(23.810405731201172, -8.532434463500977, 662.5991821289062)","(-15.59854507446289, 63.82236099243164, 12.58769416809082)","(-17.494983673095703, 50.22392654418945, 7.638245105743408)",POINT (0.4514697790145874 0.7843136787414551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300123342,6714391024,1,1,"(0.4396572709083557, 0.49659666419029236)","(0.4314506947994232, 0.5974279642105103)",1,1,4.456787109375,4.231246948242188,"(-41.43208312988281, -9.658439636230469, 660.82421875)","(23.648147583007812, -8.234786033630371, 662.5975952148438)","(-20.640241622924805, 109.72464752197266, 29.294706344604492)","(-23.484115600585938, 91.25523376464844, 22.572425842285156)",POINT (0.4355539828538895 0.5470123142004013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,21,18,171300140008,6714407690,1,1,"(0.42298874258995056, 0.3497418761253357)","(0.4164654314517975, 0.41868942975997925)",1,1,4.392623901367188,4.218032836914063,"(-41.45088195800781, -9.373764991760254, 660.9426879882812)","(23.592599868774414, -7.97109842300415, 663.2953491210938)","(-26.41649055480957, 136.6242218017578, 39.08538055419922)","(-28.67705535888672, 123.99501037597656, 34.48873519897461)",POINT (0.419727087020874 0.3842156529426575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300156676,6714424357,1,1,"(0.4232724606990814, 0.31576430797576904)","(0.41557350754737854, 0.3958117365837097)",1,1,4.418975830078125,4.190719604492188,"(-41.49619674682617, -9.3472900390625, 660.7666015625)","(23.613542556762695, -7.940732002258301, 663.0381469726562)","(-26.318191528320312, 142.8479461669922, 41.35059356689453)","(-28.986148834228516, 128.185546875, 36.01394271850586)",POINT (0.41942298412323 0.3557880222797394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300173343,6714441024,1,1,"(0.41840603947639465, 0.3202492296695709)","(0.41636011004447937, 0.39472243189811707)",1,1,4.353271484375,4.203628540039063,"(-41.522769927978516, -9.378378868103027, 660.7633056640625)","(23.62931251525879, -7.969072341918945, 662.9881591796875)","(-28.004575729370117, 142.0264434814453, 41.05159378051758)","(-28.71355628967285, 128.38507080078125, 36.0865592956543)",POINT (0.417383074760437 0.357485830783844),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300190010,6714457690,1,1,"(0.4148196578025818, 0.34371885657310486)","(0.41534423828125, 0.3968588411808014)",1,1,4.3492279052734375,4.214523315429688,"(-41.54822540283203, -9.364383697509766, 660.6507568359375)","(23.610876083374023, -7.947878837585449, 662.9288330078125)","(-29.24736976623535, 137.72744750976562, 39.486934661865234)","(-29.06559181213379, 127.99373626708984, 35.94416427612305)",POINT (0.4150819480419159 0.3702888488769531),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300206677,6714474357,1,1,"(0.41882583498954773, 0.3355486989021301)","(0.41420260071754456, 0.4001777470111847)",1,1,4.329849243164063,4.198776245117188,"(-41.60038757324219, -9.384612083435059, 660.6563720703125)","(23.590335845947266, -7.952988147735596, 662.9301147460938)","(-27.859086990356445, 139.22398376464844, 40.031646728515625)","(-29.461212158203125, 127.38582611083984, 35.722835540771484)",POINT (0.4165142178535461 0.3678632229566574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300223345,6714491024,1,1,"(0.41711580753326416, 0.33186572790145874)","(0.40661901235580444, 0.39511844515800476)",1,1,4.314971923828125,4.179489135742188,"(-41.66316604614258, -9.390734672546387, 660.7093505859375)","(23.552236557006836, -7.945711612701416, 662.9085083007812)","(-28.451679229736328, 139.8986053466797, 40.27716827392578)","(-32.089202880859375, 128.31251525878906, 36.06018829345703)",POINT (0.4118674099445343 0.3634920865297318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300240016,6714507695,1,1,"(0.4176423251628876, 0.32823848724365234)","(0.40947720408439636, 0.3984122574329376)",1,1,4.308135986328125,4.181198120117188,"(-41.721797943115234, -9.421453475952148, 660.738037109375)","(23.496845245361328, -7.955687046051025, 662.8515625)","(-28.269214630126953, 140.56301879882812, 40.519004821777344)","(-31.09874153137207, 127.70919799804688, 35.8405876159668)",POINT (0.413559764623642 0.363325372338295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300256684,6714524362,1,1,"(0.4140872359275818, 0.3305648863315582)","(0.4138159155845642, 0.3960292935371399)",1,1,4.3014068603515625,4.16754150390625,"(-41.780399322509766, -9.431440353393555, 660.7670288085938)","(23.436325073242188, -7.948338031768799, 662.8922729492188)","(-29.501188278198242, 140.1368865966797, 40.363887786865234)","(-29.595216751098633, 128.1457061767578, 35.999412536621094)",POINT (0.413951575756073 0.3632970899343491),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300273350,6714541028,1,1,"(0.4096737802028656, 0.32720112800598145)","(0.4129396975040436, 0.40467533469200134)",1,1,4.29107666015625,4.174652099609375,"(-41.848899841308594, -9.465500831604004, 660.8921508789062)","(23.38898468017578, -7.965511798858643, 662.8350830078125)","(-31.030609130859375, 140.75303649902344, 40.588138580322266)","(-29.898847579956055, 126.56198120117188, 35.42305374145508)",POINT (0.4113067388534546 0.3659382313489914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300290019,6714557696,1,1,"(0.419406533241272, 0.3287535309791565)","(0.4130835235118866, 0.3963221609592438)",1,1,4.288482666015625,4.15509033203125,"(-41.91659164428711, -9.467550277709961, 660.9075927734375)","(23.338512420654297, -7.957887649536133, 662.8627319335938)","(-27.65786361694336, 140.46868896484375, 40.48463821411133)","(-29.84902000427246, 128.09205627441406, 35.97991180419922)",POINT (0.4162450283765793 0.3625378459692001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300306685,6714574362,1,1,"(0.41929444670677185, 0.329822301864624)","(0.40715840458869934, 0.40031948685646057)",1,1,4.289703369140625,4.143569946289063,"(-41.94495391845703, -9.479360580444336, 660.806884765625)","(23.296964645385742, -7.959184646606445, 662.817138671875)","(-27.696712493896484, 140.27291870117188, 40.41336441040039)","(-31.90227699279785, 127.35984802246094, 35.71342468261719)",POINT (0.4132264256477356 0.3650708943605423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300323352,6714591028,1,1,"(0.4181565046310425, 0.3381221890449524)","(0.4084337055683136, 0.396837443113327)",1,1,4.269073486328125,4.139556884765625,"(-41.962318420410156, -9.470807075500488, 660.7801513671875)","(23.267988204956055, -7.944001197814941, 662.734130859375)","(-28.091033935546875, 138.7526092529297, 39.86006546020508)","(-31.460350036621094, 127.99767303466797, 35.94556427001953)",POINT (0.413295105099678 0.3674798160791397),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300340019,6714607695,1,1,"(0.414946973323822, 0.3296327292919159)","(0.4122743010520935, 0.39264386892318726)",1,1,4.264739990234375,4.14056396484375,"(-41.9721565246582, -9.476747512817383, 660.7542724609375)","(23.24936866760254, -7.936339855194092, 662.771240234375)","(-29.20325469970703, 140.30764770507812, 40.42601776123047)","(-30.12943458557129, 128.76580810546875, 36.22513198852539)",POINT (0.4136106371879578 0.3611382991075516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300356686,6714624362,1,1,"(0.40907707810401917, 0.3325652778148651)","(0.4139813184738159, 0.4023939371109009)",1,1,4.263473510742188,4.117218017578125,"(-41.98866271972656, -9.4502592086792, 660.7642822265625)","(23.227262496948242, -7.8999433517456055, 662.797607421875)","(-31.23740005493164, 139.77047729492188, 40.230533599853516)","(-29.53788948059082, 126.9798812866211, 35.575111389160156)",POINT (0.4115291982889175 0.367479607462883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300373359,6714641034,1,1,"(0.41455966234207153, 0.33447256684303284)","(0.4125310480594635, 0.39496996998786926)",1,1,4.259735107421875,4.115478515625,"(-41.997779846191406, -9.449430465698242, 660.7874145507812)","(23.22024154663086, -7.8934006690979, 662.8345947265625)","(-29.337465286254883, 139.42111206054688, 40.103355407714844)","(-30.04047393798828, 128.33975219726562, 36.070045471191406)",POINT (0.4135453552007675 0.364721268415451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300390025,6714657700,1,1,"(0.40554097294807434, 0.3261352777481079)","(0.4152328670024872, 0.3910394310951233)",1,1,4.231002807617188,4.097442626953125,"(-42.01520919799805, -9.416155815124512, 660.8580932617188)","(23.205795288085938, -7.862757682800293, 662.8597412109375)","(-32.46278381347656, 140.94827270507812, 40.659202575683594)","(-29.104188919067383, 129.05970764160156, 36.33208465576172)",POINT (0.4103869199752808 0.3585873544216156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300406693,6714674367,1,1,"(0.4058610796928406, 0.3238871097564697)","(0.4129221439361572, 0.3939190208911896)",1,1,4.231048583984375,4.080734252929688,"(-42.03087615966797, -9.41783332824707, 660.9051513671875)","(23.19139862060547, -7.867102146148682, 662.8121337890625)","(-32.35185241699219, 141.36007690429688, 40.809059143066406)","(-29.904937744140625, 128.53225708007812, 36.14010238647461)",POINT (0.4093916118144989 0.3589030653238296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300423359,6714691033,1,1,"(0.41074150800704956, 0.32329997420310974)","(0.4175170063972473, 0.3912835717201233)",1,1,4.22662353515625,4.089019775390625,"(-42.040557861328125, -9.39857292175293, 660.9767456054688)","(23.185794830322266, -7.850322246551514, 662.8489990234375)","(-30.660602569580078, 141.4676055908203, 40.84823989868164)","(-28.312639236450195, 129.01498413085938, 36.315826416015625)",POINT (0.4141292572021484 0.3572917729616165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300440027,6714707700,1,1,"(0.41006800532341003, 0.3271346688270569)","(0.4194130599498749, 0.3933371603488922)",1,1,4.2204437255859375,4.0743560791015625,"(-42.03948974609375, -9.404759407043457, 661.0006713867188)","(23.18104362487793, -7.846899032592773, 662.8248291015625)","(-30.893999099731445, 140.76519775390625, 40.592586517333984)","(-27.655588150024414, 128.63880920410156, 36.178932189941406)",POINT (0.4147405326366425 0.3602359145879746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300456694,6714724367,1,1,"(0.4111504554748535, 0.331136554479599)","(0.4156896471977234, 0.39321303367614746)",1,1,4.2340850830078125,4.073898315429688,"(-42.040077209472656, -9.381349563598633, 661.0736083984375)","(23.190261840820312, -7.821298599243164, 662.9456176757812)","(-30.518882751464844, 140.03216552734375, 40.32575988769531)","(-28.945899963378906, 128.6615447998047, 36.18720626831055)",POINT (0.4134200513362884 0.3621747940778732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300473361,6714741033,1,1,"(0.4079972207546234, 0.33496007323265076)","(0.4145704209804535, 0.3929009735584259)",1,1,4.22149658203125,4.0777740478515625,"(-42.013423919677734, -9.378793716430664, 661.0770263671875)","(23.20682144165039, -7.816986560821533, 662.9445190429688)","(-31.61160659790039, 139.33184814453125, 40.07080841064453)","(-29.33374786376953, 128.7187042236328, 36.208045959472656)",POINT (0.4112838208675384 0.3639305233955383),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300490033,6714757705,1,1,"(0.412670373916626, 0.33679282665252686)","(0.4153173863887787, 0.39585450291633606)",1,1,4.220672607421875,4.0698089599609375,"(-41.98986053466797, -9.35513687133789, 661.01904296875)","(23.2290096282959, -7.795412063598633, 662.9794921875)","(-29.992191314697266, 138.99610900878906, 39.948673248291016)","(-29.074899673461914, 128.1776885986328, 36.011146545410156)",POINT (0.4139938801527023 0.3663236647844315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300506701,6714774372,1,1,"(0.4106524586677551, 0.3325584828853607)","(0.41545242071151733, 0.39646297693252563)",1,1,4.2158966064453125,4.070770263671875,"(-41.96921157836914, -9.3446626663208, 661.0823364257812)","(23.263072967529297, -7.788784980773926, 663.0743408203125)","(-30.691463470458984, 139.77171325683594, 40.230995178222656)","(-29.028108596801758, 128.06625366210938, 35.97053146362305)",POINT (0.4130524396896362 0.3645107299089432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300523367,6714791038,1,1,"(0.41682013869285583, 0.34167468547821045)","(0.4141266942024231, 0.3907216191291809)",1,1,4.2109375,4.0557708740234375,"(-41.948036193847656, -9.3287353515625, 661.243408203125)","(23.3013916015625, -7.7787184715271, 663.07177734375)","(-28.554140090942383, 138.10189819335938, 39.623207092285156)","(-29.487506866455078, 129.11788940429688, 36.35331344604492)",POINT (0.4154734164476395 0.3661981523036957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300540035,6714807705,1,1,"(0.4128072261810303, 0.3306921124458313)","(0.41727548837661743, 0.390634149312973)",1,1,4.2161865234375,4.06060791015625,"(-41.90686798095703, -9.320786476135254, 661.32177734375)","(23.34540367126465, -7.782798767089844, 663.1292724609375)","(-29.944765090942383, 140.11358642578125, 40.35541915893555)","(-28.396350860595703, 129.13394165039062, 36.359127044677734)",POINT (0.4150413572788238 0.3606631308794022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300556702,6714824372,1,1,"(0.40979239344596863, 0.3321651220321655)","(0.4206854999065399, 0.39064931869506836)",1,1,4.208892822265625,4.0558624267578125,"(-41.85968017578125, -9.302875518798828, 661.3399658203125)","(23.380470275878906, -7.777148723602295, 663.1026611328125)","(-30.98951530456543, 139.84376525878906, 40.25722122192383)","(-27.214645385742188, 129.13113403320312, 36.35814666748047)",POINT (0.4152389466762543 0.3614072203636169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300573369,6714841038,1,1,"(0.4114093780517578, 0.3359553813934326)","(0.4126729369163513, 0.38245120644569397)",1,1,4.2115325927734375,4.06414794921875,"(-41.7995719909668, -9.299805641174316, 661.1893920898438)","(23.43026351928711, -7.788246154785156, 663.0867919921875)","(-30.429174423217773, 139.1494903564453, 40.004547119140625)","(-29.991291046142578, 130.6328125, 36.904693603515625)",POINT (0.4120411574840546 0.3592032939195633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300590036,6714857705,1,1,"(0.4102475047111511, 0.33480629324913025)","(0.41518259048461914, 0.385407954454422)",1,1,4.221466064453125,4.063644409179688,"(-41.753475189208984, -9.278544425964355, 661.1224365234375)","(23.480606079101562, -7.783330917358398, 663.1928100585938)","(-30.83179473876953, 139.3599853515625, 40.081153869628906)","(-29.121606826782227, 130.0912322998047, 36.707523345947266)",POINT (0.4127150475978851 0.3601071238517761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300606704,6714874372,1,1,"(0.41040050983428955, 0.3320853114128113)","(0.4140484631061554, 0.3901647627353668)",1,1,4.21429443359375,4.0746917724609375,"(-41.7298583984375, -9.264347076416016, 661.28369140625)","(23.518131256103516, -7.783138275146484, 663.23876953125)","(-30.778778076171875, 139.8583984375, 40.26252365112305)","(-29.514617919921875, 129.2199249267578, 36.39039611816406)",POINT (0.4122244864702225 0.361125037074089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300623373,6714891041,1,1,"(0.4098665118217468, 0.3277002274990082)","(0.41662389039993286, 0.38827747106552124)",1,1,4.2138214111328125,4.0731201171875,"(-41.709903717041016, -9.248347282409668, 661.468994140625)","(23.55087661743164, -7.779321193695068, 663.2732543945312)","(-30.963834762573242, 140.66160583496094, 40.554893493652344)","(-28.622146606445312, 129.5655975341797, 36.516258239746094)",POINT (0.4132452011108398 0.3579888492822647),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300640041,6714907708,1,1,"(0.41153010725975037, 0.33322015404701233)","(0.41951653361320496, 0.3854328691959381)",1,1,4.233123779296875,4.0707855224609375,"(-41.68451690673828, -9.248470306396484, 661.4844970703125)","(23.572582244873047, -7.783027648925781, 663.1497802734375)","(-30.387331008911133, 139.65052795410156, 40.18687057495117)","(-27.619747161865234, 130.086669921875, 36.70586013793945)",POINT (0.4155233204364777 0.3593265116214752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300656708,6714924375,1,1,"(0.41167739033699036, 0.3307877480983734)","(0.4185121953487396, 0.39014294743537903)",1,1,4.2153167724609375,4.0639190673828125,"(-41.6754035949707, -9.230621337890625, 661.473388671875)","(23.578227996826172, -7.767358779907227, 663.1858520507812)","(-30.336294174194336, 140.09608459472656, 40.34901809692383)","(-27.967769622802734, 129.22390747070312, 36.39189147949219)",POINT (0.415094792842865 0.3604653477668762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300673375,6714941042,1,1,"(0.4086243808269501, 0.3276539146900177)","(0.42074400186538696, 0.39217352867126465)",1,1,4.22137451171875,4.0765228271484375,"(-41.671966552734375, -9.238073348999023, 661.498291015625)","(23.580860137939453, -7.772002220153809, 663.1859130859375)","(-31.394264221191406, 140.67010498046875, 40.55793762207031)","(-27.194377899169922, 128.85195922851562, 36.25651931762695)",POINT (0.4146841913461685 0.3599137216806412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300690042,6714957708,1,1,"(0.40720975399017334, 0.32974037528038025)","(0.422421395778656, 0.3917805254459381)",1,1,4.229034423828125,4.08203125,"(-41.67424774169922, -9.2283935546875, 661.4730834960938)","(23.57573699951172, -7.75839900970459, 663.1862182617188)","(-31.88448143005371, 140.28790283203125, 40.41887664794922)","(-26.613086700439453, 128.92393493652344, 36.282711029052734)",POINT (0.4148155748844147 0.3607604503631592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300706709,6714974375,1,1,"(0.4052957594394684, 0.3269748091697693)","(0.42028650641441345, 0.3866351544857025)",1,1,4.21612548828125,4.0931243896484375,"(-41.692203521728516, -9.231727600097656, 661.4835205078125)","(23.561433792114258, -7.753451347351074, 663.2601318359375)","(-32.54775619506836, 140.7944793701172, 40.60322570800781)","(-27.352916717529297, 129.86642456054688, 36.6257438659668)",POINT (0.4127911329269409 0.3568049818277359),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300723377,6714991042,1,1,"(0.41449683904647827, 0.32878366112709045)","(0.42004522681236267, 0.38277968764305115)",1,1,4.2179718017578125,4.0726470947265625,"(-41.708778381347656, -9.225992202758789, 661.481201171875)","(23.545574188232422, -7.743424415588379, 663.285400390625)","(-29.359249114990234, 140.46316528320312, 40.48260498046875)","(-27.43653678894043, 130.57264709472656, 36.882774353027344)",POINT (0.4172710329294205 0.3557816743850708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300740043,6715007708,1,1,"(0.4112059772014618, 0.3340865969657898)","(0.41917771100997925, 0.38906723260879517)",1,1,4.208953857421875,4.0929718017578125,"(-41.720924377441406, -9.234099388122559, 661.4186401367188)","(23.533010482788086, -7.744128227233887, 663.3474731445312)","(-30.499662399291992, 139.49180603027344, 40.129119873046875)","(-27.737154006958008, 129.4209442138672, 36.46358871459961)",POINT (0.4151918441057205 0.3615769147872925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300756718,6715024382,1,1,"(0.4108678996562958, 0.3177407383918762)","(0.42373359203338623, 0.3860914409160614)",1,1,4.2179107666015625,4.079864501953125,"(-41.740692138671875, -9.22768783569336, 661.3551025390625)","(23.503498077392578, -7.7329206466674805, 663.3494873046875)","(-30.616809844970703, 142.48590087890625, 41.2188835144043)","(-26.158361434936523, 129.9660186767578, 36.661964416503906)",POINT (0.417300745844841 0.3519160896539688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300773384,6715041048,1,1,"(0.41344165802001953, 0.3310498297214508)","(0.42163944244384766, 0.3886590898036957)",1,1,4.212417602539063,4.0863189697265625,"(-41.75318145751953, -9.236940383911133, 661.3536376953125)","(23.483951568603516, -7.734557151794434, 663.3021240234375)","(-29.72490882873535, 140.0480499267578, 40.3315544128418)","(-26.88406753540039, 129.49569702148438, 36.49079895019531)",POINT (0.4175405502319336 0.3598544597625732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,18,171300790051,6715057715,1,1,"(0.41218066215515137, 0.3295816481113434)","(0.4193682372570038, 0.38243260979652405)",1,1,4.22479248046875,4.099411010742188,"(-41.764312744140625, -9.245416641235352, 661.3401489257812)","(23.47327423095703, -7.737330913543701, 663.3272705078125)","(-30.161876678466797, 140.31700134277344, 40.4294548034668)","(-27.671123504638672, 130.63621520996094, 36.90591049194336)",POINT (0.4157744497060776 0.3560071289539337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
