,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,54,17,437900468525,2466808783,1,1,"(0.5413368940353394, 0.4894542098045349)","(0.4855237305164337, 0.258492648601532)",1,1,2.7636871337890625,3.1381988525390625,"(-61.496986389160156, -12.994804382324219, 746.2954711914062)","(4.028888702392578, -14.950355529785156, 743.510498046875)","(14.59548282623291, 111.0329360961914, 29.770919799804688)","(-4.745837688446045, 153.3384552001953, 45.168861389160156)",POINT (0.5134303122758865 0.3739734292030334),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,17,437900501862,2466842119,1,1,"(0.46225979924201965, 0.36793583631515503)","(0.4806470274925232, 0.21233609318733215)",1,1,3.1315460205078125,3.1285552978515625,"(-61.885684967041016, -13.259193420410156, 745.97265625)","(3.6368589401245117, -14.90242862701416, 742.9662475585938)","(-12.807634353637695, 133.29161071777344, 37.872413635253906)","(-6.43577766418457, 161.7930145263672, 48.24607467651367)",POINT (0.4714534133672714 0.2901359647512436),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900518529,2466858786,1,1,"(0.4589381217956543, 0.3160179555416107)","(0.4740062654018402, 0.18572475016117096)",1,1,3.239715576171875,3.141021728515625,"(-62.04202651977539, -13.399333953857422, 746.255126953125)","(3.507568359375, -14.916997909545898, 743.3176879882812)","(-13.958724975585938, 142.80148315429688, 41.33369445800781)","(-8.737052917480469, 166.66746520996094, 50.02018737792969)",POINT (0.4664721935987472 0.2508713528513908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900535197,2466875453,1,1,"(0.4674380421638489, 0.37114694714546204)","(0.4837751090526581, 0.200955331325531)",1,1,3.125228881835937,3.173553466796875,"(-62.11976623535156, -13.560900688171387, 746.0067138671875)","(3.419423818588257, -14.958911895751953, 742.8922729492188)","(-11.013192176818848, 132.7034149169922, 37.65834045410156)","(-5.351792812347412, 163.87765502929688, 49.00480651855469)",POINT (0.4756065756082535 0.2860511392354965),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900568523,2466908778,1,1,"(0.4598136842250824, 0.39095407724380493)","(0.48422539234161377, 0.1846100091934204)",1,1,3.143783569335937,3.177154541015625,"(-62.22152328491211, -13.871461868286133, 746.1288452148438)","(3.3380470275878906, -15.090723991394043, 742.9083251953125)","(-13.655290603637695, 129.0753173828125, 36.33781814575195)","(-5.195754528045654, 166.8716278076172, 50.09455490112305)",POINT (0.4720195382833481 0.2877820432186127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900585198,2466925453,1,1,"(0.4725252389907837, 0.3798312544822693)","(0.4782811105251312, 0.14714279770851135)",1,1,3.2043609619140625,3.17413330078125,"(-62.23503112792969, -14.030265808105469, 746.1422119140625)","(3.3280038833618164, -15.173053741455078, 742.90869140625)","(-9.250279426574707, 131.1127166748047, 37.079368591308594)","(-7.255654811859131, 173.73455810546875, 52.59244155883789)",POINT (0.4754031747579575 0.2634870260953903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900601857,2466942111,1,1,"(0.4655168056488037, 0.36672350764274597)","(0.4862367808818817, 0.1559632420539856)",1,1,3.187286376953125,3.149749755859375,"(-62.23326110839844, -14.191106796264648, 746.174560546875)","(3.347017765045166, -15.263120651245117, 742.80224609375)","(-11.678959846496582, 133.51368713378906, 37.953224182128906)","(-4.498740196228027, 172.118896484375, 52.00440979003906)",POINT (0.4758767932653427 0.2613433748483658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900618524,2466958778,1,1,"(0.45656898617744446, 0.3228924572467804)","(0.47724732756614685, 0.1667765974998474)",1,1,3.217880249023437,3.173568725585937,"(-62.195106506347656, -14.350542068481445, 746.0263061523438)","(3.3734638690948486, -15.363946914672852, 742.6192626953125)","(-14.779706001281738, 141.54226684570312, 40.87540054321289)","(-7.613912582397461, 170.13821411132812, 51.28346633911133)",POINT (0.4669081568717956 0.2448345273733139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900635200,2466975453,1,1,"(0.4636089503765106, 0.3478318154811859)","(0.4718862473964691, 0.14502494037151337)",1,1,3.204925537109375,3.1266021728515625,"(-62.143890380859375, -14.535146713256836, 745.958984375)","(3.4172685146331787, -15.505331039428711, 742.5736083984375)","(-12.340102195739746, 136.9740753173828, 39.21274948120117)","(-9.471719741821289, 174.1224822998047, 52.73363494873047)",POINT (0.4677475988864899 0.2464283779263496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900651867,2466992120,1,1,"(0.4562610685825348, 0.3374939560890198)","(0.4839896857738495, 0.16472460329532623)",1,1,3.1949005126953125,3.1836090087890625,"(-62.09165954589844, -14.718717575073242, 746.1724243164062)","(3.501044750213623, -15.656427383422852, 742.801025390625)","(-14.886418342590332, 138.86769104003906, 39.90193176269531)","(-5.277430057525635, 170.51405334472656, 51.42031478881836)",POINT (0.4701253771781921 0.251109279692173),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,54,17,437900668535,2467008787,1,1,"(0.4556775689125061, 0.28144392371177673)","(0.46929752826690674, 0.17442497611045837)",1,1,3.2839508056640625,3.1704864501953125,"(-62.004981994628906, -14.844215393066406, 746.1427612304688)","(3.569287061691284, -15.766759872436523, 742.7394409179688)","(-15.088613510131836, 149.1344451904297, 43.638710021972656)","(-10.368803024291992, 168.7372589111328, 50.77353286743164)",POINT (0.4624875485897064 0.2279344499111176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,54,17,437900685200,2467025452,1,1,"(0.4296412467956543, 0.2509963810443878)","(0.44932860136032104, 0.10716411471366882)",1,1,3.22509765625,3.170806884765625,"(-61.90110778808594, -14.922952651977539, 745.8359375)","(3.599874496459961, -15.820951461791992, 742.480712890625)","(-24.11115264892578, 154.7115478515625, 45.66865921020508)","(-17.288766860961914, 181.05747985839844, 55.257808685302734)",POINT (0.4394849240779877 0.1790802478790283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900701868,2467042119,1,1,"(0.4327143430709839, 0.2698519229888916)","(0.4563433527946472, 0.08693402260541916)",1,1,3.1842803955078125,3.1557769775390625,"(-61.78910446166992, -15.054502487182617, 746.1380615234375)","(3.7404468059539795, -15.955961227416992, 742.7991943359375)","(-23.046218872070312, 151.2577667236328, 44.411529541015625)","(-14.857912063598633, 184.76307678222656, 56.60650634765625)",POINT (0.4445288479328156 0.1783929727971554),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900718534,2467058785,1,1,"(0.44052642583847046, 0.27462461590766907)","(0.4454014301300049, 0.0490652360022068)",1,1,3.183837890625,3.132904052734375,"(-61.61296463012695, -15.1327486038208, 745.7667236328125)","(3.8946492671966553, -16.04538345336914, 742.4019775390625)","(-20.339040756225586, 150.383544921875, 44.0933723449707)","(-18.649675369262695, 191.69955444335938, 59.13117218017578)",POINT (0.4429639279842377 0.1618449259549379),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900735203,2467075453,1,1,"(0.42597994208335876, 0.22698874771595)","(0.4550282657146454, 0.05236611142754555)",1,1,3.24346923828125,3.1331329345703125,"(-61.42680358886719, -15.207042694091797, 745.78662109375)","(4.082484245300293, -16.12036895751953, 742.6739501953125)","(-25.37993812561035, 159.10906982421875, 47.26917266845703)","(-15.313631057739258, 191.09490966796875, 58.911109924316406)",POINT (0.4405041038990021 0.1396774295717478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900751869,2467092119,1,1,"(0.4337926208972931, 0.26247668266296387)","(0.4466569423675537, 0.1310678869485855)",1,1,3.1975860595703125,3.1420440673828125,"(-61.25349426269531, -15.226730346679688, 745.9757080078125)","(4.277684211730957, -16.160327911376953, 742.9454345703125)","(-22.672561645507812, 152.60870361328125, 44.903236389160156)","(-18.2145938873291, 176.67901611328125, 53.664127349853516)",POINT (0.4402247816324234 0.1967722848057747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900768541,2467108790,1,1,"(0.4383012652397156, 0.24675531685352325)","(0.4492068290710449, 0.1131281852722168)",1,1,3.223876953125,3.1275177001953125,"(-61.05803680419922, -15.2268705368042, 746.0281372070312)","(4.481821060180664, -16.182579040527344, 743.0493774414062)","(-21.110139846801758, 155.4884033203125, 45.95135498046875)","(-17.330970764160156, 179.96505737304688, 54.86013412475586)",POINT (0.4437540471553802 0.17994175106287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,54,17,437900785207,2467125456,1,1,"(0.4439223110675812, 0.21847940981388092)","(0.453594833612442, 0.17132602632045746)",1,1,3.21954345703125,3.1702117919921875,"(-60.840126037597656, -15.171250343322754, 745.9290771484375)","(4.691678047180176, -16.16968536376953, 743.0012817382812)","(-19.162240982055664, 160.66773986816406, 47.83647918701172)","(-15.810369491577148, 169.3048858642578, 50.980186462402344)",POINT (0.4487585723400116 0.1949027180671692),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
