,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,30,26,765712200,12649482845,1,1,"(0.4799762964248657, 0.6287679672241211)","(0.4689527451992035, 0.6770325899124146)",1,1,3.273406982421875,3.066253662109375,"(-49.21728515625, -42.321693420410156, 630.3555908203125)","(14.209089279174805, -45.333335876464844, 633.3766479492188)","(-8.538351058959961, 85.31620025634766, 20.410757064819336)","(-12.347254753112793, 76.50128936767578, 17.202404022216797)",POINT (0.4744645208120346 0.6529002785682678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765728868,12649499512,1,1,"(0.47924163937568665, 0.6223317384719849)","(0.4790647625923157, 0.6764054298400879)",1,1,3.2758331298828125,3.0879058837890625,"(-49.20719909667969, -42.33021926879883, 630.3345947265625)","(14.20022964477539, -45.372108459472656, 633.7650756835938)","(-8.792192459106445, 86.49169158935547, 20.838590621948242)","(-8.853316307067871, 76.61585235595703, 17.244081497192383)",POINT (0.4791532009840012 0.6493685841560364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765745537,12649516180,1,1,"(0.47614356875419617, 0.6212637424468994)","(0.4860800802707672, 0.663361668586731)",1,1,3.281341552734375,3.050033569335937,"(-49.19499206542969, -42.32158279418945, 630.2803344726562)","(14.186643600463867, -45.345703125, 633.2776489257812)","(-9.862652778625488, 86.6867446899414, 20.909605026245117)","(-6.429339408874512, 78.99810791015625, 18.111202239990234)",POINT (0.4811118245124817 0.6423127055168152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765762205,12649532847,1,1,"(0.47562411427497864, 0.6210291385650635)","(0.4853688180446625, 0.6576001048088074)",1,1,3.2659912109375,3.061798095703125,"(-49.177040100097656, -42.332054138183594, 630.227783203125)","(14.192893028259277, -45.3419075012207, 632.9229736328125)","(-10.042130470275879, 86.72958374023438, 20.925201416015625)","(-6.675084114074707, 80.05038452148438, 18.494171142578125)",POINT (0.4804964661598206 0.6393146216869354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765778872,12649549514,1,1,"(0.47580981254577637, 0.6244209408760071)","(0.46791133284568787, 0.6802759170532227)",1,1,3.2610626220703125,3.0895233154296875,"(-49.15835189819336, -42.31889343261719, 630.15283203125)","(14.222076416015625, -45.328834533691406, 633.0653686523438)","(-9.977972984313965, 86.11011505126953, 20.699716567993164)","(-12.707101821899414, 75.908935546875, 16.986818313598633)",POINT (0.4718605726957321 0.6523484289646149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765795539,12649566180,1,1,"(0.47721728682518005, 0.6234813332557678)","(0.47833216190338135, 0.6780164837837219)",1,1,3.3123321533203125,3.0841827392578125,"(-49.149574279785156, -42.31805419921875, 630.0870361328125)","(14.222780227661133, -45.351898193359375, 633.1212158203125)","(-9.491663932800293, 86.28173065185547, 20.762187957763672)","(-9.106436729431152, 76.32160949707031, 17.136987686157227)",POINT (0.4777747243642807 0.6507489085197449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765812207,12649582847,1,1,"(0.4782581627368927, 0.618068516254425)","(0.4710218608379364, 0.6723294258117676)",1,1,3.291976928710937,3.093246459960937,"(-49.13551712036133, -42.306392669677734, 630.011474609375)","(14.239354133605957, -45.371463775634766, 633.2984619140625)","(-9.132007598876953, 87.27030944824219, 21.12201499938965)","(-11.632336616516113, 77.36029052734375, 17.515005111694336)",POINT (0.4746400117874146 0.6451989710330963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765828873,12649599513,1,1,"(0.47628286480903625, 0.6155974864959717)","(0.48171281814575195, 0.6519365310668945)",1,1,3.3012237548828125,3.062774658203125,"(-49.13601303100586, -42.30795669555664, 629.9788818359375)","(14.22754192352295, -45.364601135253906, 633.0)","(-9.814536094665527, 87.72159576416016, 21.28628921508789)","(-7.93833589553833, 81.08476257324219, 18.870655059814453)",POINT (0.4789978414773941 0.6337670087814331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765845541,12649616180,1,1,"(0.47973453998565674, 0.6234665513038635)","(0.47710591554641724, 0.6770353317260742)",1,1,3.320465087890625,3.08563232421875,"(-49.15019989013672, -42.29533767700195, 629.8992309570312)","(14.22153091430664, -45.362213134765625, 633.0885620117188)","(-8.62188720703125, 86.28443908691406, 20.763185501098633)","(-9.530137062072754, 76.50080871582031, 17.202226638793945)",POINT (0.478420227766037 0.6502509415149689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765862209,12649632847,1,1,"(0.47964707016944885, 0.6155478358268738)","(0.47144588828086853, 0.6727381944656372)",1,1,3.31878662109375,3.133209228515625,"(-49.17222595214844, -42.3110237121582, 629.8511352539062)","(14.217201232910156, -45.38372802734375, 633.1107177734375)","(-8.65211009979248, 87.73066711425781, 21.289567947387695)","(-11.485828399658203, 77.28561401367188, 17.487876892089844)",POINT (0.4755464792251587 0.6441430151462555),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765878884,12649649522,1,1,"(0.4842361807823181, 0.6138525605201721)","(0.4774096608161926, 0.6780344843864441)",1,1,3.3355712890625,3.122543334960937,"(-49.187591552734375, -42.303688049316406, 629.7160034179688)","(14.201335906982422, -45.365966796875, 633.0226440429688)","(-7.066451072692871, 88.04029846191406, 21.402250289916992)","(-9.42518424987793, 76.31831359863281, 17.135807037353516)",POINT (0.4808229207992554 0.6459435224533081),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765895551,12649666188,1,1,"(0.48001372814178467, 0.6036518216133118)","(0.4667276442050934, 0.6681139469146729)",1,1,3.326416015625,3.1059112548828125,"(-49.2159423828125, -42.31818771362305, 629.622802734375)","(14.15639591217041, -45.362159729003906, 632.7919921875)","(-8.525416374206543, 89.9033203125, 22.080339431762695)","(-13.116096496582031, 78.13018035888672, 17.795259475708008)",POINT (0.473370686173439 0.6358828842639923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765912219,12649682855,1,1,"(0.4808930456638336, 0.6077402830123901)","(0.48017939925193787, 0.6868792176246643)",1,1,3.3122711181640625,3.072052001953125,"(-49.24271774291992, -42.32696533203125, 629.585693359375)","(14.105579376220703, -45.35636520385742, 632.7385864257812)","(-8.221590995788574, 89.1566162109375, 21.808576583862305)","(-8.468165397644043, 74.70296478271484, 16.547821044921875)",POINT (0.4805362224578857 0.6473097503185272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765928885,12649699521,1,1,"(0.4806947708129883, 0.615608811378479)","(0.4757620692253113, 0.6593925356864929)",1,1,3.3274383544921875,3.0720977783203125,"(-49.297000885009766, -42.35954284667969, 629.69921875)","(14.047042846679688, -45.36729431152344, 632.67529296875)","(-8.290093421936035, 87.71955871582031, 21.28546905517578)","(-9.994461059570312, 79.72303009033203, 18.37498664855957)",POINT (0.4782284200191498 0.637500673532486),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,26,765945553,12649716188,1,1,"(0.4666207432746887, 0.5564709901809692)","(0.4701789319515228, 0.6078300476074219)",1,1,3.3201141357421875,3.081390380859375,"(-49.39155578613281, -42.31736755371094, 630.00634765625)","(13.949143409729004, -45.306854248046875, 633.065185546875)","(-13.153042793273926, 98.52030944824219, 25.21662139892578)","(-11.923580169677734, 89.1402359008789, 21.80258560180664)",POINT (0.4683998376131058 0.5821505188941956),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,30,26,765962220,12649732855,1,1,"(0.4545474052429199, 0.4165414869785309)","(0.46517637372016907, 0.47523653507232666)",1,1,3.31390380859375,3.083526611328125,"(-49.363468170166016, -42.17219924926758, 630.2208251953125)","(13.815254211425781, -45.117366790771484, 632.9395141601562)","(-17.324684143066406, 124.0765609741211, 34.51837921142578)","(-13.652088165283203, 113.3566665649414, 30.616695404052734)",POINT (0.4598618894815445 0.4458890110254288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,765978888,12649749522,1,1,"(0.4618742763996124, 0.3836328089237213)","(0.45901966094970703, 0.4418356716632843)",1,1,3.341888427734375,3.0531463623046875,"(-49.41155242919922, -42.158809661865234, 630.2579345703125)","(13.766672134399414, -45.101707458496094, 633.1396484375)","(-14.793062210083008, 130.08689880371094, 36.705970764160156)","(-15.779401779174805, 119.45689392089844, 32.83700180053711)",POINT (0.4604469686746597 0.4127342402935028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,765995555,12649766188,1,1,"(0.4586651027202606, 0.39059311151504517)","(0.4606308043003082, 0.4316283166408539)",1,1,3.3328857421875,3.024032592773437,"(-49.43275451660156, -42.13914489746094, 629.8106079101562)","(13.736822128295898, -45.09225845336914, 632.7426147460938)","(-15.901895523071289, 128.815673828125, 36.2432746887207)","(-15.222713470458984, 121.3211441040039, 33.515499114990234)",POINT (0.4596479535102844 0.4111107140779495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766012226,12649782858,1,1,"(0.46059945225715637, 0.39472201466560364)","(0.4566172659397125, 0.4346809387207031)",1,1,3.3151092529296875,3.001449584960937,"(-49.48833465576172, -42.14179611206055, 629.9689331054688)","(13.719883918762207, -45.083431243896484, 632.8426513671875)","(-15.233539581298828, 128.06158447265625, 35.968807220458984)","(-16.609474182128906, 120.76362609863281, 33.312557220458984)",POINT (0.4586083590984344 0.4147014766931534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766028893,12649799525,1,1,"(0.46776244044303894, 0.3887246251106262)","(0.4590139389038086, 0.43814802169799805)",1,1,3.31072998046875,3.038726806640625,"(-49.560707092285156, -42.1531867980957, 630.2789916992188)","(13.699481964111328, -45.077239990234375, 632.9093627929688)","(-12.758545875549316, 129.1569366455078, 36.36748504638672)","(-15.781362533569336, 120.13040161132812, 33.08211135864258)",POINT (0.4633881896734238 0.4134363234043121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766045561,12649816192,1,1,"(0.4706065356731415, 0.39208120107650757)","(0.4584146738052368, 0.4280421733856201)",1,1,3.3096923828125,3.0063629150390625,"(-49.61320495605469, -42.154930114746094, 630.30517578125)","(13.668376922607422, -45.06548309326172, 632.9547729492188)","(-11.77584457397461, 128.54391479492188, 36.144351959228516)","(-15.988435745239258, 121.97610473632812, 33.753883361816406)",POINT (0.4645106047391892 0.4100616872310638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766062228,12649832859,1,1,"(0.46294090151786804, 0.38841375708580017)","(0.45646825432777405, 0.3835250735282898)",1,1,3.260772705078125,2.9165802001953125,"(-49.64347839355469, -42.16889190673828, 630.2340087890625)","(13.632944107055664, -45.07202911376953, 633.121826171875)","(-14.424501419067383, 129.21371459960938, 36.38816452026367)","(-16.660982131958008, 130.1065673828125, 36.713138580322266)",POINT (0.459704577922821 0.385969415307045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766078895,12649849525,1,1,"(0.4640279710292816, 0.4136407673358917)","(0.4555184543132782, 0.4364553987979889)",1,1,3.317352294921875,3.0057830810546875,"(-49.7000732421875, -42.17949676513672, 630.3251953125)","(13.580781936645508, -45.074424743652344, 633.2460327148438)","(-14.048897743225098, 124.60633087158203, 34.711212158203125)","(-16.9891414642334, 120.4395523071289, 33.19458770751953)",POINT (0.4597732126712799 0.4250480830669403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766095563,12649866192,1,1,"(0.4695049226284027, 0.38795772194862366)","(0.46407291293144226, 0.44479817152023315)",1,1,3.2557830810546875,3.009033203125,"(-49.799049377441406, -42.21429443359375, 630.6101684570312)","(13.487276077270508, -45.080718994140625, 633.2720947265625)","(-12.156476020812988, 129.2969970703125, 36.41847610473633)","(-14.033373832702637, 118.91584014892578, 32.64006423950195)",POINT (0.4667889177799225 0.4163779467344284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766112230,12649882858,1,1,"(0.4609345495700836, 0.39272791147232056)","(0.4613955020904541, 0.43794628977775574)",1,1,3.263824462890625,3.00189208984375,"(-49.86261749267578, -42.22673416137695, 630.522705078125)","(13.4140625, -45.058502197265625, 633.2196044921875)","(-15.11776351928711, 128.42578125, 36.101402282714844)","(-14.958473205566406, 120.16725158691406, 33.09549331665039)",POINT (0.4611650258302689 0.4153371006250382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766128898,12649899526,1,1,"(0.4733653664588928, 0.3855789005756378)","(0.46404847502708435, 0.43948620557785034)",1,1,3.2409210205078125,3.0079498291015625,"(-49.97052001953125, -42.28507995605469, 630.7957763671875)","(13.3173828125, -45.07600021362305, 633.4682006835938)","(-10.822590827941895, 129.73146057128906, 36.576568603515625)","(-14.041830062866211, 119.8860092163086, 32.993141174316406)",POINT (0.4687069207429886 0.4125325530767441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,26,766145570,12649916197,1,1,"(0.4660395085811615, 0.3846985101699829)","(0.4676674008369446, 0.4475565254688263)",1,1,3.2495880126953125,3.001434326171875,"(-50.067440032958984, -42.30514144897461, 630.892578125)","(13.223098754882812, -45.043514251708984, 633.4609375)","(-13.35385799407959, 129.89224243164062, 36.635108947753906)","(-12.791372299194336, 118.41207885742188, 32.456661224365234)",POINT (0.466853454709053 0.4161275178194046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
