,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,number.1,n.1,if.1,<=.1,n.2,0.1,0.2,      .1,letrec.1,-----------.1,helper.1,lambda.1,i.1,acc.1,if.2,>.1,i.2,n.3,acc.2,helper.2,+.1,i.3,1.1,+.2,acc.3,i.4,).1,).2,).3,).4,(.1,helper.3,1.2,0.3,).5,).6,).7,question,code,choices
0,55,32,837183096580,1134187135,1,1,"(0.4791713058948517, 0.43507978320121765)","(0.46675556898117065, 0.46915921568870544)",1,1,3.1555633544921875,3.0900115966796875,"(-50.683292388916016, 27.77154541015625, 536.3678588867188)","(6.857413291931152, 27.212528228759766, 540.0262451171875)","(-8.816502571105957, 120.69076538085938, 33.286094665527344)","(-13.106444358825684, 114.46661376953125, 31.020668029785156)",POINT (0.4729634374380112 0.4521194994449616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183113247,1134203802,1,1,"(0.4767100214958191, 0.4351311922073364)","(0.47124171257019043, 0.4645076096057892)",1,1,3.1571044921875,3.0921630859375,"(-50.70924377441406, 27.748571395874023, 536.266357421875)","(6.818201541900635, 27.218143463134766, 540.17236328125)","(-9.666926383972168, 120.68138885498047, 33.28263854980469)","(-11.55635929107666, 115.31616973876953, 31.329877853393555)",POINT (0.4739758670330048 0.4498194009065628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183129915,1134220469,1,1,"(0.4818826913833618, 0.4399649202823639)","(0.46854764223098755, 0.46865907311439514)",1,1,3.16412353515625,3.10540771484375,"(-50.774356842041016, 27.753604888916016, 536.4493408203125)","(6.791062831878662, 27.21261215209961, 540.0918579101562)","(-7.879635810852051, 119.798583984375, 32.96128845214844)","(-12.487245559692383, 114.55796813964844, 31.053903579711914)",POINT (0.4752151668071747 0.4543119966983795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183146581,1134237135,1,1,"(0.4804980456829071, 0.4381909668445587)","(0.46441105008125305, 0.45290789008140564)",1,1,3.169174194335937,3.09100341796875,"(-50.80426788330078, 27.749752044677734, 536.412841796875)","(6.763575553894043, 27.20801544189453, 539.9794921875)","(-8.35807991027832, 120.12257385253906, 33.07921600341797)","(-13.916533470153809, 117.43472290039062, 32.10093307495117)",POINT (0.4724545478820801 0.4455494284629822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,32,837183163250,1134253803,1,1,"(0.4824071228504181, 0.4304918646812439)","(0.4606407582759857, 0.4632358253002167)",1,1,3.165802001953125,3.10491943359375,"(-50.842872619628906, 27.760494232177734, 536.391357421875)","(6.727168083190918, 27.222415924072266, 539.9152221679688)","(-7.69844388961792, 121.52870178222656, 33.591033935546875)","(-15.219267845153809, 115.5484619140625, 31.414377212524414)",POINT (0.4715239405632019 0.4468638449907303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,32,837183179916,1134270469,1,1,"(0.48115527629852295, 0.4375184178352356)","(0.4625231623649597, 0.4675598442554474)",1,1,3.1820831298828125,3.1148681640625,"(-50.889190673828125, 27.787595748901367, 536.3519287109375)","(6.685979843139648, 27.26482391357422, 539.980712890625)","(-8.13098430633545, 120.24539184570312, 33.123966217041016)","(-14.568855285644531, 114.75872802734375, 31.126968383789062)",POINT (0.4718392193317413 0.4525391310453415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183196583,1134287135,1,1,"(0.480692595243454, 0.43735769391059875)","(0.46751201152801514, 0.4612191617488861)",1,1,3.182601928710937,3.10986328125,"(-50.94375228881836, 27.808700561523438, 536.3116455078125)","(6.633050441741943, 27.313209533691406, 540.0303344726562)","(-8.29084300994873, 120.27474975585938, 33.1346435546875)","(-12.84507942199707, 115.9167709350586, 31.548446655273438)",POINT (0.4741023033857346 0.4492884278297424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183213250,1134303802,1,1,"(0.481758177280426, 0.4175047278404236)","(0.4668932259082794, 0.46159622073173523)",1,1,3.1802215576171875,3.1253662109375,"(-50.98295593261719, 27.809764862060547, 536.241455078125)","(6.591210842132568, 27.346324920654297, 539.9495849609375)","(-7.922666072845459, 123.90062713623047, 34.45437240600586)","(-13.058890342712402, 115.84791564941406, 31.523366928100586)",POINT (0.4743257015943527 0.4395504742860794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,32,837183229922,1134320473,1,1,"(0.4833625555038452, 0.43616005778312683)","(0.4628373682498932, 0.47309020161628723)",1,1,3.179351806640625,3.130462646484375,"(-51.039608001708984, 27.838003158569336, 536.3444213867188)","(6.552907466888428, 27.371580123901367, 539.8045654296875)","(-7.368312358856201, 120.49347686767578, 33.21425247192383)","(-14.46027946472168, 113.74867248535156, 30.759353637695312)",POINT (0.4730999618768692 0.454625129699707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,32,837183246588,1134337139,1,1,"(0.4779464602470398, 0.44151681661605835)","(0.46239641308784485, 0.4699977934360504)",1,1,3.1963348388671875,3.1344146728515625,"(-51.048912048339844, 27.832523345947266, 536.1005859375)","(6.518660545349121, 27.398273468017578, 539.7410888671875)","(-9.239710807800293, 119.51513671875, 32.8581657409668)","(-14.612638473510742, 114.31348419189453, 30.96487045288086)",POINT (0.4701714366674423 0.4557573050260544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
