,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,34,5,73623165293,4002132125,1,1,"(0.40940359234809875, 0.8740755915641785)","(0.39815622568130493, 0.9014124274253845)",1,1,2.668304443359375,2.513900756835937,"(-57.51507568359375, 51.0909309387207, 493.8533630371094)","(6.777320384979248, 54.507144927978516, 498.57794189453125)","(-32.923004150390625, 40.51400375366211, 4.104089736938477)","(-36.809242248535156, 35.52128219604492, 2.2869176864624023)",POINT (0.4037799090147018 0.8877440094947815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623181959,4002148790,1,1,"(0.42194804549217224, 0.8762219548225403)","(0.3919651508331299, 0.913223922252655)",1,1,2.690521240234375,2.504913330078125,"(-57.4912109375, 51.08134078979492, 493.8082275390625)","(6.790618896484375, 54.49993133544922, 498.59808349609375)","(-28.58857536315918, 40.122005462646484, 3.9614412784576416)","(-38.948429107666016, 33.36408615112305, 1.5017756223678589)",POINT (0.4069565981626511 0.8947229385375977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623198625,4002165456,1,1,"(0.4036532938480377, 0.8761814832687378)","(0.3892636299133301, 0.9080570340156555)",1,1,2.6933746337890625,2.53741455078125,"(-57.484397888183594, 51.08210372924805, 493.8310241699219)","(6.796627998352051, 54.499629974365234, 498.6116943359375)","(-34.909873962402344, 40.129371643066406, 3.9641003608703613)","(-39.881866455078125, 34.30774688720703, 1.8452258110046387)",POINT (0.3964584618806839 0.8921192586421967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623215293,4002182123,1,1,"(0.3991774022579193, 0.887301504611969)","(0.3896935284137726, 0.8968844413757324)",1,1,2.729339599609375,2.574203491210937,"(-57.50632095336914, 51.104000091552734, 493.95782470703125)","(6.7856974601745605, 54.510398864746094, 498.72320556640625)","(-36.45641326904297, 38.09846115112305, 3.224937677383423)","(-39.73333740234375, 36.348262786865234, 2.587921142578125)",POINT (0.394435465335846 0.8920929729938507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623231960,4002198790,1,1,"(0.4099256694316864, 0.8668574690818787)","(0.3964705467224121, 0.9019415378570557)",1,1,2.6957550048828125,2.5621490478515625,"(-57.519927978515625, 51.122432708740234, 493.99090576171875)","(6.773081302642822, 54.543270111083984, 498.7928466796875)","(-32.74260711669922, 41.8322868347168, 4.583928108215332)","(-37.39169692993164, 35.42465591430664, 2.2517309188842773)",POINT (0.4031981080770493 0.8843995034694672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623248629,4002215458,1,1,"(0.4106215536594391, 0.8873319625854492)","(0.3824906349182129, 0.915733814239502)",1,1,2.7066650390625,2.5865631103515625,"(-57.53789520263672, 51.18779754638672, 494.0947570800781)","(6.762698173522949, 54.58875274658203, 498.87493896484375)","(-32.502159118652344, 38.0928840637207, 3.2229321002960205)","(-42.22212219238281, 32.905677795410156, 1.3349095582962036)",POINT (0.396556094288826 0.9015328884124756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623265296,4002232125,1,1,"(0.4083177447319031, 0.8794608116149902)","(0.37555044889450073, 0.9167537689208984)",1,1,2.710235595703125,2.55133056640625,"(-57.54979705810547, 51.24637985229492, 494.1849670410156)","(6.7638444900512695, 54.66118240356445, 498.8609619140625)","(-33.29818344116211, 39.53044509887695, 3.7461438179016113)","(-44.620113372802734, 32.719390869140625, 1.2670881748199463)",POINT (0.3919340968132019 0.8981072902679443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623281964,4002248792,1,1,"(0.4070141911506653, 0.8674887418746948)","(0.39708900451660156, 0.913673996925354)",1,1,2.7092437744140625,2.5435943603515625,"(-57.524696350097656, 51.28740692138672, 494.1344909667969)","(6.774650573730469, 54.720115661621094, 498.86785888671875)","(-33.74861526489258, 41.71698760986328, 4.541987419128418)","(-37.178001403808594, 33.28188705444336, 1.4718302488327026)",POINT (0.4020515978336334 0.8905813694000244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623298638,4002265466,1,1,"(0.4038316607475281, 0.8705040216445923)","(0.3911665380001068, 0.8806458115577698)",1,1,2.73724365234375,2.55535888671875,"(-57.49210739135742, 51.36810302734375, 494.12481689453125)","(6.808449745178223, 54.768157958984375, 498.97821044921875)","(-34.84825134277344, 41.16631317138672, 4.341528415679932)","(-39.2243766784668, 39.31404113769531, 3.667356252670288)",POINT (0.3974990993738174 0.875574916601181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623315304,4002282131,1,1,"(0.42131316661834717, 0.8850679397583008)","(0.3936884105205536, 0.8968257904052734)",1,1,2.729888916015625,2.560211181640625,"(-57.45223617553711, 51.44186019897461, 494.2027587890625)","(6.856296062469482, 54.83218002319336, 498.88006591796875)","(-28.807950973510742, 38.50639724731445, 3.3734452724456787)","(-38.352996826171875, 36.358985900878906, 2.5918145179748535)",POINT (0.4075007885694504 0.8909468650817871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,34,5,73623331971,4002298798,1,1,"(0.404593825340271, 0.863397479057312)","(0.3852587640285492, 0.9191098809242249)",1,1,2.723114013671875,2.545272827148437,"(-57.425045013427734, 51.516685485839844, 494.22467041015625)","(6.894372463226318, 54.883155822753906, 498.8787536621094)","(-34.58489990234375, 42.464229583740234, 4.813917636871338)","(-41.265655517578125, 32.28908920288086, 1.1104871034622192)",POINT (0.3949262946844101 0.8912536799907684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
