,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,37,11,764951189228,928046199,1,1,"(0.5007140040397644, 0.5371252298355103)","(0.4771634340286255, 0.5597666501998901)",1,1,2.736190795898437,2.6504058837890625,"(-104.16167449951172, -25.494522094726562, 707.5083618164062)","(-35.11540222167969, -17.563552856445312, 713.5057373046875)","(-1.372951865196228, 102.05353546142578, 26.502649307250977)","(-9.51026725769043, 97.91837310791016, 24.997575759887695)",POINT (0.488938719034195 0.5484459400177002),,,,,,,,,,,1,
0,37,11,764951205894,928062865,1,1,"(0.511267364025116, 0.5367565751075745)","(0.4796401262283325, 0.5721663236618042)",1,1,2.75433349609375,2.6640777587890625,"(-104.19926452636719, -25.50598907470703, 707.4528198242188)","(-35.1496696472168, -17.549968719482422, 713.4879150390625)","(2.2735037803649902, 102.1208724975586, 26.527149200439453)","(-8.654511451721191, 95.65374755859375, 24.173328399658203)",POINT (0.4954537451267242 0.5544614493846893),,,,,,,,,,,1,
0,37,11,764951222562,928079532,1,1,"(0.5047574639320374, 0.5305299758911133)","(0.47958338260650635, 0.5456997752189636)",1,1,2.7423553466796875,2.638336181640625,"(-104.24967193603516, -25.510150909423828, 707.3491821289062)","(-35.21578598022461, -17.533828735351562, 713.5794677734375)","(0.02415541000664234, 103.2580795288086, 26.941078186035156)","(-8.674110412597656, 100.48750305175781, 25.932666778564453)",POINT (0.4921704232692718 0.5381148755550385),,,,,,,,,,,1,
0,37,11,764951239229,928096199,1,1,"(0.5032193660736084, 0.5396250486373901)","(0.47897112369537354, 0.5391429662704468)",1,1,2.751068115234375,2.6620025634765625,"(-104.34559631347656, -25.511245727539062, 707.4912719726562)","(-35.30070114135742, -17.50613784790039, 713.6693725585938)","(-0.5072821974754333, 101.59696197509766, 26.336471557617188)","(-8.885665893554688, 101.68502807617188, 26.368505477905273)",POINT (0.491095244884491 0.5393840074539185),,,,,,,,,,,1,
0,37,11,764951255895,928112864,1,1,"(0.4994411766529083, 0.5375117063522339)","(0.4936756193637848, 0.5591249465942383)",1,1,2.732025146484375,2.6506805419921875,"(-104.41873168945312, -25.505502700805664, 707.437744140625)","(-35.3842658996582, -17.44933319091797, 713.5750122070312)","(-1.812748670578003, 101.98295593261719, 26.476970672607422)","(-3.804886817932129, 98.03556823730469, 25.04024887084961)",POINT (0.4965583980083466 0.5483183264732361),,,,,,,,,,,1,
0,37,11,764951272566,928129535,1,1,"(0.5137225985527039, 0.5410938262939453)","(0.4815797507762909, 0.5526542067527771)",1,1,2.75067138671875,2.6511993408203125,"(-104.51781463623047, -25.48106575012207, 707.4192504882812)","(-35.491607666015625, -17.380054473876953, 713.7042846679688)","(3.121837854385376, 101.3287353515625, 26.238813400268555)","(-7.984309196472168, 99.21736145019531, 25.47035789489746)",POINT (0.4976511746644974 0.5468740165233612),,,,,,,,,,,1,
0,37,11,764951289233,928146201,1,1,"(0.5059814453125, 0.5201624631881714)","(0.4875519573688507, 0.5389283299446106)",1,1,2.740264892578125,2.658294677734375,"(-104.63349914550781, -25.3924503326416, 707.6121215820312)","(-35.59689712524414, -17.2454833984375, 713.66455078125)","(0.44709110260009766, 105.15155029296875, 27.63023567199707)","(-5.92077112197876, 101.72422790527344, 26.382776260375977)",POINT (0.4967667013406754 0.529545396566391),,,,,,,,,,,1,
0,37,11,764951305901,928162869,1,1,"(0.4812411069869995, 0.3097344934940338)","(0.49138012528419495, 0.2712596654891968)",1,1,2.734359741210937,2.64007568359375,"(-104.63922882080078, -25.031574249267578, 707.7675170898438)","(-35.774658203125, -16.897045135498047, 714.02587890625)","(-8.10131549835205, 143.58343505859375, 41.61831283569336)","(-4.598045349121094, 150.6103515625, 44.1759033203125)",POINT (0.4863106161355972 0.2904970794916153),,,,,,,,,,1,1,
0,37,11,764951322568,928179535,1,1,"(0.4972684383392334, 0.19346365332603455)","(0.48910409212112427, 0.25468066334724426)",1,1,2.70294189453125,2.681121826171875,"(-104.67095184326172, -24.771459579467773, 707.8858032226562)","(-35.878597259521484, -16.668888092041016, 713.971435546875)","(-2.563478469848633, 164.8187713623047, 49.347320556640625)","(-5.384465217590332, 153.63829040527344, 45.277984619140625)",POINT (0.4931862652301788 0.2240721583366394),,,,,,,,,,,1,
0,37,11,764951339235,928196202,1,1,"(0.49464860558509827, 0.18699181079864502)","(0.4829449951648712, 0.27351394295692444)",1,1,2.709197998046875,2.6997833251953125,"(-104.75717163085938, -24.67026138305664, 707.9005126953125)","(-35.911582946777344, -16.543825149536133, 713.9957885742188)","(-3.4686827659606934, 166.00076293945312, 49.77754592895508)","(-7.512584686279297, 150.19863891601562, 44.026058197021484)",POINT (0.4887968003749847 0.2302528768777847),,,,,,,,,,1,1,
