,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,55,14,836469159310,420270497,1,1,"(0.44134560227394104, 0.5339616537094116)","(0.449179470539093, 0.5292819738388062)",1,1,3.1324005126953125,3.102767944335937,"(-27.30959701538086, 39.39208221435547, 554.5238037109375)","(30.21349334716797, 36.19641876220703, 554.5735473632812)","(-21.886234283447266, 102.63131713867188, 26.71295166015625)","(-19.179433822631836, 103.48600006103516, 27.024011611938477)",POINT (0.445262536406517 0.5316218137741089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469175978,420287164,1,1,"(0.4380607604980469, 0.5280296206474304)","(0.4544258415699005, 0.527044415473938)",1,1,3.132598876953125,3.0878448486328125,"(-27.335277557373047, 39.37053680419922, 554.368408203125)","(30.1903076171875, 36.22234344482422, 554.7466430664062)","(-23.021224975585938, 103.71473693847656, 27.107254028320312)","(-17.366683959960938, 103.8946533203125, 27.17279815673828)",POINT (0.4462433010339737 0.5275370180606842),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469192645,420303831,1,1,"(0.4384806454181671, 0.5301095247268677)","(0.4566648006439209, 0.533915102481842)",1,1,3.115081787109375,3.0948944091796875,"(-27.36599349975586, 39.36090850830078, 554.3143310546875)","(30.16351890563965, 36.24018096923828, 554.8516845703125)","(-22.87613868713379, 103.3348617553711, 26.968997955322266)","(-16.593059539794922, 102.63980865478516, 26.716062545776367)",POINT (0.447572723031044 0.5320123136043549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469209312,420320497,1,1,"(0.43927091360092163, 0.5282044410705566)","(0.45654401183128357, 0.5308198928833008)",1,1,3.099227905273437,3.09442138671875,"(-27.400819778442383, 39.361572265625, 554.4307861328125)","(30.134037017822266, 36.2391242980957, 554.80322265625)","(-22.60308837890625, 103.68279266357422, 27.095651626586914)","(-16.634788513183594, 103.20512390136719, 26.921789169311523)",POINT (0.4479074627161026 0.5295121669769287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469225982,420337167,1,1,"(0.44115203619003296, 0.5310271382331848)","(0.45093271136283875, 0.5433199405670166)",1,1,3.119537353515625,3.09039306640625,"(-27.430431365966797, 39.369384765625, 554.6158447265625)","(30.11380386352539, 36.239017486572266, 554.685302734375)","(-21.953109741210938, 103.16727447509766, 26.907995223999023)","(-18.573637008666992, 100.92215728759766, 26.09082794189453)",POINT (0.4460423737764358 0.5371735394001007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469242650,420353834,1,1,"(0.44272834062576294, 0.523740291595459)","(0.45345374941825867, 0.5352728962898254)",1,1,3.1033477783203125,3.0689239501953125,"(-27.456707000732422, 39.360572814941406, 554.734375)","(30.09560775756836, 36.24283981323242, 554.78955078125)","(-21.408458709716797, 104.49811553955078, 27.39242172241211)","(-17.702558517456055, 102.39183044433594, 26.625797271728516)",POINT (0.4480910450220108 0.5295065939426422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469259316,420370500,1,1,"(0.44052430987358093, 0.5191388130187988)","(0.4535518288612366, 0.5377199649810791)",1,1,3.09466552734375,3.0762939453125,"(-27.473628997802734, 39.32864761352539, 554.7496337890625)","(30.084144592285156, 36.2451057434082, 554.85888671875)","(-22.17001724243164, 105.33851623535156, 27.69829750061035)","(-17.66866683959961, 101.94491577148438, 26.463109970092773)",POINT (0.4470380693674088 0.528429388999939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469275984,420387167,1,1,"(0.4413646459579468, 0.5241066813468933)","(0.4529358744621277, 0.5421205759048462)",1,1,3.110137939453125,3.084381103515625,"(-27.48459243774414, 39.30476760864258, 554.731689453125)","(30.07323455810547, 36.24388122558594, 554.87646484375)","(-21.879648208618164, 104.43118286132812, 27.368099212646484)","(-17.881502151489258, 101.14118957519531, 26.170589447021484)",POINT (0.4471502602100372 0.5331136286258698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469292651,420403834,1,1,"(0.44106483459472656, 0.5165230631828308)","(0.4544580578804016, 0.5460725426673889)",1,1,3.1003570556640625,3.081878662109375,"(-27.488876342773438, 39.27983093261719, 554.7318115234375)","(30.07288360595703, 36.23579025268555, 554.911376953125)","(-21.983243942260742, 105.81624603271484, 27.872156143188477)","(-17.355546951293945, 100.41941833496094, 25.907913208007812)",POINT (0.4477614462375641 0.5312978029251099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,55,14,836469309318,420420500,1,1,"(0.44362184405326843, 0.5052680373191833)","(0.45101290941238403, 0.531256914138794)",1,1,3.0850982666015625,3.0666046142578125,"(-27.50566864013672, 39.28512191772461, 554.9190673828125)","(30.071887969970703, 36.208702087402344, 554.80859375)","(-21.09972381591797, 107.87181854248047, 28.620349884033203)","(-18.545936584472656, 103.12529754638672, 26.892759323120117)",POINT (0.4473173767328262 0.5182624757289886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
