,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,25,13,249701488918,1197022586,1,1,"(0.38705796003341675, -0.0020891400054097176)","(0.398940771818161, 0.10405907779932022)",1,1,3.179672241210937,2.8465728759765625,"(-50.181034088134766, -35.988189697265625, 676.4908447265625)","(19.802539825439453, -35.12816619873047, 678.8184814453125)","(-40.64399337768555, 200.53392028808594, 62.34657669067383)","(-36.53817367553711, 181.14732360839844, 55.29044723510742)",POINT (0.3929993659257889 0.0509849688969552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701505594,1197039262,1,1,"(0.3868492841720581, -0.025231726467609406)","(0.39806339144706726, 0.04786303639411926)",1,1,3.149169921875,2.8038330078125,"(-50.200565338134766, -35.9702262878418, 676.5516967773438)","(19.800077438354492, -35.1064338684082, 678.869873046875)","(-40.71608352661133, 204.7605743408203, 63.8849983215332)","(-36.84133529663086, 191.4108123779297, 59.026039123535156)",POINT (0.3924563378095627 0.0113156549632549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701522262,1197055929,1,1,"(0.3844938278198242, -0.09664813429117203)","(0.3901061713695526, 0.15500770509243011)",1,1,3.0662994384765625,2.893829345703125,"(-50.2374382019043, -35.92928695678711, 676.6226806640625)","(19.783153533935547, -35.05523681640625, 678.9857177734375)","(-41.52995681762695, 217.80384826660156, 68.63233184814453)","(-39.59075927734375, 171.8422393798828, 51.90365219116211)",POINT (0.3872999995946884 0.029179785400629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701538928,1197072595,1,1,"(0.3915484547615051, 0.03909909352660179)","(0.3928043246269226, 0.17593273520469666)",1,1,3.2329559326171875,2.9380035400390625,"(-50.28883361816406, -35.90804672241211, 676.65283203125)","(19.743467330932617, -35.02317810058594, 678.8990478515625)","(-39.09239959716797, 193.01141357421875, 59.608619689941406)","(-38.65846633911133, 168.02056884765625, 50.5126838684082)",POINT (0.3921763896942139 0.1075159143656492),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701555588,1197089254,1,1,"(0.39168789982795715, 0.0509926863014698)","(0.3891330659389496, 0.12819324433803558)",1,1,3.2198944091796875,2.8861846923828125,"(-50.36143493652344, -35.86900329589844, 676.7182006835938)","(19.682117462158203, -34.96559143066406, 678.8773193359375)","(-39.044219970703125, 190.83920288085938, 58.8179817199707)","(-39.926979064941406, 176.7395477294922, 53.686126708984375)",POINT (0.3904104828834534 0.0895929653197527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701572265,1197105931,1,1,"(0.3955860733985901, 0.050789013504981995)","(0.3989107310771942, 0.08002157509326935)",1,1,3.224334716796875,2.832061767578125,"(-50.445831298828125, -35.85567855834961, 676.7818603515625)","(19.593473434448242, -34.940711975097656, 679.1495361328125)","(-37.69731903076172, 190.87643432617188, 58.83152770996094)","(-36.54855728149414, 185.53746032714844, 56.88832092285156)",POINT (0.3972484022378922 0.0654052942991257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701588933,1197122598,1,1,"(0.3892180025577545, -0.00447070924565196)","(0.3953723609447479, 0.10883761942386627)",1,1,3.1600494384765625,2.8412017822265625,"(-50.555931091308594, -35.850196838378906, 676.8670654296875)","(19.499155044555664, -34.8863639831543, 679.0018310546875)","(-39.89763641357422, 200.96885681152344, 62.50490188598633)","(-37.77115249633789, 180.2745819091797, 54.972816467285156)",POINT (0.3922951817512512 0.0521834550891072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701605591,1197139256,1,1,"(0.3909781277179718, 0.006789022125303745)","(0.3965163826942444, 0.09533091634511948)",1,1,3.182647705078125,2.859619140625,"(-50.6467170715332, -35.8587646484375, 676.87841796875)","(19.40826988220215, -34.86875534057617, 679.0968017578125)","(-39.28946304321289, 198.9124298095703, 61.75640106201172)","(-37.375858306884766, 182.74142456054688, 55.870635986328125)",POINT (0.3937472552061081 0.0510599692352116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701622259,1197155923,1,1,"(0.3947133421897888, 0.04271252080798149)","(0.3969593644142151, 0.09705018997192383)",1,1,3.2176055908203125,2.819686889648437,"(-50.745853424072266, -35.878787994384766, 676.9911499023438)","(19.317827224731445, -34.84953689575195, 679.0762329101562)","(-37.99885177612305, 192.35147094726562, 59.368404388427734)","(-37.222808837890625, 182.4274139404297, 55.756351470947266)",POINT (0.395836353302002 0.0698813553899527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,13,249701638926,1197172590,1,1,"(0.4013347029685974, 0.03736444562673569)","(0.394024521112442, 0.1823895275592804)",1,1,3.223251342773437,2.90655517578125,"(-50.802642822265625, -35.89487838745117, 676.9185791015625)","(19.267120361328125, -34.84712219238281, 678.85009765625)","(-35.71100616455078, 193.32821655273438, 59.72394943237305)","(-38.23686218261719, 166.84130859375, 50.083499908447266)",POINT (0.3976796120405197 0.109876986593008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
