,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,26,6,689102475,851554655,1,1,"(0.438451886177063, 0.7394155263900757)","(0.43752336502075195, 0.6566720604896545)",1,1,3.532745361328125,3.27593994140625,"(-74.54756164550781, 2.904143810272217, 592.4629516601562)","(-9.878435134887695, 6.771658897399902, 595.6292724609375)","(-21.057947158813477, 65.24720764160156, 13.106263160705566)","(-21.379711151123047, 80.40342712402344, 18.62267303466797)",POINT (0.4379876255989075 0.6980437934398651),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689119147,851571327,1,1,"(0.4276106059551239, 0.7406374216079712)","(0.44075900316238403, 0.6582207083702087)",1,1,3.5383758544921875,3.274688720703125,"(-74.57127380371094, 2.9016804695129395, 592.3975219726562)","(-9.906780242919922, 6.779146671295166, 595.5892333984375)","(-24.814849853515625, 65.02336883544922, 13.024842262268066)","(-20.258451461791992, 80.11975860595703, 18.519439697265625)",POINT (0.434184804558754 0.69942906498909),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689135815,851587994,1,1,"(0.43158644437789917, 0.7284729480743408)","(0.44317466020584106, 0.6619971990585327)",1,1,3.496124267578125,3.279815673828125,"(-74.60472869873047, 2.902775526046753, 592.3894653320312)","(-9.936761856079102, 6.785637378692627, 595.5294189453125)","(-23.437074661254883, 67.25154876708984, 13.83581829071045)","(-19.421335220336914, 79.42800903320312, 18.26766014099121)",POINT (0.4373805522918701 0.6952350735664368),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689152481,851604660,1,1,"(0.43900254368782043, 0.7238597273826599)","(0.4466992914676666, 0.6476219892501831)",1,1,3.4958953857421875,3.2893829345703125,"(-74.63985443115234, 2.907097339630127, 592.3909912109375)","(-9.964244842529297, 6.791986465454102, 595.4497680664062)","(-20.867128372192383, 68.0965805053711, 14.143364906311035)","(-18.199913024902344, 82.0611343383789, 19.226062774658203)",POINT (0.4428509175777435 0.6857408583164215),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689169149,851621327,1,1,"(0.44602617621421814, 0.7198177576065063)","(0.43994763493537903, 0.6525956988334656)",1,1,3.498046875,3.254745483398437,"(-74.67321014404297, 2.91194486618042, 592.38330078125)","(-9.985322952270508, 6.808949947357178, 595.4393310546875)","(-18.433176040649414, 68.83694458007812, 14.412827491760254)","(-20.539608001708984, 81.15009307861328, 18.894437789916992)",POINT (0.4429869055747986 0.686206728219986),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689185816,851637994,1,1,"(0.4340488612651825, 0.7207518815994263)","(0.44176432490348816, 0.6613839864730835)",1,1,3.5047760009765625,3.268402099609375,"(-74.69815826416016, 2.9132723808288574, 592.3975830078125)","(-10.004549026489258, 6.8153886795043945, 595.4482421875)","(-22.583763122558594, 68.66584777832031, 14.350549697875977)","(-19.910066604614258, 79.54033660888672, 18.308551788330078)",POINT (0.4379065930843353 0.6910679340362549),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689202483,851654660,1,1,"(0.4461685121059418, 0.7184982895851135)","(0.4364575743675232, 0.644747257232666)",1,1,3.47265625,3.263427734375,"(-74.71665954589844, 2.912956953048706, 592.38330078125)","(-10.028470039367676, 6.823987007141113, 595.45703125)","(-18.383861541748047, 69.07862091064453, 14.5007905960083)","(-21.749040603637695, 82.58771514892578, 19.417640686035156)",POINT (0.4413130432367325 0.6816227734088898),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689219151,851671328,1,1,"(0.4394311308860779, 0.7417944073677063)","(0.4404102563858032, 0.6541590690612793)",1,1,3.4959259033203125,3.260650634765625,"(-74.73171997070312, 2.9032013416290283, 592.36962890625)","(-10.0424165725708, 6.814234733581543, 595.3980712890625)","(-20.71860694885254, 64.81145477294922, 12.947660446166992)","(-20.379304885864258, 80.86373138427734, 18.790212631225586)",POINT (0.4399206936359406 0.6979767382144928),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689235818,851687994,1,1,"(0.44240060448646545, 0.722223699092865)","(0.43631890416145325, 0.6572480201721191)",1,1,3.478973388671875,3.245941162109375,"(-74.74205780029297, 2.8873214721679688, 592.3374633789062)","(-10.058302879333496, 6.800714492797852, 595.3778686523438)","(-19.689573287963867, 68.396240234375, 14.252423286437988)","(-21.797109603881836, 80.29792022705078, 18.584312438964844)",POINT (0.4393597543239594 0.6897358596324921),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0,26,6,689252488,851704664,1,1,"(0.43694809079170227, 0.7383657097816467)","(0.44116073846817017, 0.6523725986480713)",1,1,3.477157592773437,3.248504638671875,"(-74.75562286376953, 2.8653762340545654, 592.30419921875)","(-10.081780433654785, 6.787287712097168, 595.42626953125)","(-21.579063415527344, 65.43949890136719, 13.176234245300293)","(-20.119232177734375, 81.19096374511719, 18.909324645996094)",POINT (0.4390544146299362 0.695369154214859),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
