,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,22,13,331943079064,1604886773,1,1,"(0.3100646138191223, 0.12593108415603638)","(0.29479822516441345, 0.16790184378623962)",1,1,3.4896240234375,3.454925537109375,"(-19.790037155151367, -104.687255859375, 756.9749755859375)","(41.936981201171875, -101.67198944091797, 755.7550659179688)","(-67.24713897705078, 177.15272521972656, 53.836483001708984)","(-72.52205657958984, 169.48728942871094, 51.04654312133789)",POINT (0.3024314194917679 0.146916463971138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943095732,1604903440,1,1,"(0.3060089647769928, 0.13539230823516846)","(0.2910299003124237, 0.1704951971769333)",1,1,3.4899444580078125,3.4528350830078125,"(-19.784229278564453, -104.58345031738281, 756.9118041992188)","(41.948978424072266, -101.61564636230469, 755.8167114257812)","(-68.6484603881836, 175.4247283935547, 53.207618713378906)","(-73.82410430908203, 169.01364135742188, 50.874168395996094)",POINT (0.2985194325447082 0.1529437527060509),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943112398,1604920106,1,1,"(0.3248707056045532, 0.13361239433288574)","(0.29219549894332886, 0.1736273318529129)",1,1,3.4945068359375,3.448028564453125,"(-19.778457641601562, -104.47535705566406, 757.0543212890625)","(41.99437713623047, -101.50589752197266, 755.73095703125)","(-62.13125228881836, 175.74981689453125, 53.325897216796875)","(-73.4213638305664, 168.44161987304688, 50.66593933105469)",POINT (0.308533102273941 0.1536198630928993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943129066,1604936773,1,1,"(0.3191276490688324, 0.11812068521976471)","(0.29274049401283264, 0.1843915432691574)",1,1,3.495513916015625,3.47406005859375,"(-19.765981674194336, -104.38810729980469, 757.1025390625)","(42.010284423828125, -101.42378234863281, 755.713623046875)","(-64.11563110351562, 178.57919311523438, 54.355674743652344)","(-73.2330551147461, 166.47567749023438, 49.95038986206055)",POINT (0.3059340715408325 0.1512561142444611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943145733,1604953440,1,1,"(0.3119848072528839, 0.14200429618358612)","(0.28980326652526855, 0.19735515117645264)",1,1,3.50006103515625,3.47100830078125,"(-19.720361709594727, -104.28538513183594, 756.978271484375)","(42.052635192871094, -101.36590576171875, 755.75634765625)","(-66.58366394042969, 174.2171630859375, 52.76802062988281)","(-74.2479476928711, 164.10804748535156, 49.088626861572266)",POINT (0.3008940368890762 0.1696797236800194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943162400,1604970106,1,1,"(0.312842458486557, 0.11744863539934158)","(0.2982388436794281, 0.14932553470134735)",1,1,3.4626922607421875,3.420379638671875,"(-19.67743682861328, -104.22575378417969, 756.933349609375)","(42.09401321411133, -101.30949401855469, 755.6873168945312)","(-66.2873306274414, 178.70191955566406, 54.40037155151367)","(-71.33323669433594, 172.88002014160156, 52.28137969970703)",POINT (0.3055406510829926 0.1333870850503445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,13,331943179067,1604986773,1,1,"(0.31152644753456116, 0.1188070997595787)","(0.2939021587371826, 0.1931106448173523)",1,1,3.4867706298828125,3.4864501953125,"(-19.626169204711914, -104.22473907470703, 757.15771484375)","(42.15296173095703, -101.30226135253906, 755.7738647460938)","(-66.74203491210938, 178.4538116455078, 54.31005859375)","(-72.8316650390625, 164.88323974609375, 49.370784759521484)",POINT (0.3027143031358719 0.1559588722884655),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943195735,1605003440,1,1,"(0.31988635659217834, 0.13398146629333496)","(0.2932591438293457, 0.17128928005695343)",1,1,3.496826171875,3.453125,"(-19.557052612304688, -104.21638488769531, 757.2565307617188)","(42.22080993652344, -101.29773712158203, 755.7637939453125)","(-63.85346603393555, 175.68240356445312, 53.30138397216797)","(-73.05384063720703, 168.86862182617188, 50.82136917114258)",POINT (0.306572750210762 0.1526353731751442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943212404,1605020109,1,1,"(0.3125867545604706, 0.1021656021475792)","(0.29777929186820984, 0.1867990642786026)",1,1,3.473617553710937,3.4604949951171875,"(-19.483531951904297, -104.21200561523438, 757.2132568359375)","(42.30094909667969, -101.33757019042969, 755.7864379882812)","(-66.37566375732422, 181.49313354492188, 55.41633605957031)","(-71.49201965332031, 166.0359649658203, 49.79037094116211)",POINT (0.3051830232143402 0.1444823332130909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,13,331943229072,1605036776,1,1,"(0.3182944357395172, 0.11490534991025925)","(0.2904527485370636, 0.17706802487373352)",1,1,3.5007476806640625,3.4768524169921875,"(-19.396732330322266, -104.22026062011719, 757.32861328125)","(42.40904998779297, -101.40028381347656, 756.0097045898438)","(-64.40353393554688, 179.16641235351562, 54.5694694519043)","(-74.02352905273438, 167.81320190429688, 50.437252044677734)",POINT (0.3043735921382904 0.1459866873919964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
