,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,28,30,7284604065,7503033540,1,1,"(0.4075162410736084, 0.20751938223838806)","(0.43274986743927, 0.1498376429080963)",1,1,3.569366455078125,3.442901611328125,"(-31.112674713134766, -0.028851749375462532, 529.5352783203125)","(33.049739837646484, -4.804927349090576, 526.2825927734375)","(-31.77828025817871, 162.67530822753906, 48.567161560058594)","(-23.033899307250977, 173.24093627929688, 52.41277313232422)",POINT (0.4201330542564392 0.1786785125732422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284620732,7503050207,1,1,"(0.4092845320701599, 0.2158777266740799)","(0.42761948704719543, 0.14915122091770172)",1,1,3.594390869140625,3.4396514892578125,"(-31.271495819091797, 0.08594034612178802, 529.61279296875)","(32.858001708984375, -4.645666122436523, 526.471435546875)","(-31.165498733520508, 161.144287109375, 48.009952545166016)","(-24.81175994873047, 173.36666870117188, 52.458526611328125)",POINT (0.4184520095586777 0.1825144737958908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284637403,7503066878,1,1,"(0.3943125307559967, 0.20172053575515747)","(0.42953014373779297, 0.15018008649349213)",1,1,3.5640411376953125,3.423202514648437,"(-31.424898147583008, 0.2303209751844406, 529.8470458984375)","(32.68231964111328, -4.4805169105529785, 526.6741943359375)","(-36.353851318359375, 163.7374725341797, 48.95381546020508)","(-24.14965057373047, 173.17820739746094, 52.38994598388672)",POINT (0.4119213372468948 0.1759503111243248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284654070,7503083544,1,1,"(0.4015151262283325, 0.20832611620426178)","(0.43014010787010193, 0.15787889063358307)",1,1,3.5229644775390625,3.4289093017578125,"(-31.59384536743164, 0.3379853665828705, 529.9558715820312)","(32.519187927246094, -4.364435195922852, 526.767333984375)","(-33.857887268066406, 162.52752685546875, 48.513404846191406)","(-23.938274383544922, 171.76800537109375, 51.876686096191406)",POINT (0.4158276170492172 0.1831025034189224),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284670736,7503100210,1,1,"(0.40595221519470215, 0.20774997770786285)","(0.42710381746292114, 0.1499231457710266)",1,1,3.5538787841796875,3.424407958984375,"(-31.739803314208984, 0.4708321690559387, 530.1289672851562)","(32.378089904785156, -4.229011535644531, 526.920166015625)","(-32.32027053833008, 162.63304138183594, 48.55186462402344)","(-24.990467071533203, 173.2252655029297, 52.40708923339844)",POINT (0.4165280163288116 0.1788365617394447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284687404,7503116877,1,1,"(0.3999412953853607, 0.2147645205259323)","(0.42175352573394775, 0.1483454406261444)",1,1,3.549545288085937,3.42523193359375,"(-31.864395141601562, 0.6059172749519348, 530.4299926757812)","(32.26093292236328, -4.095390319824219, 527.14794921875)","(-34.40327453613281, 161.3481903076172, 48.08418273925781)","(-26.844547271728516, 173.51426696777344, 52.51224136352539)",POINT (0.4108474105596542 0.1815549805760384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284704071,7503133544,1,1,"(0.4007625877857208, 0.20555904507637024)","(0.42254266142845154, 0.14141035079956055)",1,1,3.5210723876953125,3.4097442626953125,"(-32.00331115722656, 0.7279007434844971, 530.4788818359375)","(32.133235931396484, -3.9557137489318848, 527.4234619140625)","(-34.1186637878418, 163.0343780517578, 48.697879791259766)","(-26.57107162475586, 174.78457641601562, 52.97460174560547)",POINT (0.4116526246070862 0.1734846979379654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284720738,7503150210,1,1,"(0.4029131233692169, 0.2084973305463791)","(0.4304685890674591, 0.14372418820858002)",1,1,3.535552978515625,3.420318603515625,"(-32.15296173095703, 0.7897831201553345, 530.746337890625)","(31.978252410888672, -3.818208932876587, 527.4534912109375)","(-33.37342834472656, 162.49615478515625, 48.502017974853516)","(-23.82444190979004, 174.36074829101562, 52.820335388183594)",POINT (0.416690856218338 0.1761107593774796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284737405,7503166877,1,1,"(0.3978094756603241, 0.2085375040769577)","(0.4264316260814667, 0.15811605751514435)",1,1,3.55230712890625,3.4148712158203125,"(-32.310420989990234, 0.8294997215270996, 531.092529296875)","(31.850200653076172, -3.692262649536133, 527.7607421875)","(-35.14202117919922, 162.48880004882812, 48.49933624267578)","(-25.223403930664062, 171.7245635986328, 51.860870361328125)",POINT (0.4121205508708954 0.183326780796051),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284754073,7503183544,1,1,"(0.40158629417419434, 0.2138955444097519)","(0.41924676299095154, 0.1528085172176361)",1,1,3.540267944335937,3.4105682373046875,"(-32.451324462890625, 0.8593647480010986, 530.874267578125)","(31.722732543945312, -3.5907702445983887, 527.9437255859375)","(-33.833213806152344, 161.5073699951172, 48.142093658447266)","(-27.713232040405273, 172.69674682617188, 52.21472930908203)",POINT (0.4104165285825729 0.183352030813694),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284770747,7503200218,1,1,"(0.4073171317577362, 0.21192121505737305)","(0.42045021057128906, 0.15167617797851562)",1,1,3.5606842041015625,3.426116943359375,"(-32.5745849609375, 0.9020910263061523, 530.8299560546875)","(31.597904205322266, -3.4967803955078125, 528.0179443359375)","(-31.847280502319336, 161.86900329589844, 48.273738861083984)","(-27.296194076538086, 172.90415954589844, 52.290225982666016)",POINT (0.4138836711645126 0.1817986965179443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284787415,7503216885,1,1,"(0.4031984806060791, 0.2153465747833252)","(0.42296990752220154, 0.15230399370193481)",1,1,3.5540771484375,3.4193572998046875,"(-32.6673583984375, 0.9438697695732117, 530.74169921875)","(31.472835540771484, -3.4228296279907227, 527.8123779296875)","(-33.274532318115234, 161.2415771484375, 48.045372009277344)","(-26.423019409179688, 172.78916931152344, 52.248348236083984)",POINT (0.4130841940641403 0.18382528424263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284804081,7503233551,1,1,"(0.4182541072368622, 0.23151066899299622)","(0.42264601588249207, 0.1547374725341797)",1,1,3.5579833984375,3.4302978515625,"(-32.735679626464844, 0.9957205653190613, 530.294921875)","(31.392974853515625, -3.35337495803833, 527.8662719726562)","(-28.05721664428711, 158.28077697753906, 46.96773147583008)","(-26.53526496887207, 172.3434295654297, 52.08609390258789)",POINT (0.4204500615596771 0.193124070763588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284820749,7503250218,1,1,"(0.4147871136665344, 0.21900780498981476)","(0.422690749168396, 0.16108739376068115)",1,1,3.5545806884765625,3.4379425048828125,"(-32.80299377441406, 1.0402002334594727, 530.3348999023438)","(31.32170867919922, -3.3016481399536133, 527.857666015625)","(-29.25864601135254, 160.57093811035156, 47.80129623413086)","(-26.51976203918457, 171.1802978515625, 51.662784576416016)",POINT (0.4187389314174652 0.190047599375248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284837415,7503266884,1,1,"(0.4245985150337219, 0.2249041050672531)","(0.42430415749549866, 0.155101478099823)",1,1,3.5328369140625,3.427001953125,"(-32.813743591308594, 1.0990831851959229, 529.910888671875)","(31.285846710205078, -3.269646167755127, 528.0318603515625)","(-25.858638763427734, 159.49090576171875, 47.408199310302734)","(-25.960649490356445, 172.27674865722656, 52.06184768676758)",POINT (0.4244513362646103 0.1900027915835381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284854083,7503283551,1,1,"(0.4185350239276886, 0.23085512220859528)","(0.4230821132659912, 0.15555810928344727)",1,1,3.565673828125,3.4235076904296875,"(-32.81707000732422, 1.1461539268493652, 530.0353393554688)","(31.269493103027344, -3.2473604679107666, 528.032958984375)","(-27.959875106811523, 158.40086364746094, 47.01141357421875)","(-26.38413429260254, 172.193115234375, 52.031375885009766)",POINT (0.4208085685968399 0.1932066157460213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284870749,7503300217,1,1,"(0.4164242744445801, 0.22266019880771637)","(0.4233349859714508, 0.14927883446216583)",1,1,3.52423095703125,3.43341064453125,"(-32.83642578125, 1.2636308670043945, 530.2208251953125)","(31.259281158447266, -3.2008161544799805, 528.0338134765625)","(-28.69131088256836, 159.9019317626953, 47.557777404785156)","(-26.29650115966797, 173.34329223632812, 52.45003128051758)",POINT (0.4198796302080154 0.1859695166349411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284887417,7503316884,1,1,"(0.3775176405906677, 0.22171959280967712)","(0.3633219599723816, 0.15962454676628113)",1,1,3.529388427734375,3.436508178710937,"(-33.098506927490234, 1.3043488264083862, 530.5869140625)","(31.008399963378906, -3.1470272541046143, 527.7618408203125)","(-42.17388916015625, 160.07421875, 47.62049865722656)","(-47.09320831298828, 171.44825744628906, 51.760284423828125)",POINT (0.3704198002815247 0.1906720697879791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,30,7284904088,7503333555,1,1,"(0.3196769952774048, 0.178819939494133)","(0.3416546583175659, 0.15014411509037018)",1,1,3.5208892822265625,3.416351318359375,"(-33.274723052978516, 1.3663744926452637, 530.9595336914062)","(30.765426635742188, -3.080113410949707, 527.3043212890625)","(-62.21778869628906, 167.9322052001953, 50.480567932128906)","(-54.60173416137695, 173.18478393554688, 52.39238357543945)",POINT (0.3306658267974854 0.1644820272922516),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,28,30,7284920754,7503350221,1,1,"(0.3244205117225647, 0.17636558413505554)","(0.3464319705963135, 0.1498703509569168)",1,1,3.517440795898437,3.399688720703125,"(-33.363075256347656, 1.3631951808929443, 530.9190673828125)","(30.717124938964844, -3.058664321899414, 527.2310180664062)","(-60.57399368286133, 168.38177490234375, 50.64419174194336)","(-52.94620895385742, 173.2349395751953, 52.410606384277344)",POINT (0.3354262411594391 0.1631179675459862),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
