,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,n.1,if.1,<.1,n.2,0.1,      .1,error.1,No.1,negative.1,numbers.1,      .2,letrec.1,-----------.2,helper.1,lambda.1,i.1,result.1,if.2,>.1,i.2,n.3,result.2,helper.2,+.1,1.1,1.2,*.1,result.3,i.3,).1,).2,).3,).4,).5,helper.3,1.3,1.4,).6,).7,).8,question,code,choices
0,38,31,687466233177,1104644041,1,1,"(0.3418450355529785, 0.1473497748374939)","(0.2794189453125, 0.1167646050453186)",1,1,3.025131225585937,2.98974609375,"(-31.438947677612305, 34.203880310058594, 536.4857177734375)","(30.21845817565918, 35.80827331542969, 534.6222534179688)","(-56.26619338989258, 173.24087524414062, 52.41272735595703)","(-77.83598327636719, 178.8268280029297, 54.44588088989258)",POINT (0.3106319904327393 0.1320571899414062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466249843,1104660707,1,1,"(0.34404486417770386, 0.1470906138420105)","(0.28314298391342163, 0.12103186547756195)",1,1,3.031234741210937,2.9773712158203125,"(-31.393835067749023, 34.26368713378906, 536.74609375)","(30.288753509521484, 35.83674621582031, 534.6392822265625)","(-55.506099700927734, 173.28819274902344, 52.42994689941406)","(-76.54923248291016, 178.04747009277344, 54.16220474243164)",POINT (0.3135939240455627 0.1340612396597862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466266511,1104677375,1,1,"(0.35053369402885437, 0.13693663477897644)","(0.277701735496521, 0.1232708990573883)",1,1,2.999298095703125,2.9794464111328125,"(-31.335277557373047, 34.302215576171875, 536.79150390625)","(30.35509490966797, 35.860435485839844, 534.6094970703125)","(-53.2640380859375, 175.14268493652344, 53.10492706298828)","(-78.42931365966797, 177.63856506347656, 54.01332092285156)",POINT (0.3141177147626877 0.1301037669181824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466283184,1104694047,1,1,"(0.3052237629890442, 0.11666154861450195)","(0.24319876730442047, 0.09820318222045898)",1,1,3.0603485107421875,3.0056304931640625,"(-31.40235137939453, 34.399147033691406, 536.9139404296875)","(30.235774993896484, 35.93406677246094, 534.6680908203125)","(-68.9197769165039, 178.8456573486328, 54.45269775390625)","(-90.35096740722656, 182.2168426513672, 55.679710388183594)",POINT (0.2742112651467323 0.1074323654174805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466299850,1104710713,1,1,"(0.317057728767395, 0.12444111704826355)","(0.249862402677536, 0.10668730735778809)",1,1,3.03411865234375,2.997299194335937,"(-31.39997100830078, 34.450714111328125, 536.9296264648438)","(30.22368812561035, 35.9871826171875, 534.7244262695312)","(-64.83084106445312, 177.42483520507812, 53.93555450439453)","(-88.04852294921875, 180.66732788085938, 55.11573028564453)",POINT (0.2834600657224655 0.1155642122030258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466316520,1104727382,1,1,"(0.31342843174934387, 0.1225401908159256)","(0.2503385543823242, 0.09893524646759033)",1,1,3.037078857421875,2.9786529541015625,"(-31.408872604370117, 34.46110534667969, 536.8399658203125)","(30.23105239868164, 35.99842071533203, 534.6998291015625)","(-66.0848388671875, 177.77200317382812, 54.061927795410156)","(-87.88400268554688, 182.0831298828125, 55.63105010986328)",POINT (0.281883493065834 0.110737718641758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466333187,1104744049,1,1,"(0.31580960750579834, 0.12107422202825546)","(0.24738484621047974, 0.10844141244888306)",1,1,3.020980834960937,2.997283935546875,"(-31.439422607421875, 34.47002410888672, 536.7322998046875)","(30.20055389404297, 36.01799774169922, 534.6550903320312)","(-65.26210021972656, 178.0397491455078, 54.15937423706055)","(-88.9045639038086, 180.34695434570312, 54.99913787841797)",POINT (0.281597226858139 0.1147578172385693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466349855,1104760716,1,1,"(0.310768723487854, 0.11497770994901657)","(0.24701453745365143, 0.09516981244087219)",1,1,3.024993896484375,2.974395751953125,"(-31.49446678161621, 34.4774284362793, 536.84716796875)","(30.1605281829834, 36.03704071044922, 534.626708984375)","(-67.00385284423828, 179.15318298339844, 54.56464385986328)","(-89.03252410888672, 182.7708282470703, 55.88136672973633)",POINT (0.2788916304707527 0.1050737611949444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466366521,1104777382,1,1,"(0.309933066368103, 0.1178823933005333)","(0.2525941729545593, 0.0927673727273941)",1,1,3.04046630859375,2.9805450439453125,"(-31.560405731201172, 34.48204803466797, 536.928466796875)","(30.11753273010254, 36.054168701171875, 534.718017578125)","(-67.2926025390625, 178.62269592285156, 54.37154006958008)","(-87.10462951660156, 183.20960998535156, 56.04108810424805)",POINT (0.2812636196613312 0.1053248830139637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466383189,1104794049,1,1,"(0.3104740381240845, 0.12670846283435822)","(0.25129377841949463, 0.09856314957141876)",1,1,3.0360870361328125,2.975692749023437,"(-31.595191955566406, 34.47572326660156, 536.71630859375)","(30.067520141601562, 36.072837829589844, 534.6668701171875)","(-67.10567474365234, 177.01072692871094, 53.784820556640625)","(-87.55394744873047, 182.15110778808594, 55.65578079223633)",POINT (0.2808839082717896 0.1126358062028885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466399856,1104810716,1,1,"(0.30728286504745483, 0.12116634100675583)","(0.24521157145500183, 0.10492407530546188)",1,1,3.008895874023437,2.9782867431640625,"(-31.644411087036133, 34.47212219238281, 536.7117919921875)","(30.022613525390625, 36.08795166015625, 534.5909423828125)","(-68.20828247070312, 178.0229034423828, 54.153255462646484)","(-89.6554946899414, 180.98934936523438, 55.23295593261719)",POINT (0.2762472182512283 0.1130452081561089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466416527,1104827386,1,1,"(0.3135559558868408, 0.12093332409858704)","(0.24166549742221832, 0.08803975582122803)",1,1,3.0163726806640625,2.966522216796875,"(-31.720478057861328, 34.48569869995117, 536.832275390625)","(29.961437225341797, 36.10298156738281, 534.5082397460938)","(-66.04078674316406, 178.0654754638672, 54.16875076293945)","(-90.88074493408203, 184.07305908203125, 56.35530471801758)",POINT (0.2776107266545296 0.1044865399599075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466433194,1104844053,1,1,"(0.3197565972805023, 0.10674016177654266)","(0.25017043948173523, 0.10311919450759888)",1,1,2.9911651611328125,2.96575927734375,"(-31.769550323486328, 34.48306655883789, 536.6744384765625)","(29.90499496459961, 36.13648223876953, 534.616455078125)","(-63.8983039855957, 180.6576690673828, 55.112220764160156)","(-87.94207763671875, 181.31898498535156, 55.3529052734375)",POINT (0.2849635183811188 0.1049296781420708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466449862,1104860720,1,1,"(0.30977508425712585, 0.11520206183195114)","(0.24800892174243927, 0.09396933764219284)",1,1,3.0017547607421875,2.962982177734375,"(-31.821062088012695, 34.48603820800781, 536.6378784179688)","(29.845623016357422, 36.159645080566406, 534.54248046875)","(-67.34716796875, 179.11221313476562, 54.54973602294922)","(-88.6889419555664, 182.99008178710938, 55.96116256713867)",POINT (0.2788920029997826 0.104585699737072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466466528,1104877386,1,1,"(0.30942803621292114, 0.11046959459781647)","(0.2501455545425415, 0.09605050832033157)",1,1,3.013214111328125,2.9786529541015625,"(-31.909069061279297, 34.5162353515625, 536.8618774414062)","(29.778217315673828, 36.190311431884766, 534.5725708007812)","(-67.46708679199219, 179.97653198242188, 54.864315032958984)","(-87.95067596435547, 182.6099853515625, 55.822837829589844)",POINT (0.2797867953777313 0.103260051459074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466483196,1104894053,1,1,"(0.3405173420906067, 0.10926543921232224)","(0.2844364643096924, 0.10190289467573166)",1,1,3.0125885009765625,2.957427978515625,"(-31.83098793029785, 34.50689697265625, 536.6605224609375)","(29.812816619873047, 36.19883728027344, 534.434326171875)","(-56.72494125366211, 180.19644165039062, 54.94437026977539)","(-76.102294921875, 181.5411376953125, 55.433753967285156)",POINT (0.3124769032001495 0.105584166944027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466499862,1104910719,1,1,"(0.39323270320892334, 0.10831712931394577)","(0.32850152254104614, 0.0920357033610344)",1,1,2.9742584228515625,2.921844482421875,"(-31.624757766723633, 34.519283294677734, 536.55419921875)","(29.9849853515625, 36.22318649291992, 534.4590454101562)","(-38.51045227050781, 180.36965942382812, 55.00740051269531)","(-60.87672424316406, 183.34323120117188, 56.08970642089844)",POINT (0.3608671128749847 0.1001764163374901),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466516530,1104927386,1,1,"(0.40295127034187317, 0.11494319885969162)","(0.3331581950187683, 0.09572432190179825)",1,1,3.011215209960937,2.9187469482421875,"(-31.629323959350586, 34.529850006103516, 536.5216064453125)","(29.981216430664062, 36.236419677734375, 534.4036865234375)","(-35.1524543762207, 179.1595001220703, 54.56692123413086)","(-59.26771926879883, 182.66957092285156, 55.8444709777832)",POINT (0.3680547326803207 0.1053337603807449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466533197,1104944053,1,1,"(0.4009960889816284, 0.11993760615587234)","(0.3426451086997986, 0.08991296589374542)",1,1,2.9850311279296875,2.8976287841796875,"(-31.697166442871094, 34.57004165649414, 536.7153930664062)","(29.927444458007812, 36.27687072753906, 534.5279541015625)","(-35.82801055908203, 178.24734497070312, 54.234928131103516)","(-55.989749908447266, 183.73094177246094, 56.230796813964844)",POINT (0.3718205988407135 0.1049252860248089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466549866,1104960722,1,1,"(0.4069594144821167, 0.12406894564628601)","(0.3399694859981537, 0.08431310951709747)",1,1,2.96875,2.901458740234375,"(-31.746070861816406, 34.593589782714844, 536.7673950195312)","(29.88169288635254, 36.30083465576172, 534.5475463867188)","(-33.76752853393555, 177.49278259277344, 53.960296630859375)","(-56.91424560546875, 184.75367736816406, 56.6030387878418)",POINT (0.3734644502401352 0.1041910275816917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466566534,1104977389,1,1,"(0.40556830167770386, 0.12039543688297272)","(0.3416830003261566, 0.09302634745836258)",1,1,3.005096435546875,2.9016876220703125,"(-31.76963996887207, 34.593692779541016, 536.6444091796875)","(29.854251861572266, 36.33405303955078, 534.5648803710938)","(-34.24819564819336, 178.16371154785156, 54.20450973510742)","(-56.32217788696289, 183.16232299804688, 56.02384567260742)",POINT (0.3736256510019302 0.1067108921706676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466583200,1104994055,1,1,"(0.40474432706832886, 0.12052974104881287)","(0.3377707898616791, 0.09300678223371506)",1,1,3.010955810546875,2.9062042236328125,"(-31.796215057373047, 34.589698791503906, 536.6339111328125)","(29.825387954711914, 36.33271789550781, 534.4893798828125)","(-34.53289794921875, 178.13919067382812, 54.195560455322266)","(-57.67393493652344, 183.16587829589844, 56.025146484375)",POINT (0.371257558465004 0.106768261641264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466599868,1105010723,1,1,"(0.40720054507255554, 0.12045905739068985)","(0.3426390588283539, 0.09486335515975952)",1,1,2.9867401123046875,2.9019927978515625,"(-31.813589096069336, 34.59758758544922, 536.6240234375)","(29.803354263305664, 36.342010498046875, 534.4425659179688)","(-33.684200286865234, 178.152099609375, 54.200252532958984)","(-55.99184036254883, 182.82681274414062, 55.9017219543457)",POINT (0.3749198019504547 0.1076612062752247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466616535,1105027389,1,1,"(0.408232718706131, 0.1271405965089798)","(0.34090983867645264, 0.09091725200414658)",1,1,3.02691650390625,2.9032440185546875,"(-31.829172134399414, 34.602378845214844, 536.6302490234375)","(29.788589477539062, 36.34867858886719, 534.4838256835938)","(-33.32757568359375, 176.9318084716797, 53.756103515625)","(-56.589332580566406, 183.54751586914062, 56.16404342651367)",POINT (0.3745712786912918 0.1090289242565632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466633201,1105044055,1,1,"(0.40134990215301514, 0.12273941189050674)","(0.3446023464202881, 0.08997499197721481)",1,1,2.9980010986328125,2.915008544921875,"(-31.842437744140625, 34.61531066894531, 536.660888671875)","(29.77806854248047, 36.360015869140625, 534.4921875)","(-35.705753326416016, 177.73561096191406, 54.04869079589844)","(-55.313480377197266, 183.7196044921875, 56.22669219970703)",POINT (0.3729761242866516 0.1063572019338608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466649870,1105060723,1,1,"(0.407453328371048, 0.11934543401002884)","(0.34282028675079346, 0.09179322421550751)",1,1,2.971908569335937,2.910858154296875,"(-31.845561981201172, 34.62175750732422, 536.652587890625)","(29.77663803100586, 36.37010955810547, 534.453369140625)","(-33.59686279296875, 178.35546875, 54.274314880371094)","(-55.92922592163086, 183.3875274658203, 56.10581970214844)",POINT (0.3751368075609207 0.1055693291127682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,31,687466666536,1105077389,1,1,"(0.4088817238807678, 0.11566359549760818)","(0.34050410985946655, 0.10243186354637146)",1,1,2.9983062744140625,2.905548095703125,"(-31.848020553588867, 34.62003707885742, 536.603759765625)","(29.778778076171875, 36.36440658569336, 534.4367065429688)","(-33.10331726074219, 179.02792358398438, 54.519039154052734)","(-56.729515075683594, 181.44451904296875, 55.398616790771484)",POINT (0.3746929168701172 0.1090477295219898),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
