,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,13,14,408104318216,2261158584,1,1,"(0.4256148934364319, 0.8142849206924438)","(0.43102627992630005, 0.8502935171127319)",1,1,2.584457397460937,2.579498291015625,"(-52.86754608154297, 27.727462768554688, 530.5062255859375)","(8.765249252319336, 24.479158401489258, 531.6483764648438)","(-27.32158660888672, 51.4339714050293, 8.078665733337402)","(-25.451820373535156, 44.85747528076172, 5.6850080490112305)",POINT (0.428320586681366 0.8322892189025879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104334884,2261175251,1,1,"(0.4271034300327301, 0.8180095553398132)","(0.43415477871894836, 0.8606158494949341)",1,1,2.579498291015625,2.58270263671875,"(-52.88240051269531, 27.719322204589844, 530.52734375)","(8.749807357788086, 24.466556549072266, 531.67236328125)","(-26.80727195739746, 50.75371551513672, 7.83107852935791)","(-24.370847702026367, 42.97223663330078, 4.9988322257995605)",POINT (0.4306291043758392 0.8393127024173737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104351556,2261191923,1,1,"(0.42752331495285034, 0.8122723698616028)","(0.4335414469242096, 0.8566244840621948)",1,1,2.5513153076171875,2.6045684814453125,"(-52.908660888671875, 27.72543716430664, 530.58642578125)","(8.72696304321289, 24.46337890625, 531.6729125976562)","(-26.66218376159668, 51.80154037475586, 8.212435722351074)","(-24.582752227783203, 43.701210021972656, 5.264143466949463)",POINT (0.43053238093853 0.8344484269618988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104368225,2261208591,1,1,"(0.42514440417289734, 0.8024181723594666)","(0.4336308538913727, 0.8511813879013062)",1,1,2.5183563232421875,2.57501220703125,"(-52.93552780151367, 27.7349910736084, 530.623046875)","(8.701056480407715, 24.47690200805664, 531.6968994140625)","(-27.484155654907227, 53.601287841796875, 8.867450714111328)","(-24.55187225341797, 44.695335388183594, 5.625936031341553)",POINT (0.429387629032135 0.8267997801303864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104384891,2261225257,1,1,"(0.42286738753318787, 0.8090740442276001)","(0.4339837431907654, 0.853312075138092)",1,1,2.5378875732421875,2.535308837890625,"(-52.97107696533203, 27.74597930908203, 530.6239013671875)","(8.665373802185059, 24.50220489501953, 531.8151245117188)","(-28.270917892456055, 52.385684967041016, 8.425044059753418)","(-24.42993927001953, 44.30618667602539, 5.484330177307129)",POINT (0.4284255653619766 0.8311930596828461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104401559,2261241924,1,1,"(0.4280041754245758, 0.8098328709602356)","(0.4394877552986145, 0.8500423431396484)",1,1,2.51214599609375,2.528717041015625,"(-53.01881790161133, 27.759145736694336, 530.7039794921875)","(8.631683349609375, 24.51850700378418, 531.7926025390625)","(-26.496034622192383, 52.24707794189453, 8.374588966369629)","(-22.528165817260742, 44.90336227416992, 5.701718807220459)",POINT (0.4337459653615952 0.829937607049942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104418225,2261258590,1,1,"(0.4332811236381531, 0.8071820139884949)","(0.43169453740119934, 0.8466172218322754)",1,1,2.5111846923828125,2.52618408203125,"(-53.06673049926758, 27.775794982910156, 530.767822265625)","(8.588136672973633, 24.544822692871094, 531.7933349609375)","(-24.67272186279297, 52.73124313354492, 8.55079460144043)","(-25.22092628479004, 45.52891540527344, 5.929369926452637)",POINT (0.4324878305196762 0.8268996179103851),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104434893,2261275257,1,1,"(0.42385420203208923, 0.8079133033752441)","(0.4395836591720581, 0.8425183892250061)",1,1,2.5139617919921875,2.524276733398437,"(-53.116729736328125, 27.789018630981445, 530.791259765625)","(8.54005241394043, 24.567291259765625, 531.8101806640625)","(-27.929962158203125, 52.59768295288086, 8.502171516418457)","(-22.495023727416992, 46.27750778198242, 6.201845169067383)",POINT (0.4317189306020737 0.8252158463001251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104451560,2261291924,1,1,"(0.42480093240737915, 0.8039801120758057)","(0.4364931881427765, 0.8474448323249817)",1,1,2.49468994140625,2.517807006835937,"(-53.152130126953125, 27.81130027770996, 530.8085327148438)","(8.502989768981934, 24.5943603515625, 531.8264770507812)","(-27.602846145629883, 53.3160285949707, 8.763630867004395)","(-23.56287384033203, 45.37777328491211, 5.874372959136963)",POINT (0.4306470602750778 0.8257124722003937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,13,14,408104468233,2261308596,1,1,"(0.42665135860443115, 0.8088509440422058)","(0.4393642842769623, 0.8556939363479614)",1,1,2.4880523681640625,2.50616455078125,"(-53.188438415527344, 27.840675354003906, 530.83349609375)","(8.474397659301758, 24.6289119720459, 531.8272094726562)","(-26.963464736938477, 52.42642593383789, 8.439894676208496)","(-22.570825576782227, 43.87116622924805, 5.326000213623047)",POINT (0.4330078214406967 0.8322724401950836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
