,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,34,3,70107196288,486267504,1,1,"(0.5415469408035278, 0.08648098260164261)","(0.5519567728042603, 0.12174514681100845)",1,1,2.749755859375,2.7280426025390625,"(-49.833351135253906, -29.432437896728516, 699.7736206054688)","(14.604045867919922, -27.550395965576172, 698.7132568359375)","(14.668266296386719, 184.84603881835938, 56.63670349121094)","(18.275653839111328, 178.3866729736328, 54.285675048828125)",POINT (0.546751856803894 0.1041130647063255),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107212955,486284171,1,1,"(0.5366076231002808, 0.10006066411733627)","(0.5591849684715271, 0.1200122982263565)",1,1,2.758880615234375,2.723358154296875,"(-49.87313461303711, -29.45604705810547, 699.7540283203125)","(14.55339241027832, -27.556869506835938, 698.7022094726562)","(12.956594467163086, 182.358642578125, 55.731353759765625)","(20.780488967895508, 178.70407104492188, 54.40120315551758)",POINT (0.5478962957859039 0.1100364811718464),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107229622,486300837,1,1,"(0.5330161452293396, 0.09068209677934647)","(0.5613431930541992, 0.11071671545505524)",1,1,2.767059326171875,2.727752685546875,"(-49.932212829589844, -29.475326538085938, 699.8133544921875)","(14.499893188476562, -27.556095123291016, 698.8660888671875)","(11.712029457092285, 184.07652282714844, 56.356624603271484)","(21.52838897705078, 180.40676879882812, 55.020912170410156)",POINT (0.5471796691417694 0.1006994061172008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107246289,486317504,1,1,"(0.5418807864189148, 0.11351509392261505)","(0.5661364793777466, 0.1164163276553154)",1,1,2.7744140625,2.7456512451171875,"(-49.986297607421875, -29.494400024414062, 699.832275390625)","(14.453145980834961, -27.5526180267334, 698.854736328125)","(14.783935546875, 179.89418029785156, 54.83435821533203)","(23.189420700073242, 179.3627471923828, 54.64094543457031)",POINT (0.5540086328983307 0.1149657107889652),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107262957,486334171,1,1,"(0.5390983819961548, 0.09490440040826797)","(0.5552337765693665, 0.1147325187921524)",1,1,2.7445068359375,2.744598388671875,"(-50.03398895263672, -29.51102638244629, 699.7977905273438)","(14.40713882446289, -27.543109893798828, 698.8162841796875)","(13.819744110107422, 183.30313110351562, 56.07509231567383)","(19.41124153137207, 179.6711883544922, 54.753173828125)",POINT (0.5471660792827606 0.1048184596002102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107279623,486350837,1,1,"(0.5364106893539429, 0.09899070113897324)","(0.5574690103530884, 0.11250271648168564)",1,1,2.7458038330078125,2.72686767578125,"(-50.086395263671875, -29.523530960083008, 699.7486572265625)","(14.348743438720703, -27.534149169921875, 698.73779296875)","(12.888367652893066, 182.55462646484375, 55.80266189575195)","(20.18584442138672, 180.07960510253906, 54.90187072753906)",POINT (0.5469398498535156 0.1057467088103294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107296291,486367504,1,1,"(0.5361178517341614, 0.08480288833379745)","(0.5618255734443665, 0.10167519748210907)",1,1,2.7287750244140625,2.717193603515625,"(-50.14271545410156, -29.516326904296875, 699.87646484375)","(14.29214859008789, -27.519248962402344, 698.8748779296875)","(12.786883354187012, 185.15342712402344, 56.74856948852539)","(21.695541381835938, 182.06292724609375, 55.623695373535156)",POINT (0.5489717125892639 0.0932390429079533),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107312958,486384171,1,1,"(0.5331287980079651, 0.07609669119119644)","(0.5597182512283325, 0.1299407184123993)",1,1,2.73553466796875,2.740341186523437,"(-50.20677947998047, -29.509571075439453, 699.9076538085938)","(14.235015869140625, -27.508522033691406, 698.8910522460938)","(11.751057624816895, 186.74815368652344, 57.329002380371094)","(20.96527671813965, 176.88548278808594, 53.739261627197266)",POINT (0.5464235246181488 0.1030187048017979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107329629,486400841,1,1,"(0.53292316198349, 0.09981918334960938)","(0.5590377449989319, 0.08736668527126312)",1,1,2.752532958984375,2.7017974853515625,"(-50.275115966796875, -29.49750518798828, 699.897216796875)","(14.166404724121094, -27.485618591308594, 698.7998046875)","(11.679791450500488, 182.4028778076172, 55.74747085571289)","(20.729446411132812, 184.68382263183594, 56.5776481628418)",POINT (0.5459804534912109 0.0935929343104362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107346295,486417507,1,1,"(0.541661262512207, 0.0974927544593811)","(0.569340169429779, 0.09465296566486359)",1,1,2.7610015869140625,2.67742919921875,"(-50.34012985229492, -29.498714447021484, 699.873291015625)","(14.10335922241211, -27.474048614501953, 698.9639892578125)","(14.707887649536133, 182.8290252685547, 55.90251922607422)","(24.29962730407715, 183.3491973876953, 56.09185791015625)",POINT (0.555500715970993 0.0960728600621223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107362963,486434174,1,1,"(0.5424912571907043, 0.09453501552343369)","(0.5628890991210938, 0.12873560190200806)",1,1,2.7506866455078125,2.7247772216796875,"(-50.40486145019531, -29.492168426513672, 700.0137329101562)","(14.043701171875, -27.448932647705078, 698.8857421875)","(14.995512008666992, 183.3708038330078, 56.09971237182617)","(22.064085006713867, 177.10621643066406, 53.81966018676758)",POINT (0.552690178155899 0.1116353087127209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107379629,486450840,1,1,"(0.5394465327262878, 0.09099609404802322)","(0.5617338418960571, 0.12900999188423157)",1,1,2.736572265625,2.7108154296875,"(-50.47154998779297, -29.482528686523438, 700.0443725585938)","(13.984783172607422, -27.431774139404297, 698.9150390625)","(13.940387725830078, 184.01901245117188, 56.33567810058594)","(21.663747787475586, 177.05596923828125, 53.801307678222656)",POINT (0.5505901873111725 0.1100030429661274),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107396297,486467507,1,1,"(0.5353569388389587, 0.1055130884051323)","(0.5607811212539673, 0.14728204905986786)",1,1,2.73516845703125,2.73394775390625,"(-50.56605529785156, -29.462814331054688, 700.0706787109375)","(13.954495429992676, -27.39157485961914, 699.0241088867188)","(12.523193359375, 181.35992431640625, 55.367835998535156)","(21.3336238861084, 173.70904541015625, 52.58317184448242)",POINT (0.548069030046463 0.1263975687325001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107529631,486600838,1,1,"(0.4038150906562805, 0.3569798767566681)","(0.4137956202030182, 0.3486972749233246)",1,1,2.70782470703125,2.73480224609375,"(-51.69004440307617, -29.71820831298828, 700.1137084960938)","(12.841646194458008, -27.464948654174805, 698.947509765625)","(-33.06086349487305, 135.2984161376953, 38.60285568237305)","(-29.602249145507812, 136.8155517578125, 39.155033111572266)",POINT (0.4088053554296494 0.3528385758399963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107546308,486617514,1,1,"(0.400314062833786, 0.35414037108421326)","(0.4149996340274811, 0.3610045611858368)",1,1,2.6791534423828125,2.708892822265625,"(-51.76519775390625, -29.79229736328125, 699.89599609375)","(12.735660552978516, -27.512531280517578, 698.8026123046875)","(-34.27410125732422, 135.8185272216797, 38.792179107666016)","(-29.185007095336914, 134.56121826171875, 38.33448028564453)",POINT (0.4076568484306335 0.357572466135025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,3,70107562975,486634181,1,1,"(0.3929084539413452, 0.3245905935764313)","(0.42906373739242554, 0.31908485293388367)",1,1,2.707382202148437,2.6958465576171875,"(-51.860687255859375, -29.859535217285156, 700.059326171875)","(12.638388633728027, -27.539958953857422, 698.7662353515625)","(-36.840415954589844, 141.231201171875, 40.76219940185547)","(-24.311281204223633, 142.23973083496094, 41.12923049926758)",POINT (0.4109860956668854 0.3218377232551575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,3,70107579648,486650853,1,1,"(0.3971033990383148, 0.3020026683807373)","(0.4263828694820404, 0.34667330980300903)",1,1,2.700531005859375,2.727035522460937,"(-51.928749084472656, -29.90044403076172, 699.9254150390625)","(12.563732147216797, -27.55739974975586, 698.741943359375)","(-35.38670349121094, 145.36866760253906, 42.2680778503418)","(-25.240293502807617, 137.18626403808594, 39.29000473022461)",POINT (0.4117431342601776 0.3243379890918732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,3,70107596315,486667520,1,1,"(0.39340275526046753, 0.2861233949661255)","(0.4260595738887787, 0.34093397855758667)",1,1,2.71343994140625,2.711517333984375,"(-51.99159240722656, -29.91659164428711, 699.8743896484375)","(12.483518600463867, -27.54510498046875, 698.4754638671875)","(-36.669105529785156, 148.2772979736328, 43.32672882080078)","(-25.35232925415039, 138.23757934570312, 39.67258071899414)",POINT (0.4097311645746231 0.3135286867618561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
