,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,26,5,624715181,787169103,1,1,"(0.6044672727584839, 0.1877945512533188)","(0.6131973266601562, 0.18150965869426727)",1,1,3.3834991455078125,3.20965576171875,"(-83.10350036621094, 5.053920269012451, 593.46142578125)","(-18.529537200927734, 6.105790615081787, 592.33642578125)","(36.47245407104492, 166.28831481933594, 49.88223648071289)","(39.497745513916016, 167.43951416015625, 50.3012580871582)",POINT (0.6088322997093201 0.184652104973793),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624731847,787185769,1,1,"(0.6020203232765198, 0.18666638433933258)","(0.6154295206069946, 0.17544902861118317)",1,1,3.382354736328125,3.2087554931640625,"(-83.15165710449219, 5.047100067138672, 593.4482421875)","(-18.58568000793457, 6.118945598602295, 592.3720092773438)","(35.62447738647461, 166.49496459960938, 49.95744705200195)","(40.271263122558594, 168.54966735839844, 50.70529556274414)",POINT (0.6087249219417572 0.1810577064752579),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624748524,787202445,1,1,"(0.6055904626846313, 0.19755391776561737)","(0.617353618144989, 0.18495099246501923)",1,1,3.378524780273437,3.211639404296875,"(-83.20989990234375, 5.049359321594238, 593.5242919921875)","(-18.64055633544922, 6.124313831329346, 592.3590087890625)","(36.86167526245117, 164.5006866455078, 49.23158645629883)","(40.93803024291992, 166.80917358398438, 50.07183074951172)",POINT (0.6114720404148102 0.1912524551153183),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624765187,787219108,1,1,"(0.6020984053611755, 0.18691830337047577)","(0.6121021509170532, 0.18395236134529114)",1,1,3.3675994873046875,3.2307891845703125,"(-83.25729370117188, 5.048929214477539, 593.623046875)","(-18.677249908447266, 6.128112316131592, 592.444580078125)","(35.651554107666016, 166.44882202148438, 49.94063949584961)","(39.11821365356445, 166.99209594726562, 50.13837432861328)",POINT (0.6071002781391144 0.1854353323578834),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624781864,787235784,1,1,"(0.6024491190910339, 0.1886236071586609)","(0.6116923689842224, 0.18075242638587952)",1,1,3.375946044921875,3.2259521484375,"(-83.28754425048828, 5.056565761566162, 593.63525390625)","(-18.710163116455078, 6.1428961753845215, 592.4715576171875)","(35.77308654785156, 166.13645935058594, 49.82695007324219)","(38.97621154785156, 167.57823181152344, 50.35171127319336)",POINT (0.6070707440376282 0.1846880167722702),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624798530,787252450,1,1,"(0.6017742156982422, 0.1871456503868103)","(0.6139325499534607, 0.17060868442058563)",1,1,3.372314453125,3.201080322265625,"(-83.3301010131836, 5.05006217956543, 593.6844482421875)","(-18.74472427368164, 6.146263599395752, 592.56689453125)","(35.539215087890625, 166.4071807861328, 49.925479888916016)","(39.75252151489258, 169.43626403808594, 51.02799987792969)",POINT (0.6078533828258514 0.178877167403698),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624815197,787269116,1,1,"(0.6031522750854492, 0.17828039824962616)","(0.614790678024292, 0.1838710904121399)",1,1,3.35369873046875,3.202743530273437,"(-83.36356353759766, 5.070711135864258, 593.7163696289062)","(-18.774635314941406, 6.163700103759766, 592.55517578125)","(36.016761779785156, 168.0310516357422, 50.51651382446289)","(40.04988098144531, 167.00697326660156, 50.143829345703125)",POINT (0.6089714765548706 0.181075744330883),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624831865,787285784,1,1,"(0.6020182967185974, 0.19713276624679565)","(0.6135035753250122, 0.1753120869398117)",1,1,3.347198486328125,3.2093963623046875,"(-83.38839721679688, 5.080048084259033, 593.69970703125)","(-18.811471939086914, 6.178791046142578, 592.6502685546875)","(35.62379837036133, 164.57781982421875, 49.25965118408203)","(39.60386276245117, 168.57476806640625, 50.71439743041992)",POINT (0.6077609360218048 0.1862224265933037),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624848532,787302450,1,1,"(0.6039684414863586, 0.1921997368335724)","(0.6130366921424866, 0.17577102780342102)",1,1,3.3453521728515625,3.1880645751953125,"(-83.43040466308594, 5.108920097351074, 593.769775390625)","(-18.845916748046875, 6.2054266929626465, 592.6869506835938)","(36.29957580566406, 165.48141479492188, 49.588523864746094)","(39.442081451416016, 168.4906768798828, 50.683837890625)",POINT (0.6085025668144226 0.1839853823184967),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624865198,787319116,1,1,"(0.6047960519790649, 0.19052022695541382)","(0.614776074886322, 0.18316145241260529)",1,1,3.34149169921875,3.211639404296875,"(-83.4774169921875, 5.129654884338379, 593.8785400390625)","(-18.876338958740234, 6.225570201873779, 592.7825317382812)","(36.58639144897461, 165.78904724121094, 49.70051574707031)","(40.04485321044922, 167.13694763183594, 50.191131591796875)",POINT (0.6097860634326935 0.1868408396840096),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,5,624881865,787335783,1,1,"(0.601369321346283, 0.19278593361377716)","(0.6085371375083923, 0.18720847368240356)",1,1,3.323699951171875,3.179901123046875,"(-83.5078353881836, 5.1611552238464355, 593.9609375)","(-18.900617599487305, 6.267487525939941, 592.80078125)","(35.39889907836914, 165.37403869628906, 49.549442291259766)","(37.882816314697266, 166.3956756591797, 49.92131042480469)",POINT (0.6049532294273376 0.1899972036480904),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
