,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,long.1,long.2,operate.1,int.1,n.1,switch.1,n.2,case.1,0.1,return.1,0.2,case.2,1.1,return.2,1.2,default.1,long.3,long.4,mystery1.1,=.1,0.3,long.5,long.6,mystery2.1,=.2,1.3,for.1,int.2,i.1,=.3,2.1,i.2,n.3,<=.1,++i.1,-----------.6,long.7,long.8,mystery3.1,=.4,mystery1.2,+.1,mystery2.2,mystery1.3,=.5,mystery2.3,mystery2.4,=.6,mystery3.2,-----------.8,return.3,mystery2.5,-----------.10,-----------.11,question,code,choices
0,26,24,1222019040,1384456442,1,1,"(0.49284085631370544, 0.25206616520881653)","(0.51985102891922, 0.286030113697052)",1,1,3.5037384033203125,3.4432830810546875,"(-76.10419464111328, 3.4984288215637207, 635.24462890625)","(-11.428932189941406, 2.5873653888702393, 634.1720581054688)","(-2.21018385887146, 154.51559448242188, 45.59735870361328)","(7.149834156036377, 148.2943878173828, 43.332969665527344)",POINT (0.5063459426164627 0.2690481394529343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222035707,1384473109,1,1,"(0.4932285249233246, 0.2424955815076828)","(0.5227511525154114, 0.30307134985923767)",1,1,3.4661865234375,3.4740447998046875,"(-76.1283950805664, 3.520127773284912, 635.2620849609375)","(-11.449077606201172, 2.6167471408843994, 634.1268310546875)","(-2.0758392810821533, 156.26866149902344, 46.235374450683594)","(8.154838562011719, 145.17291259765625, 42.19681167602539)",POINT (0.507989838719368 0.2727834656834602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222052383,1384489784,1,1,"(0.4947282373905182, 0.27305614948272705)","(0.5227087736129761, 0.29899686574935913)",1,1,3.502593994140625,3.4478912353515625,"(-76.19298553466797, 3.5657641887664795, 635.418701171875)","(-11.485895156860352, 2.6482410430908203, 634.125)","(-1.5561412572860718, 150.67083740234375, 44.19792938232422)","(8.140141487121582, 145.9192657470703, 42.468475341796875)",POINT (0.5087185055017471 0.2860265076160431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222069050,1384506451,1,1,"(0.49426043033599854, 0.22719377279281616)","(0.5273495316505432, 0.28380927443504333)",1,1,3.46630859375,3.4464263916015625,"(-76.26791381835938, 3.56611967086792, 635.4923706054688)","(-11.543710708618164, 2.66399884223938, 634.5791015625)","(-1.7182466983795166, 159.07151794433594, 47.2554931640625)","(9.748347282409668, 148.70118713378906, 43.48102569580078)",POINT (0.5108049809932709 0.2555015236139298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222085709,1384523109,1,1,"(0.49955737590789795, 0.2818446755409241)","(0.5206049084663391, 0.27619221806526184)",1,1,3.4989013671875,3.3910064697265625,"(-76.30812072753906, 3.59033203125, 635.3790893554688)","(-11.57509994506836, 2.680652141571045, 634.5551147460938)","(0.11734727770090103, 149.06103515625, 43.61202621459961)","(7.4110870361328125, 150.09642028808594, 43.98883056640625)",POINT (0.5100811421871185 0.279018446803093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222102382,1384539782,1,1,"(0.4892202913761139, 0.22527742385864258)","(0.5132496356964111, 0.29064592719078064)",1,1,3.4148406982421875,3.427963256835937,"(-76.36334228515625, 3.589873790740967, 635.308837890625)","(-11.626792907714844, 2.672947406768799, 633.919677734375)","(-3.464837074279785, 159.4225311279297, 47.3833122253418)","(4.86219596862793, 147.4488983154297, 43.02524185180664)",POINT (0.5012349635362625 0.2579616755247116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222119051,1384556449,1,1,"(0.49725067615509033, 0.2824670076370239)","(0.5158872008323669, 0.2654927968978882)",1,1,3.505889892578125,3.388153076171875,"(-76.46034240722656, 3.6055612564086914, 635.4573974609375)","(-11.710779190063477, 2.6886982917785645, 634.2387084960938)","(-0.6820042133331299, 148.94703674316406, 43.57050704956055)","(5.776236534118652, 152.0562286376953, 44.70219039916992)",POINT (0.5065689384937286 0.273979902267456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222135717,1384573115,1,1,"(0.49008700251579285, 0.21882501244544983)","(0.5217680335044861, 0.2922808527946472)",1,1,3.399887084960937,3.4471435546875,"(-76.50692749023438, 3.594534397125244, 635.2971801757812)","(-11.772134780883789, 2.706324338912964, 634.5367431640625)","(-3.16449236869812, 160.6044464111328, 47.81343460083008)","(7.81414794921875, 147.1494140625, 42.916259765625)",POINT (0.5059275180101395 0.2555529326200485),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222152385,1384589782,1,1,"(0.4902377128601074, 0.27830538153648376)","(0.5168376564979553, 0.2698519229888916)",1,1,3.48193359375,3.393310546875,"(-76.54312133789062, 3.5961315631866455, 635.1740112304688)","(-11.809267044067383, 2.723787784576416, 634.2242431640625)","(-3.112269878387451, 149.70933532714844, 43.84797668457031)","(6.105595588684082, 151.25775146484375, 44.411556243896484)",POINT (0.5035376846790314 0.2740786522626877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
0,26,24,1222169052,1384606449,1,1,"(0.49606382846832275, 0.30328086018562317)","(0.518284022808075, 0.27478253841400146)",1,1,3.543304443359375,3.4051971435546875,"(-76.60560607910156, 3.580847978591919, 635.2962646484375)","(-11.843461036682129, 2.7158825397491455, 633.7894287109375)","(-1.0933040380477905, 145.1345672607422, 42.18285369873047)","(6.606818199157715, 150.3546142578125, 44.082855224609375)",POINT (0.5071739256381989 0.2890316992998123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
