,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,32,26,577759696333,2784817915,1,1,"(0.3263538181781769, 0.13494694232940674)","(0.35583144426345825, 0.08709625899791718)",1,1,3.1549835205078125,2.90753173828125,"(-52.34839630126953, -28.001190185546875, 691.526611328125)","(8.916792869567871, -25.084796905517578, 690.8212890625)","(-61.61880874633789, 175.50608825683594, 53.237178802490234)","(-51.433528900146484, 184.24537658691406, 56.41801452636719)",POINT (0.3410926312208176 0.111021600663662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759713005,2784834587,1,1,"(0.3280593752861023, 0.12714433670043945)","(0.3508918583393097, 0.08689193427562714)",1,1,3.14508056640625,2.920867919921875,"(-52.4124870300293, -28.010601043701172, 691.636474609375)","(8.887319564819336, -25.088964462280273, 690.8613891601562)","(-61.02949523925781, 176.9311065673828, 53.75587844848633)","(-53.14027786254883, 184.2826690673828, 56.431640625)",POINT (0.339475616812706 0.1070181354880333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759729672,2784851254,1,1,"(0.3265351951122284, 0.12146817892789841)","(0.3513200879096985, 0.09350141882896423)",1,1,3.13934326171875,2.911865234375,"(-52.47719955444336, -28.03874969482422, 691.7330322265625)","(8.852437973022461, -25.096904754638672, 691.3238525390625)","(-61.55613327026367, 177.96780395507812, 54.1331672668457)","(-52.99232482910156, 183.0755615234375, 55.99224090576172)",POINT (0.3389276415109634 0.1074847988784313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759746340,2784867921,1,1,"(0.3269655108451843, 0.12195680290460587)","(0.3582819998264313, 0.08291540294885635)",1,1,3.1505889892578125,2.9109039306640625,"(-52.51220703125, -28.055675506591797, 691.6741333007812)","(8.797645568847656, -25.100234985351562, 691.6685180664062)","(-61.407440185546875, 177.87855529785156, 54.10068893432617)","(-50.586795806884766, 185.00894165039062, 56.695980072021484)",POINT (0.3426237553358078 0.1024361029267311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759763006,2784884587,1,1,"(0.3178311586380005, 0.12571978569030762)","(0.3577730059623718, 0.10071142017841339)",1,1,3.15289306640625,2.914520263671875,"(-52.55479431152344, -28.078201293945312, 691.5736083984375)","(8.72132682800293, -25.092018127441406, 691.2086181640625)","(-64.5635986328125, 177.19131469726562, 53.85053634643555)","(-50.76267623901367, 181.75872802734375, 55.51298141479492)",POINT (0.3378020823001862 0.1132156029343605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759779674,2784901254,1,1,"(0.3314878046512604, 0.12115215510129929)","(0.3498087227344513, 0.0988306775689125)",1,1,3.1430206298828125,2.9059295654296875,"(-52.616756439208984, -28.09244728088379, 691.443603515625)","(8.679706573486328, -25.087871551513672, 690.8404541015625)","(-59.844879150390625, 178.0255126953125, 54.15418243408203)","(-53.5145378112793, 182.1022491455078, 55.63799285888672)",POINT (0.3406482636928558 0.1099914163351059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759796341,2784917921,1,1,"(0.3347112834453583, 0.13451658189296722)","(0.34844157099723816, 0.0909084677696228)",1,1,3.167098999023437,2.8896942138671875,"(-52.678531646728516, -28.123332977294922, 691.526611328125)","(8.647424697875977, -25.100730895996094, 691.0262451171875)","(-58.731075286865234, 175.5846710205078, 53.26578903198242)","(-53.9869270324707, 183.5491180419922, 56.16462326049805)",POINT (0.3415764272212982 0.112712524831295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759813008,2784934587,1,1,"(0.31336456537246704, 0.10617639124393463)","(0.3474361300468445, 0.10470092296600342)",1,1,3.0858306884765625,2.9164276123046875,"(-52.73342514038086, -28.14895248413086, 691.745361328125)","(8.59959602355957, -25.117042541503906, 691.5941162109375)","(-66.10691833496094, 180.76063537597656, 55.14973068237305)","(-54.33432388305664, 181.0301055908203, 55.24778366088867)",POINT (0.3304003477096558 0.105438657104969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759829675,2784951254,1,1,"(0.2816025912761688, 0.1242617815732956)","(0.32262080907821655, 0.1035466343164444)",1,1,3.1330718994140625,2.895111083984375,"(-52.79917907714844, -28.17288589477539, 691.9886474609375)","(8.49053955078125, -25.111204147338867, 691.161376953125)","(-77.08148193359375, 177.45758056640625, 53.94746780395508)","(-62.90864944458008, 181.24093627929688, 55.32449722290039)",POINT (0.3021117001771927 0.11390420794487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,26,577759846345,2784967924,1,1,"(0.2906540036201477, 0.1306191384792328)","(0.3281107544898987, 0.11054173111915588)",1,1,3.1548614501953125,2.899566650390625,"(-52.78919219970703, -28.182079315185547, 691.9634399414062)","(8.502507209777832, -25.114561080932617, 691.2666015625)","(-73.9539794921875, 176.29649353027344, 53.52488327026367)","(-61.01173782348633, 179.96336364746094, 54.85951232910156)",POINT (0.3093823790550232 0.1205804347991943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
