,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,13,25,408633577583,2790402099,1,1,"(0.6879620552062988, 0.12729071080684662)","(0.6914928555488586, 0.13102194666862488)",1,1,2.4853515625,2.549468994140625,"(-58.28880310058594, 19.26171112060547, 560.3038940429688)","(3.332615375518799, 13.836409568786621, 562.425537109375)","(63.325984954833984, 176.9043731689453, 53.746150970458984)","(64.54595184326172, 176.22293090820312, 53.49807357788086)",POINT (0.6897274553775787 0.1291563287377358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633594250,2790418766,1,1,"(0.6878061890602112, 0.13090860843658447)","(0.6886202096939087, 0.11608067154884338)",1,1,2.5196533203125,2.52996826171875,"(-58.335052490234375, 19.28231430053711, 560.3839721679688)","(3.297342538833618, 13.874399185180664, 562.487060546875)","(63.27211380004883, 176.24362182617188, 53.505653381347656)","(63.553375244140625, 178.9517364501953, 54.4913330078125)",POINT (0.6882131993770599 0.1234946399927139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633610919,2790435434,1,1,"(0.6894793510437012, 0.13148418068885803)","(0.6881213188171387, 0.12108329683542252)",1,1,2.5065460205078125,2.51470947265625,"(-58.36994934082031, 19.29437255859375, 560.3685913085938)","(3.2608587741851807, 13.923891067504883, 562.5309448242188)","(63.85026550292969, 176.13848876953125, 53.4674072265625)","(63.38102340698242, 178.0380859375, 54.15877151489258)",POINT (0.6888003349304199 0.1262837387621403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633627586,2790452101,1,1,"(0.6836255788803101, 0.13598380982875824)","(0.6864590644836426, 0.11474619805812836)",1,1,2.532379150390625,2.507354736328125,"(-58.40411376953125, 19.302379608154297, 560.3534545898438)","(3.220397472381592, 13.969147682189941, 562.513916015625)","(61.82764434814453, 175.31671142578125, 53.16826248168945)","(62.806644439697266, 179.19546508789062, 54.58002853393555)",POINT (0.6850423216819763 0.1253650039434433),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633644257,2790468771,1,1,"(0.6847331523895264, 0.128127321600914)","(0.6892738938331604, 0.11570009589195251)",1,1,2.5135650634765625,2.5146484375,"(-58.44610595703125, 19.31454086303711, 560.3631591796875)","(3.1788365840911865, 14.004446029663086, 562.46142578125)","(62.21030807495117, 176.7515869140625, 53.690494537353516)","(63.77925491333008, 179.02127075195312, 54.51659393310547)",POINT (0.6870035231113434 0.1219137087464333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633660921,2790485435,1,1,"(0.690298855304718, 0.1365126520395279)","(0.6893755793571472, 0.1258188933134079)",1,1,2.50726318359375,2.534271240234375,"(-58.51751708984375, 19.34451675415039, 560.4742431640625)","(3.1297922134399414, 14.051253318786621, 562.4617309570312)","(64.13341522216797, 175.22012329101562, 53.133113861083984)","(63.81438064575195, 177.17320251464844, 53.843955993652344)",POINT (0.6898372173309326 0.1311657726764679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633677589,2790502102,1,1,"(0.6819900274276733, 0.12366196513175964)","(0.6876667141914368, 0.1253592073917389)",1,1,2.5123443603515625,2.53863525390625,"(-58.5649528503418, 19.364986419677734, 560.5096435546875)","(3.0791749954223633, 14.111119270324707, 562.541015625)","(61.26250076293945, 177.56712341308594, 53.98735809326172)","(63.223934173583984, 177.25714111328125, 53.87453842163086)",POINT (0.684828370809555 0.1245105862617493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633694256,2790518769,1,1,"(0.6810630559921265, 0.13966654241085052)","(0.6926965713500977, 0.12091971933841705)",1,1,2.5162506103515625,2.523056030273437,"(-58.612850189208984, 19.404125213623047, 560.501220703125)","(3.030334949493408, 14.173460006713867, 562.532470703125)","(60.94221496582031, 174.64410400390625, 52.923458099365234)","(64.96188354492188, 178.06797790527344, 54.16961669921875)",POINT (0.6868798136711121 0.1302931308746338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633710923,2790535435,1,1,"(0.6827828884124756, 0.13115838170051575)","(0.6914200186729431, 0.1222703605890274)",1,1,2.5266876220703125,2.53936767578125,"(-58.66807556152344, 19.423992156982422, 560.5355834960938)","(2.9795987606048584, 14.210063934326172, 562.4535522460938)","(61.536460876464844, 176.197998046875, 53.48904800415039)","(64.52080535888672, 177.8212890625, 54.079856872558594)",POINT (0.6871014535427094 0.1267143711447716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633727590,2790552102,1,1,"(0.6846526265144348, 0.13757656514644623)","(0.6888312101364136, 0.12392016500234604)",1,1,2.517318725585937,2.5533447265625,"(-58.722373962402344, 19.456470489501953, 560.6041870117188)","(2.939094066619873, 14.259856224060059, 562.4539184570312)","(62.182498931884766, 175.0258026123047, 53.06238555908203)","(63.62630844116211, 177.51995849609375, 53.97020721435547)",POINT (0.6867419183254242 0.1307483650743961),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633744259,2790568771,1,1,"(0.6814708113670349, 0.12554840743541718)","(0.6876540184020996, 0.12450021505355835)",1,1,2.511932373046875,2.539215087890625,"(-58.76148223876953, 19.46717071533203, 560.5887451171875)","(2.8955588340759277, 14.297313690185547, 562.4893798828125)","(61.08309555053711, 177.22259521484375, 53.86195373535156)","(63.219547271728516, 177.41403198242188, 53.93162536621094)",POINT (0.6845624148845673 0.1250243112444878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633760925,2790585437,1,1,"(0.6709834933280945, 0.13521063327789307)","(0.6821436882019043, 0.1207171231508255)",1,1,2.491195678710937,2.546539306640625,"(-58.8941650390625, 19.45028305053711, 560.6084594726562)","(2.7562968730926514, 14.297113418579102, 562.3594970703125)","(57.45945358276367, 175.45791625976562, 53.21967315673828)","(61.31559371948242, 178.10496520996094, 54.18309783935547)",POINT (0.6765635907649994 0.1279638782143593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,25,408633777601,2790602112,1,1,"(0.5344735980033875, 0.23199553787708282)","(0.5644638538360596, 0.2465708702802658)",1,1,2.4485321044921875,2.5099029541015625,"(-59.28607177734375, 19.221553802490234, 560.6954345703125)","(2.248917579650879, 14.192129135131836, 562.3699951171875)","(10.29184341430664, 157.78143310546875, 46.78594970703125)","(20.654232025146484, 155.11944580078125, 45.81707000732422)",POINT (0.5494687259197235 0.2392832040786743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
