,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,34,7,74148841265,4527792219,1,1,"(0.4144900441169739, 0.5051324367523193)","(0.4392792582511902, 0.5632137656211853)",1,1,2.7180328369140625,2.5066375732421875,"(-59.54197692871094, 83.4254150390625, 446.4251403808594)","(4.611011028289795, 84.75924682617188, 451.1738586425781)","(-31.165504455566406, 107.8965835571289, 28.629371643066406)","(-22.600210189819336, 97.28880310058594, 24.768449783325195)",POINT (0.426884651184082 0.5341731011867523),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74148924606,4527875558,1,1,"(0.407869815826416, 0.5216348171234131)","(0.4341934025287628, 0.5817686319351196)",1,1,2.71136474609375,2.575424194335937,"(-59.63282775878906, 84.35071563720703, 447.4380187988281)","(4.55018424987793, 85.89219665527344, 452.29693603515625)","(-33.452972412109375, 104.88263702392578, 27.532411575317383)","(-24.357498168945312, 93.89998626708984, 23.535053253173828)",POINT (0.4210316091775894 0.5517017245292664),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74148941274,4527892225,1,1,"(0.4097813069820404, 0.4098966419696808)","(0.4465065598487854, 0.4934115707874298)",1,1,2.6942596435546875,2.5043487548828125,"(-59.70250701904297, 84.70831298828125, 447.76898193359375)","(4.441049575805664, 86.3826675415039, 452.6609191894531)","(-32.792484283447266, 125.29014587402344, 34.96010208129883)","(-20.102991104125977, 110.03724670410156, 29.408506393432617)",POINT (0.4281439334154129 0.4516541063785553),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148957940,4527908891,1,1,"(0.4666694104671478, 0.32426702976226807)","(0.4508289396762848, 0.3502396047115326)",1,1,2.601806640625,2.4853973388671875,"(-60.1024169921875, 85.24420166015625, 448.1702575683594)","(4.330320358276367, 86.88240051269531, 452.9801330566406)","(-13.136212348937988, 140.92926025390625, 40.652286529541016)","(-18.6095027923584, 136.1857147216797, 38.9257698059082)",POINT (0.4587491750717163 0.3372533172369003),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74148974608,4527925558,1,1,"(0.42851021885871887, 0.28488394618034363)","(0.45375773310661316, 0.29752039909362793)",1,1,2.6767578125,2.4892730712890625,"(-59.69629669189453, 85.41091918945312, 448.50823974609375)","(4.3186211585998535, 87.13748168945312, 453.1736145019531)","(-26.321191787719727, 148.1220703125, 43.270240783691406)","(-17.597522735595703, 145.8141632080078, 42.43025588989258)",POINT (0.441133975982666 0.2912021726369858),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74148991275,4527942225,1,1,"(0.4452510178089142, 0.30159875750541687)","(0.45900991559028625, 0.30760154128074646)",1,1,2.7435455322265625,2.499603271484375,"(-59.943946838378906, 85.5599136352539, 448.6416320800781)","(4.292726516723633, 87.3554458618164, 453.5220947265625)","(-20.53681755065918, 145.06932067871094, 42.15913391113281)","(-15.782769203186035, 143.97299194335938, 41.76009750366211)",POINT (0.4521304666996002 0.3046001493930817),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149007942,4527958891,1,1,"(0.4289270341396332, 0.2695031762123108)","(0.44987040758132935, 0.31398269534111023)",1,1,2.691925048828125,2.47967529296875,"(-59.76774597167969, 85.68932342529297, 448.9233093261719)","(4.272981643676758, 87.56981658935547, 453.8250732421875)","(-26.17715072631836, 150.93115234375, 44.29264450073242)","(-18.940683364868164, 142.80755615234375, 41.33592987060547)",POINT (0.4393987208604813 0.2917429357767105),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149024609,4527975558,1,1,"(0.4264250695705414, 0.2679142355918884)","(0.45663902163505554, 0.292255163192749)",1,1,2.675018310546875,2.490081787109375,"(-59.815757751464844, 85.85902404785156, 449.296875)","(4.2561116218566895, 87.71963500976562, 454.00909423828125)","(-27.041654586791992, 151.2213592529297, 44.398277282714844)","(-16.601978302001953, 146.7758026123047, 42.780250549316406)",POINT (0.4415320456027985 0.2800846993923187),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149041277,4527992225,1,1,"(0.4266282916069031, 0.26607707142829895)","(0.49356088042259216, 0.3504241406917572)",1,1,2.693572998046875,2.51202392578125,"(-59.804786682128906, 85.94894409179688, 449.4339904785156)","(4.07049560546875, 87.8881607055664, 454.2774963378906)","(-26.971446990966797, 151.556884765625, 44.52043151855469)","(-3.844541072845459, 136.1520233154297, 38.91350173950195)",POINT (0.4600945860147476 0.3082506060600281),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74149057945,4528008893,1,1,"(0.43359920382499695, 0.2513490319252014)","(0.4902677834033966, 0.2970881462097168)",1,1,2.6837310791015625,2.4491424560546875,"(-59.7899284362793, 86.04949951171875, 449.5896911621094)","(4.089727401733398, 87.99372100830078, 454.56439208984375)","(-24.562816619873047, 154.24676513671875, 45.49946975708008)","(-4.982386112213135, 145.89312744140625, 42.45896530151367)",POINT (0.4619334936141968 0.2742185890674591),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149074613,4528025560,1,1,"(0.46640127897262573, 0.25841522216796875)","(0.4830858111381531, 0.3279157280921936)",1,1,2.6555633544921875,2.4402008056640625,"(-60.19422149658203, 86.2115707397461, 449.80767822265625)","(4.129451751708984, 88.14730834960938, 454.86285400390625)","(-13.228858947753906, 152.95620727539062, 45.029727935791016)","(-7.4639363288879395, 140.26287841796875, 40.40972137451172)",POINT (0.4747435450553894 0.2931654751300812),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149107947,4528058893,1,1,"(0.43157127499580383, 0.22632049024105072)","(0.47367939352989197, 0.26279494166374207)",1,1,2.68865966796875,2.47613525390625,"(-60.016761779785156, 86.53469848632812, 450.4553527832031)","(4.04218053817749, 88.42952728271484, 455.5194091796875)","(-25.26351547241211, 158.81790161132812, 47.1632080078125)","(-10.714104652404785, 152.1563262939453, 44.73860549926758)",POINT (0.4526253342628479 0.2445577159523964),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149124614,4528075560,1,1,"(0.4139503240585327, 0.24638406932353973)","(0.4332468807697296, 0.2917364537715912)",1,1,2.673370361328125,2.490264892578125,"(-59.79817199707031, 86.60917663574219, 450.67291259765625)","(4.2497358322143555, 88.5115966796875, 455.6314697265625)","(-31.35199546813965, 155.15354919433594, 45.829505920410156)","(-24.684539794921875, 146.87054443359375, 42.81474685668945)",POINT (0.4235986024141312 0.2690602615475655),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149157948,4528108893,1,1,"(0.43313905596733093, 0.2711373567581177)","(0.431063711643219, 0.2782687544822693)",1,1,2.626251220703125,2.504425048828125,"(-59.994224548339844, 86.72468566894531, 450.9241943359375)","(4.270144939422607, 88.58031463623047, 455.913818359375)","(-24.721799850463867, 150.63270568847656, 44.18403244018555)","(-25.438888549804688, 149.33023071289062, 43.70998001098633)",POINT (0.432101383805275 0.2747030556201935),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149174616,4528125560,1,1,"(0.41050925850868225, 0.2378065437078476)","(0.42779701948165894, 0.2801705598831177)",1,1,2.63824462890625,2.4730987548828125,"(-59.809234619140625, 86.75779724121094, 451.30010986328125)","(4.272709846496582, 88.6075439453125, 456.06378173828125)","(-32.54096984863281, 156.72012329101562, 46.399662017822266)","(-26.567617416381836, 148.98287963867188, 43.58356475830078)",POINT (0.4191531389951706 0.2589885517954826),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149191290,4528142234,1,1,"(0.4258531332015991, 0.21580415964126587)","(0.42597496509552, 0.28635042905807495)",1,1,2.652496337890625,2.466400146484375,"(-60.04331970214844, 86.79434204101562, 451.3741455078125)","(4.238893508911133, 88.66973114013672, 456.2789611816406)","(-27.2392635345459, 160.7385711669922, 47.86227798461914)","(-27.197166442871094, 147.85421752929688, 43.172752380371094)",POINT (0.4259140491485596 0.2510772943496704),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149207958,4528158901,1,1,"(0.4283342957496643, 0.2486504763364792)","(0.4357878863811493, 0.26846227049827576)",1,1,2.608612060546875,2.466537475585937,"(-60.075958251953125, 86.83586120605469, 451.42578125)","(4.185334205627441, 88.75267791748047, 456.5736083984375)","(-26.381969451904297, 154.7396240234375, 45.67884063720703)","(-23.80657386779785, 151.1212615966797, 44.36186599731445)",POINT (0.4320610910654068 0.2585563734173775),,,,,,,,,,,,,,,,,,,,,1,1,
0,34,7,74149224625,4528175568,1,1,"(0.44457101821899414, 0.2276947796344757)","(0.42392247915267944, 0.27292847633361816)",1,1,2.60137939453125,2.4380645751953125,"(-60.148902893066406, 86.88996124267578, 451.6456298828125)","(4.125956058502197, 88.79364013671875, 456.5634765625)","(-20.771780014038086, 158.56690979003906, 47.07186508178711)","(-27.906360626220703, 150.30555725097656, 44.06496810913086)",POINT (0.4342467486858368 0.2503116279840469),,,,,,,,,,,,,,,,,,,,,1,1,
