,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,12,13,332921312585,3588461823,1,1,"(0.6282243132591248, 0.05061190947890282)","(0.6520311832427979, 0.07780315726995468)",1,1,2.8727569580078125,2.8289337158203125,"(-64.67179870605469, 5.5702805519104, 653.2445068359375)","(0.5935136675834656, 6.09018087387085, 659.7298583984375)","(44.70513153076172, 191.41624450683594, 59.02799606323242)","(52.95509338378906, 186.43557739257812, 57.21525573730469)",POINT (0.6401277482509613 0.0642075333744288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921329252,3588478490,1,1,"(0.6366860866546631, 0.05421905964612961)","(0.655937910079956, 0.08158193528652191)",1,1,2.8482818603515625,2.824691772460937,"(-64.65884399414062, 5.567526817321777, 653.3193359375)","(0.6255474090576172, 6.078746795654297, 659.705322265625)","(47.63744354248047, 190.75550842285156, 58.78752899169922)","(54.30891418457031, 185.743408203125, 56.96330261230469)",POINT (0.6463119983673096 0.0679004974663258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921345919,3588495156,1,1,"(0.6392504572868347, 0.06593818962574005)","(0.6544106006622314, 0.07540454715490341)",1,1,2.83050537109375,2.8248748779296875,"(-64.6270523071289, 5.560174942016602, 653.217529296875)","(0.6575003862380981, 6.06791877746582, 659.8974609375)","(48.526100158691406, 188.60890197753906, 58.006229400634766)","(53.77964782714844, 186.87493896484375, 57.37514877319336)",POINT (0.6468305289745331 0.0706713683903217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921362586,3588511823,1,1,"(0.6428508758544922, 0.06251104921102524)","(0.6501301527023315, 0.07724525034427643)",1,1,2.843292236328125,2.833480834960937,"(-64.60528564453125, 5.550317764282227, 653.2584228515625)","(0.6858042478561401, 6.05729341506958, 660.1622924804688)","(49.773773193359375, 189.23666381835938, 58.234745025634766)","(52.29632568359375, 186.5377960205078, 57.252410888671875)",POINT (0.6464905142784119 0.0698781497776508),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921379254,3588528490,1,1,"(0.63875412940979, 0.06978694349527359)","(0.6520910859107971, 0.06827457994222641)",1,1,2.848129272460937,2.814910888671875,"(-64.58304595947266, 5.535539150238037, 653.32373046875)","(0.7102603912353516, 6.0428466796875, 660.3312377929688)","(48.35409927368164, 187.90394592285156, 57.7496452331543)","(52.97584533691406, 188.18093872070312, 57.85049819946289)",POINT (0.6454226076602936 0.06903076171875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921395920,3588545156,1,1,"(0.6365700364112854, 0.06971403956413269)","(0.6554877758026123, 0.07288184762001038)",1,1,2.84722900390625,2.817169189453125,"(-64.55755615234375, 5.5342817306518555, 653.3168334960938)","(0.7296031713485718, 6.044436454772949, 660.427490234375)","(47.597251892089844, 187.9172821044922, 57.7545051574707)","(54.15293502807617, 187.3370361328125, 57.54331970214844)",POINT (0.6460289061069489 0.0712979435920715),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921412588,3588561823,1,1,"(0.6370483636856079, 0.07509636133909225)","(0.6490419507026672, 0.07348813116550446)",1,1,2.864974975585937,2.816680908203125,"(-64.54367065429688, 5.5198211669921875, 653.3438720703125)","(0.7384911775588989, 6.022940635681152, 660.4280395507812)","(47.763004302978516, 186.93141174316406, 57.39567184448242)","(51.91922378540039, 187.22596740722656, 57.5029182434082)",POINT (0.6430451571941376 0.0742922462522984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921429255,3588578490,1,1,"(0.6332196593284607, 0.07149424403905869)","(0.6495292782783508, 0.07629331946372986)",1,1,2.8556060791015625,2.8344879150390625,"(-64.5280990600586, 5.516878604888916, 653.3590087890625)","(0.748009443283081, 6.011417388916016, 660.2716064453125)","(46.43620681762695, 187.59120178222656, 57.63584518432617)","(52.088096618652344, 186.712158203125, 57.315887451171875)",POINT (0.6413744688034058 0.0738937817513943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921445929,3588595163,1,1,"(0.6303619146347046, 0.06170288473367691)","(0.6540555953979492, 0.08504731953144073)",1,1,2.865570068359375,2.8563232421875,"(-64.52630615234375, 5.512672424316406, 653.347412109375)","(0.7488070130348206, 6.001800537109375, 660.3077392578125)","(45.44588851928711, 189.3846893310547, 58.28862380981445)","(53.656620025634766, 185.10865783691406, 56.732276916503906)",POINT (0.6422087550163269 0.0733751021325588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,13,332921462596,3588611830,1,1,"(0.6336427927017212, 0.048428427428007126)","(0.6563246846199036, 0.08273740112781525)",1,1,2.840545654296875,2.8336944580078125,"(-64.52130126953125, 5.504154205322266, 653.2884521484375)","(0.7487541437149048, 5.998377323150635, 660.2596435546875)","(46.58284378051758, 191.81617736816406, 59.17362976074219)","(54.44294357299805, 185.5317840576172, 56.88627243041992)",POINT (0.6449837386608124 0.0655829142779112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
