,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,28,36,7720165634,7938582199,1,1,"(0.5274927020072937, 0.31163525581359863)","(0.5296058654785156, 0.25931692123413086)",1,1,3.5099639892578125,3.43670654296875,"(-56.814552307128906, 32.818885803222656, 487.1190185546875)","(7.203305244445801, 26.947921752929688, 490.6671447753906)","(9.797945976257324, 143.60426330566406, 41.625892639160156)","(10.53023910522461, 153.18746948242188, 45.11392593383789)",POINT (0.5285492837429047 0.2854760885238648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,28,36,7720182301,7938598866,1,1,"(0.44172990322113037, 0.24321143329143524)","(0.47110557556152344, 0.20145083963871002)",1,1,3.4858856201171875,3.41436767578125,"(-57.64842224121094, 33.070777893066406, 487.6007080078125)","(6.319725036621094, 27.45236587524414, 490.50848388671875)","(-19.921998977661133, 156.1375274658203, 46.18767166137695)","(-9.742241859436035, 163.78688049316406, 48.97176742553711)",POINT (0.4564177393913269 0.2223311364650726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720198970,7938615534,1,1,"(0.4570923149585724, 0.24741944670677185)","(0.467721164226532, 0.19570836424827576)",1,1,3.473114013671875,3.424591064453125,"(-58.3388786315918, 33.15821838378906, 487.11279296875)","(5.659886360168457, 27.840835571289062, 490.5712585449219)","(-14.59835147857666, 155.36676025390625, 45.907073974609375)","(-10.91506290435791, 164.8387451171875, 49.35459899902344)",POINT (0.4624067395925522 0.2215639054775238),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720215638,7938632202,1,1,"(0.46233826875686646, 0.24089030921459198)","(0.464752197265625, 0.20000363886356354)",1,1,3.4737701416015625,3.402740478515625,"(-59.08586120605469, 33.24421691894531, 486.9888916015625)","(4.992201805114746, 28.279008865356445, 490.3787536621094)","(-12.780439376831055, 156.5626983642578, 46.3423957824707)","(-11.943929672241211, 164.05197143554688, 49.06824493408203)",POINT (0.4635452330112457 0.2204469740390778),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720232305,7938648869,1,1,"(0.464168906211853, 0.2341025471687317)","(0.46172651648521423, 0.20468240976333618)",1,1,3.4671783447265625,3.403167724609375,"(-59.86814498901367, 33.35143280029297, 486.94866943359375)","(4.2683610916137695, 28.773521423339844, 490.14556884765625)","(-12.146058082580566, 157.8060302734375, 46.79490661621094)","(-12.992435455322266, 163.1949462890625, 48.7563362121582)",POINT (0.4629477113485336 0.2193924784660339),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720248973,7938665536,1,1,"(0.467244029045105, 0.26490822434425354)","(0.45944687724113464, 0.1994568109512329)",1,1,3.4548492431640625,3.401473999023437,"(-60.65617370605469, 33.46680450439453, 486.8016357421875)","(3.5190491676330566, 29.307357788085938, 490.32440185546875)","(-11.080414772033691, 152.16329956054688, 44.74116516113281)","(-13.782417297363281, 164.15213012695312, 49.10471725463867)",POINT (0.4633454531431198 0.2321825176477432),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720265641,7938682204,1,1,"(0.46149739623069763, 0.23530879616737366)","(0.4636300504207611, 0.1962425261735916)",1,1,3.41729736328125,3.390838623046875,"(-61.450897216796875, 33.5611457824707, 486.83544921875)","(2.780756950378418, 29.814910888671875, 489.8216552734375)","(-13.071836471557617, 157.5850830078125, 46.71448516845703)","(-12.332788467407227, 164.7408905029297, 49.31901168823242)",POINT (0.4625637233257294 0.2157756611704826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720282309,7938698871,1,1,"(0.46769624948501587, 0.24064451456069946)","(0.46199145913124084, 0.21052096784114838)",1,1,3.4343719482421875,3.3871307373046875,"(-62.199615478515625, 33.64606475830078, 486.6354675292969)","(2.0588583946228027, 30.347217559814453, 489.61077880859375)","(-10.923711776733398, 156.60772705078125, 46.358768463134766)","(-12.90062141418457, 162.12548828125, 48.367088317871094)",POINT (0.4648438543081284 0.2255827412009239),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720298976,7938715538,1,1,"(0.46864068508148193, 0.24089008569717407)","(0.46234700083732605, 0.20934870839118958)",1,1,3.415130615234375,3.375946044921875,"(-62.919715881347656, 33.72052001953125, 486.5068054199219)","(1.3541836738586426, 30.829025268554688, 489.4915771484375)","(-10.596413612365723, 156.562744140625, 46.3423957824707)","(-12.777425765991211, 162.34022521972656, 48.44521713256836)",POINT (0.465493842959404 0.2251193970441818),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720315645,7938732206,1,1,"(0.4610714316368103, 0.234137624502182)","(0.4603104889392853, 0.21012942492961884)",1,1,3.42254638671875,3.36761474609375,"(-63.64892578125, 33.81683349609375, 486.61749267578125)","(0.6745299100875854, 31.312047958374023, 489.34466552734375)","(-13.219459533691406, 157.7996063232422, 46.792564392089844)","(-13.483136177062988, 162.1972198486328, 48.39316177368164)",POINT (0.4606909602880478 0.2221335247159004),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
