,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,26,27,2001860176,2164275262,1,1,"(0.5442299842834473, 1.0825157165527344)","(0.3678353726863861, 0.44350290298461914)",1,1,2.39373779296875,2.742095947265625,"(-59.479366302490234, 0.022256657481193542, 624.712646484375)","(5.203784942626953, 4.7842206954956055, 623.7312622070312)","(15.598014831542969, 2.401096820831299, -9.76783561706543)","(-45.529144287109375, 119.44988250732422, 32.83443069458008)",POINT (0.4560326784849167 0.7630093097686768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2001976853,2164391935,1,1,"(0.30386000871658325, 0.2329942286014557)","(0.29517343640327454, 0.14904320240020752)",1,1,3.3827056884765625,3.264617919921875,"(-60.13117980957031, 2.1307826042175293, 627.6390991210938)","(4.545206546783447, 6.374179840087891, 625.8204345703125)","(-67.69895935058594, 158.00904846191406, 46.86880111694336)","(-70.70916748046875, 173.38644409179688, 52.46575164794922)",POINT (0.2995167225599289 0.1910187155008316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2001993521,2164408602,1,1,"(0.2975287437438965, 0.1348285675048828)","(0.297585666179657, 0.11435342580080032)",1,1,3.4581451416015625,3.315673828125,"(-60.10926818847656, 2.3314478397369385, 627.886474609375)","(4.571349620819092, 6.464080333709717, 626.067626953125)","(-69.89295959472656, 175.9901580810547, 53.41343307495117)","(-69.87325286865234, 179.74063110351562, 54.77848815917969)",POINT (0.2975572049617767 0.1245909966528416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002010187,2164425268,1,1,"(0.2963028848171234, 0.1465921550989151)","(0.29303666949272156, 0.11195892840623856)",1,1,3.4910125732421875,3.3232574462890625,"(-60.08219528198242, 2.558169364929199, 628.0794677734375)","(4.610607147216797, 6.597906112670898, 626.3609619140625)","(-70.3177719116211, 173.83541870117188, 52.62913513183594)","(-71.44963073730469, 180.17922973632812, 54.93809509277344)",POINT (0.2946697771549225 0.1292755417525768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002026860,2164441940,1,1,"(0.291338711977005, 0.12174510210752487)","(0.2995881140232086, 0.09624720364809036)",1,1,3.4800567626953125,3.328826904296875,"(-60.05492401123047, 2.742856025695801, 628.5166015625)","(4.629294395446777, 6.717559814453125, 626.7180786132812)","(-72.03803253173828, 178.3866729736328, 54.28567886352539)","(-69.17932891845703, 183.0571746826172, 55.985591888427734)",POINT (0.2954634130001068 0.1089961528778076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002043527,2164458607,1,1,"(0.2909749150276184, 0.11958589404821396)","(0.2985575795173645, 0.10146237909793854)",1,1,3.497955322265625,3.3145294189453125,"(-59.996212005615234, 2.903155565261841, 628.7479248046875)","(4.679720878601074, 6.841419219970703, 626.8154907226562)","(-72.16410827636719, 178.7821807861328, 54.42963409423828)","(-69.53643035888672, 182.10191345214844, 55.63785934448242)",POINT (0.2947662472724915 0.1105241365730762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002060194,2164475273,1,1,"(0.2923412024974823, 0.12489619106054306)","(0.29854708909988403, 0.10891895741224289)",1,1,3.50885009765625,3.320220947265625,"(-59.94782257080078, 3.095644950866699, 629.2015380859375)","(4.744683265686035, 7.003283500671387, 626.966552734375)","(-71.69064331054688, 177.8094940185547, 54.075584411621094)","(-69.54007720947266, 180.736083984375, 55.14072036743164)",POINT (0.2954441457986832 0.116907574236393),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002076861,2164491940,1,1,"(0.28485918045043945, 0.11731559038162231)","(0.29298874735832214, 0.10360907018184662)",1,1,3.501693725585937,3.31903076171875,"(-59.881778717041016, 3.2801992893218994, 629.5819091796875)","(4.8236236572265625, 7.1591620445251465, 627.1063232421875)","(-74.28343200683594, 179.1980438232422, 54.58100509643555)","(-71.46624755859375, 181.70867919921875, 55.49477005004883)",POINT (0.2889239639043808 0.1104623302817345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002093530,2164508608,1,1,"(0.28744325041770935, 0.11440182477235794)","(0.2981179356575012, 0.09851031005382538)",1,1,3.5009002685546875,3.305419921875,"(-59.78321838378906, 3.464658737182617, 630.0799560546875)","(4.901898384094238, 7.327919006347656, 627.6483764648438)","(-73.38795471191406, 179.73175048828125, 54.77524948120117)","(-69.68878936767578, 182.6426239013672, 55.83470153808594)",POINT (0.2927805930376053 0.1064560674130917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002110195,2164525273,1,1,"(0.29021546244621277, 0.10524299740791321)","(0.2927302420139313, 0.10881385952234268)",1,1,3.491241455078125,3.325103759765625,"(-59.6526985168457, 3.655559539794922, 630.5505981445312)","(5.038165092468262, 7.507658004760742, 628.0504150390625)","(-72.42728424072266, 181.40939331054688, 55.38584899902344)","(-71.55582427978516, 180.7552947998047, 55.14780807495117)",POINT (0.291472852230072 0.1070284284651279),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,27,2002126865,2164541942,1,1,"(0.2893010675907135, 0.11928108334541321)","(0.2998267710208893, 0.10677631199359894)",1,1,3.5003204345703125,3.322662353515625,"(-59.479862213134766, 3.8941650390625, 631.085205078125)","(5.203039646148682, 7.707249164581299, 628.7139892578125)","(-72.7441635131836, 178.83802795410156, 54.44994354248047)","(-69.09661102294922, 181.1285400390625, 55.283599853515625)",POINT (0.2945639193058014 0.1130286976695061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
