,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,long.1,long.2,operate.1,int.1,n.1,switch.1,n.2,case.1,0.1,return.1,0.2,case.2,1.1,return.2,1.2,default.1,long.3,long.4,mystery1.1,=.1,0.3,long.5,long.6,mystery2.1,=.2,1.3,for.1,int.2,i.1,=.3,2.1,i.2,n.3,<=.1,++i.1,-----------.6,long.7,long.8,mystery3.1,=.4,mystery1.2,+.1,mystery2.2,mystery1.3,=.5,mystery2.3,mystery2.4,=.6,mystery3.2,-----------.8,return.3,mystery2.5,-----------.10,-----------.11,question,code,choices
0,27,24,239643664333,6276342691,1,1,"(0.49866679310798645, 0.22464407980442047)","(0.4534912705421448, 0.31926754117012024)",1,1,3.26031494140625,3.2890777587890625,"(-73.94713592529297, 24.587799072265625, 560.815185546875)","(-10.706871032714844, 26.726396560668945, 561.3804931640625)","(-0.19128765165805817, 159.53855895996094, 47.42546844482422)","(-15.846260070800781, 142.20623779296875, 41.11708450317383)",POINT (0.4760790318250656 0.2719558104872704),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643680999,6276359357,1,1,"(0.49942827224731445, 0.22286748886108398)","(0.4474937915802002, 0.33130043745040894)",1,1,3.2551727294921875,3.2758026123046875,"(-74.03378295898438, 24.575960159301758, 560.7950439453125)","(-10.77015209197998, 26.73647689819336, 561.273193359375)","(0.07260894030332565, 159.8639678955078, 47.543949127197266)","(-17.92458724975586, 140.0021514892578, 40.31488037109375)",POINT (0.4734610319137573 0.2770839631557465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643697667,6276376024,1,1,"(0.4996698200702667, 0.22256703674793243)","(0.44819027185440063, 0.3296290338039398)",1,1,3.2613067626953125,3.28125,"(-74.10798645019531, 24.53306007385254, 560.8128662109375)","(-10.848508834838867, 26.72369384765625, 561.3226318359375)","(0.15631355345249176, 159.91900634765625, 47.56396484375)","(-17.68324851989746, 140.3083038330078, 40.42630386352539)",POINT (0.4739300459623337 0.2760980352759361),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643714334,6276392691,1,1,"(0.49592193961143494, 0.21874839067459106)","(0.44718050956726074, 0.3142508268356323)",1,1,3.2567138671875,3.2725372314453125,"(-74.16365814208984, 24.493755340576172, 560.6552734375)","(-10.922561645507812, 26.71310043334961, 561.268310546875)","(-1.1424658298492432, 160.61846923828125, 47.81855010986328)","(-18.03315544128418, 143.1251678466797, 41.451507568359375)",POINT (0.4715512245893478 0.2664996087551117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643731001,6276409357,1,1,"(0.4936341643333435, 0.2267051339149475)","(0.4489147365093231, 0.32441446185112)",1,1,3.2798614501953125,3.2733612060546875,"(-74.23768615722656, 24.474365234375, 560.763671875)","(-10.990826606750488, 26.708789825439453, 561.248046875)","(-1.935269832611084, 159.1610107421875, 47.28812026977539)","(-17.43219757080078, 141.26345825195312, 40.773963928222656)",POINT (0.4712744504213333 0.2755597978830338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643747668,6276426024,1,1,"(0.4949878454208374, 0.22907429933547974)","(0.4566759467124939, 0.32411402463912964)",1,1,3.26458740234375,3.276611328125,"(-74.30575561523438, 24.475444793701172, 560.8175048828125)","(-11.052417755126953, 26.735431671142578, 561.3854370117188)","(-1.466167688369751, 158.72705078125, 47.130157470703125)","(-14.742640495300293, 141.31851196289062, 40.7939453125)",POINT (0.4758318960666656 0.2765941619873047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643764341,6276442696,1,1,"(0.4950682818889618, 0.21806350350379944)","(0.45590171217918396, 0.31597405672073364)",1,1,3.262542724609375,3.2689361572265625,"(-74.35746765136719, 24.46908950805664, 560.7885131835938)","(-11.094583511352539, 26.74683952331543, 561.3145751953125)","(-1.4382948875427246, 160.74391174316406, 47.8642463684082)","(-15.010937690734863, 142.8094940185547, 41.33668899536133)",POINT (0.4754849970340729 0.2670187801122665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643781008,6276459363,1,1,"(0.4951202869415283, 0.21761348843574524)","(0.44771572947502136, 0.3264581859111786)",1,1,3.2656707763671875,3.2488250732421875,"(-74.40341186523438, 24.485322952270508, 560.8316650390625)","(-11.12002182006836, 26.768760681152344, 561.2264404296875)","(-1.420271635055542, 160.82635498046875, 47.89420700073242)","(-17.847684860229492, 140.88912963867188, 40.63766860961914)",POINT (0.4714180082082748 0.2720358371734619),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643797675,6276476030,1,1,"(0.499767929315567, 0.22725282609462738)","(0.45000794529914856, 0.32221272587776184)",1,1,3.2761383056640625,3.2593231201171875,"(-74.43793487548828, 24.50908088684082, 560.8958129882812)","(-11.14691162109375, 26.793699264526367, 561.1553955078125)","(0.19030199944972992, 159.06069946289062, 47.25157928466797)","(-17.05335235595703, 141.66676330566406, 40.92074203491211)",POINT (0.4748879373073578 0.2747327759861946),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643814342,6276492696,1,1,"(0.49748051166534424, 0.22787174582481384)","(0.44772687554359436, 0.3265683650970459)",1,1,3.2989044189453125,3.2789764404296875,"(-74.46395111083984, 24.53970718383789, 560.8369140625)","(-11.171584129333496, 26.824542999267578, 561.1373291015625)","(-0.6023784279823303, 158.94732666015625, 47.21033477783203)","(-17.843822479248047, 140.86892700195312, 40.6303825378418)",POINT (0.4726036936044693 0.2772200554609299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643831009,6276509363,1,1,"(0.4956216812133789, 0.22907117009162903)","(0.45068514347076416, 0.32181280851364136)",1,1,3.29022216796875,3.28271484375,"(-74.4671630859375, 24.551780700683594, 560.7283935546875)","(-11.18320083618164, 26.848705291748047, 561.1705932617188)","(-1.2465189695358276, 158.72763061523438, 47.1303596496582)","(-16.818674087524414, 141.74002075195312, 40.947391510009766)",POINT (0.4731534123420715 0.2754419893026352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643847677,6276526030,1,1,"(0.4955093562602997, 0.23318403959274292)","(0.45120713114738464, 0.32628515362739563)",1,1,3.31072998046875,3.269927978515625,"(-74.46988677978516, 24.583755493164062, 560.6748046875)","(-11.187655448913574, 26.888778686523438, 561.0123291015625)","(-1.2854499816894531, 157.9742889404297, 46.856109619140625)","(-16.637779235839844, 140.92080688476562, 40.64924621582031)",POINT (0.4733582437038422 0.2797345966100693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643864343,6276542696,1,1,"(0.4965762495994568, 0.22247277200222015)","(0.4521583318710327, 0.3138265311717987)",1,1,3.311996459960937,3.2782745361328125,"(-74.46328735351562, 24.588727951049805, 560.5494384765625)","(-11.188396453857422, 26.922895431518555, 560.89111328125)","(-0.9157186150550842, 159.93626403808594, 47.570274353027344)","(-16.308164596557617, 143.202880859375, 41.47980880737305)",POINT (0.4743672907352448 0.2681496515870094),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643881011,6276559363,1,1,"(0.49594008922576904, 0.22391733527183533)","(0.4514467716217041, 0.32858312129974365)",1,1,3.2989959716796875,3.2762908935546875,"(-74.46101379394531, 24.609468460083008, 560.54833984375)","(-11.179705619812012, 26.957199096679688, 560.83935546875)","(-1.1361793279647827, 159.67164611816406, 47.47400665283203)","(-16.55475616455078, 140.49989318847656, 40.49600601196289)",POINT (0.4736934304237366 0.2762502282857895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643897681,6276576033,1,1,"(0.5006837844848633, 0.2251279354095459)","(0.45076891779899597, 0.3310374915599823)",1,1,3.3030242919921875,3.284332275390625,"(-74.46501159667969, 24.636882781982422, 560.6368408203125)","(-11.15579605102539, 26.97715950012207, 560.7882690429688)","(0.5076910853385925, 159.44992065429688, 47.39323425292969)","(-16.789640426635742, 140.05032348632812, 40.3323860168457)",POINT (0.4757263511419296 0.2780827134847641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,24,239643914348,6276592699,1,1,"(0.46290329098701477, 0.2611035704612732)","(0.43533971905708313, 0.3508135676383972)",1,1,3.296783447265625,3.289794921875,"(-74.45732116699219, 24.40346908569336, 560.49609375)","(-11.305187225341797, 26.694705963134766, 560.7998046875)","(-12.584633827209473, 152.86021423339844, 44.99478530883789)","(-22.13642692565918, 136.4279022216797, 39.01395797729492)",POINT (0.449121505022049 0.3059585690498352),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239643931015,6276609366,1,1,"(0.4723941683769226, 0.4906092882156372)","(0.45440471172332764, 0.5017320513725281)",1,1,3.307723999023437,3.3265380859375,"(-74.28091430664062, 24.03266716003418, 560.2715454101562)","(-11.452967643737793, 26.24945831298828, 561.1123046875)","(-9.295701026916504, 110.82135772705078, 29.693889617919922)","(-15.529706954956055, 108.78398895263672, 28.95233154296875)",POINT (0.4633994400501251 0.4961706697940826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239643947683,6276626033,1,1,"(0.4555005431175232, 0.5207421779632568)","(0.4485378861427307, 0.5238965153694153)",1,1,3.304962158203125,3.3216552734375,"(-74.28376770019531, 23.988393783569336, 560.2190551757812)","(-11.340530395507812, 26.205446243286133, 560.9942626953125)","(-15.1499662399292, 105.3019027709961, 27.684907913208008)","(-17.562774658203125, 104.7240982055664, 27.47464942932129)",POINT (0.452019214630127 0.5223193466663361),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239643964349,6276642699,1,1,"(0.4586256146430969, 0.5427764654159546)","(0.45266789197921753, 0.5433425903320312)",1,1,3.28826904296875,3.31732177734375,"(-74.23527526855469, 23.981544494628906, 560.2310791015625)","(-11.248342514038086, 26.221702575683594, 561.1199340820312)","(-14.067014694213867, 101.26583862304688, 26.215953826904297)","(-16.131582260131836, 101.16211700439453, 26.17825698852539)",POINT (0.4556467533111572 0.5430595278739929),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239643981016,6276659366,1,1,"(0.45256394147872925, 0.535984456539154)","(0.4543187618255615, 0.5338510274887085)",1,1,3.2812042236328125,3.276947021484375,"(-74.161376953125, 24.00933837890625, 560.372802734375)","(-11.156917572021484, 26.23294448852539, 561.0712890625)","(-16.167600631713867, 102.50993347167969, 26.668760299682617)","(-15.559492111206055, 102.90071868896484, 26.811017990112305)",POINT (0.4534413516521454 0.5349177420139313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239643997684,6276676033,1,1,"(0.45582765340805054, 0.5401424765586853)","(0.4535232186317444, 0.539004921913147)",1,1,3.269073486328125,3.281463623046875,"(-74.06507873535156, 23.990909576416016, 560.1270751953125)","(-11.033666610717773, 26.22119903564453, 560.9527587890625)","(-15.036603927612305, 101.74829864501953, 26.39156723022461)","(-15.835182189941406, 101.95667266845703, 26.4674072265625)",POINT (0.4546754360198975 0.5395736992359161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644014350,6276692699,1,1,"(0.45460444688796997, 0.551351010799408)","(0.4549177885055542, 0.5572068691253662)",1,1,3.2837066650390625,3.290191650390625,"(-73.97602844238281, 24.01888656616211, 560.3614501953125)","(-10.910770416259766, 26.25115966796875, 561.3414916992188)","(-15.460493087768555, 99.69522094726562, 25.64432144165039)","(-15.351912498474121, 98.6225814819336, 25.253929138183594)",POINT (0.4547611176967621 0.5542789399623871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644031019,6276709367,1,1,"(0.45904189348220825, 0.5408304929733276)","(0.44827473163604736, 0.5454490780830383)",1,1,3.2420806884765625,3.2946319580078125,"(-73.85954284667969, 24.014223098754883, 560.1016845703125)","(-10.801910400390625, 26.197410583496094, 560.630615234375)","(-13.922760963439941, 101.62226867675781, 26.34573745727539)","(-17.65397071838379, 100.77629852294922, 26.037755966186523)",POINT (0.4536583125591278 0.543139785528183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644047686,6276726034,1,1,"(0.4608531594276428, 0.5366367697715759)","(0.45122799277305603, 0.5465278625488281)",1,1,3.25103759765625,3.2770233154296875,"(-73.77230072021484, 24.05961036682129, 560.3004760742188)","(-10.662355422973633, 26.240638732910156, 560.8970947265625)","(-13.295092582702637, 102.39044189453125, 26.625301361083984)","(-16.63055992126465, 100.57868194580078, 25.965866088867188)",POINT (0.4560405761003494 0.541582316160202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644064353,6276742700,1,1,"(0.4556383192539215, 0.53382807970047)","(0.4559418857097626, 0.525227427482605)",1,1,3.2274627685546875,3.263580322265625,"(-73.61737060546875, 24.065048217773438, 560.1044921875)","(-10.52337646484375, 26.26544761657715, 561.146728515625)","(-15.102219581604004, 102.90491485595703, 26.81253433227539)","(-14.997024536132812, 104.48029327392578, 27.38597869873047)",POINT (0.455790102481842 0.5295277535915375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644081020,6276759367,1,1,"(0.45682933926582336, 0.5350806713104248)","(0.4532891511917114, 0.5434385538101196)",1,1,3.2420806884765625,3.285003662109375,"(-73.49351501464844, 24.104846954345703, 560.0805053710938)","(-10.392274856567383, 26.273818969726562, 561.0117797851562)","(-14.68948745727539, 102.67546844482422, 26.72905731201172)","(-15.916290283203125, 101.14456176757812, 26.17178726196289)",POINT (0.4550592452287674 0.5392596125602722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644097688,6276776034,1,1,"(0.46012863516807556, 0.5409015417098999)","(0.4551890194416046, 0.5412676334381104)",1,1,3.245635986328125,3.2691802978515625,"(-73.37728881835938, 24.1721248626709, 560.232666015625)","(-10.245051383972168, 26.291427612304688, 560.9990234375)","(-13.546160697937012, 101.60926818847656, 26.340967178344727)","(-15.257913589477539, 101.54219055175781, 26.316598892211914)",POINT (0.4576588273048401 0.5410845875740051),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,24,239644114354,6276792700,1,1,"(0.45712974667549133, 0.542266845703125)","(0.44914519786834717, 0.5419461727142334)",1,1,3.2480926513671875,3.26873779296875,"(-73.23283386230469, 24.220905303955078, 560.318603515625)","(-10.083442687988281, 26.310020446777344, 560.9176025390625)","(-14.585391998291016, 101.35917663574219, 26.249940872192383)","(-17.352331161499023, 101.41790771484375, 26.271326065063477)",POINT (0.4531374722719192 0.5421065092086792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
