,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,23,5,84612896291,2800212888,1,1,"(0.5557172894477844, 0.39329537749290466)","(0.527260959148407, 0.34324008226394653)",1,1,2.5917205810546875,2.476425170898437,"(-20.38257598876953, -39.33545684814453, 592.497802734375)","(45.68185043334961, -40.42633819580078, 596.8919677734375)","(17.6320743560791, 128.3221435546875, 36.06367874145508)","(7.799691200256348, 137.46409606933594, 39.39100646972656)",POINT (0.5414891242980957 0.3682677298784256),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612912957,2800229554,1,1,"(0.5575838685035706, 0.37457552552223206)","(0.5286960005760193, 0.31007444858551025)",1,1,2.5895538330078125,2.412948608398437,"(-20.40267562866211, -39.30947494506836, 592.61328125)","(45.65009689331055, -40.4407844543457, 596.9159545898438)","(18.277029037475586, 131.74110412597656, 37.3079833984375)","(8.2955322265625, 143.5213623046875, 41.595680236816406)",POINT (0.5431399345397949 0.3423249870538712),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612929633,2800246229,1,1,"(0.5651286840438843, 0.38936808705329895)","(0.5211244225502014, 0.31322580575942993)",1,1,2.59527587890625,2.438201904296875,"(-20.455303192138672, -39.29197692871094, 592.8046264648438)","(45.62684631347656, -40.458984375, 597.0390625)","(20.883934020996094, 129.03941345214844, 36.32472229003906)","(5.679366111755371, 142.94578552246094, 41.386260986328125)",POINT (0.5431265532970428 0.3512969464063644),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612946292,2800262888,1,1,"(0.5603445768356323, 0.38419854640960693)","(0.5259888768196106, 0.3455958068370819)",1,1,2.592636108398437,2.4873809814453125,"(-20.501461029052734, -39.29454803466797, 593.0744018554688)","(45.59815979003906, -40.49217987060547, 597.5413818359375)","(19.230913162231445, 129.98355102539062, 36.66839599609375)","(7.360152244567871, 137.03382873535156, 39.234500885009766)",POINT (0.5431667268276215 0.3648971766233444),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612962967,2800279563,1,1,"(0.559850811958313, 0.3729885518550873)","(0.5233252644538879, 0.34252628684043884)",1,1,2.574935913085937,2.4749755859375,"(-20.54484748840332, -39.30559539794922, 593.4620361328125)","(45.51566696166992, -40.486351013183594, 597.412353515625)","(19.06031036376953, 132.03094482421875, 37.413475036621094)","(6.439813613891602, 137.59445190429688, 39.438507080078125)",POINT (0.5415880382061005 0.3577574193477631),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612979633,2800296229,1,1,"(0.5583945512771606, 0.3854069411754608)","(0.5282526016235352, 0.3331553041934967)",1,1,2.5582275390625,2.4600372314453125,"(-20.60401153564453, -39.26484680175781, 593.5751342773438)","(45.45619583129883, -40.475860595703125, 597.7198486328125)","(18.557126998901367, 129.7628631591797, 36.58804702758789)","(8.142326354980469, 139.30593872070312, 40.061431884765625)",POINT (0.5433235764503479 0.3592811226844788),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84612996306,2800312901,1,1,"(0.5555103421211243, 0.3866722285747528)","(0.5305153131484985, 0.34022828936576843)",1,1,2.5717926025390625,2.4520263671875,"(-20.67013168334961, -39.235233306884766, 593.688232421875)","(45.41687774658203, -40.44390869140625, 598.1441650390625)","(17.560585021972656, 129.53176879882812, 36.50395584106445)","(8.924162864685059, 138.01416015625, 39.59122085571289)",POINT (0.5430128276348114 0.3634502589702606),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84613012964,2800329559,1,1,"(0.5593525767326355, 0.40228164196014404)","(0.5331557989120483, 0.3281201422214508)",1,1,2.5626678466796875,2.4306182861328125,"(-20.743621826171875, -39.159034729003906, 593.7811279296875)","(45.34829330444336, -40.367679595947266, 598.3147583007812)","(18.88816261291504, 126.68091583251953, 35.46632385253906)","(9.836501121520996, 140.22555541992188, 40.39611053466797)",POINT (0.5462541878223419 0.3652008920907974),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84613029632,2800346226,1,1,"(0.5609654784202576, 0.37586769461631775)","(0.5328686237335205, 0.33857741951942444)",1,1,2.57647705078125,2.441009521484375,"(-20.806964874267578, -39.132476806640625, 594.207275390625)","(45.283241271972656, -40.28253173828125, 598.423583984375)","(19.44546890258789, 131.50509643554688, 37.222129821777344)","(9.737288475036621, 138.315673828125, 39.700958251953125)",POINT (0.546917051076889 0.3572225570678711),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,5,84613046299,2800362893,1,1,"(0.5514605045318604, 0.38488659262657166)","(0.5285952091217041, 0.33363351225852966)",1,1,2.5453338623046875,2.418807983398437,"(-20.840063095092773, -39.032936096191406, 594.2637329101562)","(45.23735809326172, -40.148475646972656, 598.430419921875)","(16.161251068115234, 129.85791015625, 36.62259292602539)","(8.260713577270508, 139.2185821533203, 40.029685974121094)",POINT (0.5400278568267822 0.3592600524425507),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
