,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,14,13,235743319705,2376107276,1,1,"(0.4602475166320801, 0.4457782208919525)","(0.4279681146144867, 0.43549972772598267)",1,1,3.3069610595703125,3.77349853515625,"(-23.408573150634766, -12.37973403930664, 658.2420654296875)","(41.35641098022461, -15.240541458129883, 656.3818969726562)","(-12.936336517333984, 124.22918701171875, 34.57399368286133)","(-24.177169799804688, 126.12114715576172, 35.26261901855469)",POINT (0.4441078156232834 0.4406389743089676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743336375,2376123946,1,1,"(0.42708706855773926, 0.38375216722488403)","(0.41959455609321594, 0.34404605627059937)",1,1,3.318328857421875,3.78533935546875,"(-23.452972412109375, -12.373994827270508, 658.1189575195312)","(41.42700958251953, -15.231685638427734, 656.5647583007812)","(-24.483976364135742, 135.64627075195312, 38.729469299316406)","(-27.0931396484375, 142.95497131347656, 41.389564514160156)",POINT (0.4233408123254776 0.3638991117477417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743353042,2376140612,1,1,"(0.43157950043678284, 0.44366541504859924)","(0.41254088282585144, 0.41340357065200806)",1,1,3.328887939453125,3.772415161132813,"(-23.50949478149414, -12.376867294311523, 658.0070190429688)","(41.36753463745117, -15.225183486938477, 656.24853515625)","(-22.91956329345703, 124.61808013916016, 34.71554946899414)","(-29.549468994140625, 130.18838500976562, 36.742897033691406)",POINT (0.4220601916313171 0.4285344928503036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743369709,2376157279,1,1,"(0.44374486804008484, 0.4215807616710663)","(0.42487484216690063, 0.39472389221191406)",1,1,3.3376617431640625,3.784423828125,"(-23.57433319091797, -12.381067276000977, 657.9183349609375)","(41.32501983642578, -15.221616744995117, 656.1461181640625)","(-18.683155059814453, 128.6831817626953, 36.195152282714844)","(-25.25435447692871, 133.62673950195312, 37.994384765625)",POINT (0.4343098551034927 0.4081523269414902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743386376,2376173945,1,1,"(0.4488981366157532, 0.4257199466228485)","(0.4208432734012604, 0.3836207091808319)",1,1,3.3308258056640625,3.792922973632813,"(-23.63735580444336, -12.375203132629395, 657.805908203125)","(41.29127502441406, -15.206103324890137, 656.2818603515625)","(-16.88858413696289, 127.92129516601562, 35.91781234741211)","(-26.658288955688477, 135.67047119140625, 38.73826599121094)",POINT (0.4348707050085068 0.4046703279018402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743403043,2376190612,1,1,"(0.4447343051433563, 0.42494475841522217)","(0.4239802658557892, 0.39273497462272644)",1,1,3.3333892822265625,3.814056396484375,"(-23.705856323242188, -12.36500072479248, 657.729248046875)","(41.23725128173828, -15.18636703491211, 656.3363647460938)","(-18.33860969543457, 128.0640106201172, 35.96971130371094)","(-25.56589126586914, 133.9928436279297, 38.12763595581055)",POINT (0.4343572854995728 0.4088398665189743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743419711,2376207279,1,1,"(0.45110762119293213, 0.4165958762168884)","(0.42837828397750854, 0.38871440291404724)",1,1,3.356307983398437,3.810028076171875,"(-23.78949546813965, -12.355903625488281, 657.6507568359375)","(41.151268005371094, -15.156121253967285, 656.0358276367188)","(-16.11917495727539, 129.60076904296875, 36.52907180786133)","(-24.03433609008789, 134.73287963867188, 38.39704513549805)",POINT (0.4397429525852203 0.4026551395654678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743436377,2376223945,1,1,"(0.4453502893447876, 0.4151618182659149)","(0.4247136414051056, 0.3872661292552948)",1,1,3.36663818359375,3.817230224609375,"(-23.878150939941406, -12.353372573852539, 657.5960693359375)","(41.07627487182617, -15.134664535522461, 655.949951171875)","(-18.12409019470215, 129.86473083496094, 36.62516403198242)","(-25.31049919128418, 134.99948120117188, 38.494049072265625)",POINT (0.4350319653749466 0.4012139737606049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743453045,2376240612,1,1,"(0.4362789988517761, 0.4197433888912201)","(0.430835485458374, 0.3942318260669708)",1,1,3.377349853515625,3.8417816162109375,"(-23.965805053710938, -12.347542762756348, 657.4942626953125)","(40.9945068359375, -15.110247611999512, 656.1038818359375)","(-21.28303337097168, 129.02139282226562, 36.3182258605957)","(-23.17864418029785, 133.71731567382812, 38.02735900878906)",POINT (0.4335572421550751 0.4069876074790955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743469718,2376257285,1,1,"(0.4273224472999573, 0.4083608090877533)","(0.4255518317222595, 0.3806546628475189)",1,1,3.36895751953125,3.83349609375,"(-24.070724487304688, -12.356783866882324, 657.390625)","(40.87709045410156, -15.092987060546875, 655.687255859375)","(-24.40201759338379, 131.11659240722656, 37.08079147338867)","(-25.01860809326172, 136.21644592285156, 38.93698501586914)",POINT (0.4264371395111084 0.3945077359676361),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
