,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,22,36,330969966158,631802808,1,1,"(0.4944251477718353, 0.496444433927536)","(0.49103742837905884, 0.5584446787834167)",1,1,3.3658599853515625,3.3362579345703125,"(-63.06065368652344, -8.938879013061523, 593.3895874023438)","(-2.459033966064453, -13.3564453125, 603.0975341796875)","(-3.5458993911743164, 109.48333740234375, 29.206892013549805)","(-4.716462135314941, 98.15982055664062, 25.085458755493164)",POINT (0.4927312880754471 0.5274445563554764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330969982826,631819475,1,1,"(0.49859991669654846, 0.5016840100288391)","(0.4921875, 0.553524911403656)",1,1,3.376373291015625,3.3242645263671875,"(-63.080379486083984, -8.928177833557129, 593.3756103515625)","(-2.4738123416900635, -13.343707084655762, 603.147705078125)","(-2.1034202575683594, 108.52641296386719, 28.85856819152832)","(-4.319061756134033, 99.05835723876953, 25.412479400634766)",POINT (0.4953937083482742 0.5276044607162476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330969999492,631836141,1,1,"(0.4957219958305359, 0.5010731816291809)","(0.49826672673225403, 0.5635443329811096)",1,1,3.397689819335937,3.3345489501953125,"(-63.0986328125, -8.912318229675293, 593.4019775390625)","(-2.481593132019043, -13.314157485961914, 603.2178955078125)","(-3.097810745239258, 108.6379623413086, 28.899198532104492)","(-2.218548059463501, 97.22842407226562, 24.74649429321289)",POINT (0.496994361281395 0.5323087573051453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970016160,631852808,1,1,"(0.493334025144577, 0.4966055452823639)","(0.48999056220054626, 0.5652610063552856)",1,1,3.3775634765625,3.3325653076171875,"(-63.102264404296875, -8.895597457885742, 593.4307861328125)","(-2.466792583465576, -13.292770385742188, 603.127685546875)","(-3.9229085445404053, 109.45392608642578, 29.196134567260742)","(-5.078181743621826, 96.91490936279297, 24.63235855102539)",POINT (0.4916622936725616 0.5309332758188248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970032827,631869475,1,1,"(0.49445879459381104, 0.5086159110069275)","(0.4938206970691681, 0.5560264587402344)",1,1,3.3873748779296875,3.3365020751953125,"(-63.09637451171875, -8.874432563781738, 593.40234375)","(-2.4610159397125244, -13.270478248596191, 603.1273193359375)","(-3.5342772006988525, 107.26036834716797, 28.397781372070312)","(-3.7547504901885986, 98.60147094726562, 25.246187210083008)",POINT (0.4941397458314896 0.5323211848735809),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970049494,631886141,1,1,"(0.4969666004180908, 0.501885175704956)","(0.4910432696342468, 0.5675308704376221)",1,1,3.3911895751953125,3.337493896484375,"(-63.077484130859375, -8.869321823120117, 593.3858642578125)","(-2.4407896995544434, -13.268573760986328, 603.1578369140625)","(-2.6677801609039307, 108.48965454101562, 28.84522247314453)","(-4.714439868927002, 96.50035095214844, 24.4814395904541)",POINT (0.4940049350261688 0.5347080230712891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970066168,631902815,1,1,"(0.4948807656764984, 0.504982054233551)","(0.49057647585868835, 0.5615558624267578)",1,1,3.404144287109375,3.3517608642578125,"(-63.05473327636719, -8.869243621826172, 593.410400390625)","(-2.4135124683380127, -13.268733024597168, 603.1280517578125)","(-3.388479232788086, 107.92406463623047, 28.639341354370117)","(-4.875726699829102, 97.59159088134766, 24.87864112854004)",POINT (0.4927286207675934 0.5332689583301544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970082836,631919482,1,1,"(0.4950481951236725, 0.5062450170516968)","(0.4908265173435211, 0.5690306425094604)",1,1,3.3828125,3.3468017578125,"(-63.00518798828125, -8.878381729125977, 593.321044921875)","(-2.3773903846740723, -13.281946182250977, 603.118408203125)","(-3.330641031265259, 107.69339752197266, 28.555374145507812)","(-4.789321422576904, 96.22642517089844, 24.381755828857422)",POINT (0.4929373562335968 0.5376378297805786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,36,330970099502,631936148,1,1,"(0.5029317736625671, 0.37554454803466797)","(0.5136654376983643, 0.40305596590042114)",1,1,3.38836669921875,3.367401123046875,"(-62.883663177490234, -8.709505081176758, 593.5029907226562)","(-2.3690311908721924, -13.16295051574707, 603.22900390625)","(-0.60664963722229, 131.56411743164062, 37.243621826171875)","(3.102085828781128, 126.53951263427734, 35.41481399536133)",POINT (0.5082986056804657 0.3893002569675446),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,36,330970116170,631952815,1,1,"(0.5058724284172058, 0.4016479253768921)","(0.5010834336280823, 0.4498680531978607)",1,1,3.392181396484375,3.3652496337890625,"(-62.79462814331055, -8.69334602355957, 593.4407958984375)","(-2.2973694801330566, -13.19241714477539, 603.169189453125)","(0.4094153344631195, 126.79666900634766, 35.50844192504883)","(-1.2452846765518188, 117.98989868164062, 32.30300521850586)",POINT (0.503477931022644 0.4257579892873764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
