,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,#lang.1,racket.1,define.1,afunc.1,lst.1,define.2,afunc-helper.1,lst.2,a.1,mystery.1,cond.1,-----------.4,      .1,nan.1,lst.3,cons.2,a.2,mystery.2,-----------.5,      .2,else.1,       .1,append.1,afunc-helper.2,cdr.1,lst.4,cons.3,car.1,lst.5,a.3,mystery.3,afunc-helper.3,cdr.2,lst.6,a.4,mystery.4,-----------.6,-----------.7,-----------.8,-----------.9,afunc-helper.4,lst.7,-----------.10,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,37,35,765506616735,1483457234,1,1,"(0.3959030210971832, 0.4278770685195923)","(0.3510930836200714, 0.42228543758392334)",1,1,2.793563842773437,2.699005126953125,"(-83.96634674072266, 24.7467041015625, 647.9290771484375)","(-14.85520076751709, 28.85021209716797, 654.8129272460938)","(-37.58780288696289, 122.00626373291016, 33.76483917236328)","(-53.07075881958008, 123.02750396728516, 34.13656234741211)",POINT (0.3734980523586273 0.4250812530517578),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506633402,1483473901,1,1,"(0.39501702785491943, 0.4139665961265564)","(0.34449678659439087, 0.42469072341918945)",1,1,2.788070678710937,2.711181640625,"(-83.96365356445312, 24.751630783081055, 647.9420166015625)","(-14.851600646972656, 28.866924285888672, 654.8841552734375)","(-37.8939323425293, 124.54683685302734, 34.689537048339844)","(-55.34994888305664, 122.58821868896484, 33.97665023803711)",POINT (0.3697569072246552 0.4193286597728729),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506650069,1483490567,1,1,"(0.3942623734474182, 0.43285059928894043)","(0.35903096199035645, 0.40640848875045776)",1,1,2.784286499023437,2.65789794921875,"(-83.95909881591797, 24.741334915161133, 647.9312744140625)","(-14.850400924682617, 28.870071411132812, 654.8839111328125)","(-38.15467834472656, 121.0979232788086, 33.43421936035156)","(-50.32802963256836, 125.92721557617188, 35.19197082519531)",POINT (0.3766466677188873 0.4196295440196991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506666739,1483507237,1,1,"(0.396554172039032, 0.44284576177597046)","(0.3455621302127838, 0.40971389412879944)",1,1,2.8125457763671875,2.6764068603515625,"(-83.97195434570312, 24.731258392333984, 647.9880981445312)","(-14.85886001586914, 28.872037887573242, 654.895751953125)","(-37.36280059814453, 119.27242279052734, 32.76983642578125)","(-54.98184585571289, 125.32350158691406, 34.97227478027344)",POINT (0.3710581511259079 0.426279827952385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506683407,1483523904,1,1,"(0.39209696650505066, 0.43811681866645813)","(0.3476030230522156, 0.4185968339443207)",1,1,2.7923583984375,2.684356689453125,"(-84.00038146972656, 24.70656967163086, 648.0524291992188)","(-14.885303497314453, 28.861995697021484, 654.9420776367188)","(-38.90288543701172, 120.1361083984375, 33.08416748046875)","(-54.276676177978516, 123.701171875, 34.38178253173828)",POINT (0.3698499947786331 0.4283568263053894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506700073,1483540570,1,1,"(0.3968278765678406, 0.43199723958969116)","(0.3554149270057678, 0.4101242423057556)",1,1,2.778228759765625,2.68353271484375,"(-84.05445098876953, 24.69659423828125, 648.193603515625)","(-14.918363571166992, 28.864116668701172, 654.8927001953125)","(-37.26823806762695, 121.25377655029297, 33.49095153808594)","(-51.577457427978516, 125.24858093261719, 34.944976806640625)",POINT (0.3761214017868042 0.4210607409477234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506716741,1483557237,1,1,"(0.3879358172416687, 0.4414207339286804)","(0.3509509563446045, 0.42417779564857483)",1,1,2.7903289794921875,2.6894073486328125,"(-84.10603332519531, 24.673076629638672, 648.2752075195312)","(-14.96242904663086, 28.866535186767578, 654.8908081054688)","(-40.340667724609375, 119.5326919555664, 32.86454391479492)","(-53.11988067626953, 122.681884765625, 34.0107536315918)",POINT (0.3694433867931366 0.4327992647886276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506733407,1483573903,1,1,"(0.39533287286758423, 0.4241897463798523)","(0.3508036732673645, 0.4056869149208069)",1,1,2.785186767578125,2.69189453125,"(-84.15591430664062, 24.65459442138672, 648.2138061523438)","(-15.019606590270996, 28.89096450805664, 655.0064697265625)","(-37.784793853759766, 122.67969512939453, 34.009979248046875)","(-53.17076110839844, 126.05899810791016, 35.23995590209961)",POINT (0.3730682730674744 0.4149383306503296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506750076,1483590571,1,1,"(0.392813503742218, 0.42849424481391907)","(0.3504270911216736, 0.42263662815093994)",1,1,2.790985107421875,2.684555053710937,"(-84.2210693359375, 24.628170013427734, 648.1728515625)","(-15.083459854125977, 28.902599334716797, 655.0745849609375)","(-38.655296325683594, 121.89353942871094, 33.72383117675781)","(-53.30088424682617, 122.96336364746094, 34.11320114135742)",POINT (0.3716202974319458 0.4255654364824295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,35,765506766742,1483607237,1,1,"(0.39039698243141174, 0.4226744472980499)","(0.35086533427238464, 0.41838541626930237)",1,1,2.7848663330078125,2.6790008544921875,"(-84.31050109863281, 24.637483596801758, 648.3409423828125)","(-15.156463623046875, 28.93042755126953, 655.08251953125)","(-39.490264892578125, 122.95645904541016, 34.11069107055664)","(-53.14945602416992, 123.73979949951172, 34.39578628540039)",POINT (0.3706311583518982 0.4205299317836762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
