,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,43,25,77332071486,8282193730,1,1,"(0.47390997409820557, 0.3093855679035187)","(0.46996912360191345, 0.18695063889026642)",1,1,2.725311279296875,2.50927734375,"(-89.6124038696289, -28.228137969970703, 596.6361083984375)","(-29.155921936035156, -34.58243179321289, 601.2633056640625)","(-10.634418487548828, 143.64715576171875, 41.641517639160156)","(-11.996084213256836, 166.00828552246094, 49.78028869628906)",POINT (0.4719395488500595 0.2481681033968926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
0,43,25,77332088152,8282210396,1,1,"(0.4867078363895416, 0.2908119559288025)","(0.4660446345806122, 0.2078886181116104)",1,1,2.69927978515625,2.53759765625,"(-89.72334289550781, -28.19308853149414, 596.9635009765625)","(-29.246129989624023, -34.4864616394043, 601.415771484375)","(-6.212435245513916, 147.0393829345703, 42.87618637084961)","(-13.352082252502441, 162.1842498779297, 48.388427734375)",POINT (0.4763762354850769 0.2493502870202064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,43,25,77332104820,8282227063,1,1,"(0.4833599627017975, 0.24162662029266357)","(0.470305860042572, 0.1994992196559906)",1,1,2.61669921875,2.5238494873046875,"(-89.83063507080078, -28.1684513092041, 597.3037719726562)","(-29.345552444458008, -34.41320037841797, 601.8086547851562)","(-7.369210243225098, 156.02243041992188, 46.1457633972168)","(-11.879719734191895, 163.71644592285156, 48.94614028930664)",POINT (0.4768329113721848 0.2205629199743271),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,43,25,77332121487,8282243730,1,1,"(0.47925230860710144, 0.2751053273677826)","(0.467460036277771, 0.25537437200546265)",1,1,2.67510986328125,2.6200714111328125,"(-89.9052505493164, -28.12555694580078, 597.498779296875)","(-29.41625213623047, -34.33405303955078, 601.91259765625)","(-8.788515090942383, 149.9080047607422, 43.920257568359375)","(-12.863033294677734, 153.5115966796875, 45.231876373291016)",POINT (0.4733561724424362 0.2652398496866226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
0,43,25,77332138154,8282260396,1,1,"(0.4827902913093567, 0.2828870117664337)","(0.46494314074516296, 0.19178155064582825)",1,1,2.69342041015625,2.4959869384765625,"(-89.99382781982422, -28.050704956054688, 597.7606201171875)","(-29.510623931884766, -34.262596130371094, 602.1861572265625)","(-7.566047191619873, 148.48678588867188, 43.40294647216797)","(-13.73270320892334, 165.12599182128906, 49.45915222167969)",POINT (0.4738667160272598 0.237334281206131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,43,25,77332154821,8282277063,1,1,"(0.4827219247817993, 0.24672596156597137)","(0.4640130400657654, 0.279489129781723)",1,1,2.621185302734375,2.613677978515625,"(-90.09503936767578, -28.013935089111328, 598.1033935546875)","(-29.58865737915039, -34.16352844238281, 602.5007934570312)","(-7.589664459228516, 155.0911102294922, 45.80675506591797)","(-14.054059028625488, 149.1073455810547, 43.62885284423828)",POINT (0.4733674824237824 0.2631075456738472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
0,43,25,77332171488,8282293729,1,1,"(0.47470971941947937, 0.27674025297164917)","(0.46206730604171753, 0.1971447616815567)",1,1,2.6564483642578125,2.49005126953125,"(-90.15199279785156, -27.9486141204834, 598.2199096679688)","(-29.66771697998047, -34.084228515625, 602.75634765625)","(-10.358087539672852, 149.6094207763672, 43.81155014038086)","(-14.726346969604492, 164.14646911621094, 49.10260772705078)",POINT (0.4683885127305984 0.2369425073266029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,43,25,77332188155,8282310396,1,1,"(0.4768899381160736, 0.30360639095306396)","(0.4714770019054413, 0.22803495824337006)",1,1,2.693206787109375,2.562042236328125,"(-90.24995422363281, -27.861011505126953, 598.646484375)","(-29.748645782470703, -33.9735221862793, 603.061279296875)","(-9.604759216308594, 144.70265197753906, 42.025672912597656)","(-11.475074768066406, 158.50479125976562, 47.04924774169922)",POINT (0.4741834700107574 0.265820674598217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
0,43,25,77332221495,8282343735,1,1,"(0.4770134389400482, 0.3042595684528351)","(0.4687776267528534, 0.18833792209625244)",1,1,2.672348022460937,2.521591186523437,"(-90.37223815917969, -27.657611846923828, 599.2001953125)","(-29.858924865722656, -33.69502639770508, 603.4959716796875)","(-9.562094688415527, 144.58335876464844, 41.98226547241211)","(-12.407767295837402, 165.75489807128906, 49.688087463378906)",POINT (0.4728955328464508 0.2462987452745438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
0,43,25,77332238163,8282360402,1,1,"(0.43550756573677063, 0.3118492364883423)","(0.4185102880001068, 0.18847472965717316)",1,1,2.698715209960937,2.4951171875,"(-90.56774139404297, -27.50369644165039, 599.4539184570312)","(-30.059284210205078, -33.52238845825195, 603.87158203125)","(-23.903419494628906, 143.19720458984375, 41.47773742675781)","(-29.776412963867188, 165.7299346923828, 49.678958892822266)",POINT (0.4270089268684387 0.2501619830727577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
0,43,25,77332254830,8282377069,1,1,"(0.41667455434799194, 0.207016721367836)","(0.40481019020080566, 0.19989937543869019)",1,1,2.54547119140625,2.515960693359375,"(-90.68341064453125, -27.38355255126953, 599.6187133789062)","(-30.197555541992188, -33.33872604370117, 603.8787841796875)","(-30.41069793701172, 162.34347534179688, 48.4464111328125)","(-34.51014709472656, 163.64337158203125, 48.91950607299805)",POINT (0.4107423722743988 0.2034580484032631),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,25,77332271498,8282393736,1,1,"(0.41103726625442505, 0.20165163278579712)","(0.41018953919410706, 0.2196337729692459)",1,1,2.548095703125,2.538803100585937,"(-90.72486877441406, -27.25815773010254, 599.9683837890625)","(-30.2445125579834, -33.20558547973633, 604.390869140625)","(-32.35852813720703, 163.32334899902344, 48.80304718017578)","(-32.65144729614258, 160.0391387939453, 47.607696533203125)",POINT (0.410613402724266 0.2106427028775215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,25,77332288164,8282410402,1,1,"(0.4067162573337555, 0.23704500496387482)","(0.40833982825279236, 0.1999271810054779)",1,1,2.5706329345703125,2.485565185546875,"(-90.76277160644531, -27.10968017578125, 600.2364501953125)","(-30.280576705932617, -33.05616760253906, 604.6915893554688)","(-33.85155487060547, 156.8592071533203, 46.45030975341797)","(-33.29056930541992, 163.6383056640625, 48.91765594482422)",POINT (0.4075280427932739 0.2184860929846764),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,43,25,77332304832,8282427069,1,1,"(0.41318851709365845, 0.19962599873542786)","(0.40205490589141846, 0.21203447878360748)",1,1,2.516571044921875,2.517364501953125,"(-90.78755187988281, -26.984174728393555, 600.4694213867188)","(-30.31640625, -32.89873504638672, 604.992919921875)","(-31.6152286529541, 163.69329833984375, 48.93770980834961)","(-35.462158203125, 161.42703247070312, 48.112876892089844)",POINT (0.4076217114925384 0.2058302387595177),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
