,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,59,12,335889911763,5551606490,1,1,"(0.4537040591239929, 0.28084471821784973)","(0.4092497229576111, 0.1934497058391571)",1,1,2.7584228515625,2.506011962890625,"(-52.81263732910156, -25.54836654663086, 648.0443115234375)","(15.379981994628906, -24.921337127685547, 650.587646484375)","(-17.616079330444336, 148.8597869873047, 43.53870391845703)","(-32.97616958618164, 164.8213348388672, 49.34821701049805)",POINT (0.431476891040802 0.2371472120285034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889928430,5551623157,1,1,"(0.45156413316726685, 0.2785012722015381)","(0.3967776596546173, 0.20948705077171326)",1,1,2.7209930419921875,2.5374908447265625,"(-52.778011322021484, -25.515295028686523, 648.1439208984375)","(15.412038803100586, -24.899738311767578, 650.4459228515625)","(-18.355466842651367, 149.2877655029297, 43.69454574584961)","(-37.285579681396484, 161.89231872558594, 48.282169342041016)",POINT (0.4241708964109421 0.2439941614866257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889945098,5551639824,1,1,"(0.45323696732521057, 0.2818828821182251)","(0.39142081141471863, 0.1906270831823349)",1,1,2.7286834716796875,2.509750366210937,"(-52.7626953125, -25.489635467529297, 648.4051513671875)","(15.44188117980957, -24.881244659423828, 650.3748168945312)","(-17.7774600982666, 148.670166015625, 43.46973419189453)","(-39.136512756347656, 165.33682250976562, 49.53592300415039)",POINT (0.4223288893699646 0.23625498265028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889961764,5551656490,1,1,"(0.4611997604370117, 0.28411978483200073)","(0.4039200246334076, 0.19716911017894745)",1,1,2.6956329345703125,2.513900756835937,"(-52.73670196533203, -25.468902587890625, 648.456298828125)","(15.474139213562012, -24.87864875793457, 650.6307983398438)","(-15.02612018585205, 148.26161193847656, 43.32107925415039)","(-34.817710876464844, 164.14199829101562, 49.101070404052734)",POINT (0.4325598925352097 0.2406444475054741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889978432,5551673157,1,1,"(0.44637179374694824, 0.2742731273174286)","(0.38688838481903076, 0.1840817630290985)",1,1,2.681884765625,2.497161865234375,"(-52.71501159667969, -25.450088500976562, 648.4830322265625)","(15.489914894104004, -24.862529754638672, 650.7705688476562)","(-20.149551391601562, 150.0599822998047, 43.9755859375)","(-40.70256805419922, 166.53225708007812, 49.970970153808594)",POINT (0.4166300892829895 0.2291774451732636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889995099,5551689824,1,1,"(0.452668160200119, 0.26365286111831665)","(0.3871246576309204, 0.18880289793014526)",1,1,2.6749725341796875,2.490203857421875,"(-52.722511291503906, -25.442813873291016, 648.5760498046875)","(15.487733840942383, -24.838932037353516, 650.8406982421875)","(-17.9739990234375, 151.99961853027344, 44.68161392211914)","(-40.620941162109375, 165.67001342773438, 49.657108306884766)",POINT (0.4198964089155197 0.226227879524231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890011765,5551706490,1,1,"(0.3943067491054535, 0.26275038719177246)","(0.3473220467567444, 0.19023680686950684)",1,1,2.684677124023437,2.465911865234375,"(-52.861968994140625, -25.441844940185547, 648.57666015625)","(15.302938461303711, -24.80511474609375, 650.802001953125)","(-38.13935089111328, 152.16445922851562, 44.74155044555664)","(-54.373748779296875, 165.40811157226562, 49.56184005737305)",POINT (0.3708143979310989 0.2264935970306396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890028433,5551723157,1,1,"(0.2604699730873108, 0.2486385852098465)","(0.2246837615966797, 0.20982490479946136)",1,1,2.6374969482421875,2.475616455078125,"(-53.22138977050781, -25.462614059448242, 648.9658813476562)","(14.894584655761719, -24.824003219604492, 651.3121337890625)","(-84.38333892822266, 154.7418212890625, 45.6795539855957)","(-96.74837493896484, 161.83058166503906, 48.25979232788086)",POINT (0.2425768673419952 0.2292317450046539),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890045106,5551739830,1,1,"(0.24720348417758942, 0.21404291689395905)","(0.19182588160037994, 0.20109562575817108)",1,1,2.629989624023437,2.45172119140625,"(-53.35145568847656, -25.4509220123291, 649.2510986328125)","(14.790769577026367, -24.80032730102539, 651.1759033203125)","(-88.96723937988281, 161.0602569580078, 47.97930145263672)","(-108.10160064697266, 163.4248809814453, 48.84003448486328)",POINT (0.2195146828889847 0.2075692713260651),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890061773,5551756496,1,1,"(0.24171116948127747, 0.23173291981220245)","(0.18996398150920868, 0.2091604322195053)",1,1,2.6361846923828125,2.438720703125,"(-53.380043029785156, -25.474430084228516, 649.29345703125)","(14.776187896728516, -24.81436538696289, 651.3168334960938)","(-90.86497497558594, 157.8293914794922, 46.803428649902344)","(-108.74493408203125, 161.95196533203125, 48.303897857666016)",POINT (0.2158375754952431 0.2204466760158539),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
