,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,13,21,407283165546,1440029968,1,1,"(0.46419990062713623, 0.37887006998062134)","(0.47397008538246155, 0.3903191089630127)",1,1,2.327972412109375,2.369720458984375,"(-56.57060623168945, 0.29412615299224854, 577.5476684570312)","(4.92743444442749, -6.0619797706604, 577.83544921875)","(-13.989500999450684, 130.95675659179688, 37.02253723144531)","(-10.613646507263184, 128.86570739746094, 36.26148986816406)",POINT (0.4690849930047989 0.384594589471817),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283182212,1440046634,1,1,"(0.463504821062088, 0.3751893937587738)","(0.4712993800640106, 0.39503616094589233)",1,1,2.3185577392578125,2.34857177734375,"(-56.61945343017578, 0.2867008447647095, 577.57666015625)","(4.887778282165527, -6.05905818939209, 577.6878662109375)","(-14.229657173156738, 131.6289520263672, 37.267242431640625)","(-11.536457061767578, 128.0042266845703, 35.94792175292969)",POINT (0.4674021005630493 0.3851127773523331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283198880,1440063301,1,1,"(0.46462303400039673, 0.38627612590789795)","(0.47340115904808044, 0.40429532527923584)",1,1,2.3377838134765625,2.3582763671875,"(-56.66606903076172, 0.2742405831813812, 577.5216674804688)","(4.838747024536133, -6.059542655944824, 577.67919921875)","(-13.843297004699707, 129.6041259765625, 36.530269622802734)","(-10.8102388381958, 126.31314849853516, 35.33246612548828)",POINT (0.4690120965242386 0.3952857255935669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283215547,1440079968,1,1,"(0.46488267183303833, 0.3735103905200958)","(0.47684746980667114, 0.3879637122154236)",1,1,2.306671142578125,2.3547515869140625,"(-56.703392028808594, 0.2582075297832489, 577.4775390625)","(4.797515392303467, -6.064275741577148, 577.8092041015625)","(-13.753572463989258, 131.93560791015625, 37.378868103027344)","(-9.6194429397583, 129.29591369628906, 36.41806411743164)",POINT (0.4708650708198547 0.3807370513677597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283232214,1440096634,1,1,"(0.4612736403942108, 0.3750269412994385)","(0.4783126711845398, 0.39349886775016785)",1,1,2.32476806640625,2.3706207275390625,"(-56.740684509277344, 0.23476451635360718, 577.4708862304688)","(4.759154319763184, -6.072863578796387, 577.8001708984375)","(-15.00059986114502, 131.65863037109375, 37.278045654296875)","(-9.113180160522461, 128.2849884033203, 36.050140380859375)",POINT (0.4697931557893753 0.3842629045248032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283248885,1440113305,1,1,"(0.46302902698516846, 0.3843977749347687)","(0.4735736846923828, 0.38816115260124207)",1,1,2.3267974853515625,2.353729248046875,"(-56.780113220214844, 0.21445536613464355, 577.482666015625)","(4.7302565574646, -6.079848289489746, 577.6898193359375)","(-14.394062995910645, 129.9471893310547, 36.65509796142578)","(-10.750614166259766, 129.2598419189453, 36.40494918823242)",POINT (0.4683013558387756 0.3862794637680054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283265553,1440129972,1,1,"(0.458941251039505, 0.3832892179489136)","(0.47173604369163513, 0.3887562155723572)",1,1,2.3186492919921875,2.356536865234375,"(-56.82085037231445, 0.2127731740474701, 577.4754028320312)","(4.680591583251953, -6.07175350189209, 577.5611572265625)","(-15.806485176086426, 130.14962768554688, 36.72881317138672)","(-11.385570526123047, 129.1511688232422, 36.365379333496094)",POINT (0.4653386473655701 0.3860227167606354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283282219,1440146638,1,1,"(0.43346089124679565, 0.1900455504655838)","(0.4560590982437134, 0.17822451889514923)",1,1,2.45196533203125,2.457855224609375,"(-56.84679412841797, 0.44241172075271606, 577.845947265625)","(4.490586280822754, -5.83500862121582, 577.8868408203125)","(-24.610607147216797, 165.44305419921875, 49.57452392578125)","(-16.802345275878906, 167.6020050048828, 50.36033630371094)",POINT (0.4447599947452545 0.1841350346803665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283298887,1440163305,1,1,"(0.42706742882728577, 0.1932193487882614)","(0.43501603603363037, 0.1787729114294052)",1,1,2.438751220703125,2.4398193359375,"(-56.924949645996094, 0.4327858090400696, 577.83203125)","(4.329039096832275, -5.7916765213012695, 577.66650390625)","(-26.819705963134766, 164.86338806152344, 49.36357879638672)","(-24.073261260986328, 167.5018310546875, 50.323917388916016)",POINT (0.4310417324304581 0.1859961301088333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283315554,1440179972,1,1,"(0.42979273200035095, 0.16461893916130066)","(0.4386636018753052, 0.1579231172800064)",1,1,2.466400146484375,2.4822540283203125,"(-57.0023193359375, 0.33928143978118896, 577.7905883789062)","(4.329290390014648, -5.860279083251953, 577.5745849609375)","(-25.8780517578125, 170.08688354492188, 51.264739990234375)","(-22.81292724609375, 171.3097686767578, 51.70988464355469)",POINT (0.4342281669378281 0.1612710282206535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
