,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,55,13,836696490231,647595086,1,1,"(0.3643445372581482, 0.43363839387893677)","(0.3623396158218384, 0.4268624484539032)",1,1,3.11376953125,3.027679443359375,"(-34.16309356689453, 36.86927032470703, 524.9521484375)","(23.486970901489258, 34.99336242675781, 523.2264404296875)","(-48.492042541503906, 120.95402526855469, 33.38188171386719)","(-49.18479537963867, 122.19158172607422, 33.83226776123047)",POINT (0.3633420765399933 0.43025042116642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696506898,647611753,1,1,"(0.3608333170413971, 0.4267611801624298)","(0.36001700162887573, 0.4326624572277069)",1,1,3.107650756835937,3.04583740234375,"(-34.165199279785156, 36.86592102050781, 524.9058227539062)","(23.488269805908203, 35.00079345703125, 523.2568359375)","(-49.705265045166016, 122.2100601196289, 33.83905029296875)","(-49.9873161315918, 121.13228607177734, 33.446720123291016)",POINT (0.3604251593351364 0.4297118186950684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696523569,647628423,1,1,"(0.362058162689209, 0.431777685880661)","(0.3603028655052185, 0.42994531989097595)",1,1,3.1141510009765625,3.026351928710937,"(-34.17749786376953, 36.85552978515625, 524.8118286132812)","(23.477506637573242, 35.00068664550781, 523.1962890625)","(-49.28204345703125, 121.29386138916016, 33.50556564331055)","(-49.88854217529297, 121.6285171508789, 33.627384185791016)",POINT (0.3611805140972138 0.4308615028858185),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696540236,647645090,1,1,"(0.36168068647384644, 0.43253469467163086)","(0.3600092828273773, 0.4309413433074951)",1,1,3.1044464111328125,3.0384674072265625,"(-34.19569396972656, 36.86579513549805, 524.824462890625)","(23.46185874938965, 35.01914978027344, 523.2579345703125)","(-49.4124755859375, 121.15562438964844, 33.45520782470703)","(-49.989990234375, 121.44661712646484, 33.5611572265625)",POINT (0.3608449846506119 0.431738018989563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696556904,647661757,1,1,"(0.36425626277923584, 0.43642640113830566)","(0.356049507856369, 0.4422665238380432)",1,1,3.105072021484375,3.0401153564453125,"(-34.21786117553711, 36.88252258300781, 524.915283203125)","(23.452056884765625, 35.03568649291992, 523.2438354492188)","(-48.522544860839844, 120.44482421875, 33.19658279418945)","(-51.358184814453125, 119.37821960449219, 32.80833053588867)",POINT (0.3601528853178024 0.4393464624881744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696573570,647678423,1,1,"(0.3672163784503937, 0.42695561051368713)","(0.35610926151275635, 0.4338173270225525)",1,1,3.1147003173828125,3.0142822265625,"(-34.258323669433594, 36.8886833190918, 524.9729614257812)","(23.43695068359375, 35.04046630859375, 523.19921875)","(-47.499759674072266, 122.174560546875, 33.826087951660156)","(-51.33754348754883, 120.92134857177734, 33.36998748779297)",POINT (0.361662819981575 0.4303864687681198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696590238,647695090,1,1,"(0.3656255602836609, 0.4297776520252228)","(0.35907015204429626, 0.4279385805130005)",1,1,3.1283721923828125,3.027206420898437,"(-34.27653884887695, 36.88903045654297, 524.9710083007812)","(23.410430908203125, 35.04462432861328, 523.2919921875)","(-48.04942321777344, 121.65914916992188, 33.63851547241211)","(-50.31448745727539, 121.99503326416016, 33.760746002197266)",POINT (0.3623478561639786 0.4288581162691116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696606905,647711757,1,1,"(0.36861562728881836, 0.43331703543663025)","(0.35788092017173767, 0.4246753454208374)",1,1,3.1125946044921875,3.0283203125,"(-34.300743103027344, 36.90703582763672, 525.076416015625)","(23.38909912109375, 35.054264068603516, 523.3394775390625)","(-47.01628112792969, 121.01273345947266, 33.40321350097656)","(-50.72538757324219, 122.59099578857422, 33.977725982666016)",POINT (0.363248273730278 0.4289961904287338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696623572,647728423,1,1,"(0.3654671907424927, 0.43287205696105957)","(0.36198529601097107, 0.43265655636787415)",1,1,3.11431884765625,3.0275421142578125,"(-34.329063415527344, 36.90399932861328, 525.1193237304688)","(23.361974716186523, 35.05116271972656, 523.3712158203125)","(-48.1041374206543, 121.09398651123047, 33.43282699584961)","(-49.30721664428711, 121.13335418701172, 33.4471321105957)",POINT (0.3637262433767319 0.4327643066644669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,13,836696640239,647745090,1,1,"(0.36400631070137024, 0.4318297803401947)","(0.3591214120388031, 0.4268481731414795)",1,1,3.1121978759765625,3.0352935791015625,"(-34.3474006652832, 36.90098571777344, 525.0399169921875)","(23.325611114501953, 35.05293273925781, 523.282470703125)","(-48.608909606933594, 121.28435516357422, 33.50209426879883)","(-50.29676818847656, 122.19418334960938, 33.83321762084961)",POINT (0.3615638613700867 0.4293389767408371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
