,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,32,16,577123946867,2149087404,1,1,"(0.4709998667240143, 0.6181017160415649)","(0.4972688555717468, 0.6198458671569824)",1,1,3.3839263916015625,3.2374725341796875,"(-44.506290435791016, -19.14460563659668, 658.408935546875)","(16.912738800048828, -18.071578979492188, 659.0208740234375)","(-11.639932632446289, 87.26423645019531, 21.119787216186523)","(-2.563338279724121, 86.9457015991211, 21.00387191772461)",POINT (0.4841343611478806 0.6189737915992737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,16,577123963534,2149104071,1,1,"(0.46957671642303467, 0.6057368516921997)","(0.495453804731369, 0.609714925289154)",1,1,3.376434326171875,3.24871826171875,"(-44.54669952392578, -19.14117431640625, 658.48779296875)","(16.890594482421875, -18.065027236938477, 658.8059692382812)","(-12.131668090820312, 89.52252960205078, 21.941747665405273)","(-3.190483331680298, 88.79597473144531, 21.67732810974121)",POINT (0.4825152605772018 0.6077258884906769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,16,577123980206,2149120742,1,1,"(0.47675442695617676, 0.6085096001625061)","(0.4958149492740631, 0.6040335893630981)",1,1,3.3689117431640625,3.247772216796875,"(-44.60066604614258, -19.14188003540039, 658.4564208984375)","(16.84525489807129, -18.059030532836914, 658.2449340820312)","(-9.651586532592773, 89.01611328125, 21.7574405670166)","(-3.065697193145752, 89.8335952758789, 22.054962158203125)",POINT (0.4862846881151199 0.6062715947628021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,16,577123996873,2149137409,1,1,"(0.47855356335639954, 0.6209227442741394)","(0.4952678978443146, 0.6112895011901855)",1,1,3.3944091796875,3.2379302978515625,"(-44.6269416809082, -19.142040252685547, 658.2593994140625)","(16.802400588989258, -18.065324783325195, 658.21142578125)","(-9.029932975769043, 86.74901580810547, 20.932260513305664)","(-3.2547013759613037, 88.50840759277344, 21.572641372680664)",POINT (0.4869107306003571 0.6161061227321625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,16,577124013540,2149154075,1,1,"(0.47048434615135193, 0.6086177229881287)","(0.4927832782268524, 0.6081175804138184)",1,1,3.3935546875,3.254608154296875,"(-44.64366912841797, -19.145374298095703, 658.2086791992188)","(16.775737762451172, -18.07408332824707, 658.8478393554688)","(-11.818058967590332, 88.99638366699219, 21.750232696533203)","(-4.1132025718688965, 89.08771514892578, 21.783475875854492)",POINT (0.4816338121891022 0.6083676517009735),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,16,577124030198,2149170733,1,1,"(0.4585307240486145, 0.6144666075706482)","(0.4992472231388092, 0.6081982851028442)",1,1,3.3870391845703125,3.241729736328125,"(-44.71283721923828, -19.145496368408203, 658.4287109375)","(16.716468811035156, -18.067827224731445, 659.2232666015625)","(-15.948330879211426, 87.92813873291016, 21.361427307128906)","(-1.879752516746521, 89.0729751586914, 21.778135299682617)",POINT (0.4788889735937118 0.6113324463367462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,16,577124046875,2149187409,1,1,"(0.4791994094848633, 0.623839259147644)","(0.48680078983306885, 0.6079995036125183)",1,1,3.3962554931640625,3.2551422119140625,"(-44.82143020629883, -19.147483825683594, 658.5830078125)","(16.630939483642578, -18.050443649291992, 658.3277587890625)","(-8.80678653717041, 86.21636199951172, 20.738405227661133)","(-6.180332183837891, 89.10929107666016, 21.79133415222168)",POINT (0.4830000996589661 0.6159193813800812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,32,16,577124063541,2149204075,1,1,"(0.46121445298194885, 0.6110467314720154)","(0.4934115409851074, 0.5855080485343933)",1,1,3.378753662109375,3.228271484375,"(-44.86029815673828, -19.14113426208496, 658.3116455078125)","(16.568401336669922, -18.037555694580078, 658.5814819335938)","(-15.021041870117188, 88.55274200439453, 21.58878517150879)","(-3.8961262702941895, 93.21702575683594, 23.286460876464844)",POINT (0.4773129969835281 0.5982773900032043),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,16,577124080209,2149220742,1,1,"(0.4692590534687042, 0.6020887494087219)","(0.49067965149879456, 0.6002342104911804)",1,1,3.3713531494140625,3.22332763671875,"(-44.969482421875, -19.13845443725586, 658.6717529296875)","(16.48025131225586, -18.008024215698242, 658.9354248046875)","(-12.241432189941406, 90.18881225585938, 22.18423843383789)","(-4.840083599090576, 90.52751922607422, 22.30753517150879)",POINT (0.4799693524837494 0.6011614799499512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,16,577124096879,2149237412,1,1,"(0.48355650901794434, 0.6105350255966187)","(0.4956977069377899, 0.61658775806427)",1,1,3.373886108398437,3.203216552734375,"(-45.07012939453125, -19.118915557861328, 658.4759521484375)","(16.383033752441406, -17.931560516357422, 658.604736328125)","(-7.301300525665283, 88.64620971679688, 21.622777938842773)","(-3.1062116622924805, 87.5407485961914, 21.220413208007812)",POINT (0.4896271079778671 0.6135613918304443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
