,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,20,16,177267609363,3433735212,1,1,"(0.7095637917518616, 0.10758524388074875)","(0.7184615731239319, 0.07922453433275223)",1,1,2.9412841796875,2.584747314453125,"(-53.811283111572266, -39.23398971557617, 724.271484375)","(8.712807655334473, -29.79351043701172, 722.8357543945312)","(70.78993225097656, 180.5033416748047, 55.05599594116211)","(73.86433410644531, 185.68304443359375, 56.94129180908203)",POINT (0.7140126824378967 0.0934048891067505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267626031,3433751879,1,1,"(0.7157869338989258, -0.016635078936815262)","(0.723441481590271, 0.07908102124929428)",1,1,2.7962799072265625,2.583465576171875,"(-53.79081344604492, -39.244503021240234, 724.2905883789062)","(8.731672286987305, -29.80684471130371, 722.80615234375)","(72.94019317626953, 203.19052124023438, 63.31351852416992)","(75.58503723144531, 185.70924377441406, 56.95085906982422)",POINT (0.7196142077445984 0.0312229711562395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267642698,3433768545,1,1,"(0.7127075791358948, 0.04140867292881012)","(0.7206548452377319, 0.07780694216489792)",1,1,2.862548828125,2.561630249023437,"(-53.75420379638672, -39.23553466796875, 724.221923828125)","(8.76296615600586, -29.804882049560547, 722.7051391601562)","(71.87619018554688, 192.589599609375, 59.455078125)","(74.62216186523438, 185.9419403076172, 57.0355339050293)",POINT (0.7166812121868134 0.059607807546854),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267659365,3433785212,1,1,"(0.7157585620880127, 0.039554301649332047)","(0.7145113348960876, 0.10598838329315186)",1,1,2.863525390625,2.5995635986328125,"(-53.738853454589844, -39.24626922607422, 724.166259765625)","(8.782233238220215, -29.81916618347168, 722.632568359375)","(72.93038940429688, 192.92828369140625, 59.57836151123047)","(72.49944305419922, 180.7949676513672, 55.1622200012207)",POINT (0.7151349484920502 0.072771342471242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267676037,3433801883,1,1,"(0.5458121299743652, 0.13532498478889465)","(0.5754721164703369, 0.20706647634506226)",1,1,2.89874267578125,2.638397216796875,"(-54.11017608642578, -39.382781982421875, 724.3978881835938)","(8.372570037841797, -29.911930084228516, 722.4985961914062)","(14.20958423614502, 175.43704223632812, 53.212066650390625)","(24.457868576049805, 162.3343963623047, 48.4431037902832)",POINT (0.5606421232223511 0.1711957305669784),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177267692704,3433818550,1,1,"(0.433957040309906, 0.3374599516391754)","(0.4672798216342926, 0.373414009809494)",1,1,2.93560791015625,2.660614013671875,"(-54.43603515625, -39.61617660522461, 724.388671875)","(7.890326023101807, -30.132064819335938, 722.5394897460938)","(-24.43917465209961, 138.51976013183594, 39.7752685546875)","(-12.925296783447266, 131.95321655273438, 37.38523483276367)",POINT (0.4506184309720993 0.3554369807243347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,20,16,177267709372,3433835217,1,1,"(0.42961737513542175, 0.3699597418308258)","(0.4415305256843567, 0.4273066520690918)",1,1,2.908447265625,2.6576690673828125,"(-54.47294616699219, -39.657230377197266, 724.36767578125)","(7.877427101135254, -30.176467895507812, 722.539794921875)","(-25.938636779785156, 132.5841064453125, 37.61484909057617)","(-21.82233428955078, 122.11044311523438, 33.80276107788086)",POINT (0.4355739504098892 0.3986331969499588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267726038,3433851883,1,1,"(0.4209271967411041, 0.36676087975502014)","(0.4252139627933502, 0.40686747431755066)",1,1,2.886215209960937,2.6266021728515625,"(-54.48815155029297, -39.664283752441406, 724.3078002929688)","(7.913723945617676, -30.176685333251953, 722.366455078125)","(-28.941299438476562, 133.16831970214844, 37.827510833740234)","(-27.460107803344727, 125.84337615966797, 35.16145706176758)",POINT (0.4230705797672272 0.3868141770362854),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267742706,3433868550,1,1,"(0.4229540526866913, 0.3648989796638489)","(0.4329407513141632, 0.42526695132255554)",1,1,2.8996124267578125,2.6350555419921875,"(-54.49367141723633, -39.655982971191406, 724.3056640625)","(7.92994499206543, -30.14163589477539, 722.2796630859375)","(-28.240982055664062, 133.50839233398438, 37.95127487182617)","(-24.790315628051758, 122.48297119140625, 33.938350677490234)",POINT (0.4279474020004272 0.3950829654932022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267759373,3433885217,1,1,"(0.4213033616542816, 0.36403390765190125)","(0.43725842237472534, 0.40583932399749756)",1,1,2.891265869140625,2.616180419921875,"(-54.505496978759766, -39.661033630371094, 724.2744750976562)","(7.95017671585083, -30.132774353027344, 722.2218017578125)","(-28.81133460998535, 133.66636657714844, 38.00881576538086)","(-23.298463821411133, 126.03115844726562, 35.22980499267578)",POINT (0.4292808920145035 0.3849366158246994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267776041,3433901884,1,1,"(0.4205438196659088, 0.36416763067245483)","(0.42909201979637146, 0.4125511944293976)",1,1,2.884521484375,2.63641357421875,"(-54.516117095947266, -39.631927490234375, 724.2576293945312)","(7.964570999145508, -30.103496551513672, 722.2071533203125)","(-29.073774337768555, 133.64193725585938, 37.999900817871094)","(-26.120147705078125, 124.80532836914062, 34.78361892700195)",POINT (0.4248179197311401 0.3883594125509262),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267792707,3433918550,1,1,"(0.4206814169883728, 0.3674752116203308)","(0.43331843614578247, 0.40494534373283386)",1,1,2.895858764648437,2.6285858154296875,"(-54.52059555053711, -39.60572052001953, 724.212890625)","(7.9928789138793945, -30.099857330322266, 722.220703125)","(-29.026233673095703, 133.037841796875, 37.780059814453125)","(-24.659822463989258, 126.19442749023438, 35.289241790771484)",POINT (0.4269999265670776 0.3862102776765823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267809380,3433935222,1,1,"(0.4155218005180359, 0.3700895607471466)","(0.4316358268260956, 0.40813741087913513)",1,1,2.902252197265625,2.641143798828125,"(-54.508026123046875, -39.56804275512695, 724.1563720703125)","(8.022340774536133, -30.08222198486328, 722.2056884765625)","(-30.809009552001953, 132.56039428710938, 37.60624694824219)","(-25.241201400756836, 125.6114501953125, 35.07703399658203)",POINT (0.4235788136720657 0.3891134858131409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267826048,3433951890,1,1,"(0.41934505105018616, 0.36085018515586853)","(0.4305052161216736, 0.3761093020439148)",1,1,2.891143798828125,2.583358764648437,"(-54.498756408691406, -39.54163360595703, 724.1286010742188)","(8.046875, -30.066112518310547, 722.1043701171875)","(-29.487985610961914, 134.24783325195312, 38.220420837402344)","(-25.63186264038086, 131.46095275878906, 37.20608901977539)",POINT (0.4249251335859299 0.3684797435998917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267842715,3433968556,1,1,"(0.42665132880210876, 0.37305328249931335)","(0.43002647161483765, 0.41855108737945557)",1,1,2.919952392578125,2.6623992919921875,"(-54.49046325683594, -39.532447814941406, 724.130126953125)","(8.064895629882812, -30.066553115844727, 722.0751342773438)","(-26.963476181030273, 132.01910400390625, 37.409263610839844)","(-25.797273635864258, 123.70953369140625, 34.384788513183594)",POINT (0.4283389002084732 0.3958021849393845),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267859382,3433985223,1,1,"(0.43334490060806274, 0.23534278571605682)","(0.4742085933685303, 0.1982685923576355)",1,1,2.909088134765625,2.536468505859375,"(-54.380775451660156, -39.38741683959961, 724.236083984375)","(8.110170364379883, -29.945627212524414, 722.3180541992188)","(-24.650678634643555, 157.17010498046875, 46.563453674316406)","(-10.531238555908203, 163.94122314453125, 49.027923583984375)",POINT (0.4537767469882965 0.2168056890368462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
