,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,8,13,344066148569,14732974608,1,1,"(0.6478270888328552, 0.3508008122444153)","(0.5923228859901428, 0.11433044821023941)",1,1,3.234771728515625,3.171478271484375,"(-26.202062606811523, -0.15454450249671936, 630.2296142578125)","(34.374916076660156, 2.4522671699523926, 631.159423828125)","(51.49821472167969, 136.4302520751953, 39.01478576660156)","(32.26398468017578, 179.7448272705078, 54.78001022338867)",POINT (0.620074987411499 0.2325656302273274),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,8,13,344066165238,14732991277,1,1,"(0.6472793817520142, 0.12883639335632324)","(0.5956808924674988, 0.1188049241900444)",1,1,3.3842926025390625,3.1630096435546875,"(-26.252567291259766, -0.21587684750556946, 630.4459838867188)","(34.335182189941406, 2.4627885818481445, 631.4953002929688)","(51.30842208862305, 177.08775329589844, 53.81292724609375)","(33.42766189575195, 178.9252471923828, 54.48166275024414)",POINT (0.6214801371097565 0.1238206587731838),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066181906,14733007944,1,1,"(0.6435268521308899, 0.13105346262454987)","(0.5868521928787231, 0.12391823530197144)",1,1,3.38580322265625,3.15362548828125,"(-26.29763412475586, -0.2366534173488617, 630.7064819335938)","(34.26757049560547, 2.48386812210083, 631.3031005859375)","(50.008018493652344, 176.68165588378906, 53.665096282958984)","(30.368202209472656, 177.98861694335938, 54.140811920166016)",POINT (0.6151895225048065 0.1274858489632606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066198573,14733024611,1,1,"(0.6440805792808533, 0.13667011260986328)","(0.5921368598937988, 0.12276875972747803)",1,1,3.37677001953125,3.161605834960937,"(-26.340011596679688, -0.1836080700159073, 630.9901123046875)","(34.229156494140625, 2.5455613136291504, 632.0377197265625)","(50.19991683959961, 175.65284729003906, 53.2906379699707)","(32.19951248168945, 178.1991729736328, 54.21743392944336)",POINT (0.618108719587326 0.1297194361686706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066215240,14733041277,1,1,"(0.6436364054679871, 0.13013602793216705)","(0.5923979878425598, 0.1378660500049591)",1,1,3.3921051025390625,3.146957397460937,"(-26.401920318603516, -0.12783484160900116, 631.2718505859375)","(34.167903900146484, 2.6831374168395996, 632.199951171875)","(50.045997619628906, 176.84970092773438, 53.72626495361328)","(32.290008544921875, 175.4337921142578, 53.21089172363281)",POINT (0.6180171966552734 0.1340010389685631),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066231907,14733057944,1,1,"(0.6472079157829285, 0.14020484685897827)","(0.592914342880249, 0.11981591582298279)",1,1,3.39971923828125,3.168197631835937,"(-26.477096557617188, -0.03260307386517525, 631.8397216796875)","(34.09138107299805, 2.788376808166504, 632.5626220703125)","(51.283660888671875, 175.00538635253906, 53.05498504638672)","(32.46894454956055, 178.74005126953125, 54.41429138183594)",POINT (0.6200611293315887 0.1300103813409805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066248574,14733074611,1,1,"(0.6412975788116455, 0.14458414912223816)","(0.583541750907898, 0.13066250085830688)",1,1,3.389801025390625,3.1717529296875,"(-26.546098709106445, 0.09038504958152771, 631.9674682617188)","(34.01059341430664, 2.96174955368042, 632.7046508789062)","(49.235511779785156, 174.20321655273438, 52.76304244995117)","(29.220998764038086, 176.75328063964844, 53.69112777709961)",POINT (0.6124196648597717 0.1376233249902725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,13,344066265240,14733091277,1,1,"(0.6401413083076477, 0.14514988660812378)","(0.5992443561553955, 0.1353667676448822)",1,1,3.39373779296875,3.1786651611328125,"(-26.64224624633789, 0.20131702721118927, 632.069580078125)","(33.923370361328125, 3.167996883392334, 633.33642578125)","(48.834815979003906, 174.09957885742188, 52.72534942626953)","(34.66252136230469, 175.89158630371094, 53.37752151489258)",POINT (0.6196928322315216 0.140258327126503),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,8,13,344066281908,14733107944,1,1,"(0.6478805541992188, 0.15893901884555817)","(0.5838736295700073, 0.1341864913702011)",1,1,3.41094970703125,3.169464111328125,"(-26.743453979492188, 0.31500422954559326, 632.3489379882812)","(33.811710357666016, 3.3349850177764893, 633.1697387695312)","(51.5167350769043, 171.57382202148438, 51.80600357055664)","(29.335994720458984, 176.1077880859375, 53.45618438720703)",POINT (0.615877091884613 0.1465627551078796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,8,13,344066298582,14733124618,1,1,"(0.5790804624557495, 0.1997607797384262)","(0.5404577255249023, 0.1714179515838623)",1,1,3.4057159423828125,3.171722412109375,"(-27.015701293945312, 0.3189237117767334, 632.6148681640625)","(33.50794219970703, 3.4010009765625, 633.5338134765625)","(27.67500114440918, 164.096435546875, 49.08449172973633)","(14.290796279907227, 169.2880401611328, 50.97404479980469)",POINT (0.5597690939903259 0.1855893656611443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
