,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,-----------.5,define.1,afunc.1,terms.1,  .1,if.1,zero.1,terms.2,1.1,+.1,expt.1,/.1,-1.1,2.1,terms.3,afunc.2,-.1,terms.4,1.2,-----------.10,-----------.11,-----------.12,-----------.13,question,code,choices
0,35,33,338310633200,8977624708,1,1,"(0.28558042645454407, 0.2696598470211029)","(0.32171323895454407, 0.2808564007282257)",1,1,2.8632354736328125,3.04156494140625,"(-56.42688751220703, 44.67493438720703, 611.1204833984375)","(3.802506923675537, 45.6839599609375, 611.262451171875)","(-74.03349304199219, 151.29295349121094, 44.42434310913086)","(-61.51216125488281, 149.2420654296875, 43.67787551879883)",POINT (0.3036468327045441 0.2752581238746643),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,35,33,338310649867,8977641374,1,1,"(0.2824520468711853, 0.2832947373390198)","(0.316644549369812, 0.2756945788860321)",1,1,2.85498046875,3.043792724609375,"(-56.618316650390625, 44.575035095214844, 611.2958374023438)","(3.625336170196533, 45.608924865722656, 611.3468017578125)","(-75.11759948730469, 148.79541015625, 43.5153694152832)","(-63.26865005493164, 150.1875457763672, 44.022064208984375)",POINT (0.2995482981204987 0.2794946581125259),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,35,33,338310666534,8977658041,1,1,"(0.23200024664402008, 0.2951831817626953)","(0.2639683783054352, 0.2839551270008087)",1,1,2.885101318359375,3.056381225585937,"(-56.86265563964844, 44.52104949951172, 611.5687255859375)","(3.3609745502471924, 45.552879333496094, 611.3275146484375)","(-92.60099029541016, 146.61781311035156, 42.72272872924805)","(-81.52286529541016, 148.67446899414062, 43.47128677368164)",POINT (0.2479843124747276 0.289569154381752),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310683206,8977674712,1,1,"(0.22951874136924744, 0.28155553340911865)","(0.2737720012664795, 0.29556405544281006)",1,1,2.88525390625,3.0481414794921875,"(-56.93722915649414, 44.41790008544922, 611.4896240234375)","(3.249319076538086, 45.52707290649414, 611.5548095703125)","(-93.46092224121094, 149.11399841308594, 43.631290435791016)","(-78.12554931640625, 146.5480499267578, 42.697322845458984)",POINT (0.2516453713178635 0.2885597944259644),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310699873,8977691378,1,1,"(0.23226672410964966, 0.27720144391059875)","(0.27958571910858154, 0.3018868863582611)",1,1,2.846405029296875,3.06671142578125,"(-57.0656852722168, 44.45030975341797, 611.93115234375)","(3.1532530784606934, 45.55849838256836, 611.8042602539062)","(-92.5086441040039, 149.91156005859375, 43.921531677246094)","(-76.11088562011719, 145.38987731933594, 42.27581787109375)",POINT (0.2559262216091156 0.2895441651344299),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310716540,8977708045,1,1,"(0.222943514585495, 0.27041956782341003)","(0.2799227833747864, 0.29826679825782776)",1,1,2.855499267578125,3.0611114501953125,"(-57.11293029785156, 44.403770446777344, 611.6088256835938)","(3.0642199516296387, 45.546016693115234, 611.7835693359375)","(-95.7394790649414, 151.15379333496094, 44.37369155883789)","(-75.99407958984375, 146.05299377441406, 42.51710891723633)",POINT (0.2514331489801407 0.2843431830406189),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310733207,8977724711,1,1,"(0.22782889008522034, 0.27990686893463135)","(0.26916423439979553, 0.28878965973854065)",1,1,2.8484649658203125,3.0413818359375,"(-57.18408203125, 44.427127838134766, 611.8263549804688)","(3.022634267807007, 45.57167434692383, 611.7633056640625)","(-94.04651641845703, 149.41600036621094, 43.74116134643555)","(-79.7223129272461, 147.78892517089844, 43.14897537231445)",POINT (0.2484965622425079 0.284348264336586),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310749874,8977741378,1,1,"(0.23340480029582977, 0.2829279899597168)","(0.27484211325645447, 0.2868320345878601)",1,1,2.8480377197265625,3.05828857421875,"(-57.26670455932617, 44.47892761230469, 612.2312622070312)","(2.970128059387207, 45.6314582824707, 611.9503173828125)","(-92.1142578125, 148.86260986328125, 43.5397834777832)","(-77.75471496582031, 148.14749145507812, 43.279518127441406)",POINT (0.2541234567761421 0.2848800122737884),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310766542,8977758045,1,1,"(0.23379382491111755, 0.28843095898628235)","(0.28189823031425476, 0.2949286699295044)",1,1,2.8668365478515625,3.06048583984375,"(-57.30084228515625, 44.523738861083984, 612.2662353515625)","(2.922215223312378, 45.71603775024414, 612.1365356445312)","(-91.97944641113281, 147.8546142578125, 43.17292022705078)","(-75.30951690673828, 146.66441345214844, 42.73975372314453)",POINT (0.2578460276126862 0.2916798144578934),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310783208,8977774711,1,1,"(0.23027119040489197, 0.28924432396888733)","(0.28069910407066345, 0.3093482255935669)",1,1,2.8531494140625,3.0561065673828125,"(-57.31278991699219, 44.5367431640625, 612.0753784179688)","(2.886838912963867, 45.74175262451172, 611.9081420898438)","(-93.2001724243164, 147.70562744140625, 43.11869812011719)","(-75.72505187988281, 144.02317810058594, 41.778377532958984)",POINT (0.2554851472377777 0.2992962747812271),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,33,338310799876,8977791378,1,1,"(0.22353343665599823, 0.2945178747177124)","(0.2794727683067322, 0.29274871945381165)",1,1,2.866119384765625,3.0523834228515625,"(-57.30861282348633, 44.563720703125, 611.762451171875)","(2.877842426300049, 45.80185317993164, 612.0328369140625)","(-95.53504943847656, 146.7396697998047, 42.76711654663086)","(-76.1500244140625, 147.06373596191406, 42.88501739501953)",POINT (0.2515031024813652 0.293633297085762),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,35,33,338310816549,8977808051,1,1,"(0.2262582778930664, 0.2935582399368286)","(0.27465805411338806, 0.3027459681034088)",1,1,2.841293334960937,3.062973022460937,"(-57.32189178466797, 44.592140197753906, 611.7395629882812)","(2.8750481605529785, 45.855934143066406, 611.908935546875)","(-94.59078979492188, 146.91546630859375, 42.831031799316406)","(-77.81849670410156, 145.23251342773438, 42.21855545043945)",POINT (0.2504581660032272 0.2981521040201187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
