,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,input3.1,input4.1,input5.1,  .1,cond.1,-----------.1,    .1,and.1,>.1,input1.2,21.1,>=.1,input4.2,110.1,>=.2,input5.2,56.1,-----------.3,-----------.4,    .2,and.2,or.1,=.1,input1.3,17.1,nan.7,=.2,input1.4,21.2,-----------.8,>=.3,input2.2,3.1,=.3,input4.3,110.2,>=.4,input5.3,56.2,-----------.9,-----------.10,    .3,and.3,or.2,-----------.11,input1.5,17.2,-----------.13,=.4,input1.6,21.3,-----------.14,-----------.15,input2.3,2.1,=.5,input3.2,156.1,>=.5,input4.4,11.1,>=.6,input5.4,1054.1,-----------.16,-----------.17,    .4,and.4,or.3,-----------.18,input1.7,17.3,-----------.20,=.6,input1.8,21.4,-----------.21,-----------.22,input2.4,2.2,=.7,input3.3,156.2,>=.7,input4.5,9.1,>=.8,input5.5,1054.2,-----------.23,    .5,else.1,-----------.24,-----------.25,question,code,choices
0,24,28,155761068556,5021697722,1,1,"(0.562451183795929, 0.10119074583053589)","(0.5741915106773376, 0.0471356064081192)",1,1,3.234710693359375,3.60455322265625,"(-59.76203155517578, 33.00122833251953, 548.224853515625)","(3.996326208114624, 36.544071197509766, 552.0816040039062)","(21.912336349487305, 182.1516571044922, 55.65598678588867)","(25.98080062866211, 192.05300903320312, 59.25978469848633)",POINT (0.5683213472366333 0.0741631761193276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761085222,5021714388,1,1,"(0.5642203092575073, 0.11559626460075378)","(0.5709731578826904, 0.03764699026942253)",1,1,3.296173095703125,3.589385986328125,"(-59.72441101074219, 32.994850158691406, 548.18896484375)","(4.025391578674316, 36.51388168334961, 551.9971923828125)","(22.52539825439453, 179.5129852294922, 54.69561004638672)","(24.86552619934082, 193.79104614257812, 59.89237976074219)",POINT (0.5675967335700989 0.0766216274350882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761101890,5021731055,1,1,"(0.5597244501113892, 0.12167710065841675)","(0.5727525949478149, 0.04784383252263069)",1,1,3.29290771484375,3.598602294921875,"(-59.70437240600586, 33.023719787597656, 548.1676025390625)","(4.051031589508057, 36.511173248291016, 551.92041015625)","(20.967409133911133, 178.39913940429688, 54.29020690917969)","(25.48216438293457, 191.9232635498047, 59.212623596191406)",POINT (0.566238522529602 0.0847604665905237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761118557,5021747722,1,1,"(0.555475652217865, 0.11492735147476196)","(0.5746260285377502, 0.05743038281798363)",1,1,3.286727905273437,3.6135101318359375,"(-59.66120910644531, 33.03370666503906, 548.066162109375)","(4.082667827606201, 36.49108123779297, 551.8195190429688)","(19.49506187438965, 179.63551330566406, 54.740196228027344)","(26.131378173828125, 190.16729736328125, 58.57345962524414)",POINT (0.5650508403778076 0.0861788671463728),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761135224,5021764388,1,1,"(0.5697587132453918, 0.12025924026966095)","(0.5714637041091919, 0.05482812598347664)",1,1,3.2465057373046875,3.595489501953125,"(-59.60832214355469, 33.05207443237305, 547.845703125)","(4.112551689147949, 36.513710021972656, 551.9970092773438)","(24.444669723510742, 178.65882873535156, 54.38475799560547)","(25.03550910949707, 190.64395141601562, 58.746952056884766)",POINT (0.5706112086772919 0.0875436831265688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761151896,5021781060,1,1,"(0.5592237710952759, 0.13672049343585968)","(0.5749573707580566, 0.050237417221069336)",1,1,3.2660675048828125,3.613250732421875,"(-59.58814239501953, 33.05282211303711, 547.8076171875)","(4.132290840148926, 36.51555252075195, 552.0809936523438)","(20.793907165527344, 175.64361572265625, 53.28731155395508)","(26.246187210083008, 191.48483276367188, 59.053001403808594)",POINT (0.5670905709266663 0.0934789553284645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761168564,5021797727,1,1,"(0.5726730227470398, 0.151829332113266)","(0.5673250555992126, 0.045886021107435226)",1,1,3.3478240966796875,3.6266021728515625,"(-59.57129669189453, 33.062767028808594, 547.8024291992188)","(4.165275573730469, 36.51274490356445, 551.9967041015625)","(25.454578399658203, 172.87611389160156, 52.279972076416016)","(23.6013126373291, 192.28187561035156, 59.3431396484375)",POINT (0.5699990391731262 0.0988576766103506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761185230,5021814393,1,1,"(0.5654851198196411, 0.1272430568933487)","(0.5709719061851501, 0.0471331812441349)",1,1,3.27398681640625,3.60577392578125,"(-59.560951232910156, 33.049190521240234, 547.812255859375)","(4.180795192718506, 36.492393493652344, 552.046875)","(22.96371078491211, 177.37960815429688, 53.91914367675781)","(24.8651065826416, 192.053466796875, 59.25992965698242)",POINT (0.5682285130023956 0.0871881190687418),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761201898,5021831060,1,1,"(0.5688068866729736, 0.1182829737663269)","(0.5670374631881714, 0.05431226268410683)",1,1,3.234100341796875,3.6032562255859375,"(-59.54888153076172, 33.056182861328125, 547.848876953125)","(4.204647541046143, 36.48395538330078, 551.7935791015625)","(24.114839553833008, 179.02084350585938, 54.5164794921875)","(23.50166130065918, 190.73843383789062, 58.7813606262207)",POINT (0.5679221749305725 0.0862976182252169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761218565,5021847727,1,1,"(0.5720987319946289, 0.12367986887693405)","(0.5643113255500793, 0.05530558153986931)",1,1,3.2559967041015625,3.5885162353515625,"(-59.554168701171875, 33.04776382446289, 547.8806762695312)","(4.2140793800354, 36.46369934082031, 551.776611328125)","(25.255577087402344, 178.03228759765625, 54.156681060791016)","(22.556947708129883, 190.55650329589844, 58.715110778808594)",POINT (0.5682050287723541 0.0894927252084017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761235231,5021864393,1,1,"(0.5707361698150635, 0.14495180547237396)","(0.5647638440132141, 0.07408574223518372)",1,1,3.272918701171875,3.634185791015625,"(-59.54265594482422, 33.04395294189453, 547.83203125)","(4.224452018737793, 36.45458984375, 551.683837890625)","(24.78339385986328, 174.1358642578125, 52.738521575927734)","(22.713768005371094, 187.11651611328125, 57.46306610107422)",POINT (0.5677500069141388 0.1095187738537788),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761251898,5021881060,1,1,"(0.573070764541626, 0.14918901026248932)","(0.5683011412620544, 0.06199754402041435)",1,1,3.33447265625,3.6197662353515625,"(-59.555885314941406, 33.020633697509766, 547.8714599609375)","(4.216544151306152, 36.44341278076172, 551.7430419921875)","(25.592416763305664, 173.35975646972656, 52.45600128173828)","(23.93956184387207, 189.33071899414062, 58.268985748291016)",POINT (0.5706859529018402 0.1055932771414518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,28,155761268566,5021897728,1,1,"(0.5737802386283875, 0.1428522765636444)","(0.5657732486724854, 0.05458613485097885)",1,1,3.2884063720703125,3.6133880615234375,"(-59.554931640625, 33.015838623046875, 547.845947265625)","(4.21673583984375, 36.45130157470703, 551.8355712890625)","(25.838289260864258, 174.5204315185547, 52.878509521484375)","(23.063549041748047, 190.68826293945312, 58.76310729980469)",POINT (0.5697767436504364 0.0987192057073116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
