,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,37,3,765981922603,1958748859,1,1,"(0.47936350107192993, 0.45954757928848267)","(0.4869537651538849, 0.4212087094783783)",1,1,2.727691650390625,2.6128692626953125,"(-99.4105224609375, 11.598130226135254, 644.994873046875)","(-30.19793701171875, 15.332317352294922, 650.851318359375)","(-8.750077247619629, 116.22205352783203, 31.65959358215332)","(-6.1274566650390625, 123.22415161132812, 34.20812225341797)",POINT (0.4831586331129074 0.4403781443834305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765981939270,1958765526,1,1,"(0.47878238558769226, 0.23352864384651184)","(0.4740277826786041, 0.26104050874710083)",1,1,2.6846923828125,2.6292877197265625,"(-99.30415344238281, 12.017130851745605, 645.3396606445312)","(-30.19329833984375, 15.66197395324707, 650.9212646484375)","(-8.950867652893066, 157.50143432617188, 46.68404006958008)","(-10.593704223632812, 152.4767608642578, 44.85520553588867)",POINT (0.4764050841331482 0.2472845762968063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765981955938,1958782193,1,1,"(0.46861809492111206, 0.2630426287651062)","(0.46918970346450806, 0.28370532393455505)",1,1,2.7609405517578125,2.686508178710937,"(-99.2415771484375, 12.118968963623047, 645.4427490234375)","(-30.128616333007812, 15.695140838623047, 650.9852905273438)","(-12.462900161743164, 152.11109924316406, 44.72212600708008)","(-12.265389442443848, 148.3373260498047, 43.34857940673828)",POINT (0.4689038991928101 0.2733739763498306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765981972608,1958798863,1,1,"(0.4675399661064148, 0.24905379116535187)","(0.4535764157772064, 0.08360911905765533)",1,1,2.77996826171875,2.4863739013671875,"(-99.20816040039062, 12.146215438842773, 645.4285888671875)","(-30.05620574951172, 15.69329833984375, 651.1329345703125)","(-12.835431098937988, 154.66598510742188, 45.6519775390625)","(-17.66018295288086, 184.88226318359375, 56.64983367919922)",POINT (0.4605581909418106 0.1663314551115036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,37,3,765981989276,1958815530,1,1,"(0.47405844926834106, 0.22327454388141632)","(0.4581821858882904, 0.24231868982315063)",1,1,2.71295166015625,2.641387939453125,"(-99.23548126220703, 12.21430492401123, 645.5169677734375)","(-30.045082092285156, 15.731517791748047, 651.110107421875)","(-10.58311939239502, 159.3741912841797, 47.36570739746094)","(-16.068754196166992, 155.89602661132812, 46.09975051879883)",POINT (0.4661203175783157 0.2327966168522835),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982005943,1958832197,1,1,"(0.47214576601982117, 0.24915865063667297)","(0.45405760407447815, 0.2433534860610962)",1,1,2.753524780273437,2.647552490234375,"(-99.33139038085938, 12.272958755493164, 645.6672973632812)","(-30.094219207763672, 15.781275749206543, 651.2349853515625)","(-11.24399471282959, 154.64682006835938, 45.64502716064453)","(-17.493907928466797, 155.70706176757812, 46.03094482421875)",POINT (0.4631016850471497 0.2462560683488846),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982022610,1958848863,1,1,"(0.47920897603034973, 0.24535106122493744)","(0.463940292596817, 0.25977379083633423)",1,1,2.7407989501953125,2.67852783203125,"(-99.48444366455078, 12.324131965637207, 645.84765625)","(-30.214351654052734, 15.819499969482422, 651.2825927734375)","(-8.803470611572266, 155.34222412109375, 45.898128509521484)","(-14.079184532165527, 152.70809936523438, 44.93941116333008)",POINT (0.4715746343135834 0.2525624260306358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982039277,1958865530,1,1,"(0.4795919954776764, 0.2141558825969696)","(0.46921002864837646, 0.2557980716228485)",1,1,2.69183349609375,2.630706787109375,"(-99.65974426269531, 12.341580390930176, 646.1182861328125)","(-30.35341453552246, 15.838319778442383, 651.3873901367188)","(-8.671133995056152, 161.03961181640625, 47.97181701660156)","(-12.258377075195312, 153.43423461914062, 45.20367431640625)",POINT (0.4744010120630264 0.2349769771099091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,3,765982055944,1958882196,1,1,"(0.4742890000343323, 0.17966847121715546)","(0.4622049033641815, 0.24287733435630798)",1,1,2.657135009765625,2.6708221435546875,"(-99.84282684326172, 12.348649978637695, 646.3385009765625)","(-30.51615333557129, 15.855116844177246, 651.677734375)","(-10.50345516204834, 167.33827209472656, 50.26437759399414)","(-14.67880916595459, 155.7940216064453, 46.062583923339844)",POINT (0.4682469516992569 0.2112729027867317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982072611,1958898863,1,1,"(0.41926640272140503, 0.2648388743400574)","(0.41650575399398804, 0.23924076557159424)",1,1,2.783920288085937,2.6629638671875,"(-100.20097351074219, 12.38595962524414, 646.562255859375)","(-30.880599975585938, 15.933279037475586, 651.6068115234375)","(-29.51515007019043, 151.78302001953125, 44.602718353271484)","(-30.469032287597656, 156.4581756591797, 46.30433654785156)",POINT (0.4178860783576965 0.2520398199558258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
