,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,46,12,70114283649,1064617784,1,1,"(0.6986268758773804, 0.1716792732477188)","(0.6770896315574646, 0.1621270626783371)",1,1,4.013153076171875,3.945755004882813,"(-47.03230285644531, -7.346245765686035, 611.5411376953125)","(12.633570671081543, -9.200775146484375, 614.3710327148438)","(67.01095581054688, 168.7974090576172, 50.79544448852539)","(59.56929016113281, 170.5419921875, 51.430419921875)",POINT (0.6878582537174225 0.166903167963028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114300317,1064634451,1,1,"(0.6966327428817749, 0.17354023456573486)","(0.6750712990760803, 0.15800151228904724)",1,1,4.040939331054688,3.946685791015625,"(-47.25144577026367, -7.340512275695801, 611.509033203125)","(12.406527519226074, -9.175642013549805, 614.462646484375)","(66.32193756103516, 168.45751953125, 50.6717414855957)","(58.87190246582031, 171.2954559326172, 51.704673767089844)",POINT (0.6858520209789276 0.165770873427391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114316984,1064651118,1,1,"(0.6984830498695374, 0.17278724908828735)","(0.6702234148979187, 0.15762634575366974)",1,1,4.009323120117188,3.9575042724609375,"(-47.498779296875, -7.341798782348633, 611.6610107421875)","(12.173369407653809, -9.14253044128418, 614.60693359375)","(66.96125793457031, 168.5950469970703, 50.72178268432617)","(57.19683074951172, 171.36399841308594, 51.72956466674805)",POINT (0.684353232383728 0.1652067974209786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114333652,1064667785,1,1,"(0.7000699043273926, 0.16970586776733398)","(0.6778712272644043, 0.17035460472106934)",1,1,4.01483154296875,3.94573974609375,"(-47.735389709472656, -7.334740161895752, 611.8564453125)","(11.94655704498291, -9.088356018066406, 614.7409057617188)","(67.50955963134766, 169.15780639648438, 50.92660140991211)","(59.83934783935547, 169.03933715820312, 50.88347244262695)",POINT (0.6889705657958984 0.1700302362442017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114350318,1064684451,1,1,"(0.702009916305542, 0.17964699864387512)","(0.6772811412811279, 0.17302580177783966)",1,1,4.028366088867188,3.9418792724609375,"(-47.97498321533203, -7.33642578125, 612.0723266601562)","(11.718376159667969, -9.058943748474121, 614.8116455078125)","(68.17985534667969, 167.34222412109375, 50.26573944091797)","(59.635459899902344, 168.5514678955078, 50.70594787597656)",POINT (0.689645528793335 0.1763364002108574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114366985,1064701117,1,1,"(0.6975911855697632, 0.18220512568950653)","(0.6842402815818787, 0.1911407709121704)",1,1,4.0462188720703125,3.9499359130859375,"(-48.190513610839844, -7.322626113891602, 612.3125)","(11.511492729187012, -9.026772499084473, 614.975341796875)","(66.65309143066406, 166.875, 50.09571075439453)","(62.040000915527344, 165.24301147460938, 49.50176239013672)",POINT (0.6909157335758209 0.1866729483008385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114383658,1064717790,1,1,"(0.6976077556610107, 0.19015076756477356)","(0.6906846165657043, 0.18168295919895172)",1,1,4.035446166992188,3.934127807617188,"(-48.39756774902344, -7.3156657218933105, 612.5437622070312)","(11.308255195617676, -9.028179168701172, 615.12841796875)","(66.6588363647461, 165.42381286621094, 49.56753921508789)","(64.26669311523438, 166.97036743164062, 50.130455017089844)",POINT (0.6941461861133575 0.1859168633818626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114400324,1064734456,1,1,"(0.7083058953285217, 0.17218896746635437)","(0.6852307915687561, 0.18357522785663605)",1,1,4.023452758789063,3.937454223632813,"(-48.58015060424805, -7.298734188079834, 612.558349609375)","(11.120006561279297, -9.012118339538574, 615.3751220703125)","(70.35530090332031, 168.70431518554688, 50.76155090332031)","(62.38227081298828, 166.624755859375, 50.00468444824219)",POINT (0.6967683434486389 0.1778820976614952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114416992,1064751123,1,1,"(0.6997904777526855, 0.17950817942619324)","(0.6846781969070435, 0.1846596747636795)",1,1,4.0522308349609375,3.942352294921875,"(-48.72698211669922, -7.278301239013672, 612.7037963867188)","(10.955377578735352, -9.007667541503906, 615.6104736328125)","(67.41300201416016, 167.3675537109375, 50.2750129699707)","(62.19131088256836, 166.42669677734375, 49.93259048461914)",POINT (0.6922343373298645 0.1820839270949364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,46,12,70114433659,1064767790,1,1,"(0.698638379573822, 0.1739683896303177)","(0.6701299548149109, 0.1674020141363144)",1,1,4.032257080078125,3.931472778320313,"(-48.875587463378906, -7.250462532043457, 613.1543579101562)","(10.840095520019531, -8.987648010253906, 615.8864135742188)","(67.01490783691406, 168.37933349609375, 50.64323806762695)","(57.164527893066406, 169.57858276367188, 51.07976531982422)",POINT (0.6843841671943665 0.170685201883316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
