,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,22,6,332138325118,1800126926,1,1,"(0.45593520998954773, 0.12875722348690033)","(0.43731600046157837, 0.18469396233558655)",1,1,3.5433502197265625,3.5360565185546875,"(-32.14869689941406, -86.37100219726562, 667.1195068359375)","(29.597681045532227, -86.62957763671875, 668.201416015625)","(-16.845149993896484, 176.63653564453125, 53.64866638183594)","(-23.278564453125, 166.4204559326172, 49.93027114868164)",POINT (0.446625605225563 0.1567255929112434),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138341787,1800143594,1,1,"(0.45290011167526245, 0.11798854172229767)","(0.437061607837677, 0.18845370411872864)",1,1,3.536041259765625,3.5352325439453125,"(-32.153770446777344, -86.36029052734375, 667.1187744140625)","(29.58177947998047, -86.60581970214844, 668.115966796875)","(-17.893857955932617, 178.60330200195312, 54.36448669433594)","(-23.366470336914062, 165.73377990722656, 49.68035125732422)",POINT (0.4449808597564697 0.1532211229205132),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138358453,1800160260,1,1,"(0.4450356960296631, 0.11689924448728561)","(0.4354713261127472, 0.1870131641626358)",1,1,3.5517578125,3.571640014648437,"(-32.160240173339844, -86.36376190185547, 667.0936279296875)","(29.566621780395508, -86.6065444946289, 668.0924072265625)","(-20.611217498779297, 178.80223083496094, 54.43693923950195)","(-23.915943145751953, 165.99685668945312, 49.77613830566406)",POINT (0.4402535110712051 0.1519562043249607),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138375121,1800176927,1,1,"(0.45332300662994385, 0.12488220632076263)","(0.4365224242210388, 0.18939019739627838)",1,1,3.5617828369140625,3.551025390625,"(-32.166439056396484, -86.36300659179688, 667.1299438476562)","(29.553695678710938, -86.59886169433594, 668.0942993164062)","(-17.747718811035156, 177.34426879882812, 53.906227111816406)","(-23.55275535583496, 165.56272888183594, 49.618141174316406)",POINT (0.4449227154254913 0.1571362018585205),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138391793,1800193599,1,1,"(0.45370540022850037, 0.11923513561487198)","(0.43506094813346863, 0.18605291843414307)",1,1,3.577484130859375,3.563873291015625,"(-32.175254821777344, -86.34815979003906, 667.1538696289062)","(29.530384063720703, -86.57438659667969, 668.1332397460938)","(-17.615617752075195, 178.37562561035156, 54.281646728515625)","(-24.0577335357666, 166.1722412109375, 49.839969635009766)",POINT (0.4443831741809845 0.1526440270245075),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138408460,1800210265,1,1,"(0.47629231214523315, 0.0189687330275774)","(0.4585660994052887, 0.09463673830032349)",1,1,3.598724365234375,3.5849761962890625,"(-32.10356903076172, -86.30016326904297, 667.5676879882812)","(29.51020622253418, -86.48390197753906, 668.197998046875)","(-9.811262130737305, 196.68795776367188, 60.94676971435547)","(-15.936126708984375, 182.86819458007812, 55.91677474975586)",POINT (0.4674292057752609 0.0568027356639504),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138425127,1800226932,1,1,"(0.48395371437072754, 0.03752681985497475)","(0.4658089876174927, 0.12701362371444702)",1,1,3.586288452148437,3.588241577148437,"(-32.12693786621094, -86.31230163574219, 667.5033569335938)","(29.48740577697754, -86.50178527832031, 668.1995849609375)","(-7.164053440093994, 193.29856872558594, 59.7131462097168)","(-13.433507919311523, 176.95498657226562, 53.76455307006836)",POINT (0.4748813509941101 0.0822702217847109),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138441793,1800243597,1,1,"(0.4784564971923828, 0.03950026258826256)","(0.462660014629364, 0.11208953708410263)",1,1,3.608810424804688,3.59722900390625,"(-32.17639923095703, -86.33634948730469, 667.49951171875)","(29.46772003173828, -86.5155029296875, 668.262939453125)","(-9.063475608825684, 192.9381561279297, 59.58192825317383)","(-14.521559715270996, 179.6806640625, 54.75666809082031)",POINT (0.4705582559108734 0.0757948998361826),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138458460,1800260264,1,1,"(0.47860410809516907, 0.025533391162753105)","(0.46528083086013794, 0.11331306397914886)",1,1,3.61151123046875,3.59112548828125,"(-32.23981475830078, -86.36931610107422, 667.654052734375)","(29.421005249023438, -86.55598449707031, 668.5517578125)","(-9.012474060058594, 195.489013671875, 60.51038360595703)","(-13.616002082824707, 179.4571990966797, 54.675315856933594)",POINT (0.4719424694776535 0.069423227570951),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138475127,1800276930,1,1,"(0.48035189509391785, 0.029645098373293877)","(0.4652787148952484, 0.11412755399942398)",1,1,3.612869262695313,3.5701141357421875,"(-32.293365478515625, -86.41023254394531, 667.8466186523438)","(29.381710052490234, -86.56758117675781, 668.6047973632812)","(-8.408568382263184, 194.73806762695312, 60.23704147338867)","(-13.616737365722656, 179.3084716796875, 54.62114334106445)",POINT (0.4728153049945831 0.0718863261863589),,,,,,,,,,,,,,,,,,,,,,,,,,,,
