,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,22,22,331687495794,1349311169,1,1,"(0.6976077556610107, 0.030894024297595024)","(0.6986578702926636, 0.08683618158102036)",1,1,3.5342254638671875,3.5298614501953125,"(-26.609500885009766, -56.939884185791016, 717.173828125)","(34.9824333190918, -59.38551712036133, 718.0675048828125)","(66.65882110595703, 194.50994873046875, 60.1540412902832)","(67.02165222167969, 184.29286193847656, 56.435333251953125)",POINT (0.6981328129768372 0.0588651029393077),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687512460,1349327835,1,1,"(0.698639988899231, 0.02185128442943096)","(0.7003639936447144, 0.07640165090560913)",1,1,3.5328826904296875,3.526397705078125,"(-26.464282989501953, -56.96708679199219, 717.4699096679688)","(35.1465950012207, -59.40087127685547, 718.3219604492188)","(67.01548767089844, 196.1614990234375, 60.755165100097656)","(67.61116027832031, 186.19859313964844, 57.128963470458984)",POINT (0.6995019912719727 0.04912646766752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687529128,1349344502,1,1,"(0.6980615258216858, 0.04136866331100464)","(0.7050002217292786, 0.08839766681194305)",1,1,3.5330047607421875,3.5264129638671875,"(-26.312538146972656, -56.98405456542969, 717.6814575195312)","(35.29846954345703, -59.43238067626953, 718.5775146484375)","(66.81560516357422, 192.59690856933594, 59.45774841308594)","(69.21310424804688, 184.0076904296875, 56.33149719238281)",POINT (0.7015308737754822 0.0648831650614738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687545795,1349361169,1,1,"(0.7020024061203003, 0.03207428380846977)","(0.7061187624931335, 0.0753929615020752)",1,1,3.5316619873046875,3.509063720703125,"(-26.136960983276367, -56.98252487182617, 717.9092407226562)","(35.465370178222656, -59.43916320800781, 718.7017822265625)","(68.17729187011719, 194.2943878173828, 60.075626373291016)","(69.59957885742188, 186.3828125, 57.19602966308594)",POINT (0.7040605843067169 0.0537336226552725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687562463,1349377836,1,1,"(0.703384280204773, 0.02085297182202339)","(0.7025763392448425, 0.07809309661388397)",1,1,3.5189666748046875,3.52386474609375,"(-25.960918426513672, -56.978973388671875, 718.1654663085938)","(35.64807891845703, -59.44562530517578, 718.88330078125)","(68.65475463867188, 196.34381103515625, 60.82154083251953)","(68.37557220458984, 185.88966369628906, 57.016536712646484)",POINT (0.7029803097248077 0.0494730342179537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687579129,1349394502,1,1,"(0.702626645565033, 0.03538232669234276)","(0.7058218717575073, 0.06818655133247375)",1,1,3.548553466796875,3.5199737548828125,"(-25.761796951293945, -56.93692398071289, 718.2957763671875)","(35.857276916503906, -59.449913024902344, 719.2028198242188)","(68.39297485351562, 193.6902313232422, 59.85567855834961)","(69.49699401855469, 187.698974609375, 57.67504119873047)",POINT (0.7042242586612701 0.0517844390124083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687595800,1349411173,1,1,"(0.7035285234451294, 0.030382758006453514)","(0.7034901976585388, 0.07618103176355362)",1,1,3.5244293212890625,3.540924072265625,"(-25.56596565246582, -56.87727355957031, 718.48193359375)","(36.050514221191406, -59.43514633178711, 719.3834838867188)","(68.70458984375, 194.60336303710938, 60.18798828125)","(68.69135284423828, 186.23890686035156, 57.143577575683594)",POINT (0.7035093605518341 0.0532818948850036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687612466,1349427838,1,1,"(0.6585820317268372, 0.04044342786073685)","(0.6717193722724915, 0.0737854540348053)",1,1,3.54412841796875,3.5231170654296875,"(-25.561416625976562, -56.88716506958008, 718.710693359375)","(36.07013702392578, -59.45681381225586, 719.5098876953125)","(53.174461364746094, 192.76589965820312, 59.51922607421875)","(57.71373748779297, 186.67642211914062, 57.30282211303711)",POINT (0.6651507019996643 0.0571144409477711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687629132,1349444504,1,1,"(0.47583144903182983, 0.1223941519856453)","(0.4850352108478546, 0.15233366191387177)",1,1,3.5680084228515625,3.56268310546875,"(-25.82893180847168, -56.897499084472656, 718.975830078125)","(35.70066833496094, -59.4900016784668, 719.551513671875)","(-9.970499992370605, 177.79867553710938, 54.07162094116211)","(-6.790379524230957, 172.3306121826172, 52.0814323425293)",POINT (0.4804333299398422 0.1373639069497585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687645802,1349461173,1,1,"(0.41757237911224365, 0.1337871104478836)","(0.42466798424720764, 0.17415103316307068)",1,1,3.531341552734375,3.5778350830078125,"(-25.754314422607422, -56.898719787597656, 719.0524291992188)","(35.75707244873047, -59.495731353759766, 719.6448974609375)","(-30.100486755371094, 175.7178955078125, 53.314292907714844)","(-27.648771286010742, 168.34596252441406, 50.631141662597656)",POINT (0.4211201816797256 0.1539690718054771),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687662466,1349477837,1,1,"(0.42445120215415955, 0.14346514642238617)","(0.41820165514945984, 0.17948327958583832)",1,1,3.548126220703125,3.5371856689453125,"(-25.575969696044922, -56.85554504394531, 719.166748046875)","(35.97428512573242, -59.50341796875, 719.7210083007812)","(-27.723670959472656, 173.95034790039062, 52.67095184326172)","(-29.88304901123047, 167.37210083007812, 50.276668548583984)",POINT (0.4213264286518097 0.1614742130041122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687679136,1349494506,1,1,"(0.4294649660587311, 0.12944602966308594)","(0.4227508306503296, 0.17171679437160492)",1,1,3.510772705078125,3.551010131835937,"(-25.4190616607666, -56.83061981201172, 719.050048828125)","(36.15496063232422, -59.51856994628906, 719.8743896484375)","(-25.991294860839844, 176.5107421875, 53.6028938293457)","(-28.311193466186523, 168.79055786132812, 50.79291915893555)",POINT (0.4261078983545303 0.1505814120173454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687695801,1349511171,1,1,"(0.4323931336402893, 0.13226261734962463)","(0.4208802282810211, 0.18104439973831177)",1,1,3.51025390625,3.5478515625,"(-25.28640365600586, -56.809226989746094, 719.2318115234375)","(36.31257247924805, -59.53040313720703, 720.0430908203125)","(-24.979537963867188, 175.996337890625, 53.41560745239258)","(-28.957538604736328, 167.0869903564453, 50.17288589477539)",POINT (0.4266366809606552 0.1566535085439682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687712469,1349527838,1,1,"(0.4383018910884857, 0.13511551916599274)","(0.42481425404548645, 0.18291763961315155)",1,1,3.5268707275390625,3.5354461669921875,"(-25.171934127807617, -56.79848861694336, 719.1119384765625)","(36.42861557006836, -59.53508758544922, 719.885986328125)","(-22.937915802001953, 175.47528076171875, 53.22601318359375)","(-27.598228454589844, 166.74484252929688, 50.048397064208984)",POINT (0.4315580725669861 0.1590165793895721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687729140,1349544509,1,1,"(0.4344296455383301, 0.13724583387374878)","(0.4250917434692383, 0.19199560582637787)",1,1,3.5302734375,3.55157470703125,"(-25.080860137939453, -56.76294708251953, 719.0189208984375)","(36.52254104614258, -59.53192901611328, 719.890625)","(-24.275876998901367, 175.08619689941406, 53.08440399169922)","(-27.50235366821289, 165.08688354492188, 49.44491195678711)",POINT (0.4297606945037842 0.1646207198500633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687745807,1349561175,1,1,"(0.4389655888080597, 0.12588711082935333)","(0.4300611913204193, 0.17473316192626953)",1,1,3.5393829345703125,3.5534210205078125,"(-25.03235626220703, -56.74861145019531, 719.0797119140625)","(36.57948684692383, -59.523353576660156, 719.8120727539062)","(-22.708595275878906, 177.16075134277344, 53.83942413330078)","(-25.785276412963867, 168.23965454101562, 50.5924186706543)",POINT (0.4345133900642395 0.1503101363778114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687762474,1349577842,1,1,"(0.433517724275589, 0.13423171639442444)","(0.42972469329833984, 0.16992230713367462)",1,1,3.5224151611328125,3.548187255859375,"(-25.013286590576172, -56.70136260986328, 718.9520263671875)","(36.5975341796875, -59.47074508666992, 719.63818359375)","(-24.590959548950195, 175.63670349121094, 53.284725189208984)","(-25.901546478271484, 169.1182861328125, 50.912227630615234)",POINT (0.4316212087869644 0.1520770117640495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687779142,1349594509,1,1,"(0.44367605447769165, 0.13108927011489868)","(0.42750033736228943, 0.16922372579574585)",1,1,3.55010986328125,3.55450439453125,"(-25.017946243286133, -56.64234161376953, 718.7373046875)","(36.58744812011719, -59.408348083496094, 719.4808349609375)","(-21.081003189086914, 176.2106170654297, 53.493621826171875)","(-26.67011260986328, 169.24588012695312, 50.95863723754883)",POINT (0.4355881959199905 0.1501564979553223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687795809,1349611176,1,1,"(0.4439847469329834, 0.14611990749835968)","(0.4363737106323242, 0.1806335300207138)",1,1,3.5411529541015625,3.53662109375,"(-25.073265075683594, -56.56927490234375, 718.5760498046875)","(36.5372314453125, -59.30296325683594, 719.315185546875)","(-20.974340438842773, 173.46546936035156, 52.49448013305664)","(-23.60415267944336, 167.1620330810547, 50.200191497802734)",POINT (0.4401792287826538 0.1633767187595367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687812476,1349627842,1,1,"(0.4364573061466217, 0.1471007764339447)","(0.43265634775161743, 0.19970910251140594)",1,1,3.5378875732421875,3.559814453125,"(-25.138126373291016, -56.52195358276367, 718.2710571289062)","(36.455787658691406, -59.21866226196289, 718.979736328125)","(-23.57526206970215, 173.28631591796875, 52.42930221557617)","(-24.888601303100586, 163.67813110351562, 48.93215560913086)",POINT (0.4345568269491196 0.1734049394726753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687829143,1349644509,1,1,"(0.43520864844322205, 0.14022387564182281)","(0.43183189630508423, 0.18668517470359802)",1,1,3.53997802734375,3.5424957275390625,"(-25.229406356811523, -56.471778869628906, 718.1644287109375)","(36.37556838989258, -59.11061096191406, 718.6739501953125)","(-24.006710052490234, 174.5423126220703, 52.886417388916016)","(-25.173446655273438, 166.0567626953125, 49.797943115234375)",POINT (0.4335202723741531 0.1634545251727104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687845810,1349661175,1,1,"(0.43996816873550415, 0.13990071415901184)","(0.4388447701931, 0.18821443617343903)",1,1,3.516845703125,3.5250396728515625,"(-25.333412170410156, -56.43175506591797, 717.8428344726562)","(36.27051544189453, -59.0084114074707, 718.4134521484375)","(-22.362167358398438, 174.601318359375, 52.907928466796875)","(-22.750333786010742, 165.77748107910156, 49.6962890625)",POINT (0.4394064694643021 0.1640575751662254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687862482,1349677847,1,1,"(0.43769803643226624, 0.1443636417388916)","(0.4375900328159332, 0.18538829684257507)",1,1,3.53399658203125,3.5309600830078125,"(-25.43189239501953, -56.377227783203125, 717.7212524414062)","(36.17178726196289, -58.89594268798828, 718.0237426757812)","(-23.146549224853516, 173.78623962402344, 52.6112060546875)","(-23.183874130249023, 166.2936248779297, 49.8841438293457)",POINT (0.4376440346240997 0.1648759692907333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687879149,1349694513,1,1,"(0.44008055329322815, 0.12922778725624084)","(0.43631842732429504, 0.16881956160068512)",1,1,3.5050048828125,3.5076446533203125,"(-25.5369873046875, -56.34175109863281, 717.4000244140625)","(36.083274841308594, -58.830101013183594, 717.7615966796875)","(-22.323341369628906, 176.5506134033203, 53.617347717285156)","(-23.623252868652344, 169.3197021484375, 50.98551940917969)",POINT (0.4381994903087616 0.149023674428463),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687895817,1349711181,1,1,"(0.4362686276435852, 0.14738255739212036)","(0.43790045380592346, 0.18703149259090424)",1,1,3.506256103515625,3.50048828125,"(-25.626192092895508, -56.27607727050781, 717.0654907226562)","(35.98329162597656, -58.71045684814453, 717.302734375)","(-23.640459060668945, 173.23487854003906, 52.41054916381836)","(-23.07660675048828, 165.99351501464844, 49.77491760253906)",POINT (0.4370845407247543 0.1672070249915123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687912485,1349727848,1,1,"(0.44193845987319946, 0.1379946917295456)","(0.4356548488140106, 0.17862115800380707)",1,1,3.4947662353515625,3.485748291015625,"(-25.71678924560547, -56.255863189697266, 716.6319580078125)","(35.89690399169922, -58.66300964355469, 716.9835815429688)","(-21.681385040283203, 174.94943237304688, 53.034637451171875)","(-23.852527618408203, 167.52955627441406, 50.333961486816406)",POINT (0.438796654343605 0.1583079248666763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687929152,1349744515,1,1,"(0.43279972672462463, 0.13791418075561523)","(0.43405506014823914, 0.1863095909357071)",1,1,3.4856109619140625,3.47967529296875,"(-25.790306091308594, -56.2454833984375, 716.5411987304688)","(35.832157135009766, -58.608665466308594, 716.762939453125)","(-24.83905029296875, 174.96414184570312, 53.039947509765625)","(-24.405302047729492, 166.1253662109375, 49.82290267944336)",POINT (0.4334273934364319 0.1621118858456612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687945820,1349761182,1,1,"(0.43794092535972595, 0.1506710946559906)","(0.44035962224006653, 0.17523348331451416)",1,1,3.481658935546875,3.4651336669921875,"(-25.86691665649414, -56.22199630737305, 716.066650390625)","(35.73185348510742, -58.55789566040039, 716.3036499023438)","(-23.062633514404297, 172.63426208496094, 52.19194412231445)","(-22.22691535949707, 168.1482696533203, 50.55918502807617)",POINT (0.4391502737998962 0.1629522889852524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687962487,1349777849,1,1,"(0.41912713646888733, 0.11251262575387955)","(0.4133785367012024, 0.15786759555339813)",1,1,3.45379638671875,3.49139404296875,"(-25.9737606048584, -56.17174530029297, 715.874267578125)","(35.57261657714844, -58.475677490234375, 716.0803833007812)","(-29.563274383544922, 179.60340881347656, 54.72850036621094)","(-31.5495662689209, 171.31993103027344, 51.71356201171875)",POINT (0.4162528365850449 0.1351901106536388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331687979152,1349794513,1,1,"(0.41502097249031067, 0.14185968041419983)","(0.4151487946510315, 0.15845447778701782)",1,1,3.475982666015625,3.473373413085937,"(-26.08304214477539, -56.14872741699219, 715.4263305664062)","(35.44696807861328, -58.41260528564453, 715.7675170898438)","(-30.982051849365234, 174.24356079101562, 52.77765655517578)","(-30.937891006469727, 171.2127227783203, 51.67456817626953)",POINT (0.4150848835706711 0.1501570791006088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331687995823,1349811184,1,1,"(0.4021417498588562, 0.11547593772411346)","(0.3983261287212372, 0.1713479608297348)",1,1,3.45428466796875,3.457992553710937,"(-26.167125701904297, -56.125160217285156, 715.2215576171875)","(35.38943099975586, -58.34502410888672, 715.5459594726562)","(-35.432159423828125, 179.0622100830078, 54.53154373168945)","(-36.750545501708984, 168.85792541503906, 50.81742858886719)",POINT (0.4002339392900467 0.1434119492769241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331688012491,1349827851,1,1,"(0.40520599484443665, 0.12288251519203186)","(0.39955127239227295, 0.16464169323444366)",1,1,3.4477996826171875,3.4554595947265625,"(-26.27399444580078, -56.109222412109375, 714.9160766601562)","(35.28588104248047, -58.277000427246094, 715.0606689453125)","(-34.373382568359375, 177.70948791503906, 54.039188385009766)","(-36.32722854614258, 170.0827178955078, 51.263275146484375)",POINT (0.4023786336183548 0.1437621042132378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331688029158,1349844518,1,1,"(0.40490713715553284, 0.10937845706939697)","(0.40693017840385437, 0.1580057293176651)",1,1,3.43499755859375,3.44586181640625,"(-26.358592987060547, -56.08695983886719, 714.6690673828125)","(35.19578552246094, -58.21885681152344, 714.7586669921875)","(-34.47663497924805, 180.17579650878906, 54.93684387207031)","(-33.777626037597656, 171.29469299316406, 51.704368591308594)",POINT (0.4059186577796936 0.133692093193531),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688045828,1349861187,1,1,"(0.4045863747596741, 0.12481052428483963)","(0.405185729265213, 0.16291466355323792)",1,1,3.4367828369140625,3.456893920898437,"(-26.457313537597656, -56.08306121826172, 714.3224487304688)","(35.11892318725586, -58.200660705566406, 714.7098388671875)","(-34.58747482299805, 177.35736083984375, 53.91099166870117)","(-34.38037872314453, 170.3981475830078, 51.378082275390625)",POINT (0.4048860520124435 0.1438625939190388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,22,331688062494,1349877853,1,1,"(0.40355443954467773, 0.11982617527246475)","(0.4069979786872864, 0.1493106335401535)",1,1,3.429183959960937,3.43756103515625,"(-26.54940414428711, -56.082305908203125, 714.3431396484375)","(35.015541076660156, -58.122535705566406, 714.2548828125)","(-34.94403839111328, 178.2677001953125, 54.2422981262207)","(-33.75421142578125, 172.88275146484375, 52.282371520996094)",POINT (0.4052762091159821 0.1345684044063091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688079162,1349894520,1,1,"(0.4085261821746826, 0.12701407074928284)","(0.4023999869823456, 0.14445428550243378)",1,1,3.439071655273437,3.431365966796875,"(-26.62571144104004, -56.07709503173828, 713.9842529296875)","(34.94062042236328, -58.078575134277344, 714.0650634765625)","(-33.22617721557617, 176.9549102783203, 53.76451110839844)","(-35.34292221069336, 173.76968383789062, 52.605159759521484)",POINT (0.4054630845785141 0.1357341781258583),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688095828,1349911186,1,1,"(0.40478935837745667, 0.09078431874513626)","(0.4069996178150177, 0.13408908247947693)",1,1,3.464599609375,3.4359893798828125,"(-26.689958572387695, -56.007999420166016, 713.8378295898438)","(34.848724365234375, -57.96216583251953, 714.0034790039062)","(-34.5173454284668, 183.57180786132812, 56.172855377197266)","(-33.75364685058594, 175.66275024414062, 53.294219970703125)",POINT (0.4058944880962372 0.1124367006123066),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688112496,1349927853,1,1,"(0.39955782890319824, 0.057870686054229736)","(0.4033374786376953, 0.11400643736124039)",1,1,3.4152984619140625,3.449005126953125,"(-26.74134635925293, -55.99360275268555, 713.9041748046875)","(34.742923736572266, -57.90635681152344, 713.7319946289062)","(-36.3249626159668, 189.58302307128906, 58.36078643798828)","(-35.019004821777344, 179.33058166503906, 54.62923812866211)",POINT (0.4014476537704468 0.0859385617077351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688129165,1349944522,1,1,"(0.40675273537635803, 0.06000204384326935)","(0.39934679865837097, 0.09344374388456345)",1,1,3.4285888671875,3.4552764892578125,"(-26.808731079101562, -55.977081298828125, 713.61669921875)","(34.71440124511719, -57.871063232421875, 713.5503540039062)","(-33.838924407958984, 189.1937713623047, 58.21908187866211)","(-36.39788055419922, 183.08607482910156, 55.996116638183594)",POINT (0.4030497670173645 0.0767228938639164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688145832,1349961188,1,1,"(0.41256940364837646, 0.04532310366630554)","(0.3990551233291626, 0.11125881224870682)",1,1,3.40826416015625,3.440826416015625,"(-26.858875274658203, -55.96167755126953, 713.3170166015625)","(34.67632293701172, -57.83612823486328, 713.4000244140625)","(-31.829147338867188, 191.8746795654297, 59.19487380981445)","(-36.4986686706543, 179.8323974609375, 54.81185531616211)",POINT (0.4058122634887695 0.0782909579575062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688162499,1349977855,1,1,"(0.4023704528808594, 0.06463085114955902)","(0.3944007158279419, 0.11174523085355759)",1,1,3.4177703857421875,3.452499389648437,"(-26.90106773376465, -55.95872497558594, 713.313720703125)","(34.64457702636719, -57.796424865722656, 713.3341064453125)","(-35.35312271118164, 188.348388671875, 57.911399841308594)","(-38.106868743896484, 179.74356079101562, 54.77952194213867)",POINT (0.3983855843544006 0.0881880410015583),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688179167,1349994522,1,1,"(0.40038037300109863, 0.061062291264534)","(0.3977714776992798, 0.10022617131471634)",1,1,3.4146881103515625,3.409088134765625,"(-26.935365676879883, -55.97419738769531, 713.3108520507812)","(34.620052337646484, -57.777469635009766, 713.2098388671875)","(-36.0407600402832, 189.00013732910156, 58.148616790771484)","(-36.94219970703125, 181.8473663330078, 55.54526138305664)",POINT (0.3990759253501892 0.0806442312896252),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688195834,1350011189,1,1,"(0.4033590257167816, 0.06895409524440765)","(0.4003142714500427, 0.11633762717247009)",1,1,3.4246826171875,3.439315795898437,"(-26.95231819152832, -55.98176574707031, 713.2672119140625)","(34.61189270019531, -57.76081085205078, 713.1546020507812)","(-35.01155090332031, 187.55880737304688, 57.624027252197266)","(-36.063594818115234, 178.9048309326172, 54.47423553466797)",POINT (0.4018366485834122 0.0926458612084389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688212501,1350027855,1,1,"(0.40609556436538696, 0.050474874675273895)","(0.3998279571533203, 0.09514188021421432)",1,1,3.39862060546875,3.416229248046875,"(-26.956832885742188, -55.99580001831055, 713.239013671875)","(34.610591888427734, -57.761268615722656, 713.0987548828125)","(-34.066009521484375, 190.9337615966797, 58.852447509765625)","(-36.23163604736328, 182.77593994140625, 55.88322830200195)",POINT (0.4029617607593536 0.0728083774447441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688229168,1350044522,1,1,"(0.40333056449890137, 0.057320188730955124)","(0.40453362464904785, 0.11514780670404434)",1,1,3.413330078125,3.41082763671875,"(-26.928760528564453, -55.993743896484375, 713.1707763671875)","(34.639137268066406, -57.76139831542969, 713.1661376953125)","(-35.021385192871094, 189.68357849121094, 58.39735412597656)","(-34.6057014465332, 179.1221160888672, 54.5533332824707)",POINT (0.4039320945739746 0.0862339977174997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688245836,1350061189,1,1,"(0.4086126983165741, 0.05621299520134926)","(0.4000951647758484, 0.12227663397789001)",1,1,3.3993682861328125,3.43359375,"(-26.89841079711914, -55.98889923095703, 713.07470703125)","(34.661216735839844, -57.75749969482422, 713.1776123046875)","(-33.19627380371094, 189.88577270507812, 58.471004486083984)","(-36.139286041259766, 177.82012939453125, 54.07944869995117)",POINT (0.4043539315462112 0.0892448145896196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688262509,1350077862,1,1,"(0.4098083972930908, 0.06793668121099472)","(0.40297165513038635, 0.11822430789470673)",1,1,3.40960693359375,3.421127319335937,"(-26.854473114013672, -55.968658447265625, 712.9799194335938)","(34.695892333984375, -57.7332763671875, 713.1175537109375)","(-32.78313064575195, 187.74461364746094, 57.69166564941406)","(-35.145408630371094, 178.5602264404297, 54.34885787963867)",POINT (0.4063900262117386 0.0930804945528507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688279177,1350094529,1,1,"(0.4060599207878113, 0.03661983087658882)","(0.4138294756412506, 0.10763196647167206)",1,1,3.3732452392578125,3.40093994140625,"(-26.770671844482422, -55.96735382080078, 712.9866333007812)","(34.798553466796875, -57.74091720581055, 713.0504150390625)","(-34.07832336425781, 193.4642333984375, 59.77339172363281)","(-31.393747329711914, 180.49481201171875, 55.05290603637695)",POINT (0.4099446982145309 0.0721258986741304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688295844,1350111196,1,1,"(0.5237603187561035, 0.05421299859881401)","(0.5338804125785828, 0.1001097783446312)",1,1,3.4268035888671875,3.405548095703125,"(-26.365432739257812, -55.95115280151367, 712.9207153320312)","(35.17148208618164, -57.739013671875, 713.2217407226562)","(6.590144157409668, 190.25106811523438, 58.60392761230469)","(10.086882591247559, 181.86862182617188, 55.55296325683594)",POINT (0.5288203656673431 0.0771613884717226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688312511,1350127862,1,1,"(0.6025497913360596, 0.0734032467007637)","(0.6019687056541443, 0.10121125727891922)",1,1,3.4366912841796875,3.3828582763671875,"(-26.13084602355957, -55.943138122558594, 712.9112548828125)","(35.37263488769531, -57.76546096801758, 713.1585083007812)","(33.81389617919922, 186.74620056152344, 57.32829666137695)","(33.613101959228516, 181.66744995117188, 55.479774475097656)",POINT (0.6022592484951019 0.0873072519898415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,331688329178,1350144529,1,1,"(0.6019052863121033, 0.05625202879309654)","(0.60246741771698, 0.11140722036361694)",1,1,3.399139404296875,3.393295288085937,"(-26.124767303466797, -55.93156433105469, 712.9537353515625)","(35.39336013793945, -57.75589370727539, 713.1700439453125)","(33.591182708740234, 189.87864685058594, 58.46841812133789)","(33.78541946411133, 179.8052978515625, 54.8019905090332)",POINT (0.6021863520145416 0.0838296245783567),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
