,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,55,10,838591439019,2542486689,1,1,"(0.5864600539207458, 0.28591156005859375)","(0.5541725158691406, 0.34117937088012695)",1,1,3.138427734375,3.043914794921875,"(-44.87792205810547, 23.153724670410156, 542.9444580078125)","(12.707849502563477, 21.746023178100586, 539.832275390625)","(28.25447654724121, 147.93438720703125, 43.201908111572266)","(17.098316192626953, 137.8404541015625, 39.52803039550781)",POINT (0.5703162848949432 0.3135454654693604),,,,,,,,,,,1,
0,55,10,838591455686,2542503355,1,1,"(0.5834935307502747, 0.2926229238510132)","(0.5511813163757324, 0.3516432046890259)",1,1,3.134765625,3.057037353515625,"(-44.801998138427734, 23.213111877441406, 542.7899169921875)","(12.781938552856445, 21.8023681640625, 539.91064453125)","(27.22946548461914, 146.70864868164062, 42.755760192871094)","(16.06479263305664, 135.9293670654297, 38.83245849609375)",POINT (0.5673374235630035 0.3221330642700195),,,,,,,,,,,1,
0,55,10,838591472345,2542520014,1,1,"(0.5821555256843567, 0.2916851043701172)","(0.5471560955047607, 0.35462093353271484)",1,1,3.133773803710937,3.062362670898437,"(-44.71350860595703, 23.274063110351562, 542.7518310546875)","(12.885108947753906, 21.857667922973633, 539.648193359375)","(26.76714515686035, 146.8799285888672, 42.81809997558594)","(14.673972129821777, 135.38552856445312, 38.63450241088867)",POINT (0.5646558105945587 0.323153018951416),,,,,,,,,,,1,
0,55,10,838591489021,2542536689,1,1,"(0.5845184326171875, 0.2827788293361664)","(0.5502168536186218, 0.3527837097644806)",1,1,3.131561279296875,3.0652313232421875,"(-44.614200592041016, 23.34220314025879, 542.56884765625)","(12.989812850952148, 21.91876983642578, 539.6436767578125)","(27.58360481262207, 148.50653076171875, 43.410179138183594)","(15.73153018951416, 135.7210693359375, 38.75664520263672)",POINT (0.5673676431179047 0.3177812695503235),,,,,,,,,,,1,
0,55,10,838591505687,2542553355,1,1,"(0.58708256483078, 0.2813834249973297)","(0.5515033602714539, 0.3500954806804657)",1,1,3.1297149658203125,3.0620269775390625,"(-44.50129699707031, 23.397449493408203, 542.5667724609375)","(13.1267728805542, 21.979970932006836, 539.72021484375)","(28.469573974609375, 148.76138305664062, 43.5029411315918)","(16.176061630249023, 136.2120361328125, 38.93535232543945)",POINT (0.5692929625511169 0.3157394528388977),,,,,,,,,,,1,
0,55,10,838591522355,2542570022,1,1,"(0.5867747068405151, 0.28725665807724)","(0.5484246611595154, 0.3481895625591278)",1,1,3.1265411376953125,3.0574493408203125,"(-44.371116638183594, 23.43323516845703, 542.287353515625)","(13.246455192565918, 22.016597747802734, 539.4093017578125)","(28.363203048706055, 147.688720703125, 43.11250305175781)","(15.112284660339355, 136.5601348876953, 39.062015533447266)",POINT (0.5675996840000153 0.3177231103181839),,,,,,,,,,,1,
0,55,10,838591539022,2542586689,1,1,"(0.5505709648132324, 0.29051730036735535)","(0.5271443128585815, 0.35342150926589966)",1,1,3.136016845703125,3.063720703125,"(-44.39714050292969, 23.460594177246094, 542.2192993164062)","(13.247079849243164, 22.051677703857422, 539.393310546875)","(15.853885650634766, 147.0932159423828, 42.89574432373047)","(7.759389400482178, 135.60458374023438, 38.7142448425293)",POINT (0.538857638835907 0.3219694048166275),,,,,,,,,,,1,
0,55,10,838591555693,2542603359,1,1,"(0.4667719602584839, 0.2862849831581116)","(0.4422166049480438, 0.3501509726047516)",1,1,3.1341552734375,3.08026123046875,"(-44.59355926513672, 23.50214195251465, 542.2249145507812)","(13.001165390014648, 22.061744689941406, 539.1759033203125)","(-13.100789070129395, 147.86619567871094, 43.17705154418945)","(-21.585285186767578, 136.201904296875, 38.93165588378906)",POINT (0.4544942826032638 0.3182179778814316),,,,,,,,,,,1,
0,55,10,838591572360,2542620026,1,1,"(0.47401848435401917, 0.2912358343601227)","(0.44947946071624756, 0.3397563099861145)",1,1,3.131683349609375,3.0638427734375,"(-44.51655197143555, 23.53183937072754, 542.11962890625)","(13.062593460083008, 22.097705841064453, 539.205810546875)","(-10.596930503845215, 146.9619598388672, 42.848026275634766)","(-19.075782775878906, 138.10035705566406, 39.62261199951172)",POINT (0.4617489725351334 0.3154960721731186),,,,,,,,,,,1,
0,55,10,838591589028,2542636693,1,1,"(0.469283789396286, 0.29193851351737976)","(0.439211905002594, 0.3367828130722046)",1,1,3.1265869140625,3.0405426025390625,"(-44.4381217956543, 23.55137062072754, 541.931640625)","(13.169668197631836, 22.125125885009766, 538.94384765625)","(-12.232880592346191, 146.83364868164062, 42.8012580871582)","(-22.62346649169922, 138.6434326171875, 39.82026672363281)",POINT (0.45424784719944 0.3143606632947922),,,,,,,,,,,1,
