,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,n.1,if.1,<.1,n.2,0.1,      .1,error.1,No.1,negative.1,numbers.1,      .2,letrec.1,-----------.2,helper.1,lambda.1,i.1,result.1,if.2,>.1,i.2,n.3,result.2,helper.2,+.1,1.1,1.2,*.1,result.3,i.3,).1,).2,).3,).4,).5,helper.3,1.3,1.4,).6,).7,).8,question,code,choices
0,37,31,765600122800,1576960498,1,1,"(0.46726956963539124, 0.5641656517982483)","(0.398417204618454, 0.5611123442649841)",1,1,2.96514892578125,2.7582244873046875,"(-116.37662506103516, 7.233033657073975, 523.4257202148438)","(-53.96692657470703, 28.329587936401367, 546.86474609375)","(-12.928860664367676, 97.1149673461914, 24.705169677734375)","(-36.71908187866211, 97.67261505126953, 24.90810203552246)",POINT (0.4328433871269226 0.5626389980316162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600139470,1576977168,1,1,"(0.4670940637588501, 0.5603556036949158)","(0.4045393168926239, 0.5656824707984924)",1,1,2.960205078125,2.754867553710937,"(-116.45085906982422, 8.00912094116211, 524.7080688476562)","(-53.80366516113281, 28.71768569946289, 547.78564453125)","(-12.989494323730469, 97.8108139038086, 24.958433151245117)","(-34.60373306274414, 96.83794403076172, 24.604291915893555)",POINT (0.435816690325737 0.5630190372467041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600156137,1576993834,1,1,"(0.4530872702598572, 0.5313709378242493)","(0.40805938839912415, 0.5886967182159424)",1,1,2.932952880859375,2.7773590087890625,"(-116.54180145263672, 8.866276741027832, 525.986083984375)","(-53.66777801513672, 29.149459838867188, 548.839111328125)","(-17.82918357849121, 103.10447692871094, 26.88517951965332)","(-33.38746643066406, 92.63468933105469, 23.074462890625)",POINT (0.4305733293294907 0.5600338280200958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600172804,1577010501,1,1,"(0.4620407819747925, 0.569426417350769)","(0.4091383218765259, 0.5733066201210022)",1,1,2.9752655029296875,2.757186889648437,"(-116.7200698852539, 9.812190055847168, 527.5943603515625)","(-53.55802917480469, 29.60968780517578, 550.046630859375)","(-14.735529899597168, 96.15414428710938, 24.355432510375977)","(-33.01465606689453, 95.44547271728516, 24.097517013549805)",POINT (0.4355895519256592 0.5713665187358856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600189473,1577027169,1,1,"(0.46716228127479553, 0.5594817996025085)","(0.40682366490364075, 0.5521406531333923)",1,1,3.0247802734375,2.777328491210937,"(-116.90544891357422, 10.753596305847168, 529.2833251953125)","(-53.43943786621094, 30.05797576904297, 551.261962890625)","(-12.965912818908691, 97.97040557861328, 25.016483306884766)","(-33.81443405151367, 99.31117248535156, 25.504501342773438)",POINT (0.4369929730892181 0.5558112263679504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600206140,1577043836,1,1,"(0.46197742223739624, 0.5350790023803711)","(0.4060436189174652, 0.5796820521354675)",1,1,2.978256225585937,2.781982421875,"(-117.0782241821289, 11.720378875732422, 530.9854736328125)","(-53.356483459472656, 30.549304962158203, 552.782470703125)","(-14.75741958618164, 102.42723846435547, 26.638681411743164)","(-34.08395767211914, 94.28108215332031, 23.673755645751953)",POINT (0.4340105205774307 0.5573805272579193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600222809,1577060504,1,1,"(0.46162500977516174, 0.559994101524353)","(0.40351131558418274, 0.5734230279922485)",1,1,3.008026123046875,2.797836303710937,"(-117.25994873046875, 12.72986888885498, 532.855712890625)","(-53.21741485595703, 31.0095272064209, 554.0634765625)","(-14.87919807434082, 97.87683868408203, 24.982454299926758)","(-34.958927154541016, 95.42423248291016, 24.089752197265625)",POINT (0.4325681626796722 0.5667085647583008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600239476,1577077171,1,1,"(0.47229695320129395, 0.5930654406547546)","(0.40463966131210327, 0.5957608819007874)",1,1,3.004913330078125,2.8116607666015625,"(-117.4642105102539, 13.77068042755127, 534.91748046875)","(-53.23384475708008, 31.468708038330078, 555.485107421875)","(-11.191760063171387, 91.83678436279297, 22.784080505371094)","(-34.56905746459961, 91.344482421875, 22.60491180419922)",POINT (0.4384683072566986 0.594413161277771),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600256150,1577093844,1,1,"(0.4632697105407715, 0.5669026970863342)","(0.40429505705833435, 0.5946615934371948)",1,1,3.013580322265625,2.8025360107421875,"(-117.64659118652344, 14.797226905822754, 537.0022583007812)","(-52.948486328125, 31.953022003173828, 557.2681884765625)","(-14.310897827148438, 96.61505889892578, 24.523221969604492)","(-34.6881217956543, 91.54527282714844, 22.677955627441406)",POINT (0.4337823837995529 0.5807821452617645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,31,765600272818,1577110512,1,1,"(0.45351964235305786, 0.5503126978874207)","(0.4157756268978119, 0.6002468466758728)",1,1,3.009124755859375,2.83172607421875,"(-117.74111938476562, 15.82194709777832, 538.814453125)","(-52.943756103515625, 32.39814758300781, 558.5084228515625)","(-17.67980194091797, 99.64501953125, 25.62605094909668)","(-30.721315383911133, 90.52520751953125, 22.306684494018555)",POINT (0.4346476346254349 0.5752797722816467),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
